Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Augustine Therapeutics,https://www.crunchbase.com/organization/augustine-therapeutics,Active,,"Biopharma, Biotechnology, Pharmaceutical","Leuven, Vlaams-Brabant, Belgium",Augustine Therapeutics is discovering and developing innovative medicines for the treatment of neuromuscular and neurodegeneratives diseases,930,"European Union (EU), Europe, Middle East, and Africa (EMEA)",3001,$1M to $10M,2019-03-01,month,,,,,For Profit,https://www.augustinetx.com/,,,https://be.linkedin.com/company/augustine-therapeutics,Augustine Therapeutics company is a two drug discovery programs to identify novel generations of selective HDAC6 inhibitors for the treatment of axonopathies such as Charcot Marie Tooth disease. These new compounds have the potential to protect from nerve degeneration and promote peripheral myelin and axon repair.,"Biotechnology, Health Care, Science and Engineering",3,11-50,"Bart De Strooper, Joris De Wit, Ludo Van den Bosh",3,Early Stage Venture,2025-03-24,77700000,EUR,84139626,Series A,77700000,EUR,84139626,Series A,98900000,EUR,106973166,98900000,EUR,106973166,"Eli Lilly, Novo Holdings, Asabys Partners, V-Bio Ventures, Jeito Capital",4,11,,,,,,,,,,,,,,Private,,,,,,,,,,,
Sunrise,https://www.crunchbase.com/organization/sunrise-cdf9,Active,,"Health Care, Health Diagnostics, Home Health Care, Lifestyle, Medical Device, Wellness","Brussels, Brussels Hoofdstedelijk Gewest, Belgium","We are a virtual sleep clinic, using our own 3-gram sensor to diagnose sleep with gold standard quality.","3,256","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2015-01-01,year,,,,,For Profit,https://hellosunrise.com/,https://twitter.com/sunrisesleep,https://www.facebook.com/sunrisesleep/,https://www.linkedin.com/company/hellosunrise/?originalSubdomain=be,"Sunrise aims to bring simple answers to millions of people suffering from sleep disorders. We have developed a 3-gram sensor to diagnose sleep with gold standard quality. The technology offers a revolutionary new way to measure brain commands at night, with published clinical results never seen before. Studies demonstrate Sunrise is as accurate as in-lab sleep studies, at a fraction of the cost. Affecting one in three people, sleep disorders are extremely common. Sleep apnea is the most prevalent disease with almost 1 billion persons concerned. This condition leads to great body damage over time and yet remains undiagnosed in 80% of the cases. Patients, caregiver and insurers stand to benefit greatly from a solution to current highly cumbersome, expensive and time-consuming diagnostics systems.","Community and Lifestyle, Health Care",2,11-50,"Laurent Martinot, Pierre Martinot",3,Early Stage Venture,2023-03-09,17000000,EUR,17996293,Series A,17000000,EUR,17996293,Series A,24500000,EUR,26448235,24500000,EUR,26448235,"Kurma Partners, Amazon Alexa Fund, European Innovation Council, UI Investissement, Vives Louvain Technology Fund",1,12,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Azalea Vision,https://www.crunchbase.com/organization/azalea-vision,Active,,"Health Care, Manufacturing, Medical Device","Zwijnaarde, Oost-Vlaanderen, Belgium",Azalea Vision is a medical manufacturer designing contact lenses with an active light management system for people with ocular disorders.,"3,588","European Union (EU), Europe, Middle East, and Africa (EMEA)",9052,$1M to $10M,2020-01-01,year,,,,,For Profit,https://azaleavision.com/,,,https://www.linkedin.com/company/azaleavision/,,"Health Care, Manufacturing",1,1-10,Enrique Vega,2,Early Stage Venture,2025-04-29,9000000,EUR,10273374,Series A,9000000,EUR,10273374,Series A,15200000,EUR,17618145,15200000,EUR,17618145,"imec.xpand, Elaia, SPRIM Global Investments, Afri Mobility, Sensinnovat",3,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
Aikido Security,https://www.crunchbase.com/organization/aikido-security,Active,,"Cloud Security, Cyber Security, Software","Ghent, Oost-Vlaanderen, Belgium","Aikido Security provides a unified platform for code and cloud security, simplifying vulnerability management for developers.","3,718","European Union (EU), Europe, Middle East, and Africa (EMEA)",9000,$1M to $10M,2022-10-26,day,,,,,For Profit,https://aikido.dev,https://twitter.com/AikidoSecurity,,https://www.linkedin.com/company/aikido-security,"Aikido Security is a developer-friendly software security platform. It scans your code, containers & cloud in 9 different ways, showing you which security issues and vulnerabilities are actually important to solve. The company's platform analyzes the source code and cloud to identify which vulnerabilities need to be addressed, aids in their rapid resolution, and speeds up triage by eliminating false positives, allowing developers to keep their product secure while providing them time to return to coding.","Information Technology, Privacy and Security, Software",3,51-100,"Felix Garriau, Roeland Delrue, Willem Delbare",3,Early Stage Venture,2024-05-01,17000000,USD,17000000,Series A,17000000,USD,17000000,Series A,24605638,USD,24605638,24605638,USD,24605638,"Inovia Capital, Singular, Syndicate One, Connect Ventures, Notion Capital",3,12,,,,,,,,,,,,,,Private,,,,,,,,,,,
EsoBiotec,https://www.crunchbase.com/organization/esobiotec-7c2d,Active,,Biotechnology,"Mont-saint-guibert, Brabant Wallon, Belgium",EsoBiotec is a Belgian biotechnology business focused on the discovery of novel cancer therapies.,"5,090","European Union (EU), Europe, Middle East, and Africa (EMEA)",1435,$1M to $10M,2020-01-01,year,2025-03-17,day,,,For Profit,https://www.esobiotec.com/,,,https://www.linkedin.com/company/esobiotec/,EsoBiotec is a Belgian biotechnology business focused on the discovery of novel cancer therapies.EsoBiotec's objective is to enable the human body to fight cancer by delivering 'in vivo' cell engineering to patients.,"Biotechnology, Science and Engineering",1,11-50,Jean-Pierre Latere,3,M&A,2023-12-12,2000000,EUR,2159699,Series A,2000000,EUR,2159699,Series A,5000000,EUR,5632050,8000000,EUR,9104401,"Thuja Capital, Invivo Capital Partners, UCB Ventures, S.R.I.W., Sambrinvest",3,6,,Was Acquired,EsoBiotec acquired by AstraZeneca,https://www.crunchbase.com/acquisition/astrazeneca-acquires-esobiotec-7c2d--c2ac58d4,AstraZeneca,https://www.crunchbase.com/organization/astrazeneca,2025-03-17,day,1000000000,USD,1000000000,Acquisition,Cash,Private,,,,,,,,,,,
Nuclivision,https://www.crunchbase.com/organization/nuclivision,Active,,"Artificial Intelligence (AI), Medical Device, Oncology","Ghent, Oost-Vlaanderen, Belgium",Nuclivision provides novel radiotracers and treatments for oncology to help patients by improving the safety of nuclear medicine.,"5,795","European Union (EU), Europe, Middle East, and Africa (EMEA)",9000,,2022-06-01,month,,,,,For Profit,https://www.nuclivision.com,,,https://www.linkedin.com/company/nuclivision,"Nuclivision provides novel radiotracers and treatments for oncology that develop AI-driven solutions to help patients by improving the quality, safety, and accessibility of nuclear medicine.","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1,1-10,Maarten Larmuseau,2,Seed,2025-04-24,5000000,EUR,5686374,Seed,5000000,EUR,5686374,Seed,5000000,EUR,5686374,5000000,EUR,5686374,"LUMO labs, HERAN Partners, imec.istart Future Fund, Lumiares",3,4,,,,,,,,,,,,,,Private,,,,,,,,,,,
Loop Earplugs,https://www.crunchbase.com/organization/loop-earplugs,Active,,"Consumer Goods, Fashion, Health Care, Wearables, Wellness","Antwerp, Antwerpen, Belgium",Live life at your volume,"6,702","European Union (EU), Europe, Middle East, and Africa (EMEA)",2000,$1M to $10M,2016-11-01,month,,,,,For Profit,https://www.loopearplugs.com/,,https://www.facebook.com/loopearplugs,https://www.linkedin.com/company/loopearplugs,Empower people to choose how they hear the world,"Clothing and Apparel, Consumer Electronics, Consumer Goods, Design, Hardware, Health Care",2,251-500,"Dimitri O, Maarten Bodewes",5,Seed,2020-07-02,1000000,EUR,1123753,Seed,1000000,EUR,1123753,Seed,1068000,EUR,1201797,1318000,EUR,1492022,"Akiles, PMV, ING Belgium",3,3,,,,,,,,,,,,,,Private,,,,,,,,,,,
TechWolf,https://www.crunchbase.com/organization/techwolf,Active,,"Artificial Intelligence (AI), Human Resources, Information Technology, Natural Language Processing","Ghent, Oost-Vlaanderen, Belgium",TechWolf develops an AI-based talent intelligence platform that allows enterprises to adopt a skills-based talent model.,"7,906","European Union (EU), Europe, Middle East, and Africa (EMEA)",9000,$1M to $10M,2018-09-04,day,,,,,For Profit,https://www.techwolf.com,,,https://www.linkedin.com/company/techwolf,TechWolf develops an AI-based talent intelligence platform that allows enterprises to adopt a skills-based talent model. The company's platform automatically monitors employees’ skills based on HR information and their digital footprint on the work floor. Its AI-based software offers organizations an overview of skills and skill gaps across their workforce and actionable insights on current and future skill needs.,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",3,101-250,"Andreas De Neve, Jeroen Van Hautte, Mikaël Wornoo",5,,2024-12-10,,,,Venture - Series Unknown,,,,Venture - Series Unknown,54374317,USD,54374317,55589855,USD,55589855,"Fortino Capital, The Twenty Minute VC, ServiceNow, Stride.VC, SAP",5,15,,,,,,,,,,,,,,Private,,,,,,,,,,,
Cowboy,https://www.crunchbase.com/organization/cowboy,Active,,"Electric Vehicle, Mobile, Transportation","Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Cowboy is an ebike company that creates innovative electric bikes for city riders.,"9,472","European Union (EU), Europe, Middle East, and Africa (EMEA)",1000,$1M to $10M,2017-01-01,year,,,,,For Profit,https://cowboy.com/,https://twitter.com/cowboy_hq,https://www.facebook.com/CowboyHQ/,https://www.linkedin.com/company/cowboy_bikes/,"Cowboy is an e-bike company that creates innovative electric bikes for city riders. It is still transforming the bike and mobility industries, from the point of sale to the point of service. Its mission is to empower riders to map their own paths, as well as the paths of the cities in which they live, through mindful movement that benefits everyone. Cowboy's electric bikes are simple — there is no gear and no + and - buttons to adjust the motor's power. The company believes riding a bike should be as simple as hopping into the saddle and putting one foot on the peddle.","Mobile, Transportation",3,51-100,"Adrien Roose, Karim Slaoui, Tanguy Goretti",15,,2024-09-04,4000000,EUR,4431961,Venture - Series Unknown,4000000,EUR,4431961,Venture - Series Unknown,153239320,USD,153239320,156829775,USD,156829775,"Tiger Global Management, Index Ventures, HCVC, Kima Ventures, Isomer Capital",6,28,,,,,,,,,,,,,,Private,,,,,,,,,,,
Soda,https://www.crunchbase.com/organization/soda-data,Active,,"Analytics, Big Data, Business Intelligence, Cloud Data Services, Machine Learning, Software, Test and Measurement","Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Soda is a software company that provides data quality solutions through testing and preventing data issues.,"10,356","European Union (EU), Europe, Middle East, and Africa (EMEA)",1000,$1M to $10M,2018-12-01,day,,,,,For Profit,https://www.soda.io/,https://twitter.com/sodadata,https://www.facebook.com/SodaDataHQ/,https://www.linkedin.com/company/sodadata/,"Soda is the data monitoring platform that keeps your data fit for purpose, verifiable and trustworthy. We uncover data issues, alert the right teams, and trigger resolution workflows to identify causes that impede data quality. Our open source testing projects and monitoring platform brings together data engineers, operations and the business to create trusted data. Data-driven organisations choose Soda to realise the value of their data and secure its quality. Data Monitoring | Data Testing | Observability | Data Quality | Data Management","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Software",2,11-50,"Maarten Masschelein, Tom Baeyens",4,,2024-07-11,12900000,EUR,14027579,Venture - Series Unknown,12900000,EUR,14027579,Venture - Series Unknown,27000000,EUR,30969368,27500000,EUR,31537792,"Hummingbird Ventures, Singular, Point Nine, Zero Prime Ventures, Innoviris",3,5,,,,,,,,,,,,,,Private,,,,,,,,,,,1
