Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Kardi Ai,https://www.crunchbase.com/organization/kardi-ai,Active,,"Artificial Intelligence (AI), Health Care, Machine Learning, Medical Device","Olomouc, Olomoucky kraj, Czech Republic",Worry-free heart care from home enabled by commercially available trackers and cutting edge AI,"2,874","European Union (EU), Europe, Middle East, and Africa (EMEA)",779 00,,2022-03-10,day,,,,,For Profit,https://www.kardi.ai,,,https://www.linkedin.com/company/78989469/,"With Kardi Ai, we aim to offer medical grade cardiac home monitoring for a low cost by utilizing AI to achieve EKG level performance from a low-cost wearable that is available to the patient any time they need it. The Kardi AI kit is available from your cardiologist and contains all you'll need to have at home, cardiac monitoring whenever you need. Kardi AI's artificial neural network will monitor and diagnose your heart every day, letting you know if you should contact your doctor or go to the emergency room.","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1,11-50,Stephen Burke,3,Seed,2025-04-28,28000000,CZK,1282169,Seed,28000000,CZK,1282169,Seed,3306844,USD,3306844,3306844,USD,3306844,"Soulmates Ventures, Purple Ventures, BrightCap Ventures, DEPO Ventures, Cleverage VentureCapital",1,7,,,,,,,,,,,,,,Private,,,,,,,,,,,
Rossum,https://www.crunchbase.com/organization/rossum,Active,,"Artificial Intelligence (AI), Document Management, Machine Learning, SaaS, Software","Prague, Hlavni mesto Praha, Czech Republic",Rossum is an AI-based cloud document gateway that provides end-to-end transactional document automation.,"3,727","European Union (EU), Europe, Middle East, and Africa (EMEA)",18600,Less than $1M,2017-01-16,day,,,,,For Profit,http://rossum.ai,https://www.twitter.com/rossumai,https://www.facebook.com/RossumAi,https://www.linkedin.com/company/rossum,"Rossum provides a comprehensive transactional document automation platform to more than 275 enterprise businesses worldwide. The mission is to empower an individual to seamlessly process a million transactions annually. Centered on boosting productivity and precision, Rossum's cloud-native solution, driven by AI, revolutionizes entire business workflows. It mitigates risks, improves business relationships, and extracts real-time strategic insights from transactional data. The platform's flexible design effortlessly combines human expertise and technology, presenting enterprises with a customized solution for maximizing the benefits of automation.","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",3,251-500,"Petr Baudis, Tomas Gogar, Tomas Tunys",6,Early Stage Venture,2024-01-26,,,,Debt Financing,72000000,GBP,99316783,Series A,108816783,USD,108816783,108816783,USD,108816783,"General Catalyst, LocalGlobe, DIG Ventures, CIBC Innovation Banking, Seedcamp",4,13,,,,,,,,,,,,,,Private,,,,,,,,,,,
Resistant AI,https://www.crunchbase.com/organization/resistant-ai,Active,,"Artificial Intelligence (AI), Machine Learning, Network Security","Prague, Hlavni mesto Praha, Czech Republic","Resistant AI helps to protect AI systems from targeted manipulation, adversarial machine learning attacks and advanced fraud.","6,619","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$10M to $50M,2019-01-01,year,,,,,For Profit,https://resistant.ai,https://x.com/resistantai,,https://www.linkedin.com/company/resistant-ai,"Resistant AI protects the machine learning system from adversarial manipulation and advanced fraud. We believe that responsible and systematic adoption of machine learning techniques can profoundly improve our lives. Our mission is to accompany our customers on this way and to ensure that the risks related to machine learning and AI adoption are responsibly detected, managed and resolved.","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",8,51-100,"Jan Jusko, Jan Stiborek, Josef Stach, Karel Bartoš, Martin Grill, Martin Rehak, Martin Vejman, Tomáš Laube",3,Early Stage Venture,2023-06-27,11000000,USD,11000000,Series A,11000000,USD,11000000,Series A,30350000,USD,30350000,30350000,USD,30350000,"Index Ventures, Seedcamp, Credo Ventures, Google Ventures, Notion Capital",4,7,,,,,,,,,,,,,,Private,,,,,,,,,,,
Apify,https://www.crunchbase.com/organization/apify,Active,,"E-Commerce, Enterprise Software, Information Technology, Internet, Software","Prague, Hlavni mesto Praha, Czech Republic",Apify is a web scraping and browser automation platform that can turn any website into an API.,"9,370","European Union (EU), Europe, Middle East, and Africa (EMEA)",15000,$10M to $50M,2015-01-01,year,,,,,For Profit,https://apify.com,https://twitter.com/apify,https://www.facebook.com/apifytech,https://www.linkedin.com/company/apifytech/,"Apify is a web scraping and automation platform that can extract structured data from any website or automate any workflow on the web. For example, imagine you found a website selling shoes and want to get a spreadsheet with all the shoe sizes, colors, prices, etc., but the website doesn't make that information accessible in tabular form. You could certainly manually create such a spreadsheet using copy and paste, but that would take a lot of time and cause a lot of frustration. Or you can set up Apify to do this for you in a few seconds. Moreover, Apify can automatically upload the spreadsheet into your CRM every night or send you an email when your favorite shoes are on sale. The possibilities are unlimited.","Commerce and Shopping, Information Technology, Internet Services, Software",2,101-250,"Jakub Balada, Jan Čurn",5,,2024-04-15,2800000,EUR,2974941,Venture - Series Unknown,2800000,EUR,2974941,Venture - Series Unknown,3474941,USD,3474941,3486941,USD,3486941,"Y Combinator, J&T Ventures, Reflex Capital, INCOMMING ventures",4,4,,,,,,,,,,,,,,Private,,,,,,,,,,,
Flowpay,https://www.crunchbase.com/organization/flowpay-b132,Active,,"Embedded Software, Financial Services, FinTech, Lending","Prague, Hlavni mesto Praha, Czech Republic",Flowpay is a software company that specializes in providing embedded financial services for SME Platforms.,"11,828","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2021-01-01,day,,,,,For Profit,https://www.flowpay.io/,,https://www.facebook.com/flowpay.io/,https://www.linkedin.com/company/flowpay-fintech,"Flowpay provides Data-driven Financial Services for SMEs embedded within the platforms they use everyday. Lending is our initial product which we provide through platforms such as Point of Sales,  E-commerce & Payment Providers.","Financial Services, Software",2,11-50,"Daniel Hastik, William Jalloul",5,Seed,2025-03-19,30000000,EUR,32827283,Debt Financing,2100000,EUR,2296887,Seed,2600000,EUR,2908762,35904723,USD,35904723,"Techstars, Soulmates Ventures, Fasanara Capital, DEPO Ventures, Mark Ransford",5,13,,,,,,,,,,,,,,Private,,,,,,,,,,,
SmartGuide,https://www.crunchbase.com/organization/smartguide,Active,,"Artificial Intelligence (AI), Augmented Reality, Big Data, Content, Hospitality, Leisure, Tourism, Travel","Prague, Hlavni mesto Praha, Czech Republic",SmartGuide is a AI-powered digital guide platform that turns every phone into a personal travel guide.,"18,522","European Union (EU), Europe, Middle East, and Africa (EMEA)",11000,$1M to $10M,2018-07-02,day,,,,,For Profit,https://smartguide.app,,https://facebook.com/SmartGuideApp/,https://www.linkedin.com/company/smart-guide,"What Booking.com did for hotels, Uber for taxis and Youtube for video, SmartGuide does for travel guides. The SmartGuide app turns every phone into a personal travel guide and every tourist into an explorer. It guides tourists through destinations like a live guide advising them where to go and telling them interesting stories about the places they visit. More than 1,6M users can explore conveniently at their own pace and learn a lot more. The platform is the easiest, fastest and cheapest way for tourist attractions, destinations and travel agencies to publish digital travel guides that they can offer for free or sell to visitors. We provide them with unique smart data analytics. There are already over 1,600 destinations, including the official guide of Switzerland Tourism, Singapore Heritage Board, Prague, Pilsner Brewery and many others and 6,000 authors + AI, 1,400 destinations. While other content platforms often heavily subsidize content creators, SmartGuide offers so much value that we generated >€800k revenue so far. Tourism organizations are our main customers now, generating over 95% of our revenues. There is no other company better positioned to disrupt the outdated fragmented guide market. We are based in Prague, have 20 FTEs and raised €1.6M of seed funding with the latest valuation €10M  with founders retaining 70% of the company. It now seeks a €3 million Series A investment to expand globally, enhance the end-user experience, and scale AI-powered content creation. The funding will accelerate its position as the leading digital guide platform, capturing a share of the €2 trillion online travel market.","Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Hardware, Media and Entertainment, Science and Engineering, Software, Travel and Tourism",3,11-50,"Filip Kinsky, Jan Dolezal, Ondrej Panek",4,Seed,2022-09-20,1000000,EUR,997125,Seed,1000000,EUR,997125,Seed,2678018,USD,2678018,2678018,USD,2678018,"Seedrs, Grouport Ventures, Danube Angels",3,3,,,,,,,,,,,,,,Private,,,,,,,,,,,4
Safetica Technologies,https://www.crunchbase.com/organization/safetica-technologies,Active,,"Cyber Security, Enterprise Software, Security, Software","Prague, Hlavni mesto Praha, Czech Republic",Safetica is a data security software product that provides data loss prevention solutions to companies.,"22,498","European Union (EU), Europe, Middle East, and Africa (EMEA)",130 00,$1M to $10M,2007-01-01,year,,,,,For Profit,http://www.safetica.com,http://twitter.com/safetica,http://www.facebook.com/Safetica,http://www.linkedin.com/company/safetica-technologies,"Safetica Technologies protects companies from data breaches caused by insider errors and malicious actions. We are a Czech-based developer of Data Loss Prevention(DLP), monitoring, and encryption software. Our flagship product is Safetica 5, a complete DLP suite which combines data protection with behavioral analysis and endpoint monitoring. We’ve been creating internal security products since 2004. Our software is available through a network of distributors and system integrators in more than 50 countries","Information Technology, Privacy and Security, Software",1,51-100,Jakub Mahdal,5,,2025-01-24,4000000,USD,4000000,Venture - Series Unknown,4000000,USD,4000000,Venture - Series Unknown,9076417,USD,9076417,9076417,USD,9076417,"Impulse Ventures, Ondrej Tomek, Michael Rostock-Poplar, Ondrej Smolar, Jakub Mahdal",2,5,,,,,,,,,,,,,,Private,,,,,,,,,,,
Supernova.io,https://www.crunchbase.com/organization/supernova-technology-ltd,Active,,"Developer Tools, Graphic Design, Information Technology","Prague, Hlavni mesto Praha, Czech Republic",Supernova connects your design and engineering data in a single design system tool to accelerate and scale your product development.,"24,002","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2018-11-01,month,,,,,For Profit,https://supernova.io,https://twitter.com/supernova_io,,https://www.linkedin.com/company/supernova-io,"Supernova connects to popular design editors and interprets design systems into data. These data can then be transformed in powerful ways to create code for product development, for literally any coding stack or platform imaginable.  These transformations can be fully automated so that when design changes occur, the code is automatically updated to reflect the changes. Developers can fully control how the code is rendered, literally down to the individual code characters. An ecosystem of Supernova-developed and community-maintained code export packages is available for popular stacks and platforms via the Supernova Store, or teams can choose to create their own — for instance, to support proprietary frameworks or to customize code output to meet any company guidelines.","Design, Information Technology, Software",5,11-50,"Artem Ufimtcev, Jiri Trecak, na na, Oskar Koristka, Vaclav Lustek",6,Seed,2022-11-16,4800000,USD,4800000,Seed,4800000,USD,4800000,Seed,16624694,USD,16624694,16624694,USD,16624694,"Y Combinator, EQT Ventures, Wing Venture Capital, KAYA, Credo Ventures",4,12,,,,,,,,,,,,,,Private,,,,,,,,,,,
Oddin.gg,https://www.crunchbase.com/organization/oddin-gg,Active,,"Artificial Intelligence (AI), eSports, Gambling, Machine Learning","Prague, Hlavni mesto Praha, Czech Republic",Esports odds feed provider with a focus on engagement.,"26,135","European Union (EU), Europe, Middle East, and Africa (EMEA)",16200,$1M to $10M,2018-11-28,day,,,,,For Profit,https://oddin.gg,https://x.com/oddin_gg,,https://www.linkedin.com/company/oddingg,"Oddin is a B2B esports odds feed and risk management provider. It delivers the most engaging esports betting experience with industry-leading uptime and number of live markets.  The solution boosts engagement, drives volume, increases margin, and thus accelerates profitability. This is only achievable by a combination of state-of-the-art technologies, advanced data science and machine learning algorithms, experienced traders, and official data.  The team has more than 50 years of combined experience in betting and esports, successfully doing business with the most complex platforms globally, including Betfair Exchange in the past.","Artificial Intelligence (AI), Data and Analytics, Gaming, Science and Engineering, Software, Sports",2,51-100,"Marek Suchar, Vlastimil Venclik",3,Early Stage Venture,2022-08-16,4500000,USD,4500000,Series A,4500000,USD,4500000,Series A,9164703,USD,9164703,9164703,USD,9164703,"Presto Ventures, Velo Partners, Genting Ventures, Jeff Sagansky, Alex Igelman",3,5,,,,,,,,,,,,,,Private,,,,,,,,,,,
Zuri,https://www.crunchbase.com/organization/zuri-c2c7,Active,,"Aerospace, Electronics, Manufacturing","Prague, Hlavni mesto Praha, Czech Republic",\BudgetBakers is a manufacturing firm that offers that builds hybrid-electric VTOL for inter-city travel.,"27,285","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2017-01-01,year,,,,,For Profit,https://zuri.com/,https://twitter.com/zurivtol,https://www.facebook.com/zuriplane,https://www.linkedin.com/company/zuri-com,Zuri is a company that builds a hybrid-electric VTOL for inter-city travel.,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering",1,11-50,Michal Illich,5,Seed,2024-12-17,3000000,EUR,3148416,Seed,3000000,EUR,3148416,Seed,5400000,EUR,5933246,5400000,EUR,5933246,"Kiwi.com, Pale Fire Capital, Jaroslav Beck, Matej Turek, Rasty Turek",3,11,,,,,,,,,,,,,,Private,,,,,,,,,,,
