Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Bolt,https://www.crunchbase.com/organization/mtakso,Active,,"Car Sharing, Food Delivery, Mobile Apps, Ride Sharing, Transportation","Tallinn, Harjumaa, Estonia","Bolt is a mobility app that provides rides, food delivery, scooters, and car-sharing services.",82,"European Union (EU), Europe, Middle East, and Africa (EMEA)",10134,$1B to $10B,2013-08-01,day,,,,,For Profit,https://bolt.eu,https://x.com/Boltapp,https://www.facebook.com/Bolt,https://www.linkedin.com/company/bolt-eu,"Bolt is the first European app with a mission to make cities for people, not cars. Bolt has 100 million customers in 45 countries across Europe and Africa. The company challenges personal car ownership, offering better alternatives for every use case, including ride-hailing, shared cars and scooters, and food and grocery delivery. Bolt was founded in 2013 and is headquartered in Tallinn, Estonia.","Apps, Food and Beverage, Mobile, Software, Transportation",3,1001-5000,"Markus Villig, Martin Villig, Oliver Leisalu",19,Late Stage Venture,2024-05-03,220000000,EUR,236903031,Debt Financing,,,,Series F,1853618731,USD,1853618731,2280742733,USD,2280742733,"European Investment Bank, Sequoia Capital, Citi, International Finance Corporation, Deutsche Bank",11,56,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,3
Veriff,https://www.crunchbase.com/organization/veriff,Active,,"Artificial Intelligence (AI), Cyber Security, Fraud Detection, Identity Management, Information Technology","Tallinn, Harjumaa, Estonia",Veriff is an identity verification company that protects businesses and customers from online identity fraud.,454,"European Union (EU), Europe, Middle East, and Africa (EMEA)",10414,$100M to $500M,2015-10-20,day,,,,,For Profit,https://veriff.com,https://twitter.com/Veriff,https://www.facebook.com/veriff,https://www.linkedin.com/company/veriff,"Veriff is an online identity verification company that protects businesses and their customers from online identity fraud. It is a highly automated identity verification platform connecting companies with honest customers. Veriff makes it easy to connect with people to trust. With the combined forces of machine learning and eagle-eyed specialists, Veriff is always two steps ahead of digital fraud. AI speeds up sessions with immediate feedback, while manual checks by their verification gurus nip risks in the bud. Veriff was founded in 2015 and is headquartered in Tallinn, Estonia.","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Payments, Privacy and Security, Science and Engineering, Software",2,251-500,"Janer Gorohhov, Kaarel Kotkas",7,Late Stage Venture,2022-01-26,100000000,USD,100000000,Series C,100000000,USD,100000000,Series C,176820000,USD,176820000,192320000,USD,192320000,"Y Combinator, Accel, IVP, Tiger Global Management, SV Angel",7,18,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,4
UP Catalyst,https://www.crunchbase.com/organization/up-catalyst,Active,,"Industrial Engineering, Manufacturing, Nanotechnology","Tallinn, Harjumaa, Estonia",UP Catalyst produces sustainable carbon nanomaterials and graphite for the green energy storage industry.,"1,677","European Union (EU), Europe, Middle East, and Africa (EMEA)",12618,$1M to $10M,2019-01-01,year,,,,,For Profit,https://upcatalyst.com/,https://x.com/upcatalyst1,https://www.facebook.com/upcatalyst1/,https://www.linkedin.com/company/upcatalyst/,UP Catalyst produces sustainable carbon nanomaterials and graphite for the green energy storage industry.,"Manufacturing, Science and Engineering",1,11-50,Gary Urb,7,Seed,2025-04-08,18000000,EUR,19732515,Debt Financing,2360000,EUR,2632603,Seed,6860000,EUR,7510118,26465000,EUR,28994488,"European Investment Bank, Extantia Capital, Sunly, Prototron, SmartCap",5,11,,,,,,,,,,,,,,Private,,,,,,,,,,,
Esgrid,https://www.crunchbase.com/organization/esgrid,Active,,"Financial Services, Software, Sustainability","Tallinn, Harjumaa, Estonia",Esgrid provides value-chain sustainability management solutions to medium-sized businesses and financial institutions.,"2,913","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2023-01-01,year,,,,,For Profit,https://esgrid.com,,,https://www.linkedin.com/company/esgrid,Esgrid provides value-chain sustainability management solutions to medium-sized businesses and financial institutions.,"Financial Services, Software, Sustainability",4,1-10,"Jevgeni Bogatyrjov, Katrin Isotamm, Oksana Tolmatshova, Ott Ilves",2,Seed,2025-04-16,900000,EUR,1026032,Pre-Seed,900000,EUR,1026032,Pre-Seed,1400000,EUR,1569211,1400000,EUR,1569211,"Startup Wise Guys, 2C Ventures, Lemonade Stand, EstBAN, Kair Käsper",2,11,,,,,,,,,,,,,,Private,,,,,,,,,,,
BlackWall,https://www.crunchbase.com/organization/botguard,Active,,"Artificial Intelligence (AI), Cyber Security, Network Security, Software","Tallinn, Harjumaa, Estonia",Blackwall is a cybersecurity company offering bot mitigation and web security solutions for hosting and managed services.,"3,529","European Union (EU), Europe, Middle East, and Africa (EMEA)",10141,$1M to $10M,2019-01-01,year,,,,,For Profit,https://www.blackwall.com,,,https://www.linkedin.com/company/blackwall-solutions,"Blackwall is an AI-enabled security and web infrastructure company focused on protecting web ecosystems from automated threats. Specializing in bot mitigation and web security, Blackwall provides solutions for hosting service providers (HSPs), managed service providers (MSPs), and eCommerce platforms. By securing these providers, Blackwall safeguards thousands to hundreds of thousands of websites, indirectly protecting the small and medium-sized businesses (SMBs) that rely on these services for their online presence.","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",2,101-250,"Dennis Prochko, Nikita Rozenberg",3,Early Stage Venture,2025-03-13,45000000,EUR,48961047,Series B,45000000,EUR,48961047,Series B,57500000,EUR,62691637,57500000,EUR,62691637,"Dawn Capital, Tera Ventures, MMC Ventures, Expeditions Fund, Stefan Lindeberg",3,8,,,,,,,,,,,,,,Private,,,,,,,,,,,
Haut.AI,https://www.crunchbase.com/organization/haut-ai,Active,,"Artificial Intelligence (AI), Beauty, Cosmetics, E-Commerce, Information Technology, Machine Learning, Retail, SaaS, Software","Tallinn, Harjumaa, Estonia",Haut.AI is an innovative SaaS tool designed for tracking vital skin health parameters.,"7,431","European Union (EU), Europe, Middle East, and Africa (EMEA)",10117,$1M to $10M,2018-05-01,month,,,,,For Profit,https://haut.ai,https://twitter.com/hautskintech,https://www.facebook.com/Haut.Artificial.Intelligence,https://www.linkedin.com/company/hautaiskincare,"Beauty tech trailblazer Haut A.I. has introduced Skin Atlas, a new technology with cutting-edge data privacy, skin-analysis, and product-recommendation capabilities. Offering image anonymization and powerful modules, customers, brands, and retailers can reap the benefits of a hyper-personalized skin care experience.","Artificial Intelligence (AI), Commerce and Shopping, Consumer Goods, Data and Analytics, Information Technology, Science and Engineering, Software",2,11-50,"Anastasia Georgievskaya, Konstantin Kiselev",1,Seed,2023-11-15,2000000,EUR,2170907,Seed,2000000,EUR,2170907,Seed,2000000,EUR,2170907,2000000,EUR,2170907,"LongeVC, Grupo Boticário Ventures",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
Frankenburg Technologies,https://www.crunchbase.com/organization/frankenburg-technologies,Active,,Manufacturing,"Tallinn, Harjumaa, Estonia","Frankenburg Technologies aims to develop missile systems that are ten times more affordable, a hundred times faster to produce.","11,584","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2024-01-01,year,,,,,For Profit,https://frankenburg.tech/,https://x.com/FrankenburgTech,,https://www.linkedin.com/company/frankenburg-tech/?originalSubdomain=ee,"Frankenburg Technologies aims to develop missile systems that are ten times more affordable, a hundred times faster to produce, and in quantities far exceeding current industry capabilities.",Manufacturing,,11-50,,2,Seed,2025-03-12,4000000,EUR,4364616,Seed,4000000,EUR,4364616,Seed,5500000,EUR,5995191,5500000,EUR,5995191,"Shellona, Blossom Capital",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
Montonio,https://www.crunchbase.com/organization/montonio,Active,,"E-Commerce, Finance, FinTech, Payments","Tallinn, Harjumaa, Estonia",Powering affordable payment acceptance and delightful checkout & post-checkout flows for European online merchants.,"12,659","European Union (EU), Europe, Middle East, and Africa (EMEA)",10111,$1M to $10M,2018-10-01,month,,,,,For Profit,https://www.montonio.com,,https://www.facebook.com/montoniofinance,https://www.linkedin.com/company/montonio-finance,,"Commerce and Shopping, Financial Services, Payments",6,51-100,"Henrik Rank, Karel Nappus, Karl Kristjan Kalluste, Kristofer Turmen, Markus Lember, Rasmus Õisma",6,Early Stage Venture,2022-04-12,11000000,EUR,11908731,Series A,11000000,EUR,11908731,Series A,14450000,EUR,15953565,14450000,EUR,15953565,"Index Ventures, Startup Wise Guys, Tera Ventures, Practica Capital, Superangel",3,17,,,,,,,,,,,,,,Private,,,,,,,,,,,
Modash.io,https://www.crunchbase.com/organization/modash,Active,,"Advertising, Internet, Software","Tallinn, Harjumaa, Estonia","Modash allows marketers to build, launch, manage, and measure audience targeted influencer marketing campaigns.","14,381","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2018-06-24,day,,,,,For Profit,https://www.modash.io,,https://www.facebook.com/Modash.io/,https://www.linkedin.com/company/modash/,"Modash, An influencer marketing platform is providing a end-to-end solution for influencer marketing. We are shifting the influencer market from experimental budget to the 100B dollar performance ad market. To do this, we offer unique tools like audience targeted influencer search and are the only platform to provide conversion rate attribution for influencer marketing.  We believe in the value creators bring by building their community and telling stories that matter. That's why we are on a mission to help every creator get paid.","Advertising, Internet Services, Sales and Marketing, Software",2,11-50,"Avery Schrader, Hendry Sadrak",5,Early Stage Venture,2024-10-30,12000000,USD,12000000,Series A,12000000,USD,12000000,Series A,14000000,USD,14000000,14287220,USD,14287220,"Change Ventures, Icebreaker.vc, henQ, LIFT99, Kristjan Vilosius",3,7,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,1
Mifundo,https://www.crunchbase.com/organization/mifundo,Active,,Financial Services,"Tallinn, Harjumaa, Estonia",Data-technology to unify and passport the credit data in Europe.,"16,034","European Union (EU), Europe, Middle East, and Africa (EMEA)",10151,,2018-10-16,day,,,,,For Profit,https://mifundo.com/,,,https://www.linkedin.com/company/mifundo-com,"Mifundo is a data-technology to unify and passport the credit data in Europe. For Banks: Cross-border credit data from different countries over one single API, standardised credit risk assessment, pan-EU credit score. For Consumers: Verified & Passportable Financial Identity to be trusted across country borders.",Financial Services,1,11-50,Kaido Saar,3,Seed,2024-07-15,2500000,EUR,2724558,Grant,1200000,EUR,1307788,Seed,2400000,EUR,2551127,4900000,EUR,5275685,"Tera Ventures, EIC Accelerator, Sergei Anikin, Opus11 VC, EAS",3,8,,,,,,,,,,,,,,Private,,,,,,,,,,,
Cino,https://www.crunchbase.com/organization/cino-d4dc,Active,,"FinTech, Mobile Payments, Software","Tallin, Harjumaa, Estonia","Cino is a mobile app that enables group payments with seamless, real-time bill splitting.","16,048","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2022-04-27,day,,,,,For Profit,https://www.getcino.com,,,https://linkedin.com/company/getcino,"Cino is a mobile app that enables group payments with seamless, real-time bill splitting.","Financial Services, Mobile, Payments, Software",3,11-50,"Edward Poot, Elena Churilova, Lina Saleh",4,Seed,2025-03-04,3500000,EUR,3667091,Seed,3500000,EUR,3667091,Seed,6174391,USD,6174391,6724391,USD,6724391,"Atomico, Balderton Capital, Tera Ventures, Connect Ventures, APX",2,10,,,,,,,,,,,,,,Private,,,,,,,,,,,
Binalyze,https://www.crunchbase.com/organization/binalyze,Active,,"Cyber Security, Information Technology, Law Enforcement, Software","Tallinn, Harjumaa, Estonia",Automated Investigation and Response Platform Powered by Digital Forensics,"16,968","European Union (EU), Europe, Middle East, and Africa (EMEA)",10117,$10M to $50M,2018-03-01,day,,,,,For Profit,https://binalyze.com,https://twitter.com/binalyze,,https://www.linkedin.com/company/binalyze/,Automated Investigation and Response Platform Powered by Digital Forensics,"Government and Military, Information Technology, Privacy and Security, Software",1,51-100,Emre Tinaztepe,4,Early Stage Venture,2023-09-12,19000000,USD,19000000,Series A,19000000,USD,19000000,Series A,30813796,USD,30813796,30813796,USD,30813796,"Deutsche Bank, Cisco Investments, Bek Ventures, Molten Ventures, OpenOcean",3,7,,,,,,,,,,,,,,Private,,,,,,,,,,,
