Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Prosperty,https://www.crunchbase.com/organization/prosperty,Active,,"Commercial Real Estate, PropTech, Real Estate","Athens, Attiki, Greece",The Most Advanced End-to-End SaaS Platform for Institutional Real Estate Portfolio Management & Commercialization,"8,165","European Union (EU), Europe, Middle East, and Africa (EMEA)",15234,,2020-01-02,day,,,,,For Profit,https://prospertysolutions.com,https://twitter.com/theprosperty,https://www.facebook.com/theprosperty/,https://www.linkedin.com/company/prosperty/,"Prosperty is revolutionizing the global real estate industry with cutting-edge digital solutions. Our flagship product, Prosperty Operating System (ProspertyOS), is the most advanced end-to-end SaaS platform, delivering an Enterprise-grade, White-Label solution that streamlines the management of diverse real estate assets and portfolios, regardless of type or location. In addition, Prosperty offers a comprehensive range of tech-enabled real estate asset management and commercialization services tailored for institutional investors. Prosperty also operates leading marketplaces for real estate brokerage, mortgage intermediation, and auction promotion. By leveraging actionable data analytics and next-gen technology, we empower top-tier international investors and individuals to increase transparency, efficiency, and connectivity across property markets worldwide—driving innovation, scalability, and sustainable growth.",Real Estate,3,101-250,"Antonis Despotakis, Antonis Markopoulos, Nikos Patsiogiannis",5,Early Stage Venture,2025-04-14,5500000,EUR,6250902,Series A,5500000,EUR,6250902,Series A,13100000,EUR,14891030,13100000,EUR,14891030,"Eurobank, Metavallon VC, Velocity Partners",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,
FlexCar,https://www.crunchbase.com/organization/flexcar-d43d,Active,,"Automotive, Finance, Leasing","Athens, Attiki, Greece",FlexCar  is a car-as-a-service company that offers ready-made cars in excellent condition from Greek dealerships.,"24,603","European Union (EU), Europe, Middle East, and Africa (EMEA)",11525,$1M to $10M,2018-06-01,month,,,,,For Profit,https://www.driveflexcar.com,,https://www.facebook.com/FlexCar-465385547317112/,https://www.linkedin.com/company/driveflexcar,"FlexCar  is a car-as-a-service company that offers ready-made cars in excellent condition from Greek dealerships. The company was founded in 2018 and based in Athens, Attiki, Greece.","Financial Services, Transportation",2,101-250,"George Desyllas, Konstantinos Davaris",7,,2022-05-19,210000000,EUR,222170030,Venture - Series Unknown,210000000,EUR,222170030,Venture - Series Unknown,296600000,EUR,325453919,296600000,EUR,325453919,"VentureFriends, Fasanara Capital, Arena Investors, Frontline Ventures, Seaya",3,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
Harbor Lab,https://www.crunchbase.com/organization/harbor-lab,Active,,"Information Technology, Software","Athens, Attiki, Greece","Harbor Lab provides software for ship owners, management companies, and charterers’ internal disbursements departments.","26,250","European Union (EU), Europe, Middle East, and Africa (EMEA)",15232,$1M to $10M,2020-01-01,year,,,,,For Profit,https://www.harborlab.com/,,,https://www.linkedin.com/company/harbor-lab-/about/,"Harbor Lab provides software for ship owners, management companies, and charterers’ internal disbursements departments.","Information Technology, Software",,51-100,,2,Early Stage Venture,2024-05-15,14700000,EUR,16005871,Series A,14700000,EUR,16005871,Series A,20800000,EUR,22418223,20800000,EUR,22418223,"Speedinvest, Endeavor Catalyst, TMV, VentureFriends, Motion Ventures",3,13,,,,,,,,,,,,,,Private,,,,,,,,,,,
Augmenta,https://www.crunchbase.com/organization/augmenta-2274,Closed,,"Agriculture, AgTech, Artificial Intelligence (AI), Computer Vision, Embedded Systems, Farming, Hardware, Image Recognition, Machine Learning","Athens, Attiki, Greece",Augmenta is a software company that develops agricultural applications and provides technology solutions for farming environments.,"28,801","European Union (EU), Europe, Middle East, and Africa (EMEA)",15124,$1M to $10M,2016-11-09,day,2023-03-13,day,,none,For Profit,https://www.augmenta.ag,https://twitter.com/AugmentaAg?lang=en,https://www.facebook.com/augmentaagr,https://www.linkedin.com/company/augmentaagr,"Augmenta started its operations at the start of 2017, in Athens, Greece, by George Varvarelis and Dimitris Evangelopoulos, both farmers and embedded systems engineers and offers an Artificial Intelligence based solution comprised of a hardware device and a web platform, to any farmer, anywhere in the world that wants to have the best possible efficiency for every inch of his land and ultimately increase his seasonal net income. Augmenta’s “Field Analyzer”, is a plug and play device that can be attached to any tractor and can determine the amount of fertilizers, fungicides and pesticides that every inch of the farm needs to reach to its full potential, all in real-time. Furthermore, Field Analyzer is capable of controlling agricultural machinery (e.g. fertilizer spreaders) also in real-time, applying the optimal amount of chemicals into every inch of the farm completely automatically and without the farmer lifting a finger. Finally, the farmer can use Augmenta’s field-viewer, the company’s easy to use web platform, to observe the progression of his field through visual data analytics which help him keep track of the results of Augmenta’s real time operation but also assist him on making data-driven, customized decisions for the future, in a farm level scale and not in a generic geographical (county or even state/country) level scale which is the norm today. Augmenta has completed successfully 2 years of pilots, in 24 fields having staggering results and is currently conducting data-based pilots with food companies like Barilla and partnered with NVIDIA for the development of its cutting edge deep learning device.","Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",2,51-100,"Dimitri Evangelopoulos, George Varvarelis",4,M&A,2021-03-23,8000000,USD,8000000,Series A,8000000,USD,8000000,Series A,11120788,USD,11120788,11170788,USD,11170788,"Pymwymic, HCVC, CNH Industrial, Marathon Venture Capital, MassChallenge",3,5,,Was Acquired,Augmenta acquired by CNH Industrial,https://www.crunchbase.com/acquisition/cnh-industrial-n-v-acquires-augmenta-2274--10381f70,CNH Industrial,https://www.crunchbase.com/organization/cnh-industrial-n-v,2023-03-13,day,,,,Acquisition,,Private,,,,,,,,,,,
Welcome Pickups,https://www.crunchbase.com/organization/welcome-pickups,Active,,"Information Technology, Transportation, Travel","Athens, Attiki, Greece","Welcome is redefining the in-destination travel experience by making it easy, friendly, and personalized through a single touch point.","29,100","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$10M to $50M,2015-01-01,day,,,,,For Profit,https://www.welcomepickups.com,https://twitter.com/welcomepickups,https://www.facebook.com/welcomepickups,https://www.linkedin.com/company/welcomepickups,"Welcome Pickups is a developer of an online platform for in-destination travel communities designed to give users a simple, amiable, and tailored travel experience. The company's platform links and communicates with residents of a specific location and organizes necessities, pre-ordered tickets, advice, and custom experiences guided by locals, allowing passengers to travel safely and more effectively. Welcome Pickups was established in January 1, 2015 by Alexandros Trimis and Savvas Georgiou in Athens, Attiki.","Information Technology, Transportation, Travel and Tourism",2,101-250,"Alexandros Trimis, Savvas Georgiou",6,,2022-12-11,5300000,EUR,5576253,Venture - Series Unknown,5300000,EUR,5576253,Venture - Series Unknown,12410334,USD,12410334,12410334,USD,12410334,"VentureFriends, Flashpoint, Market One Capital, Ahu Serter, Galata Business Angels",3,10,,,,,,,,,,,,,,Private,,,,,,,,,,,
Spotawheel,https://www.crunchbase.com/organization/spotawheel,Active,,"Automotive, Predictive Analytics","Athens, Attiki, Greece",Spotawheel is a tech-driven used cars dealership platform that takes customer trust to a whole new level,"30,604","European Union (EU), Europe, Middle East, and Africa (EMEA)",142 33,$10M to $50M,2016-01-01,year,,,,,For Profit,https://www.spotawheel.com,https://twitter.com/spotawheel,https://www.facebook.com/spotawheel,https://www.linkedin.com/company/spotawheel,"Spotawheel is a tech-driven used cars dealership platform that takes customer trust to a whole new level Spotawheel was founded in 2015 in Athens, Greece, currently operating in Greece and Poland","Artificial Intelligence (AI), Data and Analytics, Software, Transportation",3,101-250,"Charis Arvanitis, Kiriakos Agadakos, Nikolaos Tsokanos",9,,2023-08-10,,,,Venture - Series Unknown,,,,Venture - Series Unknown,119360000,EUR,127892760,119360000,EUR,127892760,"Endeavor Catalyst, VentureFriends, FJ Labs, Bossa Invest, Rockaway Ventures",2,12,,,,,,,,,,,,,,Private,,,,,,,,,,,
PlugSecure,https://www.crunchbase.com/organization/plugsecure,Active,,"Charging Infrastructure, Cyber Security, Electric Vehicle, Network Security","Athens, Attiki, Greece",Cybersecurity & reliability intelligent solutions for electric vehicle supply equipment.,"31,446","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2024-01-01,year,,,,,For Profit,https://www.plugsecure.com/,,,https://www.linkedin.com/company/plugsecure/,,"Information Technology, Privacy and Security, Transportation",3,1-10,"Eleftherios Karabatsakis, George Anagnostopoulos, Peter Benos",1,Seed,2025-04-02,720000,EUR,777650,Seed,720000,EUR,777650,Seed,720000,EUR,777650,720000,EUR,777650,"Genesis Ventures, Apeiron Venture Capital, Alexander Caravitis",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,
Wikifarmer,https://www.crunchbase.com/organization/wikifarmer,Active,,"E-Commerce, Internet, Marketplace","Athens, Attiki, Greece",Wikifarmer is a platform providing farmers/producers with valuable knowledge and access to the markets.,"32,576","European Union (EU), Europe, Middle East, and Africa (EMEA)",11525,$1M to $10M,2018-01-01,day,,,,,For Profit,https://wikifarmer.com,https://twitter.com/Wikifarmer_com,https://www.facebook.com/Wikifarmer.official/,https://www.linkedin.com/company/11378772/admin/,"Wikifarmer is a free online knowledge library where professional or amateur farmers can find best practices for growing their fields more effectively and an online marketplace where farmers can sell their products to buyers directly.  Wikifarmer vision is to create a fair, transparent, and profitable environment for the farming world. Farmers are dedicating their lives to cultivating their fields, but get the lowest value of all the sales cycle, so they believe they need to receive a more fair share. Buyers have the right to have more options and buy at better prices, so they want to be the ones to solve this inequality on both sides.","Commerce and Shopping, Internet Services",3,11-50,"Harry Parianos, Ilias Sousis, Petros Sagkos",4,Seed,2024-07-29,2000000,EUR,2163809,Debt Financing,5000000,EUR,5357765,Seed,7185782,USD,7185782,9349591,USD,9349591,"Inveready, Point Nine, Metavallon VC, Sophia Bendz, Louis Pfitzner",2,14,,,,,,,,,,,,,,Private,,,,,,,,,,,
instacar,https://www.crunchbase.com/organization/instacar,Active,,"Automotive, E-Commerce, Rental, Subscription Service","Athens, Attiki, Greece",instacar is the 1 st fully digitized car subscription service in Greece.,"33,291","European Union (EU), Europe, Middle East, and Africa (EMEA)",15125,$1M to $10M,2019-01-01,year,,,,,For Profit,https://www.instacar.gr/,,https://www.facebook.com/instacargr,https://www.linkedin.com/company/instakar,instacar is the 1 st fully digitized car subscription service in Greece.,"Commerce and Shopping, Other, Transportation",3,51-100,"Antonis Samothrakis, Antonis Zois, Vasilis Damianos",6,Early Stage Venture,2023-02-20,55000000,EUR,58754030,Series A,55000000,EUR,58754030,Series A,59122565,USD,59122565,60976268,USD,60976268,"Elikonos Capital Partners, Velocity Partners, Olympia Group, Autohellas",3,4,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
WeatherXM,https://www.crunchbase.com/organization/weatherxm-b41a,Active,,"Information Services, Information Technology, Web3","Athens, Attiki, Greece","WeatherXM is a community powered weather network, that rewards weather station owners and offers accurate weather services.","33,325","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2021-01-01,year,,,,,For Profit,https://www.weatherxm.com,https://twitter.com/WeatherXM,https://www.facebook.com/weatherxm,https://www.linkedin.com/company/weatherxm/,WeatherXM is a community-powered weather network that rewards weather station owners while also providing accurate weather data to Web3 businesses. They provide decentralized and hyper local weather data collection for the emerging Web3 data economy.,"Blockchain and Cryptocurrency, Information Technology, Internet Services",,11-50,,3,Early Stage Venture,2024-05-22,7700000,USD,7700000,Series A,7700000,USD,7700000,Series A,12700000,USD,12700000,12700000,USD,12700000,"Alumni Ventures, SOSV, Borderless Capital, Faction, Arca",2,15,,,,,,,,,,,,,,Private,,,,,,,,,,,
