Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
SEON,https://www.crunchbase.com/organization/seon-security,Active,,"Fraud Detection, Identity Management, Machine Learning, Network Security","Budapest, Budapest, Hungary",SEON is an online fraud prevention platform that detects and stops fraud in real-time through transactional data analysis.,"1,982","European Union (EU), Europe, Middle East, and Africa (EMEA)",1072,$10M to $50M,2017-01-01,year,,,,,For Profit,https://seon.io,https://twitter.com/seon_tech,,https://www.linkedin.com/company/seon-tech,"SEON is a fraud prevention startup developing a fraud detection software to detect fraud in real-time through transactional data analysis. Its software uses machine learning and human intelligence algorithms to collect information about transactions and customers associated, integrates with a device fingerprinting module, and combines email verification and IP address analysis features to detect and report transactional and behavioral fraud patterns. It also allows businesses to detect and eliminate fraudulent activities and maintain data security. Founded in 2017, the company is based in Budapest, Hungary with commercial headquarters in London, UK.","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Payments, Privacy and Security, Software",2,251-500,"Bence Jendruszak, Tamas Kadar",6,Early Stage Venture,2022-04-19,94000000,USD,94000000,Series B,94000000,USD,94000000,Series B,107823964,USD,107823964,107823964,USD,107823964,"Creandum, IVP, VentureOut, PortfoLion Capital Partners, Discovery Ventures",3,14,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,2
Riptides,https://www.crunchbase.com/organization/riptides,Active,,"Computer, Network Security","Budapest, Budapest, Hungary",Riptides is the non-human identity fabric for your workloads and AI agents.,"3,757","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2025-01-01,year,,,,,For Profit,https://riptides.io/,https://x.com/i/flow/login?redirect_after_login=%2Friptidesio,,https://www.linkedin.com/company/riptidesio/about/,"Riptides is the non-human identity fabric for your workloads and AI agents, and they trust Every Connection. Even the Autonomous Ones.","Consumer Electronics, Hardware, Information Technology, Privacy and Security",2,1-10,"Janos Matyas, Zsolt Varga",1,Seed,2025-04-23,3300000,USD,3300000,Pre-Seed,3300000,USD,3300000,Pre-Seed,3300000,USD,3300000,3300000,USD,3300000,"KAYA, PortfoLion Capital Partners",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
Qneiform,https://www.crunchbase.com/organization/qneiform,Active,,"Analytics, Software","Budapest, Budapest, Hungary",Qneiform is a program that allows users to locate their perfect next recruit.,"10,976","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2022-01-01,year,,,,,For Profit,https://qneiform.com,,,https://www.linkedin.com/company/qneiform,Qneiform is a program that allows users to locate their perfect next recruit by establishing a world-class product platform and utilizing the latest in AI technology to deliver all of the tools to their users,"Data and Analytics, Software",1,11-50,Thomas Percy,2,Seed,2025-03-11,3000000,EUR,3278291,Seed,3000000,EUR,3278291,Seed,3750000,EUR,4086615,3750000,EUR,4086615,"DFF Ventures, Day One Capital, PROfounders Capital, Slimmer AI, Keen Venture Partners",3,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
Turbine,https://www.crunchbase.com/organization/turbine-2,Active,,"Artificial Intelligence (AI), Biopharma, Biotechnology","Budapest, Budapest, Hungary",Turbine's platform understands the inner mechanisms of cancer enabling the discovery of novel targets & precision medicinal therapies.,"14,143","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2015-01-01,year,,,,,For Profit,http://turbine.ai,https://x.com/Turbine_AI,https://www.facebook.com/TurbineAI,https://www.linkedin.com/company/turbine-inc,"Turbine builds a platform to understand the inner mechanisms of cancer, enabling the discovery of novel protein targets, precision biomarkers, and better translation to patients. Turbine uses its proprietary Simulated Cell technology in combination with Artificial Intelligence to build a faster and deeper biological understanding of therapeutic targets or indications, untangling the complexity of cancer.","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",4,11-50,"Dániel Veres, Fabrice Boulle, Kristóf Zsolt Szalay, Szabolcs Nagy",6,,2024-05-16,,,,Venture - Series Unknown,,,,Venture - Series Unknown,34200000,EUR,36942408,34200000,EUR,36942408,"Accel, MassMutual Ventures, Atlantic Labs, Day One Capital, XTX Ventures",7,15,,,,,,,,,,,,,,Private,,,,,,,,,,,
Axoflow,https://www.crunchbase.com/organization/axoflow,Active,,"Cyber Security, Information Technology, Software","Budapest, Budapest, Hungary",Axoflow is a cybersecurity company specializing in an automatic security data curation pipeline to detect and respond to threats.,"15,668","European Union (EU), Europe, Middle East, and Africa (EMEA)",1037,$1M to $10M,2023-01-01,day,,,,,For Profit,https://axoflow.com,https://twitter.com/AxoFlowIO,,https://www.linkedin.com/company/axoflow/,"Axoflow is a company that operates in the cyber-security and information technology industries. It offers a platform that transforms on-premises and cloud logs, metrics, and traces into a cloud-native observability infrastructure. This infrastructure is designed to enhance compliance and security. Axoflow's software development includes AxoSyslog 4.3, which enables the receipt and sending of any OpenTelemetry logs, traces, and metrics using OTLP/gRPC. The company also provides syslog-ng container images for download.","Information Technology, Privacy and Security, Software",4,11-50,"Balázs Scheidler, Ferenc Hernadi, Neil Boyd, Sandor Guba",3,Seed,2025-01-21,6700000,EUR,6972659,Seed,6700000,EUR,6972659,Seed,10172659,USD,10172659,10172659,USD,10172659,"Credo Ventures, 500 Emerging Europe, Notion Capital, e2vc, EBRD Venture Capital",5,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
PastPay,https://www.crunchbase.com/organization/pastpay,Active,,"B2B, Financial Services, FinTech, Payments","Budapest, Budapest, Hungary",PastPay is a FinTech startup that provides B2B payment solutions.,"19,984","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2019-03-01,month,,,,,For Profit,https://pastpay.com/,,,https://www.linkedin.com/company/pastpay/,"PastPay is a FinTech startup that provides B2B payment solutions. The company's Buy Now, Pay Later (BNPL) services enable flexible payment terms for business transactions, enhancing liquidity for small and medium enterprises across the European Union.","Financial Services, Other, Payments",2,1-10,"Benjamin Berényi, Bálint Réti",7,Early Stage Venture,2024-09-10,12000000,EUR,13224394,Series A,12000000,EUR,13224394,Series A,13280000,EUR,14705104,17080000,EUR,18786783,"Hiventures, Mark Ransford, 365.fintech, Jared Schrieber, Advance Global Capital",3,12,,,,,,,,,,,,,,Private,,,,,,,,,,,
scoutlabs,https://www.crunchbase.com/organization/scoutlabs-ag,Active,,"Agriculture, AgTech, Artificial Intelligence (AI), Data Management, Farming, Hardware, Information Technology, Internet of Things, Software","Budapest, Budapest, Hungary",Helping millions of farmers worldwide in predicting insect pest populations before they destroy their crop yield,"25,812","European Union (EU), Europe, Middle East, and Africa (EMEA)",4032,Less than $1M,2022-01-01,year,,,,,For Profit,https://scoutlabs.ag,https://x.com/scoutlabsag,,https://www.linkedin.com/company/scoutlabs-ag/,"We're building the world's densest digital trap network to accurately gauge insect pest pressure. This helps millions of farmers in precisely combating crop-eating insects, accelerating a transition to more sustainable methods. Good for the farmer, the environment and for our food security","Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software",2,11-50,"Donát Posta, Jimmy Fong",5,Seed,2024-06-26,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,2000000,USD,2000000,2080000,USD,2080000,"SVG Ventures, Interactive Venture Partners, ESA, DEPO Ventures, Impact Ventures Hungary",4,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
Deligo Vision Technologies,https://www.crunchbase.com/organization/deligo-vision,Active,,"Artificial Intelligence (AI), Computer Vision, Hospitality","Budapest, Budapest, Hungary",Frictionless AI self-checkout for food service & convenience stores,"36,053","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2020-01-01,year,,,,,For Profit,https://www.deligovision.com/,,,https://www.linkedin.com/company/deligovision/,"Deligo is a leader in AI-powered self-checkout solutions for food service and convenience stores. We help our customers to: - Eliminate queues & drive revenue: Say goodbye to queues and hello to happier customers. The kiosks streamline the checkout process & enhance customer loyalty, driving more transactions and profits. ​- Reduce costs & improve operations: Battle staffing shortages and cut down on operational expenses by automating routine tasks. Redeploy cashier resources to higher-value interactions for greater efficiency. - Minimise shrinkage: The kiosk sees it all: products placed on the Kiosk are correctly recognised to help avoid intentional or unintentional theft. Status lights help associates track checkout activity.","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Travel and Tourism",2,11-50,"Balazs Haidekker, Istvan Haidekker",2,Seed,2024-05-06,3000000,USD,3000000,Seed,3000000,USD,3000000,Seed,4653253,USD,4653253,4653253,USD,4653253,"Frontline Ventures, Interactive Venture Partners, Angel Invest, Oktogon Ventures, Charlie Songhurst",2,14,,,,,,,,,,,,,,Private,,,,,,,,,,,
ROKSH,https://www.crunchbase.com/organization/weshop-kft,Active,,"E-Commerce, Fast-Moving Consumer Goods, Last Mile Transportation, Logistics, Marketplace, Retail, Retail Technology","Budapest, Budapest, Hungary",ROKSH is an AI-powered grocery delivery marketplace using personal shoppers to bring products from top retailers to your door fast.,"37,998","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2018-01-15,day,,,,,For Profit,https://roksh.com,,,https://www.linkedin.com/company/roksh,"ROKSH is a B2C grocery delivery marketplace that transforms everyday shopping into a fast, convenient, and personalized experience. Operating in Hungary and Austria, ROKSH enables users to order from over 200,000 products across top retailers like ALDI, PENNY, and METRO, all delivered the same or next day by personal shoppers. The platform offers a unique hybrid model—combining a decentralized logistics network using partner stores (not warehouses or dark stores) with real-time, human-driven customer service. ROKSH’s personal shoppers not only pick and deliver groceries but also communicate with customers about product substitutions or quality issues, ensuring a high-touch, high-quality experience. Backed by AI, ROKSH offers intelligent shopping list creation, recipe recommendations, and real-time chat support to streamline the online grocery journey. With 360K+ orders delivered and €10M+ in GMV, ROKSH is the market leader in the CEE region and is now scaling to new European markets, aiming to redefine grocery shopping with speed, trust, and personalization.","Commerce and Shopping, Consumer Goods, Hardware, Real Estate, Software, Transportation",1,11-50,Máté Somogyi,9,Seed,2025-03-01,300000,EUR,311349,Seed,300000,EUR,311349,Seed,8579463,USD,8579463,8579463,USD,8579463,"Lead Ventures, Hiventures, STRT Holding Nyrt, Blue planet climate protection risk capital fund",2,4,,,,,,,,,,,,,,Private,,,,,,,,,,,
Recart,https://www.crunchbase.com/organization/ghostmonitor,Active,,E-Commerce,"Budapest, Budapest, Hungary",We believe you should sell more with your ecommerce store,"46,502","European Union (EU), Europe, Middle East, and Africa (EMEA)",1064,Less than $1M,2015-09-01,day,,,,,For Profit,https://recart.com,https://www.twitter.com/ghostmonitor,https://www.facebook.com/ghostmonitor-1433751980263147,https://www.linkedin.com/company/recartapp,Recart helps ecommerce merchants selling more with their store.,Commerce and Shopping,1,11-50,Soma Arnold Toth,2,Seed,2021-06-03,2800000,EUR,3396636,Seed,2800000,EUR,3396636,Seed,4696636,USD,4696636,4696636,USD,4696636,"Day One Capital, Oktogon Ventures, Lead Ventures",2,3,,,,,,,,,,,,,,Private,,,,,,,,,,,
