Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Wayflyer,https://www.crunchbase.com/organization/wayflyer,Active,,"Analytics, E-Commerce, Finance, Marketing","Dublin, Dublin, Ireland",Wayflyer provides funding and marketing analytics to e-commerce businesses.,"1,775","European Union (EU), Europe, Middle East, and Africa (EMEA)",D02 X658,$50M to $100M,2019-01-01,year,,,,,For Profit,https://www.wayflyer.com,https://twitter.com/wayflyerapp,https://www.facebook.com/Wayflyer,https://www.linkedin.com/company/wayflyer,"Wayflyer is a revenue-based financing platform for e-commerce brands. It provides fast and affordable funding to help grow businesses, without any of the complications and free marketing analytics to get out of budget. The company is based in Dublin, Ireland.","Commerce and Shopping, Data and Analytics, Financial Services, Sales and Marketing",2,501-1000,"Aidan Corbett, Jack Pierse",9,Early Stage Venture,2023-09-05,1000000000,USD,1000000000,Debt Financing,150000000,USD,150000000,Series B,236200000,USD,236200000,1889200000,USD,1889200000,"Speedinvest, QED Investors, Endeavor Catalyst, Middlegame Ventures, Bossa Invest",4,21,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Perfuze,https://www.crunchbase.com/organization/perfuze,Active,,"Health Care, Manufacturing, Medical, Medical Device","Newcastle, Galway, Ireland",Perfuze is a medical device company developing catheter-based aspiration technology to treat acute ischemic stroke.,"4,901","European Union (EU), Europe, Middle East, and Africa (EMEA)",H91 H2Y0,,2018-01-01,year,,,,,For Profit,https://www.perfuze.com,,,https://www.linkedin.com/company/perfuze,"Perfuze is a neurovascular medical device company headquartered in Galway, Ireland, focused on developing innovative catheter technology to treat acute ischemic stroke. The company aims to provide superior clinical outcomes with shorter procedural times through its catheter-based aspiration technology. The proprietary platform of the company aims to optimize the efficiency of clot removal, simplify procedures, and enhance clinical results.","Health Care, Manufacturing",2,11-50,"Liam Mullins, Wayne Allen",3,,2025-03-13,22000000,EUR,23936512,Venture - Series Unknown,22000000,EUR,23936512,Venture - Series Unknown,47500000,EUR,53110708,47500000,EUR,53110708,"SV Health Investors, Enterprise Ireland, EQT Life Sciences, Seroba Life Sciences, EarlyBird",5,10,,,,,,,,,,,,,,Private,,,,,,,,,,,
Manna Air Delivery,https://www.crunchbase.com/organization/manna-16b7,Active,,"Drones, E-Commerce, Food Delivery, Logistics","Dublin, Dublin, Ireland","Manna provides drone delivery as a service stack to restaurant chains, dark kitchens, and online food delivery platforms","6,120","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$10M to $50M,2018-01-01,year,,,,,For Profit,https://manna.aero,https://twitter.com/MannaAero,,https://www.linkedin.com/company/mannaaero/,"Manna is a Drone Delivery “As a Service” business. We enable, transform and grow local businesses of all types by powering a 3-minute delivery service across a 30 square mile catchment area for them. Reaching more customers - more quickly and in a more scalable way than road-based delivery. Manna is regulated by the relevant aviation regulatory bodies in Europe and USA.","Commerce and Shopping, Consumer Electronics, Consumer Goods, Food and Beverage, Hardware, Transportation",1,101-250,Bobby Healy,6,,2025-03-26,30000000,USD,30000000,Venture - Series Unknown,30000000,USD,30000000,Venture - Series Unknown,58000000,USD,58000000,58000000,USD,58000000,"Enterprise Ireland, DST Global, Dynamo, Atlantic Bridge, Molten Ventures",3,13,,,,,,,,,,,,,,Private,,,,,,,,,,,
SwiftComply,https://www.crunchbase.com/organization/swiftcomply-ie,Active,,"Compliance, Government, GovTech","Dublin, Dublin, Ireland",SwiftComply helps water authorities protect human health and the environment,"7,219","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2016-06-01,day,,,,,For Profit,http://www.swiftcomply.com,https://www.twitter.com/SwiftComply,https://www.facebook.com/SwiftComply,https://www.linkedin.com/company/swiftcomply/?originalSubdomain=in,SwiftComply helps over 450 water authorities protect human health and the environment by providing an online platform that streamlines their compliance programs,"Government and Military, Information Technology, Professional Services",1,11-50,Michael O'Dwyer,7,,2025-01-16,,,,Venture - Series Unknown,,,,Venture - Series Unknown,2960000,USD,2960000,4797360,USD,4797360,"Techstars, M33 Growth, EASME, Chris Adelsbach, HOWZAT Partners",4,10,3,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Fonoa,https://www.crunchbase.com/organization/fonoa-technologies,Active,,"Developer APIs, Financial Services, FinTech, SaaS","Dublin, Dublin, Ireland",Fonoa is an API-first company that automates tax obligations of internet companies.,"9,144","European Union (EU), Europe, Middle East, and Africa (EMEA)",D02 P593,$10M to $50M,2019-01-01,year,,,,,For Profit,https://www.fonoa.com/,https://twitter.com/fonoa_HQ,,https://www.linkedin.com/company/fonoa,"Fonoa is the tax automation platform that enables businesses to authenticate tax IDs, compute taxes, generate e-invoices, report transactions, and file tax returns all in one solution.","Financial Services, Software",3,101-250,"Davor Tremac, Filip Sturman, Ivan Ivankovic",3,Early Stage Venture,2022-07-21,60000000,USD,60000000,Series B,60000000,USD,60000000,Series B,85000000,USD,85000000,85000000,USD,85000000,"Coatue, Index Ventures, OMERS Ventures, FJ Labs, Bossa Invest",3,16,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Pulsate,https://www.crunchbase.com/organization/pulsate,Active,,"Advertising, Analytics, Software","Dublin, Dublin, Ireland",Pulsate provides a cloud-based end-to-end context marketing platform for mobile that drives brand and interacts with customers.,"9,594","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2013-07-07,day,,,,,For Profit,http://pulsatehq.com,http://twitter.com/pulsatehq,http://www.facebook.com/pulsatehq,http://www.linkedin.com/company/9195913,"Pulsate enables direct communication with customers based on their location, context, interests and behaviours. Pulsate allows you to design and push rich media content directly to customers devices.  Deepen the relationship by establishing a customer dialogue. Allow users to reply to your campaigns, provide feedback and keep complaints outside of social media. Maximize foot traffic by targeting street level or competitor locations. Combine with segmentation for optimal results.  iBeacons:tm: enable you to understand indoor customer location and context with incredible accuracy. Easily manage deployment and configuration of iBeacons:tm: with the Pulsate cloud platform. Gain a deeper understanding of your mobile customers and a comprehensive view of each mobile campaign.","Advertising, Data and Analytics, Sales and Marketing, Software",1,11-50,Patrick Leddy,5,Early Stage Venture,2024-02-19,7750000,USD,7750000,Series A,7750000,USD,7750000,Series A,10700000,USD,10700000,10700000,USD,10700000,"Enterprise Ireland, Curql, Conviction VC, PayPal Ventures, Delta Partners",5,9,,,,,,,,,,,,,,Private,,,,,,,,,,,
Keelvar,https://www.crunchbase.com/organization/keelvar,Active,,"Procurement, Robotics, Software, Supply Chain Management","Cork, Cork, Ireland",Sourcing Optimization and Autonomous Sourcing,"10,220","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2012-01-01,year,,,,,For Profit,https://www.keelvar.com,https://twitter.com/keelvar,,https://www.linkedin.com/company/keelvar,"With a modern user-friendly design, Keelvar’s sourcing optimization and autonomous sourcing offers easy adoption and enhanced productivity, while supporting large scale deployments for the world's largest enterprises. The products are powered by unique artificial intelligence, designed by our category experts to deliver significant savings and operational improvements for leading global enterprises. Not limited by size, scale, or complexity – Keelvar powers some of the most demanding global, sourcing teams including Siemens, Microsoft, Samsung, Coca-Cola, and Novartis.","Hardware, Science and Engineering, Software, Transportation",1,51-100,Alan Holland,3,Early Stage Venture,2022-05-16,23000000,EUR,24009579,Series B,23000000,EUR,24009579,Series B,39750000,EUR,43066154,39750000,EUR,43066154,"Endeavor Catalyst, Enterprise Ireland, Bossa Invest, Elephant, 83North",4,11,,,,,,,,,,,,,,Private,,,,,,,,,,,
PiPiT Global,https://www.crunchbase.com/organization/pipit-payments,Active,,"Finance, Financial Services, FinTech","Galway, Galway, Ireland",PiPiT is a digital cash collection platform.,"10,733","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2014-01-01,year,2025-05-01,day,,,For Profit,http://www.pipit.global,https://twitter.com/PiPiTPayments,https://www.facebook.com/PIPITPayments/,https://www.linkedin.com/company-beta/10045070/,"PiP iT is a Digital Cash Collection platform that enables loading cash onto eWallets, paying in cash for online orders and paying ebills with cash. For the customer they have the convenience of paying in cash with no need for bank account, credit card, no fraud or identity theft. For your business, you now have a secure and easy way for your customers to pay in cash, but you don’t have the problems of cash collection, reconciliation, cash handling or security risks of having cash. If your business sends bills to customers, offers an eWallet, sells online, you should PiP iT.",Financial Services,1,11-50,Ollie Walsh,4,M&A,2021-05-07,300000,EUR,364897,Equity Crowdfunding,300000,EUR,364897,Equity Crowdfunding,1300000,EUR,1497400,1300000,EUR,1497400,"Enterprise Ireland, PayPal, Village Capital, West Loop Ventures, MetLife Foundation",4,7,,Was Acquired,PiPiT Global acquired by Qenta,https://www.crunchbase.com/acquisition/qenta-acquires-pipit-payments--31c13446,Qenta,https://www.crunchbase.com/organization/qenta,2025-05-01,day,,,,Acquisition,,Private,,,,,,,,,,,
Legitify,https://www.crunchbase.com/organization/legitify,Active,,"Internet, Legal Tech, Software","Dublin, Dublin, Ireland","Simplifying cross-border transactions, digitalizing notarization","10,962","European Union (EU), Europe, Middle East, and Africa (EMEA)",D02X576,Less than $1M,2020-10-01,day,,,,,For Profit,https://www.legitify.eu/,https://twitter.com/Legitify_Global,https://www.facebook.com/Legitify,https://www.linkedin.com/company/legitify,"Legitify provides a global solution for secure, efficient online notarization. By enabling companies and individuals to notarize documents from anywhere, we streamline cross-border transactions and reduce costs, delivering a seamless digital experience. Our remote online notarization platform is only the beginning: we are continually expanding our offerings with AI-driven tools that modernize and automate legal processes, setting a new standard for convenience and reliability in notarization and beyond. Legitify was founded October 2020 in Stockholm, Sweden and is headquartered in Dublin, Ireland. LegalTech, FinTech, Marketplace, Software","Internet Services, Professional Services, Software",2,1-10,"Aida Lutaj, Arko Ganguli",4,Seed,2024-03-08,1500000,EUR,1641526,Seed,1500000,EUR,1641526,Seed,1939111,USD,1939111,1939111,USD,1939111,"Antler, Enterprise Ireland, Alchemist Accelerator, Verb Ventures, NDRC",4,7,,,,,,,,,,,,,,Private,,,,,,,,,,,
Getvisibility,https://www.crunchbase.com/organization/getvisibility,Active,,"Artificial Intelligence (AI), Cyber Security, InsurTech, Security, Software","Cork, Cork, Ireland",GetVisibility provides data security and privacy management solutions.,"11,345","European Union (EU), Europe, Middle East, and Africa (EMEA)",T12 XE1E,$10M to $50M,2017-01-01,year,2025-03-10,day,,,For Profit,https://www.getvisibility.com,https://twitter.com/get_visibility,https://www.facebook.com/getvisibilitynow/,https://www.linkedin.com/company/gvsecurity/about/,"Getvisibility operates as an AI Security Company. Getvisibility provides an enterprise security product that helps organisations manage the 80% of their data that is unstructured, i.e. Word, Excel, PowerPoint, Pdf, versus the other 20% being data in databases.","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Privacy and Security, Science and Engineering, Software",2,11-50,"Mark Brosnan, Ronan Murphy",3,M&A,2022-03-11,10000000,EUR,10914004,Series A,10000000,EUR,10914004,Series A,13350000,EUR,14893935,13350000,EUR,14893935,"Enterprise Ireland, Fortino Capital, Sure Valley Ventures, Alpha Intelligence Capital, Smarttech247",4,9,,Was Acquired,Getvisibility acquired by Forcepoint,https://www.crunchbase.com/acquisition/forcepoint-acquires-getvisibility--284e597f,Forcepoint,https://www.crunchbase.com/organization/forcepoint,2025-03-10,day,,,,Acquisition,,Private,,,,,,,,,,,
