Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Skillvue,https://www.crunchbase.com/organization/algo-ai-s-r-l,Active,,"Artificial Intelligence (AI), Human Resources, Information Technology, Software","Milan, Lombardia, Italy",Skillvue develops an AI-based platform that enables companies to adopt a skills-based approach in all HR-related processes.,"1,561","European Union (EU), Europe, Middle East, and Africa (EMEA)",20123,,2021-03-04,day,,,,,For Profit,https://www.skillvue.ai,,,https://www.linkedin.com/company/skillvue,"Skillvue develops an AI-based platform that enables companies to adopt a skills-based approach in all HR-related processes. The platform allows companies to use a consistent approach for skills assessment, whether for hiring new employees or developing existing talent, reportedly saving both time and costs compared to traditional methods.","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",2,11-50,"Nicolò Mazzocchi, Simone Patera",3,Seed,2025-05-05,5500000,EUR,6234478,Seed,5500000,EUR,6234478,Seed,9564619,USD,9564619,9564619,USD,9564619,"K Fund, 360 Capital, Italian Founders Fund, 14Peaks Capital, Ithaca 3",3,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
Satispay,https://www.crunchbase.com/organization/satispay,Active,,"Banking, Financial Services, FinTech, Mobile Payments, Payments","Milan, Lombardia, Italy",Satispay is a fintech company that provides a bank account enabled mobile payment platform.,"3,944","European Union (EU), Europe, Middle East, and Africa (EMEA)",20159,$100M to $500M,2013-01-01,year,,,,,For Profit,http://www.satispay.com,http://twitter.com/satispay,http://www.facebook.com/satispay,http://www.linkedin.com/company/satispay,"Satispay is a thriving European payment network with the goal to change the way people pay in stores and online, and exchange money between friends. Launched in 2015, Satispay is independent from debit and credit cards. Easy and cost-convenient for businesses–who can accept payments from clients with a click on their smartphone, tablet, or pc–Satispay is also a simple and secure app for consumers, simplifying the way they pay, as well as a range of other services.","Financial Services, Lending and Investments, Mobile, Payments, Software",3,501-1000,"Alberto Dalmasso, Dario Brignone, Samuele Pinta",11,,2024-11-11,60000000,EUR,63978913,Venture - Series Unknown,60000000,EUR,63978913,Venture - Series Unknown,532335173,USD,532335173,533155173,USD,533155173,"Coatue, Lightrock, Endeavor Catalyst, Tencent, Bossa Invest",7,26,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,1
AAVantgarde Bio,https://www.crunchbase.com/organization/aavantgarde-bio,Active,,"Biotechnology, Health Care, Therapeutics","Milano, Lombardia, Italy",AAVantgarde Bio is a biotechnology company that develops gene therapies for inherited retinal disorders.,"5,207","European Union (EU), Europe, Middle East, and Africa (EMEA)",20122,,2021-01-01,year,,,,,For Profit,https://www.aavantgarde.com/,,,https://www.linkedin.com/company/aavantgarde-bio,AAVantgarde Bio is developing gene therapies for inherited retinal disorders.,"Biotechnology, Health Care, Science and Engineering",1,11-50,Alberto Auricchio,2,Early Stage Venture,2023-06-06,61000000,EUR,65254600,Series A,61000000,EUR,65254600,Series A,61000000,EUR,65254600,61000000,EUR,65254600,"Longwood Fund, Sofinnova Partners, Atlas Venture, Forbion Capital Partners, Fondazione Telethon",3,5,,,,,,,,,,,,,,Private,,,,,,,,,,,
BizAway,https://www.crunchbase.com/organization/bizaway,Active,,"Business Travel, Software, Travel, Travel Agency","Spilimbergo, Friuli-Venezia Giulia, Italy","BizAway is the ultimate solution to book, manage and control business travel.","5,298","European Union (EU), Europe, Middle East, and Africa (EMEA)",33097,$10M to $50M,2015-01-19,day,,,,,For Profit,https://bizaway.com/,https://twitter.com/bizaway,https://www.facebook.com/BizAway,https://www.linkedin.com/company/bizaway/,"BizAway is an easy and comprehensive solutions for managing all your travels, from the booking to the administrative phase.","Software, Travel and Tourism",3,251-500,"Federico González Tejera, Flavio Del Bianco, Luca Carlucci",7,Private Equity,2024-09-16,35000000,EUR,38952641,Private Equity,35000000,EUR,38952641,Private Equity,51500000,EUR,57165552,61500000,EUR,68404437,"Alma Mundi Ventures, Mayfair Equity Partners, Exor Ventures, Illimity, Azimut Digitech Fund",4,8,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Tundr,https://www.crunchbase.com/organization/tundr,Active,,"Financial Services, FinTech, Mobile Apps","Milan, Lombardia, Italy",Tundr offers smartcard to companies for sustainable mobility.,"6,703","European Union (EU), Europe, Middle East, and Africa (EMEA)",20121,Less than $1M,2021-01-01,year,,,,,For Profit,https://tundr.tech/,,,https://www.linkedin.com/company/tundr/,"Tundr combines technology with environmentally friendly mobility. TundrMove is the first sustainable mobility voucher. A winning combination for improving workplace quality of life while also redefining the concept of green mobility. The ecosystem includes a SmartCard, on which it will be possible to load mobility vouchers and a brand new App to explore more ecological and sustainable modes of transport and estimate CO2 emissions.","Apps, Financial Services, Mobile, Software",3,11-50,"Giorgio Seveso, Jules-Arthur Sastre, Luca Milesi",2,Seed,2025-04-16,7200000,EUR,8152165,Seed,7200000,EUR,8152165,Seed,8900000,EUR,9878804,8900000,EUR,9878804,"CDP Venture Capital, Vento, 360 Capital, Alecla7, Azimut Libera Impresa",1,13,,,,,,,,,,,,,,Private,,,,,,,,,,,
Cardo AI,https://www.crunchbase.com/organization/cardo-ai,Active,,"Artificial Intelligence (AI), Financial Services, FinTech, Software","Milan, Lombardia, Italy",Cardo AI is a fintech company that offers artificial intelligence and data analytics to the structured finance market.,"7,514","European Union (EU), Europe, Middle East, and Africa (EMEA)",20122,$10M to $50M,2018-01-01,year,,,,,For Profit,https://cardoai.com/,https://twitter.com/CARDO_AI,https://www.facebook.com/cardoai/,https://it.linkedin.com/company/cardoai,"Cardo AI is the software, intelligence and infrastructure company innovating the structured finance market that helps investors, issuers, servicers and lenders transact faster, better, and with lower costs. Our technology has facilitated the efficient management of over €18bn assets,  standardizing data coming from 100+ systems all over the world. Access your demo today: https://cardoai.com/request-a-demo/ Want to come to innovate with us? Check our job openings:  https://cardoai.com/talent/","Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",3,101-250,"Altin Kadareja, Daniele Forza, Euron Metaliaj",3,Early Stage Venture,2024-11-20,15000000,USD,15000000,Series A,15000000,USD,15000000,Series A,18947015,USD,18947015,18947015,USD,18947015,"Fasanara Capital, FINTOP Capital, Digital Magics, Blackstone Innovations Investments, JAM FINTOP",5,7,,,,,,,,,,,,,,Private,,,,,,,,,,,
D-Orbit,https://www.crunchbase.com/organization/d-orbit,Active,,"Aerospace, Automotive, Fleet Management, Information Technology, Software, Transportation","Milan, Lombardia, Italy","D-Orbit is the first in-space transportation company, providing solutions for moving, precise deployment and removing satellites.","7,998","European Union (EU), Europe, Middle East, and Africa (EMEA)",20123,Less than $1M,2011-03-01,day,,,,,For Profit,https://www.dorbit.space,https://www.twitter.com/d_orbit,https://www.facebook.com/deorbitaldevices,https://www.linkedin.com/company/2394473,"D-Orbit is an Italian New Space company providing solutions for satellite design, development, launch, commissioning and decommissioning. Founded in 2011, D-Orbit currently employs approximately 35 people. The firm is based in Milan, Italy with subsidiaries in Washington, DC, and Lisbon, Portugal.  D-Orbit's business model revolves around products and services that are profitable, create value for the customer, and have a proven social benefit and a positive impact on the environment. To do so, we look for ways to streamline every phase of a satellite mission with components and services that simplify spacecraft design, increase reliability, improve the use of mission resources, reduce operational costs, and extend the revenue-generating phase of a space mission.","Information Technology, Science and Engineering, Software, Transportation",4,251-500,"Giuseppe Tussiwand, Luca Rossettini, Renato Panesi, Thomas Panozzo",13,Late Stage Venture,2024-12-23,,,,Grant,50000000,EUR,55857496,Series C,180092838,USD,180092838,197880572,USD,197880572,"CDP Venture Capital, Department for Science, Innovation and Technology (DSIT), Seraphim Space, Neva SGR, Indaco Venture Partners",9,28,,,,,,,,,,,,,,Private,,,,,,,,,,,
Futura,https://www.crunchbase.com/organization/futura-8ee6,Active,,"E-Learning, Education, Information Technology","Milano, Lombardia, Italy",Futura provides personalized learning using data driven approach and modular classes that adapt to student's Individual needs.,"9,120","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2020-01-01,year,,,,,For Profit,https://www.futura.study,https://twitter.com/Futura_stud,https://www.facebook.com/futura.study,https://www.linkedin.com/company/futurastudy,Futura provides personalized learning using data driven approach and modular classes that adapt to student's Individual needs.,"Education, Information Technology, Software",3,11-50,"Andrea Salvatore Chirolli, Francesco Mario Salvatore, Lorenzo Pinto",2,Early Stage Venture,2024-05-07,14000000,EUR,15049928,Series A,14000000,EUR,15049928,Series A,15800000,EUR,16883101,15800000,EUR,16883101,"United Ventures, Eurazeo, Exor Ventures, Axon Partners Group, Ithaca Investments",2,9,,,,,,,,,,,,,,Private,,,,,,,,,,,
Medicud,https://www.crunchbase.com/organization/medicud,Active,,"Health Care, Medical, Medical Device, Therapeutics","Roma, Lazio, Italy",Medicud develops a device for treating wounds with negative pressure dressing.,"10,983","European Union (EU), Europe, Middle East, and Africa (EMEA)",00100,,2020-06-08,day,,,,,For Profit,https://medicud.it/,,,https://www.linkedin.com/company/medicud/,"Antonio D’Angelo & Andrea Cazzulani found out that an advanced medication with proven results was striving to become the standard of care because of several issues such as high price and unhandiness of current devices. Incisional negative pressure was loosing to absorbent wound dressing even if clinical data showed dramatic superiority. Antonio & Andrea joined forces and in 2020 founded Medicud, invented and developed a novel easy-to-use and discreet single use i-NPWT device that can cut down therapy cost and reduced ecological footprint. Medicud aims to become the global leader of sustainable medical technologies.",Health Care,2,1-10,"Andrea Cazzulani, Antonio D'angelo",4,Seed,2025-04-10,575000,EUR,647462,Debt Financing,766000,EUR,838411,Seed,1266000,EUR,1356286,1841000,EUR,2003748,"50 Partners Health, Lazio Innova, Les Business Angels des Grandes Écoles, CHMBR Partners, InnoStars Awards",2,5,,,,,,,,,,,,,,Private,,,,,,,,,,,
Hotiday,https://www.crunchbase.com/organization/hotiday,Active,,"E-Commerce, Hotel, Travel Agency","Milan, Lombardia, Italy","Hotiday is the first hospitality startup that applies Instant Buying to the hotel industry to become an ""Online-Only"" hotel chain","11,897","European Union (EU), Europe, Middle East, and Africa (EMEA)",20141,,2022-03-18,day,,,,,For Profit,https://www.hotiday.com/,,https://www.facebook.com/hotiday,https://www.linkedin.com/company/hotiday/,"Hotiday is the first hospitality startup that applies Instant Buying to the hotel industry to become a true ""Online-Only"" hotel chain, completely decentralized","Commerce and Shopping, Travel and Tourism",3,1-10,"Federico Brunelli, Federico Di Carlo, Vittorio Gargiulo",2,Seed,2025-05-06,5500000,EUR,6224536,Seed,5500000,EUR,6224536,Seed,6000000,EUR,6770024,6000000,EUR,6770024,"Libero Raspa, P101, Ventive Group, B4i - Bocconi for innovation, Moonstone",2,9,,,,,,,,,,,,,,Private,,,,,,,,,,,
