Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
PVcase,https://www.crunchbase.com/organization/pvcase,Active,,"B2B, Energy, Renewable Energy, SaaS, Solar","Vilnius, Vilniaus Apskritis, Lithuania","One end-to-end platform for site selection, design, and yield optimization, trusted by 1,500 customers in 75+ countries.","1,953","European Union (EU), Europe, Middle East, and Africa (EMEA)",01126,$10M to $50M,2017-09-01,month,,,,,For Profit,https://pvcase.com,https://www.twitter.com/WeArePVcase,https://www.facebook.com/pvcase,https://www.linkedin.com/company/pvcase,"PVcase is the leading software company revolutionizing utility and commercial-scale solar project development through comprehensive automation of the entire value chain. Our end-to-end suite provides automation software for site selection, PV design, and yield assessment — offering a seamless alternative to traditional manual methods and delivering optimal results in significantly less time. Whether you use a single product or the entire suite, PVcase accelerates project timelines and reduces costs at every stage of solar development, supporting the global push toward sustainable energy. Trusted by over 1,500 customers in 75+ countries, including industry leaders like AES, ib Vogt, RWE, Voltalia, and Iberdrola, we underpin the development of more than 4 TW projects annually. Our commitment, however, goes beyond technology. We believe in nurturing the growth and well-being of our employees, recognizing that health and happiness are crucial to the prosperity of our company.","Energy, Natural Resources, Other, Software, Sustainability",2,251-500,"Adam Pazarauskas, David Trainavicius",4,Early Stage Venture,2023-07-17,89000000,EUR,100026074,Series B,89000000,EUR,100026074,Series B,123888880,USD,123888880,123888880,USD,123888880,"Highland Europe, Elephant, Practica Capital, Contrarian Ventures, Energize Capital",4,6,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Trafi,https://www.crunchbase.com/organization/trafi,Active,,"Apps, Car Sharing, Information Technology, Mobile, Public Transportation, Ride Sharing, Software, Transportation, Travel","Vilnius, Vilniaus Apskritis, Lithuania","Trafi is a mobility-as-a-service platform for shared transportation solutions, helping cities and corporates to reach their goals.","5,661","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$10M to $50M,2013-09-01,day,2025-04-14,day,,,For Profit,http://www.trafi.com,https://twitter.com/trafi_maas,http://www.facebook.com/TRAFIAPP,https://www.linkedin.com/company/trafi,"Founded in 2013, Trafi is a mobility tech startup with offices in Berlin, London, Paris and Vilnius. Trafi works hand-in-hand with cities and companies worldwide to create multimodal mobility-as-a-service systems and provide cutting-edge route planning and data management software. Trafi is proud to count companies like Google, Apple, Lyft and Volkswagen as their clients, along with cities like Berlin, Munich, Prague, Jakarta, Bogota and Rio de Janeiro.","Apps, Information Technology, Mobile, Software, Transportation, Travel and Tourism",4,101-250,"Algimantas Krasauskas, Dr. Jurgis Pasukonis, Mantas Vizbaras, Martynas Gudonavicius",4,M&A,2020-08-15,,,,Series B,,,,Series B,13900000,USD,13900000,13900000,USD,13900000,"European Bank for Reconstruction and Development, Octopus Ventures, octopus investments, Practica Capital, BaltCap",5,7,,Was Acquired,Trafi acquired by Enghouse Systems,https://www.crunchbase.com/acquisition/enghouse-systems-acquires-trafi--4c8ea48f,Enghouse Systems,https://www.crunchbase.com/organization/enghouse-systems,2025-04-14,day,,,,Acquisition,,Private,,,,,,,,,,,
Eneba,https://www.crunchbase.com/organization/eneba,Active,,"E-Commerce, Gift Card, Online Games, Video Games","Kaunas, Kauno Apskritis, Lithuania",Eneba is an online platform that offers a marketplace for digital games across various categories.,"9,367","European Union (EU), Europe, Middle East, and Africa (EMEA)",44305,$10M to $50M,2018-01-01,year,,,,,For Profit,https://www.eneba.com,https://twitter.com/eneba_games,https://www.facebook.com/enebagames,https://www.linkedin.com/company/enebagames,"Since its launch back in late 2018, Eneba has been (and continues to be) growing at the speed of light. We aim straight for the bull's eye, and we have no intention to miss. Here at Eneba, we are much more than just regular co-workers. We are a team, a squad, and a crew of like-minded professionals who share the same passion for gaming. We strive for professionalism and excellence on a daily basis. By doing so, we provide the easiest access and means to video games & services for gaming communities worldwide. Our mission is to bring an outstanding selection of games to every single interested player, in the safest, most trustworthy, and cheapest way possible. And we are not only doing it - we are rocking it!","Commerce and Shopping, Financial Services, Gaming",2,101-250,"Vytis Uogintas, Žygimantas Mikšta",4,Early Stage Venture,2020-12-21,6550000,EUR,8015566,Series A,6550000,EUR,8015566,Series A,9050000,EUR,10798690,9050000,EUR,10798690,"FJ Labs, Practica Capital, InReach Ventures, Tesonet, Mantas Mikuckas",2,5,,,,,,,,,,,,,,Private,,,,,,,,,,,
InSoil,https://www.crunchbase.com/organization/heavyfinance,Active,,"AgTech, Banking, Finance, FinTech, Marketplace","Vilnius, Vilniaus Apskritis, Lithuania","InSoil equips farmers with financial solutions, agronomy consultations, and monitoring system to increase their soil carbon sequestration","9,715","European Union (EU), Europe, Middle East, and Africa (EMEA)",LT-08119,$10M to $50M,2020-06-08,day,,,,,For Profit,https://insoil.com,,,https://www.linkedin.com/company/insoilclimate/,"The very sector that keeps our bellies full, contributes to more 20% global CO2 emissions. InSoil equips farmers with financial solutions, agronomy consultations, and carbon sequestration monitoring system to fight climate change while increasing their soil carbon sequestration, yields, and profitability.","Agriculture and Farming, Commerce and Shopping, Financial Services, Lending and Investments",5,51-100,"Andrius Liukaitis, Darius Verseckas, Domantas Siupsinskas, Laimonas Noreika, Rytis Darginavičius",6,Seed,2024-12-11,14000000,EUR,14707844,Debt Financing,3000000,EUR,3250387,Seed,4543962,USD,4543962,19351243,USD,19351243,"Startup Wise Guys, Practica Capital, European Investment Fund, bValue Fund, Black Pearls VC",4,9,,,,,,,,,,,,,,Private,,,,,,,,,,,
nexos.ai,https://www.crunchbase.com/organization/nexos-ai,Active,,"Artificial Intelligence (AI), Information Technology, SaaS, Software","Vilnius, Vilniaus Apskritis, Lithuania","nexos.ai offers an agentic AI orchestration platform that helps simplify operations, boost productivity, and accelerate business growth.","9,925","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2024-01-01,year,,,,,For Profit,https://nexos.ai/,,,https://www.linkedin.com/company/nexos-ai/,"Introducing nexos.ai — a powerful model gateway that delivers game-changing AI solutions. With advanced automation and intelligent decision making, nexos.ai helps simplify operations, boost productivity, and accelerate business growth.","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",1,11-50,Tomas Okmanas,1,Seed,2025-01-17,8000000,USD,8000000,Seed,8000000,USD,8000000,Seed,8000000,USD,8000000,8000000,USD,8000000,"Index Ventures, Creandum, FJ Labs, DIG Ventures, Ilkka Paananen",1,8,,,,,,,,,,,,,,Private,,,,,,,,,,,
AMLYZE,https://www.crunchbase.com/organization/amlyze,Active,,"Compliance, Financial Services, Fraud Detection, Risk Management, Software","Vilnius, Vilniaus Apskritis, Lithuania","AMLYZE provides a suite of solutions for banks, fintechs and crypto companies to combat financial crime.","10,162","European Union (EU), Europe, Middle East, and Africa (EMEA)",08247,$1M to $10M,2019-12-13,day,,,,,For Profit,https://amlyze.com/,https://x.com/AMLYZE,,https://www.linkedin.com/company/amlyze/,"AMLYZE is a RegTech company and Software-as-a-Service (SaaS) provider offering a suite of solutions to combat financial crime. Their comprehensive modules include real-time and retrospective transaction monitoring, customer risk assessment, AML/CFT investigations and sanctions, PEP and adverse media screening. The company has been working on its core product since 2019 and started offering it in autumn 2022. AMLYZE's greatest strength is our team of highly experienced anti-money laundering, financial fraud prevention and financial market supervision experts with backgrounds from the European Central Bank, the European Banking Authority, the Financial Intelligence Unit, the Bank of Lithuania and major financial corporations. With this regulatory experience, AMLYZE delivers cutting-edge technology solutions that streamline AML/CFT and compliance processes to unprecedented levels of efficiency.","Financial Services, Payments, Privacy and Security, Professional Services, Software",3,11-50,"Alexandre Pinot, Gabrielius Erikas Bilkstys, Jekaterina Govina",2,Seed,2024-10-02,2350000,EUR,2595928,Seed,2350000,EUR,2595928,Seed,3350000,EUR,3673438,3350000,EUR,3673438,"Practica Capital, FIRSTPICK, Coinvest Capital, Lithuanian Business Angel Network, Advanzia Bank",1,10,,,,,,,,,,,,,,Private,,,,,,,,,,,
Pulsetto,https://www.crunchbase.com/organization/pulsetto,Active,,"Apps, Medical Device, Personal Health, Wellness","Vilnius, Vilniaus Apskritis, Lithuania","Pulsetto is a healthtech startup that specializes in vagus nerve stimulation for stress relief, mental resilience, and sleep optimization.","17,460","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2021-01-01,year,,,,,For Profit,https://pulsetto.tech,https://x.com/Pulsettotech,https://www.facebook.com/Pulsetto,https://www.linkedin.com/company/pulsetto,"Pulsetto offers a scientifically based VNS to help users manage stress by engaging the parasympathetic nervous system. With its neuromodulation technology, the company provides an easy-to-use option for those looking to support mental well-being and manage stress through wearable technology.","Apps, Health Care, Software",2,11-50,"Povilas Sabaliauskas, Vitalijus Majorovas",4,Seed,2025-02-21,2000000,EUR,2100478,Seed,2000000,EUR,2100478,Seed,2950000,EUR,3106176,2950000,EUR,3106176,"ScaleWolf, Kilo Health",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
kevin.,https://www.crunchbase.com/organization/kevin-3e23,Active,,"Finance, Financial Services, FinTech, Payments","Vilnius, Vilniaus Apskritis, Lithuania",kevin. is the payments reset no one saw coming.,"18,492","European Union (EU), Europe, Middle East, and Africa (EMEA)",08128,$100M to $500M,2018-01-01,year,,,,,For Profit,https://www.kevin.eu,https://twitter.com/getkevin_eu,https://www.facebook.com/getkevin.eu,https://www.linkedin.com/company/kevineu,"Kevin. is a fintech company that provides an advanced account-to-account payment infrastructure to replace card transactions. It aims to evolve traditional cards, pay by link, POS, direct debit, and online payments. Offering fully customizable solutions which scale to the size of any business, kevin. helps improve customer experience and thereby conversion, while also saving money on the cost of payment acquiring services for the merchants.","Financial Services, Payments",2,101-250,"Pavel Sokolovas, Tadas Tamosiunas",13,Early Stage Venture,2022-05-03,61820000,EUR,65068273,Series A,61820000,EUR,65068273,Series A,79415815,USD,79415815,79415815,USD,79415815,"Speedinvest, Accel, Startup Wise Guys, OTB Ventures, OpenOcean",4,14,,,,,,,,,,,,,,Private,,,,,,,,,,,
Atrandi Biosciences,https://www.crunchbase.com/organization/droplet-genomics,Active,,"Biotechnology, Life Science, Pharmaceutical","Vilnius, Vilniaus Apskritis, Lithuania",Atrandi Biosciences is a Lithuanian biotech startup that aims to commercialize droplet microfluidics technology.,"18,680","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2016-01-01,year,,,,,For Profit,https://www.atrandi.com,,,https://www.linkedin.com/company/atrandi,"Atrandi Biosciences is a privately held biotechnology company specializing in next-generation single-cell technology, particularly in single-cell eukaryotic DNA sequencing. This innovative approach allows for the analysis of genomic alterations and cellular heterogeneity.","Biotechnology, Health Care, Science and Engineering",2,51-100,"Juozas Nainys, Linas Mazutis",3,Early Stage Venture,2025-02-18,25000000,USD,25000000,Series A,25000000,USD,25000000,Series A,31010150,USD,31010150,31010150,USD,31010150,"Microsoft, Vsquared Ventures, Lux Capital, Practica Capital, GRIDS Capital",3,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
Ovoko,https://www.crunchbase.com/organization/rrr-lt,Active,,"Automotive, E-Commerce, Marketplace","Vilnius, Vilniaus Apskritis, Lithuania","Ovoko is an online marketplace that connects sellers of car parts, auto dismantlers, and recyclers with dealers, mechanics, and enthusiasts.","20,505","European Union (EU), Europe, Middle East, and Africa (EMEA)",09124,$10M to $50M,2016-01-01,year,,,,,For Profit,https://ovokogroup.com,,https://www.facebook.com/Ovoko-105072665076571,https://www.linkedin.com/company/ovoko-rrr,"Planet positive marketplace for used car spare parts. The company connects sellers of car parts, auto dismantlers, and recyclers with dealers, mechanics, and enthusiasts. The platform is committed to enabling a circular economy by facilitating the reuse of auto parts and addressing sustainability in the automotive industry. Ovoko focuses on making car repair more accessible and environmentally friendly by promoting the reuse of quality car parts.","Commerce and Shopping, Transportation",2,101-250,"Justinas Baranovskis, Oleg Lopeta",4,Early Stage Venture,2024-09-27,20000000,EUR,22342999,Series B,20000000,EUR,22342999,Series B,39250000,EUR,42291305,39250000,EUR,42291305,"Practica Capital, Market One Capital, Piton Capital, Smash Capital, Mantas Mikuckas",2,8,,,,,,,,,,,,,,Private,,,,,,,,,,,
