Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
RedStone,https://www.crunchbase.com/organization/redstone-1853,Active,,"Blockchain, Cryptocurrency, Data Storage, Smart Contracts, Software, Web3","Warsaw, Mazowieckie, Poland","RedStone builds two products: A cross-chain data Oracles for Web3 & DeFi protocols; And Warp, data-driven Smart Contracts layer on Arweave.","2,618","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2021-03-01,month,,,,,For Profit,https://redstone.finance/,https://twitter.com/redstone_defi,,https://www.linkedin.com/company/redstone-finance/,"RedStone is a quickly growing blockchain startup, building two data-focused products aimed to unlock the potential of DeFi & Web3: 1. RedStone Oracles: A new generation of blockchain oracles with a novel architecture that optimises the way data is delivered to decentralised Apps (dApps).  RedStone provides 1,100+ data feeds delivered at a few seconds refresh interval to Ethereum, Polygon, Avalanche, Arbitrum and 30+ other top chains. We support price feeds for assets such as popular & long-tail tokens, fiat currencies, commodities, stocks, NFTs floor and RedStone can deliver also other types of data i.e. transactions volume data or results of real-world events like sports games. Available feeds -> https://app.redstone.finance/ ; Sample integration on popular chains -> https://showroom.redstone.finance/ 2. Warp: A data-processing Smart Contract layer on top of the Arweave data storage chain. Warp is optimised for data-heavy use cases such as sophisticated gaming & social dApps, interactive NFTs, simple on-chain Machine Learning and other blockchain-based solutions that have not been feasible before, due to huge data processing costs on chains like Ethereum or Avalanche. Warp overview -> https://warp.cc/ ; Warp Academy -> https://academy.warp.cc/ RedStone Gitcoin grant -> https://gitcoin.co/grants/5477/redstone-new-generation-of-oracles-for-defi Warp Gitcoin grant -> https://gitcoin.co/grants/7733/warp-contracts-on-arweave-revolution-of-on-chain-","Blockchain and Cryptocurrency, Financial Services, Hardware, Internet Services, Other, Payments, Software",3,11-50,"Alex Suvorov, Jakub Wojciechowski, Marcin Kazmierczak",4,Early Stage Venture,2024-07-02,15000000,USD,15000000,Series A,15000000,USD,15000000,Series A,22875000,USD,22875000,22875000,USD,22875000,"Amber Group, Flowdesk, Blockchain Capital, Coinbase Ventures, Arrington Capital",6,59,,,,,,,,,,,,,,Private,,,,,,,,,,,
Jutro Medical,https://www.crunchbase.com/organization/jutro,Active,,"Health Care, Medical, Primary and Urgent Care, Wellness","Warsaw, Mazowieckie, Poland",Jutro Medical offers a combination of online and offline primary care pairing mobile-first telemedicine with a physical clinic.,"4,552","European Union (EU), Europe, Middle East, and Africa (EMEA)",02-607,$1M to $10M,2019-01-01,year,,,,,For Profit,http://jutromedical.com,https://www.twitter.com/JutroMedical,https://www.facebook.com/jutromedical,https://www.linkedin.com/company/jutromedical,"Jutro Medical offers a combination of online and offline primary care pairing mobile-first telemedicine with a physical clinic. For less complex cases, an advanced telemedicine platform and app provide virtual consultations, prescriptions, referrals, lab results, and the ability to request medical leave online. The app will store all prescriptions, referrals, and medical leave slip notes issued during the consultation. Jutro Medical was founded in 2019 and is based in Warsaw, Poland.",Health Care,1,51-100,Adam Janczewski,6,Early Stage Venture,2025-03-19,50000000,PLN,13064211,Series A,50000000,PLN,13064211,Series A,22973232,USD,22973232,22973232,USD,22973232,"RIO ASI, Inovo.vc, KAYA, Google for Startups, Market One Capital",6,12,,,,,,,,,,,,,,Private,,,,,,,,,,,
Booksy,https://www.crunchbase.com/organization/booksy,Active,,"Marketplace, Mobile Apps, Mobile Payments, Payments, SaaS, Software, Wellness","Warsaw, Mazowieckie, Poland","Booksy is a booking platform that links local customers with professionals in the beauty, wellness, and health industries.","4,656","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2014-07-08,day,,,,,For Profit,http://booksy.com,https://twitter.com/BooksyApp,https://www.facebook.com/BooksyApp,https://www.linkedin.com/company/booksy,"Booksy is the largest and fastest growing booking platform that connects beauty, wellness and health professionals with local customers, powering hundreds of millions of appointments each year. Booksy Biz, designed specifically for small business owners, is Boosky’s mobile-first SaaS platform that combines all the tools providers need to attract new customers, take appointments, manage staff and payments, and build a loyal client base. The Booksy Marketplace is where millions of consumers around the world find, schedule and manage appointments with stylists, barbers, braiders, nail artists, estheticians, massage therapists, salons, and spas in their communities. Customers can browse business profiles, reviews, services, pricing, availability and instantly book appointments with the click of a button.  Founded in Poland in 2014, Booksy has operations in Poland, United States, United Kingdom, Spain and France. The company has raised more than $100M in Series C funding and is backed by investors including Inovia, Kaya, and Verdane. Learn more at booksy.com.","Apps, Commerce and Shopping, Financial Services, Health Care, Mobile, Payments, Software",3,501-1000,"Konrad Howard, Stefan Batory, Tomasz Zembrzycki",10,,2024-10-03,,,,Debt Financing,,,,Venture - Series Unknown,118700000,USD,118700000,119700000,USD,119700000,"Inovia Capital, Industry Ventures, Inovo.vc, KAYA, CIBC Innovation Banking",8,29,5,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Ramp Network,https://www.crunchbase.com/organization/ramp-3b7b,Active,,"Blockchain, Cryptocurrency, Financial Services, FinTech, Infrastructure","Warsaw, Mazowieckie, Poland",Ramp Network is a fintech startup that offers payment infrastructure to connect crypto and traditional finance.,"8,487","European Union (EU), Europe, Middle East, and Africa (EMEA)",00-507,$10M to $50M,2017-01-01,year,,,,,For Profit,https://ramp.network,https://twitter.com/RampNetwork,https://www.facebook.com/RampNetwork,https://www.linkedin.com/company/rampnetwork,"Ramp Network is a fintech startup that offers payment infrastructure to connect crypto and traditional finance. The company's mission is to create a meshed, easily accessible connection between the open blockchain financial system and the old, closed banking system, with no need for a trusted third party in between. Ramp was founded in 2017 by Przemek Kowalczyk and Szymon Sypniewicz and is headquartered in Warsaw, Mazowieckie, Poland.","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",2,101-250,"Przemek Kowalczyk, Szymon Sypniewicz",4,Early Stage Venture,2022-11-09,70000000,USD,70000000,Series B,70000000,USD,70000000,Series B,133942437,USD,133942437,133942437,USD,133942437,"Mozilla, FJ Labs, Firstminute Capital, Fabric Ventures, NFX",5,28,,,,,,,,,,,,,,Private,,,,,,,,,,,
Quantee,https://www.crunchbase.com/organization/quantee,Active,,"Artificial Intelligence (AI), B2B, Insurance, InsurTech, SaaS, Software","Warsaw, Mazowieckie, Poland",SaaS AI-based dynamic insurance pricing,"11,844","European Union (EU), Europe, Middle East, and Africa (EMEA)",03-901,$1M to $10M,2018-11-01,month,2025-03-25,day,,,For Profit,https://quantee.ai/,https://twitter.com/quanteeAI,https://www.facebook.com/quanteeAI,https://www.linkedin.com/company/quantee/,"Quantee offers ActuAI - a SaaS Platform bringing the power of AI and startup agility to insurance pricing.  ActuAI a super easy-to-use, flexible and scalable solution enabling insurance companies to build and manage the most competitive pricing up to 10x faster.","Artificial Intelligence (AI), Data and Analytics, Financial Services, Other, Science and Engineering, Software",2,11-50,"Dawid Kopczyk, Mateusz Gintrowski",3,M&A,2023-10-01,,,,Seed,,,,Seed,700000,USD,700000,1920866,USD,1920866,"FundingBox Deep Tech Fund, InsurTech Fund, Nunatak Capital, National Center for Research & Development",1,4,,Was Acquired,Quantee acquired by Guidewire Software,https://www.crunchbase.com/acquisition/guidewire-software-acquires-quantee--71fa6195,Guidewire Software,https://www.crunchbase.com/organization/guidewire-software,2025-03-25,day,,,,Acquisition,,Private,,,,,,,,,,,
Intelliseq,https://www.crunchbase.com/organization/intelliseq-sp-z-o-o,Active,,"Analytics, Artificial Intelligence (AI), Biotechnology, Health Care, Software","Kraków, Malopolskie, Poland","Intelliseq offers a cloud-based platform for NGS data analysis and clinical interpretation, automating genetic data processing.","11,902","European Union (EU), Europe, Middle East, and Africa (EMEA)",31-335,Less than $1M,2014-01-01,year,,,,,For Profit,https://intelliseq.com,https://twitter.com/intelliseq,https://www.facebook.com/Intelliseq,https://www.linkedin.com/company/intelliseq,"Intelliseq is a genome informatics company developing bioinformatics tools for diagnostics, therapy, and prevention based on genetic data. Currently, bioinformatics systems in laboratories are not ready for genomics at scale. The analysis process of already sequenced genomes is now mostly expensive and labor-intensive. In response to this problem the company created a cloud-based platform called IntelliseqFlow that allows for automated bioinformaticianless generation of result reports that accelerates the entire diagnostic process and reduces the costs that the laboratory had to deal with so far. IntelliseqFlow translates raw DNA data into final reports automatically, making the analysis step fast, simple, cost-effective, and user-friendly. Allows users to choose ready-to-use workflows for PGx, Germline Disorders, Somatic Cancer, and Polygenic Risk Scoring, all wrapped up in one user-friendly platform. It comprises AI-based algorithms, easy-to-operate pipelines, customized workflows, and APIs that make it simple to integrate its engine with laboratory information systems.","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",4,11-50,"Klaudia Szklarczyk-Smolana, Marcin Piechota, Michal Korostynski, Slawomir Golda",4,,2025-03-28,19000000,PLN,4921563,Venture - Series Unknown,19000000,PLN,4921563,Venture - Series Unknown,28500000,PLN,7114747,28500000,PLN,7114747,"Tadeusz Wesołowski, Google for Startups, Unfold.vc, Vinci, Cobin Angels",4,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
Synerise,https://www.crunchbase.com/organization/synerise,Active,,"Analytics, Artificial Intelligence (AI), Business Intelligence, Machine Learning, Marketing Automation, Predictive Analytics, Software","Kraków, Malopolskie, Poland",#17 Europe’s Fastest Growing Technology Sector Company according to Financial Times.,"11,947","European Union (EU), Europe, Middle East, and Africa (EMEA)",30-383,$10M to $50M,2013-07-01,day,,,,,For Profit,https://synerise.com,https://twitter.com/synerise,https://www.facebook.com/synerise/,https://www.linkedin.com/company/synerise,"Synerise is a deep-tech company founded in 2013 in Krakow, Poland, with offices in Warsaw, San Francisco, and Dubai. The company provides advanced and proprietary artificial intelligence and big data technology solutions in more than 30 markets for industry leaders in Retail, Banking, eCommerce, Automotive, Insurance, and Telco, processing more than 150 billion transactions annually. The company competes with the world's largest artificial intelligence technology companies by investing offensively in outstanding Polish engineers and specialists. Synerise is currently the fastest-growing Polish company in the technology sector in Europe, according to the Financial Times 2022 report, an elite British daily with an international focus on economic and financial issues, published in London since 1888. The annual report includes an in-depth analysis of tens of thousands of companies out of a million European firms. Poland's Synerise was ranked 70th in the overall European ranking while ranking 1st in Poland and 17th in Europe in the technology sector. At the same time, it was among the top three companies in the ranking dealing with artificial intelligence and big data. The company continues its ambitious growth plans, and in 2018 EY listed Synerise as one of the 30 most promising technology companies in the world. Deloitte, Microsoft, and Google have also awarded it.  Selected artificial intelligence products developed by the Synerise team are available as open source in the public domain. The Synerise team also publishes scientific papers in the field of big data and AI. This way, the company shares knowledge with the community and supports Polish science. Synerise is also active in popularizing knowledge and supporting education at the school level. It co-hosts the Understanding AI podcast. In addition, it has led, among other things, the first-ever program to support AI education in elementary and high schools - Synerise AI Schools, which has involved more than 2,200 students in more than 300 groups at 140 sites. The company cooperates with universities. With its attitude, Synerise supports educational initiatives in Poland by creating innovative curricula and teaching courses. The company has co-created award-winning first, second, and third-degree courses at universities. Synerise also supports charitable organizations, women's soccer sections, individual participants in triathlons, and invests in initiatives to level the playing field for the youngest in today's world. Synerise's scientific, research, and commercial work is recognized by personalities of the high-tech scene worldwide and in national and global competitions. In 2021, Synerise, along with international market giants such as Baidu and DeepMind, was among the winners of the KDD Cup 2021 hosted by Stanford University in the US. The competition, which has been held for 24 years, is considered by the technology industry as one of the most prestigious AI and machine learning events in the world - the competition is also considered the informal world championship of artificial intelligence.  The company has also won awards in the field of artificial intelligence in competitions: Booking.com Data Challenge and Rakuten Data Challenge. The most recent success of the Polish Synerise team is winning 2nd place in the prestigious RecSys Data Challenge organized by Twitter. Polish engineers from Synerise analyzed a dataset containing 1 billion tweets selected by Twitter in dozens of different languages (including Japanese and Thai).  Synerise is also the title sponsor of the 2022 National Chess Championships for Schools and Kindergartens to be held in Katowice's Spodek, where more than a thousand chess fans of the youngest age will develop logical thinking skills.","Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software",3,101-250,"Jaroslaw Krolewski, Krzysztof Kochmański, Miłosz Baluś",11,Early Stage Venture,2024-07-06,8500000,USD,8500000,Series B,8500000,USD,8500000,Series B,50668126,USD,50668126,50668126,USD,50668126,"VTEX, SATUS, Techni Ventures, Carpathian Partners, Pawel Chodaczek",4,9,,,,,,,,,,,,,,Private,,,,,,,,,,,4
Aleet,https://www.crunchbase.com/organization/aleet,Active,,"Artificial Intelligence (AI), Logistics, Machine Learning, Transportation","Lublin, Lubelskie, Poland",A technology company specializing in the dynamic management of fleet operations with a use of AI/ML,"14,512","European Union (EU), Europe, Middle East, and Africa (EMEA)",20-109,,2018-02-26,day,,,,,For Profit,https://aleet.co/,,,https://www.linkedin.com/company/aleet/,"Aleet has developed sophisticated systems encompassing proprietary digital twin technology for strategic fleet operational planning and advanced AI-driven routing optimization. It serves sectors such as fleet operators, e-commerce, food delivery, civil services, defense, and more. At Aleet, we start by understanding the operating model of your transportation business to adapt our software to the needs of your company. Our Products: Digital Twin for Fleet Operational Strategy Analysis Fleet simulator Aseem allows you to test variants of expansion or changes to fleet configuration and demand, including demand prediction for a given or changed service. A simulation platform based on the latest artificial intelligence technologies dedicated to fleet operators in order to analyze and recommend the best decisions and operational strategies in fleet management. Dynamic vehicle routing and task allocation Route2 is an innovative engine based on artificial intelligence dedicated to creating delivery schedules and planning routes for vehicles based on orders. Route2 provides dynamic optimization of transport routes, capable of solving complex vehicle routing problems in minutes. Optimal routes determined by the Route2 module are, above all, minimized total transport costs while maintaining a certain level of efficiency, but also saving time needed for planning and ensuring on-time delivery.","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation",1,11-50,Katarzyna Marczuk,2,Seed,2024-02-13,1200000,EUR,1285019,Seed,1200000,EUR,1285019,Seed,1450000,EUR,1582963,1450000,EUR,1582963,"FundingBox Deep Tech Fund, CofounderZone, ValueTech Seed",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,
neptune.ai,https://www.crunchbase.com/organization/neptune-ml,Active,,"Analytics, Artificial Intelligence (AI), Information Technology, Internet, Software","Warsaw, Mazowieckie, Poland",The MLOps stack component for experiment tracking,"16,397","European Union (EU), Europe, Middle East, and Africa (EMEA)",02-493,$1M to $10M,2017-11-01,month,,,,,For Profit,https://neptune.ai/,https://twitter.com/neptune_ai,https://www.facebook.com/neptuneAI/,https://www.linkedin.com/company/neptuneai,"Neptune is an experiment tracker for ML teams that struggle with debugging and reproducing experiments, sharing results, and messy model handover. It offers a single place to track, compare, store, and collaborate on experiments so that Data Scientists can develop production-ready models faster and ML Engineers can access model artifacts instantly in order to deploy them to production. Unlike manual, homegrown, or open-source solutions, Neptune is a scalable, full-fledged component with user access management, developer-friendly UX, and collaboration features. Unlike end-to-end MLOps platforms, Neptune is a point solution that gives you only the capabilities you need from an experiment tracker and plugs into every stack.","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",1,51-100,Piotr Niedzwiedz,3,Early Stage Venture,2022-04-12,8000000,USD,8000000,Series A,8000000,USD,8000000,Series A,12700000,USD,12700000,12700000,USD,12700000,"Almaz Capital, b2venture, Rheingau Founders, TDJ Pitango Ventures, Marek Cygan",3,7,,,,,,,,,,,,,,Private,,,,,,,,,,,2
BidFinance,https://www.crunchbase.com/organization/bidfinance,Active,,Financial Services,"Kraków, Malopolskie, Poland","Bidfinance is a part of several industry associations, including Fintech Poland","17,691","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2022-01-01,year,,,,,,https://www.bidfinance.eu/en,,,https://www.linkedin.com/company/bidfinance,"Bidfinance is a part of several industry associations, including Fintech Poland",Financial Services,1,1-10,Zenia Karastoyanov,1,Seed,2025-04-15,7000000,PLN,1852868,Seed,7000000,PLN,1852868,Seed,7000000,PLN,1852868,7000000,PLN,1852868,"FundingBox Deep Tech Fund, 4growth VC, Digital ocean ventures",,3,,,,,,,,,,,,,,Private,,,,,,,,,,,
