Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
CloudTalk,https://www.crunchbase.com/organization/cloudtalk-io,Active,,"Call Center, Collaboration, CRM, SaaS, Small and Medium Businesses, Software, Telecommunications, VoIP","Bratislava, Bratislava, Slovakia (Slovak Republic)",CloudTalk is a cloud-based platform designed to optimize business communication.,"11,199","European Union (EU), Europe, Middle East, and Africa (EMEA)",81102,$10M to $50M,2016-01-01,year,,,,,For Profit,https://www.cloudtalk.io/,https://x.com/cloudtalkio,https://www.facebook.com/CloudTalkCallCenter/,https://www.linkedin.com/company/cloudtalk.io/,CloudTalk is the fastest-growing AI-powered calling solution and call center software for modern businesses. CloudTalk was founded in 2016 to help businesses connect seamlessly with customers over the phone and make customer experience the greatest competitive advantage for driving more revenues.,"Administrative Services, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Sales and Marketing, Software",2,101-250,"Martin Malych, Viktor Vanek",5,Early Stage Venture,2024-01-17,28000000,USD,28000000,Series B,28000000,USD,28000000,Series B,36709012,USD,36709012,36709012,USD,36709012,"Presto Ventures, Lead Ventures, Point Nine, henQ, ORBIT Capital",4,6,,,,,,,,,,,,,,Private,,,,,,,,,,,
GA Drilling,https://www.crunchbase.com/organization/ga-drilling,Active,,"Energy, Geothermal Energy, Information Technology, Mining, Renewable Energy, Solar","Trnava, Trnava, Slovakia (Slovak Republic)","GA Drilling is developing a groundbreaking drilling technology PLASMABIT that enables revolution in geothermal energy, massive cost savings.","13,844","European Union (EU), Europe, Middle East, and Africa (EMEA)",917 01,$1M to $10M,2008-10-01,day,,,,,For Profit,http://www.gadrilling.com,https://www.twitter.com/gadrilling,https://www.facebook.com/ga-drilling-417089588477152,https://www.linkedin.com/company/274952,"GA Drilling is a high-tech company developing and commercializing a groundbreaking technology platform PLASMABIT. Our technology enables massive time and cost savings compared to relevant existing drilling technologies and opens up vast new possibilities in oil & gas, geothermal energy, mining and tunneling.","Energy, Information Technology, Natural Resources, Sustainability",4,51-100,"Dusan Kocis, Igor Kocis, Ivan Kocis, Tomas Kristofic",11,,2024-04-18,15000000,USD,15000000,Venture - Series Unknown,15000000,USD,15000000,Venture - Series Unknown,43713276,USD,43713276,51871312,USD,51871312,"Extantia Capital, EIT InnoEnergy, Planet A Ventures, Lead Ventures, Nabors",5,15,,,,,,,,,,,,,,Private,,,,,,,,,,,
Firefish,https://www.crunchbase.com/organization/firefish-c0b9,Active,,"Finance, Financial Services","Banská Bystrica, Banska Bystrica, Slovakia (Slovak Republic)","Firefish operates as an open lending marketplace connecting Bitcoiners, institutions and investors.","20,833","European Union (EU), Europe, Middle East, and Africa (EMEA)",974 01,,2022-01-01,year,,,,,For Profit,https://firefish.io/,,,https://www.linkedin.com/company/firefish-io/,"Firefish operates as an open lending marketplace connecting Bitcoiners, institutions and investors.",Financial Services,2,,"Igor Neumann, Martin Matejka",1,Seed,2025-04-08,1800000,USD,1800000,Seed,1800000,USD,1800000,Seed,1800000,USD,1800000,1800000,USD,1800000,"Braiins, MitonC",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,
CulturePulse,https://www.crunchbase.com/organization/culturepulse,Active,,"Analytics, Artificial Intelligence (AI), Marketing","Bratislava, Bratislava, Slovakia (Slovak Republic)",CulturePulse assists firms in communicating with potential customers in a tone that is less likely to elicit a negative reaction.,"29,737","European Union (EU), Europe, Middle East, and Africa (EMEA)",821 01,$1M to $10M,2021-01-01,year,,,,,For Profit,https://www.culturepulse.ai,https://twitter.com/culturepulseai,,https://www.linkedin.com/company/culturepulse-ai,CulturePulse assists firms in communicating with potential customers in a tone that is less likely to elicit a negative reaction. CulturePulse assists in crafting messages that will resonate with your target audience.,"Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software",,11-50,,2,Early Stage Venture,2025-02-06,1450000,EUR,1507847,Series A,1450000,EUR,1507847,Series A,2507847,USD,2507847,2507847,USD,2507847,"Simpact Ventures, Rockaway Ventures, Zero One Hundred, B Ventures Group",2,4,,,,,,,,,,,,,,Private,,,,,,,,,,,
Cequence,https://www.crunchbase.com/organization/cequence-future-of-contracting,Active,,"Contact Management, SaaS","Presov, Presov, Slovakia (Slovak Republic)",Cequence is a contract lifecycle management platform that offers curated AI technology and security solutions for local businesses.,"32,970","European Union (EU), Europe, Middle East, and Africa (EMEA)",080 01,$1M to $10M,2022-09-15,day,,,,,For Profit,https://www.cequence.io,,,https://www.linkedin.com/company/cequence/,"Cequence, a fast-growing contract lifecycle management platform, streamlines workflows, ensures compliance and eliminates human error in client’s contract management. From small to global players, teams benefit from a consumer-like experience in the world of robust enterprise-grade tools hand-in-hand with the latest technology available - AI, Machine learning, and Natural Language Processing. Legal, Procurement, Sales, and People Teams rely on Cequence to ensure transparency, accountability & seamless cooperation. —Proven track record— 49% faster to execute the contract 62% better compliance with obligations 34% increased team productivity These are the results from the Case study with DELL. The case study received IACCM Innovation Award at MIT Scale Conference.  Sample: 370 users / 3.400 contracts / 6 months","Information Technology, Software",,11-50,,1,Seed,2022-11-25,1050000,EUR,1093417,Seed,1050000,EUR,1093417,Seed,1050000,EUR,1093417,1050000,EUR,1093417,Vision Ventures,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
Gasp,https://www.crunchbase.com/organization/mangata-finance,Active,,"Blockchain, Cryptocurrency, FinTech, Internet","Bratislava, Bratislava, Slovakia (Slovak Republic)","Ethereum cross-rollup swaps, lightning-fast, gas-free and MEV protected","37,488","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2020-08-15,day,,,,,Non-profit,https://www.gasp.xyz,https://twitter.com/gasp_xyz,,https://www.linkedin.com/company/gasp-network,"A ZK-rollup L2 with universal connectivity to L1s, enabling cross-chain liquidity of native assets. Powered by Starkware zero-knowledge technology and Eigenlayer's restake finality. In it's core, MEV minimization and gas-free swaps are out of the box.","Blockchain and Cryptocurrency, Financial Services, Internet Services, Other, Payments, Software",1,11-50,Peter Kris,4,Seed,2024-02-21,5000000,USD,5000000,Seed,5000000,USD,5000000,Seed,10600000,USD,10600000,10600000,USD,10600000,"Figment, Polychain, Token Metrics, MV Global, Altonomy",1,21,,,,,,,,,,,,,,Private,,,,,,,,,,,
Sensible Biotechnologies,https://www.crunchbase.com/organization/sensible-biotechnologies,Active,,"Biotechnology, Medical","Bratislava, Bratislava, Slovakia (Slovak Republic)",Sensible Biotechnologies works on engineering cells to make mRNA therapeutics and vaccines.,"39,714","European Union (EU), Europe, Middle East, and Africa (EMEA)",841 04,$1M to $10M,2021-01-01,year,,,,,For Profit,https://www.sensible.bio,https://twitter.com/sensible_bio,https://www.facebook.com/SensibleBiotechnologies,https://www.linkedin.com/company/sensible-biotechnologies/,,"Biotechnology, Health Care, Science and Engineering",1,11-50,Miroslav Gasparek,3,Seed,2023-04-06,4200000,USD,4200000,Pre-Seed,4200000,USD,4200000,Pre-Seed,4200000,USD,4200000,4200000,USD,4200000,"Y Combinator, BlueYard Capital, ZAKA VC, Civilization Ventures, Possible Ventures",1,10,,,,,,,,,,,,,,Private,,,,,,,,,,,
Twinzo,https://www.crunchbase.com/organization/twinzo,Active,,"Analytics, Internet, Sensor, Software","Bratislava, Bratislava, Slovakia (Slovak Republic)","Twinzo focuses on sensors, databases, and data streams, up to real-time visualization of any kind of tracking and monitoring technology.","46,138","European Union (EU), Europe, Middle East, and Africa (EMEA)",851 02,,2020-01-01,year,,,,,For Profit,https://twinzo.eu,,,https://www.linkedin.com/company/twinzo,"Twinzo focuses on sensors, databases, and data streams, up to real-time visualization of any kind of tracking and monitoring technology. Twinzo was founded in 2020 and was headquartered in, Slovakia.","Data and Analytics, Hardware, Internet Services, Software",,11-50,,1,Seed,2023-06-01,2300000,EUR,2474955,Seed,2300000,EUR,2474955,Seed,2300000,EUR,2474955,2300000,EUR,2474955,"Soulmates Ventures, DEPO Ventures, Critical Ventures, Slovak American Enterprise Fund",,4,,,,,,,,,,,,,,Private,,,,,,,,,,,
Photoneo,https://www.crunchbase.com/organization/photoneo-f2f3,Active,,"3D Technology, Industrial Automation, Information Technology, Robotics","Bratislava, Bratislava, Slovakia (Slovak Republic)",Photoneo provides robotics solutions and intelligence based on 3D technology for logistics and warehousing.,"53,266","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$10M to $50M,2013-01-01,year,2024-12-30,day,,,For Profit,https://www.photoneo.com,https://twitter.com/photoneo,https://www.facebook.com/photoneo3d/,https://www.linkedin.com/company/photoneo/,Photoneo provides robotics solutions and intelligence based on 3D technology for logistics and warehousing.,"Hardware, Information Technology, Manufacturing, Science and Engineering, Software",,101-250,,1,M&A,2015-09-15,21000000,EUR,23667119,Seed,21000000,EUR,23667119,Seed,21000000,EUR,23667119,21000000,EUR,23667119,"Credo Ventures, RSJ Investments SICAV a.s., Miroslav Trnka, Eduard Kucera, Pavel Baudis",1,5,,Was Acquired,Photoneo acquired by Zebra Technologies,https://www.crunchbase.com/acquisition/zebra-technologies-acquires-photoneo-f2f3--8e572806,Zebra Technologies,https://www.crunchbase.com/organization/zebra-technologies,2024-12-30,day,,,,Acquisition,,Private,,,,,,,,,,,
AUGLIO,https://www.crunchbase.com/organization/auglio,Active,,"Augmented Reality, E-Commerce, Information Technology, Software","Komárno, Nitra, Slovakia (Slovak Republic)","SAAS, Augmented Reality for E-commerce","62,418","European Union (EU), Europe, Middle East, and Africa (EMEA)",94501,,2022-06-17,day,,,,,For Profit,https://auglio.com,,https://www.facebook.com/AuglioOfficial,https://www.linkedin.com/company/87226938/admin/,"Auglio is bridging the gap between physical and virtual worlds.  A leading-edge AR/Virtual Mirror SaaS platform leveraging 3D product generation from 2D pictures to simulate a physical-like shopping experience, reduce product return, and improve conversion. Developing the technology that brings the benefits of the in-store experience to e-commerce, we help thousands of e-commerce businesses around the globe to make the shopping experience more interactive and funny. We engage online shoppers and foster customers' decisions about purchases via realistic and easy-to-use online try-on.  Our technology has become an integrated element and a tool for the marketing and sales departments of the most prestigious brands in the world.","Commerce and Shopping, Hardware, Information Technology, Software",2,11-50,"Ondrej Bagin, Peter Soos",1,Seed,2022-07-31,1600000,EUR,1633653,Seed,1600000,EUR,1633653,Seed,1600000,EUR,1633653,1600000,EUR,1633653,Zero One Hundred,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,
