Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Factorial,https://www.crunchbase.com/organization/factorial,Active,,"B2B, Human Resources, Productivity Tools, Software","Barcelona, Catalonia, Spain","Factorial is a platform for human resource management that automates various HR processes including time tracking, payroll, and recruitment.",796,"European Union (EU), Europe, Middle East, and Africa (EMEA)",08005,$1M to $10M,2016-01-01,year,,,,,For Profit,https://factorialhr.com,https://twitter.com/factorialhr,https://www.facebook.com/factorialhr,https://www.linkedin.com/company/factorialhr,"Factorial is a human resources company offering solutions that automate human resource processes. Factorial is a human resources software for small, medium and big companies that integrates holidays management, payroll, document management, and benefits for employees. It automates a company's human resources tasks, reduces errors, and gains visibility of the company's data.","Administrative Services, Other, Software",3,501-1000,"Bernat Farrero, Jordi Romero, Pau Ramon",7,Late Stage Venture,2025-03-19,120000000,USD,120000000,Debt Financing,120000000,USD,120000000,Series C,220039251,USD,220039251,419948723,USD,419948723,"General Catalyst, Endeavor Catalyst, Tiger Global Management, Creandum, CRV",5,13,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Lingokids,https://www.crunchbase.com/organization/lingokids,Active,,"Children, Digital Media, Education, Family, Language Learning, Parenting, Training","Madrid, Madrid, Spain",Helping families around the world raise amazing kids.,"1,117","European Union (EU), Europe, Middle East, and Africa (EMEA)",19801-2230,Less than $1M,2014-01-01,year,,,,,For Profit,https://www.lingokids.com/,http://twitter.com/lingokids,https://www.facebook.com/Lingokids/,https://es.linkedin.com/company/lingokids,Lingokids is the playlearningTM app for more than 10 million families around the world. The app teaches kids ages 2-8 important skills in English to help them discover their natural superpowers. Creativity. Collaboration. Critical thinking. Communication. These are some of the skills that children need to thrive. Parents can join the adventure of learning too. Lingokids has developed more than 600 games and activities kids and parents can play together. Their dream is to have a positive impact on 100 million families and we’re working hard to make it a reality.,"Community and Lifestyle, Education, Media and Entertainment",2,101-250,"Cristobal Viedma, Marieta Viedma",7,Late Stage Venture,2021-06-15,40000000,USD,40000000,Series C,40000000,USD,40000000,Series C,61100000,USD,61100000,62400000,USD,62400000,"Bessemer Venture Partners, Reach Capital, 500 Global, Acurio Ventures, HV Capital",3,23,,,,,,,,,,,,,,Private,,,,,,,,,,,
Spotahome,https://www.crunchbase.com/organization/spotahome,Active,,"Real Estate, Rental, Reservations","Madrid, Madrid, Spain",Spotahome is the easiest way to find and book mid to-long term residential rentals 100% online.,"1,454","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2014-03-01,month,,,,,For Profit,http://www.spotahome.com,http://twitter.com/spotahome,http://www.facebook.com/spotahome,http://www.linkedin.com/company/spotahome,"Spotahome is a mid- to long-term residential rentals platform that is reinventing the property market. It offers the most complete property and room listings for stays above 30 days, bookable exclusively through online viewings which saves tenants and property owners time and money.  The company creates the listing at no cost to the landlord - a professional photographer (""Homechecker"") visits the property and creates the audio-visual materials including high quality photos, HD video tours, detailed floor plans and honest property and neighbourhood descriptions. By offering the most complete property listings, it allows tenants to book their property from anywhere in the world without the need for in-person viewings. It also offers guarantees against default payments and damages.  Spotahome is growing rapidly, fueled by a $40M Series B funding round led by Kleiner Perkins, the first leading Silicon Valley VC in a Spanish company. It is present in 11 cities across 8 countries in Europe. Spotahome was launched by Alejandro Artacho, Bryan McEire, Hugo Monteiro and Bruno Bianchi in March 2014 and has offices in both Madrid, Spain and London, UK.","Commerce and Shopping, Events, Media and Entertainment, Real Estate",4,101-250,"Alejandro Artacho, Bruno Bianchi, Bryan McEire, Hugo Monteiro",11,,2025-04-24,5000000,EUR,5693179,Venture - Series Unknown,5000000,EUR,5693179,Venture - Series Unknown,97001207,USD,97001207,98543406,USD,98543406,"Kleiner Perkins, FJ Labs, Acurio Ventures, Alma Mundi Ventures, TheVentureCity",7,24,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,1
Quibim,https://www.crunchbase.com/organization/quibim,Active,,"Artificial Intelligence (AI), Biotechnology, Clinical Trials, Health Care, Health Diagnostics","Valencia, Comunidad Valenciana, Spain",Quibim is a radiomics company specializing in quantitative imaging of biomarkers and medical applications in precision medicine.,"2,109","European Union (EU), Europe, Middle East, and Africa (EMEA)",46021,$10M to $50M,2012-10-10,day,,,,,For Profit,https://www.quibim.com,https://www.twitter.com/quibimbiomarker,https://www.facebook.com/quibimbiomarker,https://www.linkedin.com/company/quibim,"Quibim, with headquarters in Valencia, Spain, is a global leader in whole-body medical imaging analysis. Quibim products are used worldwide by leading pharmaceutical companies and research teams. Partners use Quibim Precision®, a whole-body imaging ecosystem, for a wide range of applications from detecting a disease to tracking the efficacy of novel treatments.  Quibim follows an AI-first approach to help detect pathologies across every body part and imaging modality, using quantitative imaging biomarkers. We understand every body part. We speak human.","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",2,51-100,"Angel Alberich-Bayarri, Luis Martí Bonmatí",12,Early Stage Venture,2025-01-28,50000000,USD,50000000,Series A,50000000,USD,50000000,Series A,65814241,USD,65814241,69586338,USD,69586338,"Plug and Play, Amadeus Capital Partners, Partech, K Fund, Adara Ventures",7,19,,,,,,,,,,,,,,Private,,,,,,,,,,,
Job&Talent,https://www.crunchbase.com/organization/jobandtalent,Active,,"Employment, Marketplace, Staffing Agency","Madrid, Madrid, Spain",Jobandtalent is an online staffing marketplace for finding and filling gig-type jobs.,"2,364","European Union (EU), Europe, Middle East, and Africa (EMEA)",28046,$10M to $50M,2009-01-01,year,,,,,For Profit,http://www.jobandtalent.com,https://twitter.com/jobandtalent_hq,https://www.facebook.com/jobandtalent,https://www.linkedin.com/company/jobandtalent,"Job&Talent is a world-leading marketplace for essential work. We match great people with great companies through our platform. Technology is our superpower and we use it to help people find reliable and flexible work. In turn, companies get trusted, agile workforces.   It’s an exciting journey we’re on. Here are some numbers. In 2022, we placed more than 340,000 workers in over 2,500 companies, and we generated €1.9 billion in revenue. We have a valuation of $2.4 billion, which makes Job&Talent the highest-valued unicorn in Spain, backed by leading investors such as SoftBank, Kinnevik, Atomico, Goldman Sachs, Citi and BlackRock. Job&Talent was founded in 2009 in Madrid, where we're still headquartered. We’re a remote-first company and operate in 10 countries across Europe, the U.S. and Latin America so far. We have ambitious plans to expand further.","Administrative Services, Commerce and Shopping, Professional Services",2,1001-5000,"Felipe Navio, Juan Urdiales",21,Late Stage Venture,2025-04-10,92000000,EUR,103593921,Series F,92000000,EUR,103593921,Series F,993347245,USD,993347245,1726511177,USD,1726511177,"BlackRock, Citi, Goldman Sachs, Endeavor Catalyst, FJ Labs",12,36,5,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Typeform,https://www.crunchbase.com/organization/typeform,Active,,"Consumer Research, SaaS, Software, UX Design","Barcelona, Catalonia, Spain",Typeform is a no-code SaaS platform offering tools that assist companies to engage with their audience and grow business.,"2,391","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2012-01-01,year,,,,,For Profit,https://www.typeform.com/,https://twitter.com/typeform/,https://www.facebook.com/typeform/,https://www.linkedin.com/company/typeform-/,"Typeform is a no-code SaaS platform with thoughtfully-designed tools that help companies grow their business by engaging with their audience. Offering people-friendly forms, quizzes, surveys, and asynchronous video solutions, Typeform turns digital interactions into human connection. Launched in 2012, Typeform drives more than 500 million digital interactions per year and integrates with hundreds of other business-critical tools like HubSpot, Calendly, and Slack, to name a few. Typeform is headquartered in Barcelona, Spain with an office in San Francisco, California, and has a globally-distributed workforce of over 450 people.","Data and Analytics, Design, Software",2,501-1000,"David Okuniev, Robert Muñoz",5,Late Stage Venture,2022-03-10,135000000,USD,135000000,Series C,135000000,USD,135000000,Series C,187263316,USD,187263316,187263316,USD,187263316,"General Atlantic, Index Ventures, Top Tier Capital Partners, GP Bullhound, Point Nine",5,16,,,,,,,,,,,,,,Private,,,,,,,,,,,8
Lodgify,https://www.crunchbase.com/organization/lodgify,Active,,"Hospitality, Productivity Tools, SaaS, Vacation Rental","Barcelona, Catalonia, Spain",Lodgify is an all-in-one SaaS tool designed to simplify vacation rental marketing in the hospitality industry.,"4,151","European Union (EU), Europe, Middle East, and Africa (EMEA)",08029,Less than $1M,2012-06-01,day,,,,,For Profit,https://www.lodgify.com,http://twitter.com/lodgify,http://www.facebook.com/Lodgify,https://www.linkedin.com/company/lodgify,"Lodgify is an all-in-one SaaS solution that helps vacation rental owners and property managers to manage and market their accommodation business. It is a rental marketing software that simplifies vacation rental marketing. The software allows both vacation rental owners and property managers to create their own mobile-friendly website with a “Book Now” function, manage reservations and availabilities efficiently, and instantly synchronize property information with listings on multiple external vacation rental portals. Lodgify’s mission is to help vacation rental owners and managers to grow their accommodation businesses by empowering them with great technology that is accessible and affordable for everyone.  Lodgify was founded in 2012 and is based in Barcelona, Spain.","Real Estate, Software, Travel and Tourism",2,251-500,"Dennis Klett, Marco De Gregorio",5,Early Stage Venture,2022-11-03,30000000,USD,30000000,Series B,30000000,USD,30000000,Series B,36582064,USD,36582064,36582064,USD,36582064,"Octopus Ventures, Bonsai Partners, Seedcamp, Nauta Capital, ICF Capital",3,13,,,,,,,,,,,,,,Private,,,,,,,,,,,
PLD Space,https://www.crunchbase.com/organization/pld-space,Active,,"Aerospace, Manufacturing, Space Travel","Elche, Comunidad Valenciana, Spain",PLD Space is an international space services company with in-house engineering and manufacturing.,"4,532","European Union (EU), Europe, Middle East, and Africa (EMEA)",03203,$1M to $10M,2011-09-12,day,,,,,For Profit,http://pldspace.com/,https://www.twitter.com/pld_space,https://www.facebook.com/PLDSPACE/,https://www.linkedin.com/company/pld-space/,"PLD Space is an international space services company with in-house engineering and manufacturing. It is dedicated to transporting satellites and people into space, vertically integrating engineering, testing, manufacturing and operations of its reusable and sustainable rockets.","Manufacturing, Science and Engineering, Transportation",2,251-500,"Raúl Torres, Raúl Verdú",10,Early Stage Venture,2024-12-02,11000000,EUR,11551127,Debt Financing,25000000,EUR,28323380,Series B,50126550,EUR,57393073,95781214,EUR,106993727,"JME Ventures, Cofides, Arcano, Criteria Venture Tech, ENISA",5,15,,,,,,,,,,,,,,Private,,,,,,,,,,,
The Hotels Network,https://www.crunchbase.com/organization/the-hotels-network,Active,,"Hospitality, Marketing, Travel","Barcelona, Catalonia, Spain",The Hotels Network helps hotel brands grow their direct channel.,"4,619","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2015-09-01,day,2025-04-16,day,,,For Profit,http://www.thehotelsnetwork.com,https://twitter.com/thehotelsnet,https://www.facebook.com/thehotelsnetwork/,https://www.linkedin.com/company/the-hotels-network/,"The Hotel Networks (THN) is a growth platform for hotels. THN offers hotels the technology to attract, engage, and convert visitors throughout the online booking journey by using predictive personalization to offer each guest a unique user experience. THN's tools provide a comparison of reviews and prices, a full suite of personalization options, predictive analytics and benchmarking. The Hotel Network's team of specialists in hospitality, product design and consumer marketing are located in Barcelona, San Francisco, Mexico City, and Singapore.","Sales and Marketing, Travel and Tourism",3,101-250,"Juanjo Rodriguez, Laura Martinez Celada, Marc Rollan Serrano",4,M&A,2020-06-10,10000000,EUR,11367021,Series B,10000000,EUR,11367021,Series B,15117021,USD,15117021,15217021,USD,15217021,"NFX, Seaya, 4Founders Capital, Elaia",2,4,,Was Acquired,The Hotels Network acquired by Lighthouse,https://www.crunchbase.com/acquisition/lighthouse-ltd-acquires-the-hotels-network--5832aa7e,Lighthouse,https://www.crunchbase.com/organization/lighthouse-ltd,2025-04-16,day,,,,Acquisition,,Private,,,,,,,,,,,
TravelPerk,https://www.crunchbase.com/organization/travelperk,Active,,"Business Travel, SaaS, Software, Ticketing, Travel, Travel Agency","Barcelona, Catalonia, Spain","TravelPerk is a business travel management platform that helps companies book, manage, and control their corporate travel.","4,852","European Union (EU), Europe, Middle East, and Africa (EMEA)",08018,Less than $1M,2015-01-01,day,,,,,For Profit,http://www.travelperk.com,https://twitter.com/travelperk,https://www.facebook.com/travelperkofficial,https://www.linkedin.com/company/travelperk,"TravelPerk is a platform that simplifies business travel management by integrating booking, reporting, and support into one tool. It offers a wide range of travel options, allowing users to book flights, hotels, and car rentals seamlessly while ensuring compliance with company policies.","Events, Media and Entertainment, Software, Travel and Tourism",3,1001-5000,"Avi Meir, Javier Suarez, Ron Levin",13,Late Stage Venture,2025-01-27,200000000,USD,200000000,Series E,200000000,USD,200000000,Series E,730428211,USD,730428211,864662597,USD,864662597,"General Catalyst, Sequoia Capital, Blue Owl, LocalGlobe, Spark Capital",12,35,6,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,9
