Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Banked,https://www.crunchbase.com/organization/banked,Active,,"Banking, Financial Services, FinTech, Payments, Software","London, England, United Kingdom",Banked is a fintech company providing an account-to-account payments platform built on modern banking rails.,364,"Europe, Middle East, and Africa (EMEA)",W1F 8WE,$10M to $50M,2018-01-01,year,,,,,For Profit,https://banked.com/,https://twitter.com/wearebanked,,https://www.linkedin.com/company/banked-limited/,"Founded in 2018 with offices in Palo Alto, London, Sydney, Melbourne and Vilnius, Banked is a global payments network that enables a transparent, secure and real-time payment process. Built on modern banking rails, the company provides a comprehensive platform that allows for maximum flexibility across account-to-account payments. By reinventing the legacy transaction process, Banked eliminates costly fees and powers financial fluidity.","Financial Services, Lending and Investments, Payments, Software",4,51-100,"Brad Goodall, Ellen Fernandes, Neil Ambler, Patrick Cox",4,Early Stage Venture,2022-11-15,15000000,USD,15000000,Series A,15000000,USD,15000000,Series A,46886670,USD,46886670,46886670,USD,46886670,"Citi, Insight Partners, Acrew Capital, Bank of America, BACKED VC",5,17,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,
Hokodo,https://www.crunchbase.com/organization/hokodo,Active,,"B2B, E-Commerce, Financial Services, FinTech, Payments","London, England, United Kingdom","Hokodo is a provider of buy now, pay later solutions for e-commerce and B2B merchants.","1,207","Europe, Middle East, and Africa (EMEA)",E2 8AA,$1M to $10M,2018-01-01,year,,,,,For Profit,https://www.hokodo.co,https://twitter.com/hokodotech,,https://www.linkedin.com/company/hokodo,"Hokodo is a pan-European provider of B2B Buy Now, Pay Later solutions enabling businesses to buy, sell and do more. The company's easy-to-integrate digital platform streamlines the entire order-to-cash process, allowing merchants to make credit decisions in real-time, be protected against bad debt, and get access to working capital finance options. Hokodo was founded in 2018 and is based in London, England.","Commerce and Shopping, Financial Services, Other, Payments",3,51-100,"Louis Carbonnier, Richard Thornton, Sami Ben Hatit",7,,2025-04-23,10000000,EUR,11375749,Venture - Series Unknown,10000000,EUR,11375749,Venture - Series Unknown,66034106,USD,66034106,177698132,USD,177698132,"Citi, Notion Capital, Anthemis, Alma Mundi Ventures, Mosaic Ventures",8,15,,,,,,,,,,,,,,Private,,,,,,,,,,,
Copper,https://www.crunchbase.com/organization/copper-05c5,Active,,"Cryptocurrency, Finance, Financial Exchanges, Financial Services","London, England, United Kingdom",Copper is a cryptocurrency custody firm that provides a secure infrastructure for the institutional digital asset investment community.,"1,610","Europe, Middle East, and Africa (EMEA)",W1K 7DA,$10M to $50M,2018-01-01,month,,,,,For Profit,https://copper.co,https://www.twitter.com/CopperHQ,,https://www.linkedin.com/company/copperco,"Copper provides a secure infrastructure for the institutional digital asset investment community. Copper is a custody and portfolio management of digital assets for institutional investors. Asset managers are further protected by the ClearLoop network, which enables off-exchange trading and settlement at tier-1 digital asset exchanges. An offering enhanced by the availability of uncollateralized lending. Copper's secure wallet architecture is available as a standalone application, a mobile app, and a browser extension for smart contract signing.","Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Payments, Software",1,251-500,Dmitry Tokarev,6,Late Stage Venture,2022-10-12,15000000,USD,15000000,Convertible Note,181000000,USD,181000000,Series C,266000000,USD,266000000,281000000,USD,281000000,"Accel, Tiger Global Management, LocalGlobe, Target Global, Dawn Capital",4,13,,,,,,,,,,,,,,Private,,,,,,,,,,,3
Mercuryo,https://www.crunchbase.com/organization/mercuryo,Active,,"Cryptocurrency, Financial Services, FinTech","London, England, United Kingdom",Mercuryo is an international fintech company focused on providing cryptocurrency payment solutions.,"2,023","Europe, Middle East, and Africa (EMEA)",OX7 5XW,$1M to $10M,2018-09-01,day,,,,,For Profit,https://mercuryo.io,https://twitter.com/Mercuryo_io,https://www.facebook.com/mercuryo.io,https://www.linkedin.com/company/mercuryo-io,Mercuryo is an international fintech company focused on providing cryptocurrency payment solutions. The company's cryptocurrency infrastructure provides global access to fast and cheap money transfers with a bank-level oversight.,"Blockchain and Cryptocurrency, Financial Services, Payments, Software",3,101-250,"Alexander Vasiliev, Greg Waisman, Petr Kozyakov",2,Early Stage Venture,2021-06-25,7500000,USD,7500000,Series A,7500000,USD,7500000,Series A,10459501,USD,10459501,10459501,USD,10459501,Target Global,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,1
PeopleForce,https://www.crunchbase.com/organization/peopleforce-7fd5,Active,,"Information Technology, SaaS, Software","Worthing, West Sussex, United Kingdom",PeopleForce is the first all-in-one Recruiting and HR solution for all companies.We collected the best HRM practice in the market.,"2,278","Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2018-01-01,year,,,,,For Profit,https://peopleforce.io,,https://www.facebook.com/peopleforceapp/,https://www.linkedin.com/company/peopleforceapp/,"PeopleForce is one of the BEST and fastest growing online HR Software service provider, we consist​ of highly qualified and experienced members with dedicated team. we love the fact that our solution and software is making HR service more convenient and easy for our customer. Our Product Include  Applicant Tracking Software: Our service help you find the right person more faster and easier  Staff Onboarding: Every phase of onboarding process with a new employer is important. By using our onboarding software you will increase employee retention and save more money and stress.  Leave tracking: Leave tracking will help you to easily record leave for holidays, vacations, half-day etc. Electronic signatures: Tool to sign your document HR Reporting: This prove report on all employee on annual salary and current employment status with date range. Performance management: Measure the effective and efficient manner to employee process that enhances your employee’s performance through aligned goals and development.  employee directory: Employer master database, thus providing all the information about employee.  Custom workflows: Design a custom workflow to fit your organization needs.  At PeopleForce , we understand the difficulties in getting the best hands. We also understand the necessity to use good and reliable software and service. We're here to help all of our customers and their unique needs.  PeopleForce we “OFFER THE BEST”","Information Technology, Software",1,11-50,Andrew Cetinick,6,Seed,2025-04-16,5380000,USD,5380000,Seed,5380000,USD,5380000,Seed,8080000,USD,8080000,8080000,USD,8080000,"Concept Ventures, u.ventures, Ukrainian Startup Fund, Sturgeon Capital, Pracuj Ventures",5,7,,,,,,,,,,,,,,Private,,,,,,,,,,,
PQShield,https://www.crunchbase.com/organization/pqshield,Active,,"Cyber Security, Network Security, Quantum Computing, Software","Oxford, Oxfordshire, United Kingdom",PQShield is a post-quantum cryptography company that develops cryptographic algorithms and protocols to secure technology infrastructures.,"2,878","Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2018-01-01,year,,,,,For Profit,https://pqshield.com,https://twitter.com/PqShield,,https://www.linkedin.com/company/pqshield,"PQShield pioneers post-quantum cryptography solutions, securing global technology infrastructures with hardware, software, and cloud-based quantum-safe implementations, and leading standardization efforts worldwide. The company is advancing cybersecurity by developing innovations that secure sensitive data and communications against future quantum computing threats, ensuring robust digital-age security amid evolving technology.","Information Technology, Privacy and Security, Science and Engineering, Software",1,101-250,Ali El Kaafarani,5,Early Stage Venture,2024-06-20,37000000,USD,37000000,Series B,37000000,USD,37000000,Series B,63937122,USD,63937122,63937122,USD,63937122,"Oxford Science Enterprises, Kindred Capital, Crane Venture Partners, Addition, Innovate UK",3,9,,,,,,,,,,,,,,Private,,,,,,,,,,,1
Space Forge,https://www.crunchbase.com/organization/space-forge,Active,,"Hardware, Manufacturing, Robotics","Bristol, Bristol, City of, United Kingdom",Space Forge make super materials in space that cannot be made on earth.,"3,414","Europe, Middle East, and Africa (EMEA)",,$10M to $50M,2018-01-01,year,,,,,For Profit,https://spaceforge.co.uk/,,,https://www.linkedin.com/company/space-forge-ltd/about/,Space Forge make super materials in space that cannot be made on earth.,"Hardware, Manufacturing, Science and Engineering, Software",2,11-50,"Andrew Bacon, Joshua Western",8,Seed,2024-06-18,,,,Seed,,,,Seed,10800000,USD,10800000,20959604,USD,20959604,"Quiet Capital, FJ Labs, Development Bank of Wales, UK Space Agency, Innovate UK",5,20,,,,,,,,,,,,,,Private,,,,,,,,,,,
THIS,https://www.crunchbase.com/organization/this-co,Active,,"Alternative Protein, Food and Beverage, Food Processing, Organic, Organic Food","London, England, United Kingdom",THIS is a plant-based product brand that provides alternative meat products.,"3,807","Europe, Middle East, and Africa (EMEA)",W10 5JJ,$10M to $50M,2018-10-01,month,,,,,For Profit,https://this.co,,https://www.facebook.com/thisfood,https://www.linkedin.com/company/thisisntmeat/,"THIS is a plant-based meat brand that provides alternative meat products for meat lovers. The company's products are made of plant-based ingredients that are fortified with vitamin B12 and iron, enabling meat lovers to get the real feel of having meat-based products and satisfy their tastes without killing animals.","Food and Beverage, Sustainability",2,101-250,"Andy Shovel, Pete Sharman",11,Late Stage Venture,2024-06-17,20000000,GBP,25427629,Series C,20000000,GBP,25427629,Series C,78374523,USD,78374523,78374523,USD,78374523,"Business Growth Fund, Seedcamp, BACKED VC, Idinvest Partners, Lever VC",5,16,,,,,,,,,,,,,,Private,,,,,,,,,,,
Pepgen,https://www.crunchbase.com/organization/pepgen-corporation,Active,,"Biotechnology, Clinical Trials, Medical","Oxford, Oxfordshire, United Kingdom",PepGen is empowering nucleic acid therapeutics to go the distance.,"3,967","Europe, Middle East, and Africa (EMEA)",OX3 7FZ,$1M to $10M,2018-01-01,year,2022-05-06,day,,,For Profit,https://pepgen.com/,https://twitter.com/PepGenTx,https://www.facebook.com/PepGenTx,https://www.linkedin.com/company/pepgenltd,"PepGen empowers nucleic acid therapeutics to go the distance. PepGen's ambition is to unlock the potential of nucleic acid therapeutics by leveraging the drug delivery capabilities of their innovative product engine. PepGen's initial focus is on the application of this technology to the efficacious delivery of antisense oligonucleotides, and they are advancing novel conjugate therapeutics to the clinic.","Biotechnology, Health Care, Science and Engineering",3,51-100,"Caroline Godfrey, Matthew Wood, Michael Gait",5,IPO,2024-02-07,80100000,USD,80100000,Post-IPO Equity,80100000,USD,80100000,Post-IPO Equity,237600000,USD,237600000,239675523,USD,239675523,"RA Capital Management, Perceptive Advisors, Janus Henderson Investors, Oxford Science Enterprises, Samsara BioCapital",1,20,,,,,,,,,,,,,,Public,2022-05-06,108000000,USD,108000000,268715676,USD,268715676,PEPG,https://www.crunchbase.com/ipo/pepgen-corporation-ipo--25e994d0,NASDAQ,
Auquan,https://www.crunchbase.com/organization/auquan,Active,,"Analytics, Artificial Intelligence (AI), Big Data, Finance, Financial Services, FinTech, Machine Learning, Software","London, England, United Kingdom",AI Agents to eliminate manual grunt work in finance,"3,975","Europe, Middle East, and Africa (EMEA)",EC1V 2NX,Less than $1M,2018-06-01,month,,,,,For Profit,http://auquan.com/,https://twitter.com/auquan_,,https://www.linkedin.com/company/auquan/,"Finance firms spend hundreds of billions on manual, repetitive processes—work that’s critical but doesn’t require human judgment. Auquan eliminates it. Imagine a world where a single GP could manage tens of billions in AUM because everything else runs on Auquan’s AI agents. The scale of this is enormous—all of finance’s non-investing manual labor is up for automation.","Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",2,11-50,"Chandini Jain, Shub Jain",6,Seed,2024-10-22,4500000,USD,4500000,Seed,4500000,USD,4500000,Seed,9220000,USD,9220000,9220000,USD,9220000,"Techstars, Stage 2 Capital, Episode 1, Neotribe Ventures, Charlie Songhurst",5,11,,,,,,,,,,,,,,Private,,,,,,,,,,,2
