company_id,organization_name,hq_country,latitude,longitude,founded_year,b2b,hub_binary,number_of_founders,female_founder,energy,information_technology,materials,industrials,consumer_discretionary,consumer_staples,health_care,financials,communication_services,utilities,real_estate,other,grant_before_seed,angel_round_binary,first_seed_round_year,number_seed_rounds,number_seed_investors,one_seed_investor_binary,pre_seed,follow_on_investor,low_seed_funding,high_seed_funding,duration_seed_stage,all_homecountry_investors_in_seed_binary,regional_seed_investor_binary,regional_seed_investor_institutional_binary,city_seed_investor_binary,lead_investor_in_seed,accelerator_seed_investor_binary,incubator_seed_investor_binary,micro_vc_seed_investor_binary,corporate_venture_capital_seed_investor_binary,angel_group_seed_investor_binary,angel_seed_investor_binary,university_program_seed_investor_binary,entrepreneurship_program_seed_investor_binary,family_investment_office_seed_investor_binary,us_investor_binary,gdp,top_university,exit_binary,post_seed_success,success
000001,DePoly,Switzerland,46.2311749,7.3588795,2020,0,False,3,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2020.0,3,11,False,True,True,False,True,52.4,False,True,True,False,True,False,False,False,True,True,True,False,False,False,True,-2.14173712,False,False,False,False
000002,Hilo,Switzerland,46.9895828,6.9292641,2018,1,False,3,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,2018.0,2,7,False,False,True,False,True,17.9,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,2.860445794,False,False,True,True
000004,HAYA Therapeutics,Switzerland,46.5218269,6.6327025,2017,1,True,2,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,2018.0,5,8,False,True,True,False,True,43.2,False,True,True,False,True,False,True,False,False,False,False,False,False,False,True,1.362799655,True,False,False,False
000005,Squirro,Switzerland,47.3744489,8.5410422,2012,1,True,4,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,2012.0,2,6,False,False,True,False,False,11.1,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,1.179253853,True,False,True,True
000008,Auterion,Switzerland,47.3744489,8.5410422,2017,1,True,2,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,2017.0,2,4,False,True,True,False,True,9.0,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,1.362799655,True,False,True,True
000010,Terra Quantum,Switzerland,47.425618,9.3762397,2019,1,False,1,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,2019.0,1,1,True,True,False,False,True,0.0,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,1.14198219,False,False,True,True
000012,Planted Foods,Switzerland,47.4528517,8.7058075,2019,0,True,4,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,2019.0,3,8,False,True,True,False,True,6.9,False,True,True,True,True,False,True,True,True,False,False,True,False,False,True,1.14198219,True,False,False,False
000014,Beekeeper,Switzerland,47.3744489,8.5410422,2012,1,True,4,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,2016.0,1,7,False,False,False,False,True,0.0,False,True,True,True,True,False,False,True,False,True,True,False,False,False,True,1.179253853,True,False,False,False
000015,Ledgy,Switzerland,47.3744489,8.5410422,2017,1,True,3,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2018.0,1,6,False,False,False,False,False,0.0,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,1.362799655,True,False,True,True
000020,BioVersys,Switzerland,47.5581077,7.5878261,2008,1,False,2,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,2009.0,2,4,False,True,False,False,False,22.1,False,True,True,True,True,False,True,False,False,True,True,False,True,False,False,2.807983592,True,True,True,True
000021,Yokoy,Switzerland,47.3744489,8.5410422,2019,1,True,5,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,2020.0,1,4,False,False,False,False,False,0.0,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,1.14198219,True,True,True,True
000023,Retinai,Switzerland,46.9484742,7.4521749,2016,1,False,3,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,2017.0,3,3,False,True,False,False,False,18.1,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,2.06868969,True,False,True,True
000024,Lightly,Switzerland,47.3744489,8.5410422,2019,1,True,2,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,2020.0,4,6,False,True,True,False,False,19.3,False,True,True,True,True,True,False,True,False,True,True,False,False,False,True,1.14198219,True,False,False,False
000035,Araris Biotech,Switzerland,47.3744489,8.5410422,2019,1,True,3,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,2019.0,3,8,False,True,True,False,True,16.4,False,True,True,True,True,False,True,False,False,False,False,False,False,False,True,1.14198219,True,True,False,True
000039,Bloom Biorenewables Ltd,Switzerland,46.8055656,7.1612669,2019,1,False,3,False,True,False,True,True,False,False,True,False,False,True,False,False,False,True,2018.0,5,7,False,True,False,False,False,56.1,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,1.14198219,False,False,True,True
000042,Backbone,Switzerland,46.2017559,6.1466014,2018,1,False,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2020.0,2,4,False,True,True,False,True,18.5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2.860445794,True,False,False,False
000044,MPower Ventures,Switzerland,47.3744489,8.5410422,2017,1,True,3,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,2020.0,2,1,True,False,False,False,False,35.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.362799655,True,False,False,False
000045,Frontify,Switzerland,47.2834954,9.4851089,2013,1,False,2,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,2013.0,2,2,False,True,False,True,False,17.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,1.792144007,False,False,True,True
000046,Neural Concept,Switzerland,46.5218269,6.6327025,2018,1,True,2,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,2019.0,3,3,False,True,True,True,False,22.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,2.860445794,True,False,True,True
000049,AMNIS Treasury Services,Switzerland,47.3744489,8.5410422,2014,1,True,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2020.0,1,1,True,False,False,False,False,0.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,2.349881415,True,False,True,True
