Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Diversity Spotlight,Lead Investors,Investor Names,CB Rank (Funding Round),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Funding Stage,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Equity Only Funding,Sentiment
Venture Round - Talon.One,https://www.crunchbase.com/funding_round/talon-one-series-unknown--f5129d97,Talon.One,https://www.crunchbase.com/organization/talon-one,Venture - Series Unknown,2025-07-01,114000000,EUR,134395292,,"Meritech Capital Partners, Silversmith Capital Partners","CRV, Meritech Capital Partners, Silversmith Capital Partners",58,,,,,"Talon.One is the most powerful incentives engine that unifies loyalty, promotions and gamification into one holistic platform.","Business Development, Enterprise Software, Information Technology, Loyalty Programs, Marketing, SaaS, Software","Berlin, Berlin, Germany, Europe",https://talon.one,$10M to $50M,114000000,EUR,134395292,,6,3,3,Yes,
Venture Round - Hololight,https://www.crunchbase.com/funding_round/holo-light-series-unknown--dd80f7d9,Hololight,https://www.crunchbase.com/organization/holo-light,Venture - Series Unknown,2025-07-08,10000000,EUR,11756310,,Cipio Partners,"Bayern Kapital, Cipio Partners, Direttissima Growth Partners, EnBW New Ventures, Future Energy Ventures",745,,,,,Unleashing the potential of XR. Hololight provides XR software and streaming technology for the enterprise market.,"Augmented Reality, Cloud Computing, Industrial, Information Technology, Metaverse, Software, Video Streaming, Virtual Reality, Wearables","Ismaning, Bayern, Germany, Europe",https://hololight.com,$1M to $10M,36567572,USD,36567572,,9,5,4,Yes,
Venture Round - Barberino's - Benessere Italiano,https://www.crunchbase.com/funding_round/barberino-s-classic-italian-barber-series-unknown--9650864e,Barberino's - Benessere Italiano,https://www.crunchbase.com/organization/barberino-s-classic-italian-barber,Venture - Series Unknown,2025-07-15,1200000,USD,1200000,,SAUJET Holdings,"Eric Malka, Myriam Zaoui Malka, SAUJET Holdings","1,549",,,,,Independent Italian men's grooming company offering premium care to premium men,"E-Commerce, Retail","Milan, Lombardia, Italy, Europe",https://www.barberinosworld.com,,3891917,USD,3891917,,5,3,,Yes,
Venture Round - FlyNex,https://www.crunchbase.com/funding_round/flynex-2-series-unknown--d6489c2d,FlyNex,https://www.crunchbase.com/organization/flynex-2,Venture - Series Unknown,2025-07-08,,,,,,"Sächsische Beteiligungsgesellschaft, TGFS - Technologiegründerfonds Sachsen","2,641",,,,,All-in-one data generation platform for corporations empowering drones and AI,"Construction, Data Integration, Enterprise, Enterprise Resource Planning (ERP), Enterprise Software, Oil and Gas, Property Management, Real Estate, Renewable Energy, Solar","Leipzig, Sachsen, Germany, Europe",https://www.flynex.io,$1M to $10M,6006000,EUR,6968065,,4,2,2,Yes,
Venture Round - McMakler,https://www.crunchbase.com/funding_round/mcmakler-gmbh-series-unknown--adebfbd0,McMakler,https://www.crunchbase.com/organization/mcmakler-gmbh,Venture - Series Unknown,2025-06-23,,,,,Kreos Capital,"Kreos Capital, Target Global","4,491",,,,,McMakler is the leading hybrid real estate transaction platform in Germany.,"Real Estate, Real Estate Investment","Berlin, Berlin, Germany, Europe",http://www.mcmakler.de/,$500M to $1B,231007705,USD,231007705,,11,2,,Yes,
Series D - Curve,https://www.crunchbase.com/funding_round/curve-series-d--b8f89689,Curve,https://www.crunchbase.com/organization/curve,Series D,2025-03-14,37000000,GBP,47889125,,Hanaco Venture Capital,"Fuel Venture Capital, Hanaco Venture Capital, IDC Ventures, Outward VC, Stanley Fink","5,307",,,,Late Stage Venture,Curve Pay actively works to save you money and enhance every payment you make through its cutting-edge wallet technology.,"Apps, Banking, Financial Services, FinTech, Payments","London, England, United Kingdom, Europe",https://www.curve.com,$10M to $50M,301716571,USD,301716571,Late Stage Venture,11,5,1,Yes,
Series C - Veriff,https://www.crunchbase.com/funding_round/veriff-series-c--d7345439,Veriff,https://www.crunchbase.com/organization/veriff,Series C,2022-01-26,100000000,USD,100000000,,"Alkeon Capital, Tiger Global Management","Accel, Alkeon Capital, IVP, Tiger Global Management","6,088",1400000000,USD,1400000000,Late Stage Venture,Veriff is an identity verification company that protects businesses and customers from online identity fraud.,"Artificial Intelligence (AI), Cyber Security, Fraud Detection, Identity Management, Information Technology","Tallinn, Harjumaa, Estonia, Europe",https://veriff.com,$100M to $500M,192320000,USD,192320000,Late Stage Venture,7,4,3,Yes,
Series C - Moniepoint,https://www.crunchbase.com/funding_round/moniepoint-series-c--3c20a5f2,Moniepoint,https://www.crunchbase.com/organization/moniepoint,Series C,2024-10-29,110000000,USD,110000000,,Development Partners International,"Development Partners International, Google’s Africa Investment Fund, Lightrock, Verod Capital Management","6,485",890000000,USD,890000000,Late Stage Venture,"Moniepoint is a financial technology company that offers payments, banking, and a platform tailored for businesses and their customers.","Banking, Credit, Finance, Financial Services, FinTech, Payments","London, England, United Kingdom, Europe",https://www.moniepoint.com,$100M to $500M,233058694,USD,233058694,,9,4,3,Yes,
Series C - Grover,https://www.crunchbase.com/funding_round/grover-series-c--f5aeb7ae,Grover,https://www.crunchbase.com/organization/grover,Series C,2022-04-06,110000000,USD,110000000,,Energy Impact Partners,"Assurant, COI Partners, coparion, Energy Impact Partners, German Media Pool, Korelya Capital, Mirae Asset Capital, SevenVentures, Viola FinTech, Wealthing VC Club","8,722",1130000000,USD,1130000000,Late Stage Venture,Grover offers technology subscriptions that enable customers to rent tech products on a monthly basis instead of purchasing them.,"Consumer Electronics, E-Commerce, Rental, Subscription Service","Berlin, Berlin, Germany, Europe",http://www.grover.com,$500M to $1B,2341386751,USD,2341386751,,19,10,2,Yes,
Series D - Talon.One,https://www.crunchbase.com/funding_round/talon-one-series-d--641a64c2,Talon.One,https://www.crunchbase.com/organization/talon-one,Series D,2024-10-31,,,,,,,"9,837",,,,Late Stage Venture,"Talon.One is the most powerful incentives engine that unifies loyalty, promotions and gamification into one holistic platform.","Business Development, Enterprise Software, Information Technology, Loyalty Programs, Marketing, SaaS, Software","Berlin, Berlin, Germany, Europe",https://talon.one,$10M to $50M,114000000,EUR,134395292,,6,,,Yes,
Series A - Just Move In,https://www.crunchbase.com/funding_round/just-move-in-series-a--c5c58d76,Just Move In,https://www.crunchbase.com/organization/just-move-in,Series A,2025-02-27,8000000,USD,8000000,,Eos Venture Partners,"Chris Hulatt, Eos Venture Partners, Second Century Ventures, Simon Rogerson, The FSE Group, Wayra","15,941",,,,Early Stage Venture,Just Move In is the Home Setup platform that provide a range of products and services to make moving home easier.,"Information Technology, Management Information Systems, Property Management, Real Estate","Bournemouth, Bournemouth, United Kingdom, Europe",https://www.justmovein.com,$1M to $10M,17324356,USD,17324356,Early Stage Venture,6,6,1,Yes,
Series F - Getir,https://www.crunchbase.com/funding_round/getir-series-f--3c7c9eab,Getir,https://www.crunchbase.com/organization/getir,Series F,2023-09-08,500000000,USD,500000000,,Mubadala,"G Squared, Michael Moritz, Mubadala, Revo Capital","17,235",2000000000,USD,2000000000,Late Stage Venture,Getir is a technology company that provides on-demand delivery services of groceries for local customers.,"Delivery Service, E-Commerce, Logistics, Mobile Apps","Besiktas, Istanbul, Turkey, Europe",https://getir.com,$10B+,2293000000,USD,2293000000,M&A,9,4,,Yes,
Series B - Infraspeak,https://www.crunchbase.com/funding_round/infraspeak-series-b--a47e68a1,Infraspeak,https://www.crunchbase.com/organization/infraspeak,Series B,2024-10-29,18000000,EUR,19475882,,Endeit Capital,"Bright Pixel (formerly Sonae IM), Caixa Capital, Endeit Capital, Indico Capital Partners, Innovation Nest","18,535",,,,Early Stage Venture,Infraspeak is an Intelligent Maintenance Management Platform that brings your entire Facility Management operation together.,"Asset Management, Building Maintenance, Facility Management, Information Technology, Internet of Things, Property Management, SaaS, Smart Building, Software","Oporto, Porto, Portugal, Europe",https://www.infraspeak.com,$10M to $50M,39410667,USD,39410667,Early Stage Venture,6,5,,Yes,
Series A - Taskbase,https://www.crunchbase.com/funding_round/taskbase-series-a--f1d3e010,Taskbase,https://www.crunchbase.com/organization/taskbase,Series A,2024-05-13,3500000,CHF,3854621,,"Acrobator Ventures, Mediahuis","Acrobator Ventures, Bloomhaus Ventures, Mediahuis","19,451",,,,Early Stage Venture,Taskbase is an e-learning technology company that uses AI to empower adaptive tutoring using advanced formative feedback systems.,"Artificial Intelligence (AI), E-Learning, Education, SaaS","Zürich, Zurich, Switzerland, Europe",https://www.taskbase.com,$1M to $10M,5164864,USD,5164864,Early Stage Venture,3,3,2,Yes,
Venture Round - Elder,https://www.crunchbase.com/funding_round/elder-series-unknown--bf56dd5c,Elder,https://www.crunchbase.com/organization/elder,Venture - Series Unknown,2024-04-22,,,,,UKTV Ventures,UKTV Ventures,"27,138",,,,,Elder provides live-in and short-term home care for elderly individuals across the UK.,"Elderly, Health Care, Home Health Care, Internet","London, England, United Kingdom, Europe",http://elder.org,$10M to $50M,19762464,USD,19762464,,6,1,1,Yes,
Venture Round - Wingly,https://www.crunchbase.com/funding_round/wingly-series-unknown--98db827d,Wingly,https://www.crunchbase.com/organization/wingly,Venture - Series Unknown,2024-05-13,3500000,EUR,3777234,,Innovacom,"HOWZAT Partners, Innovacom, Thibaud Elziere","32,270",,,,,Wingly is a flight sharing platform where private pilots offer their flights and passengers can fly with them.,"Aerospace, Internet, Leisure, Travel","Paris, Ile-de-France, France, Europe",https://www.wingly.io,$1M to $10M,8500000,EUR,9624507,,5,3,,Yes,
Venture Round - Lunar,https://www.crunchbase.com/funding_round/lunar-bank-series-unknown--cb37e58e,Lunar,https://www.crunchbase.com/organization/lunar-bank,Venture - Series Unknown,2024-04-30,24100000,EUR,25705241,,,,"33,645",,,,,Lunar is a digital bank that offers a mobile-based banking app that helps consumers manage their personal finances.,"Banking, Credit Cards, Debit Cards, Financial Services, FinTech","Aarhus, Midtjylland, Denmark, Europe",http://www.lunar.app,$100M to $500M,513693462,USD,513693462,,11,,,Yes,
Series A - Recruitment Smart Technologies,https://www.crunchbase.com/funding_round/recruitment-smart-technologies-ltd-series-a--a7426b89,Recruitment Smart Technologies,https://www.crunchbase.com/organization/recruitment-smart-technologies-ltd,Series A,2024-04-02,2000000,GBP,2515220,,Blackfinch Ventures,"Blackfinch Ventures, Unicorn India Ventures","33,652",,,,Early Stage Venture,"SAAS, B2B, DeepTech, Talent Supply chain automation, HR, Recruitment","Artificial Intelligence (AI), Human Resources, Information Technology, Machine Learning, SaaS, Software, Staffing Agency","London, England, United Kingdom, Europe",http://www.recruitmentsmart.com,$1M to $10M,4752790,USD,4752790,Early Stage Venture,7,2,,Yes,
Series A - Anisoprint,https://www.crunchbase.com/funding_round/anisoprint-series-a--430b84ca,Anisoprint,https://www.crunchbase.com/organization/anisoprint,Series A,2024-12-23,100000000,CNY,13702384,,GF Xinde Investment Management,"GF Xinde Investment Management, Guoding Capital, Heshijia Capital","33,739",,,,Early Stage Venture,Anisoprint is a hardware startup producing carbon fiber 3D printers.,"3D Printing, Manufacturing","Esch-sur-alzette, Luxembourg, Luxembourg, Europe",http://anisoprint.com,Less than $1M,100000000,CNY,13702384,Early Stage Venture,3,3,3,Yes,
Venture Round - BIOS,https://www.crunchbase.com/funding_round/bios-health-series-unknown--978b0bbb,BIOS,https://www.crunchbase.com/organization/bios-health,Venture - Series Unknown,2024-01-09,,,,,,Kern Venture Group,"35,161",,,,,BIOS Health uses data-driven insights from the nervous system to build neural digital therapies - the next big trend in precision medicines.,"Bioinformatics, Machine Learning, Medical, Medical Device, Neuroscience","Cambridge, Cambridgeshire, United Kingdom, Europe",https://www.bios.health/,Less than $1M,46796540,USD,46796540,,11,1,,Yes,
Series A - Healthera,https://www.crunchbase.com/funding_round/healthera-series-a--63cd7d97,Healthera,https://www.crunchbase.com/organization/healthera,Series A,2025-04-16,2000000,GBP,2649491,,Committed Capital,Committed Capital,"45,398",,,,Early Stage Venture,"Transforming the way a nation delivers its healthcare to its population, from prescriptions to personalised services.","Health Care, Personal Health, Wellness","Cambridge, Cambridgeshire, United Kingdom, Europe",http://www.healthera.co.uk,$1M to $10M,6985909,GBP,9091389,Early Stage Venture,9,1,1,Yes,
Series B - Sympower,https://www.crunchbase.com/funding_round/sympower-series-b--3cc855bf,Sympower,https://www.crunchbase.com/organization/sympower,Series B,2024-11-13,21300000,EUR,22505365,,A&G Energy Transition Tech Fund,"A&G Energy Transition Tech Fund, Activate Capital Partners, European Investment Fund, Expon Capital, PDENH, Rubio Impact Ventures","46,181",,,,Early Stage Venture,Sympower unlocks revenue streams by maximising the value of flexibility across energy markets and industries.,"Electrical Distribution, Energy, Energy Management, Renewable Energy, Smart Cities, Software","Amsterdam, Noord-Holland, The Netherlands, Europe",http://www.sympower.net/,$10M to $50M,57816956,EUR,61374937,Early Stage Venture,9,6,4,Yes,
Series B - Daytrip,https://www.crunchbase.com/funding_round/daytrip-series-b--9f9fc9fc,Daytrip,https://www.crunchbase.com/organization/daytrip,Series B,2024-01-23,9200000,EUR,9988947,,Taiwania Capital Management Corporation,"Euroventures, J&T Ventures, N1, Taiwania Capital Management Corporation","47,413",,,,Early Stage Venture,Daytrip is a travel platform that connects independent travelers with local drivers.,"Guides, Space Travel, Tourism, Transportation, Travel","London, England, United Kingdom, Europe",https://mydaytrip.com,$1M to $10M,19418245,USD,19418245,Early Stage Venture,4,4,3,Yes,
