Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Diversity Spotlight,Lead Investors,Investor Names,CB Rank (Funding Round),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Funding Stage,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Equity Only Funding,Sentiment
Grant - HemoGenyx,https://www.crunchbase.com/funding_round/hemogenyx-grant--503f2092,HemoGenyx,https://www.crunchbase.com/organization/hemogenyx,Grant,2025-07-16,120000,USD,120000,,ScaleReady,ScaleReady,"2,878",,,,,"New treatment for blood diseases, such as leukemia and lymphoma.","Biotechnology, Health Care, Pharmaceutical","London, England, United Kingdom, Europe",http://www.hemogenyx.com/,$1M to $10M,72182456,USD,72182456,IPO,11,1,,No,
Grant - mopo,https://www.crunchbase.com/funding_round/mobile-power-2-grant--cb7585e8,mopo,https://www.crunchbase.com/organization/mobile-power-2,Grant,2025-07-17,1000000,GBP,1338332,,Innovate UK,Innovate UK,"3,927",,,,,"mopo provides clean, affordable energy to the off-grid market in Africa.","Clean Energy, CleanTech, Energy, Energy Efficiency","Sheffield, Sheffield, United Kingdom, Europe",https://mopo.co,$10M to $50M,12750931,USD,12750931,,7,1,,No,
Grant - ALL.SPACE,https://www.crunchbase.com/funding_round/all-space-grant--0eca6803,ALL.SPACE,https://www.crunchbase.com/organization/all-space,Grant,2025-07-22,3420000,EUR,3997326,,European Space Agency,European Space Agency,"4,044",,,,,"ALL.SPACE has developed the 5th generation smart terminal, capable of linking with all satellites, all networks, in all orbits, all at once.",Satellite Communication,"Reading, Reading, United Kingdom, Europe",http://www.all.space,$1M to $10M,144997326,USD,144997326,Late Stage Venture,10,1,,No,
Grant - Space Cargo Unlimited,https://www.crunchbase.com/funding_round/space-cargo-unlimited-grant--c0f73df4,Space Cargo Unlimited,https://www.crunchbase.com/organization/space-cargo-unlimited,Grant,2025-07-01,,,,,EIC Accelerator,EIC Accelerator,"5,812",,,,,Space Cargo Unlimited is a french biotech company.,"Industrial, Space Travel","Luxembourg, Luxembourg, Luxembourg, Europe",https://space-cu.com/,,,,,Seed,2,1,,No,
Grant - Single Technologies,https://www.crunchbase.com/funding_round/single-technologies-grant--6d1475b1,Single Technologies,https://www.crunchbase.com/organization/single-technologies,Grant,2025-06-24,2500000,EUR,2903105,,EIC Accelerator,EIC Accelerator,"6,519",,,,,SINGLE TECHNOLOGIES develops a new type of (3-D) DNA sequencing system to improve Life.,"Big Data, Biotechnology, Genetics, Health Care, Health Diagnostics, Machine Learning, Medical Device","Stockholm, Stockholms Lan, Sweden, Europe",http://www.singletechnologies.com/,$1M to $10M,28600524,USD,28600524,Seed,9,1,,No,
Grant - Copenhagen Atomics,https://www.crunchbase.com/funding_round/copenhagen-atomics-grant--0876efb2,Copenhagen Atomics,https://www.crunchbase.com/organization/copenhagen-atomics,Grant,2025-06-24,,,,,EIC Accelerator,EIC Accelerator,"7,952",,,,,Copenhagen Atomics is a manufacturer of thorium reactors.,"Clean Energy, Energy, Energy Storage, Nuclear","Kastrup, Hovedstaden, Denmark, Europe",https://www.copenhagenatomics.com/,$1M to $10M,33649772,USD,33649772,,6,1,,No,
Grant - Cocunat,https://www.crunchbase.com/funding_round/cocunat-grant--366205c0,Cocunat,https://www.crunchbase.com/organization/cocunat,Grant,2025-07-18,900000,EUR,1046572,,Centre for the Development of Industrial Technology (CDTI),Centre for the Development of Industrial Technology (CDTI),"8,633",,,,,Cocunat is a natural and 100% toxic free cosmetics brand.,"Cosmetics, E-Commerce","Barcelona, Catalonia, Spain, Europe",https://www.cocunat.com/,$10M to $50M,9122115,EUR,10605444,,7,1,,No,
Grant - Cellevate,https://www.crunchbase.com/funding_round/cellevate-grant--09acbb33,Cellevate,https://www.crunchbase.com/organization/cellevate,Grant,2025-04-25,,,,,Eurostars,Eurostars,"12,944",,,,,Cellevate is an innovative biotech company that develops the next generation of cell culture systems.,Biotechnology,"Lund, Skane Lan, Sweden, Europe",https://cellevate.com/,$1M to $10M,6322655,USD,6322655,Seed,4,1,,No,
Grant - Eligo Bioscience,https://www.crunchbase.com/funding_round/eligo-bioscience-grant--38bbdd1e,Eligo Bioscience,https://www.crunchbase.com/organization/eligo-bioscience,Grant,2025-05-13,5000000,USD,5000000,,France 2030,France 2030,"14,444",,,,,"Eligobiotics provides a new approach to explore, understand, and control bacterial ecosystems both in human and animals.","Biotechnology, Health Care, Medical","Paris, Ile-de-France, France, Europe",https://eligo.bio/,$1M to $10M,74706775,USD,74706775,Early Stage Venture,10,1,,No,
Grant - S3Bubble,https://www.crunchbase.com/funding_round/s3bubble-grant--e75c57fe,S3Bubble,https://www.crunchbase.com/organization/s3bubble,Grant,2013-07-30,6000,GBP,9156,,,,"469,296",,,,,S3bubble Need a service to deliver your content securely? S3Bubble Mobile Wordpress,"Blogging Platforms, Browser Extensions, Cyber Security, File Sharing, Video Streaming","Cardiff, Cardiff, United Kingdom, Europe",https://s3bubble.com,Less than $1M,21000,GBP,32693,Seed,2,,,No,
Grant - INERATEC,https://www.crunchbase.com/funding_round/ineratec-grant--d3a6b90d,INERATEC,https://www.crunchbase.com/organization/ineratec,Grant,2025-01-30,30000000,EUR,31278150,,Breakthrough Energy Ventures,Breakthrough Energy Ventures,"17,910",,,,,NERATEC produces carbon-neutral synthetic fuels and chemicals for various applications.,"Chemical Engineering, Energy, Environmental Engineering, Renewable Energy","Karlsruhe, Baden-Wurttemberg, Germany, Europe",https://ineratec.de,$1M to $10M,208000000,EUR,224030673,Early Stage Venture,7,1,,No,
Grant - Foodcloud,https://www.crunchbase.com/funding_round/foodcloud-grant--3868836f,Foodcloud,https://www.crunchbase.com/organization/foodcloud,Grant,2025-01-03,75000,EUR,77038,,"The Department of Agriculture, Food and the Marine","The Department of Agriculture, Food and the Marine","19,267",,,,,FoodCloud is a social enterprise that connects businesses with surplus food to local charities and community groups in Ireland.,"Charity, Food and Beverage, Social, Social Entrepreneurship","Dublin, Dublin, Ireland, Europe",https://food.cloud/,Less than $1M,685000,EUR,732630,,5,1,,No,
Grant - Metabio BG,https://www.crunchbase.com/funding_round/metabio-bg-grant--c665865d,Metabio BG,https://www.crunchbase.com/organization/metabio-bg,Grant,2024-07-31,117000,EUR,126639,,European Commission,European Commission,"30,858",,,,,"Metabio BG designs, develops, and implements IT solutions for the life science industry.","Big Data, Health Care","Thessaloníki, Thessaloniki, Greece, Europe",https://metab.io,,167000,EUR,181241,Seed,2,1,,No,
Grant - AMFG,https://www.crunchbase.com/funding_round/amfg-grant--d328262d,AMFG,https://www.crunchbase.com/organization/amfg,Grant,2024-02-20,474568,GBP,599139,,Innovate UK,Innovate UK,"30,908",,,,,AMFG provides automation software for industrial 3D printing.,"3D Printing, Information Technology, Manufacturing, Software","London, England, United Kingdom, Europe",https://amfg.ai,$1M to $10M,9099139,USD,9099139,Early Stage Venture,3,1,,No,
Grant - InFlectis BioScience,https://www.crunchbase.com/funding_round/inflectis-bioscience-grant--cd82e28a,InFlectis BioScience,https://www.crunchbase.com/organization/inflectis-bioscience,Grant,2024-04-30,649601,USD,649601,,National Multiple Sclerosis Society (NMSS),National Multiple Sclerosis Society (NMSS),"40,160",,,,,InFlectis BioScience is a private drug discovery company aiming at targeting.,"Biopharma, Biotechnology, Health Care, Medical, Pharmaceutical","Nantes, Pays de la Loire, France, Europe",http://www.inflectis-bioscience.com,$1M to $10M,10472992,USD,10472992,Early Stage Venture,4,1,,No,
Grant - Terrabotics,https://www.crunchbase.com/funding_round/terrabotics-grant--63a0bd5a,Terrabotics,https://www.crunchbase.com/organization/terrabotics,Grant,2023-12-04,,,,,"European Space Agency, UK Space Agency","European Space Agency, UK Space Agency","43,728",,,,,An Earth Observation & Remote Sensing Data Analytics company rapidly 3D mapping the world for more smarter natural resources management.,"3D Technology, Analytics, Artificial Intelligence (AI), Mapping Services, Natural Resources, Oil and Gas, Remote Sensing, Renewable Energy, Software, Sustainability","London, England, United Kingdom, Europe",https://www.terrabotics.co.uk/,$1M to $10M,1671000,USD,1671000,Seed,7,2,,No,
