Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Techstars,https://www.crunchbase.com/organization/techstars,"Accelerator, Venture Capital","6,189",527,"Boulder, Colorado, United States","Greater Denver Area, Western US",Techstars is an accelerator that provides pre-seed investment and mentoring for various early stage startups.,"4,715",15,"3,257",Active,2006-08-01,day,https://www.techstars.com,https://www.linkedin.com/company/techstars,"Consulting, Finance, Financial Services, FinTech, Incubators","Financial Services, Lending and Investments, Professional Services",5,"Brad Feld, David Brown, David Cohen, Jared Polis, Mike Romano",251-500,"Convertible Note, Early Stage Venture, Non Equity Assistance, Seed, Venture",For Profit,Made Acquisitions,Private,238
500 Global,https://www.crunchbase.com/organization/500-startups,"Accelerator, Angel Group, Micro VC, Venture Capital","3,179",400,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",500 Global is a multi-stage venture capital firm that invests in founders building fast-growing technology companies.,"2,436",20,485,Active,2010-07-30,day,http://500.co,https://www.linkedin.com/company/500global,"Finance, Financial Services, Funding Platform, Internet, Venture Capital","Financial Services, Internet Services, Lending and Investments",2,"Christine Tsai, Kai Roh",251-500,"Early Stage Venture, Late Stage Venture, Seed, Venture",For Profit,,Private,228
Accel,https://www.crunchbase.com/organization/accel,Venture Capital,"2,184",394,"Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Accel is an seed and growth-stage venture capital firm that helps a global community of entrepreneurs.,"1,064",68,884,Active,1983-01-01,year,http://www.accel.com,https://www.linkedin.com/company/accel-vc,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Arthur Patterson, Jim Swartz",101-250,"Convertible Note, Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",,Made Acquisitions,Private,18
Antler,https://www.crunchbase.com/organization/antler-be9c,Venture Capital,"1,778",12,"Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Antler is a venture capital firm that focuses on early stage investments for startups.,"1,524",,789,Active,2018-01-01,year,https://antler.co,https://www.linkedin.com/company/antlerglobal,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",20,"Adryz Arriffin, Crystal Kendzior, Daniel Dudas- Schwarz, Dilan Mizrakli Landgraff, Edwin Fong, Fridtjof Berge, Hoang Tran, Juan Barragan, Jussi Salovaara, Khie Sydney Udag, Magnus Grimeland, Oswaldo Alvarez, Philip Causgrove, Rajesh Rai, Rudine Mottaghian, Sam Hogan, Sereen Teoh, Stefan Jung, Tristan Marino, Vegard Medbo",251-500,"Early Stage Venture, Seed, Venture",For Profit,,Private,33
Newchip Accelerator,https://www.crunchbase.com/organization/newchip,"Accelerator, Incubator, Venture Capital","1,285",13,"Austin, Texas, United States",Southern US,Newchip is a global remote startup accelerator.,"1,281",,26,Active,2016-01-01,year,https://www.newchip.com,https://www.linkedin.com/company/newchip/,"Apps, Retail, Software","Apps, Commerce and Shopping, Software",4,"Andrew Ryan, Andrew Ryan, Nihar Patel, Travis Brodeen",51-100,"Early Stage Venture, Seed",,,Private,"6,554"
Index Ventures,https://www.crunchbase.com/organization/index-ventures,Venture Capital,"1,211",260,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Index Ventures is a venture capital firm that helps the entrepreneurs turn bold ideas into global businesses.,654,52,484,Active,1996-01-01,year,http://www.indexventures.com,http://www.linkedin.com/company/index-ventures,"Angel Investment, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",4,"David Rimer, Giuseppe Zocco, Neil Rimer, Terrence Rohan",101-250,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,123
European Innovation Council,https://www.crunchbase.com/organization/european-innovation-council,"Accelerator, Venture Capital","1,154",30,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","European Union (EU), Europe, Middle East, and Africa (EMEA)","The European Innovation Council aims to support top-class innovators, entrepreneurs, small companies and researchers with bright ideas.",659,9,841,Active,1957-03-25,day,https://eic.ec.europa.eu,https://www.linkedin.com/company/eismea,"Government, Office Administration, Social Entrepreneurship","Administrative Services, Community and Lifestyle, Government and Military, Social Impact",,,501-1000,"Early Stage Venture, Grant",For Profit,,Private,974
Wayra,https://www.crunchbase.com/organization/wayra,Corporate Venture Capital,"1,136",52,"Madrid, Madrid, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",Wayra connects Telefonica and technological disruptors around the world.,684,1,81,Active,2011-01-01,year,https://www.wayra.com,https://www.linkedin.com/company/wayra,"Business Development, Incubators, Innovation Management","Financial Services, Lending and Investments, Professional Services",1,Marta Antunez,101-250,"Early Stage Venture, Non Equity Assistance, Seed, Venture",For Profit,,Private,998
Seedcamp,https://www.crunchbase.com/organization/seedcamp,"Accelerator, Micro VC, Venture Capital",624,74,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Seedcamp is a European seed fund that identifies and invests early in founders attacking global markets.,422,2,82,Active,2007-05-01,day,http://www.seedcamp.com,http://www.linkedin.com/company/seedcamp_2,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Reshma Sohoni, Saul Klein",11-50,"Early Stage Venture, Seed",For Profit,,Private,"1,874"
Startup Wise Guys,https://www.crunchbase.com/organization/startup-wise-guys,"Accelerator, Venture Capital",623,13,"Tallinn, Harjumaa, Estonia","European Union (EU), Europe, Middle East, and Africa (EMEA)","Startup Wise Guys is a venture capital and private equity firm that invests in start ups, B2C and B2B.",447,,146,Active,2012-01-01,year,https://startupwiseguys.com/,https://www.linkedin.com/company/startup-wise-guys,"Banking, Financial Services, Venture Capital","Financial Services, Lending and Investments",5,"Christian Testman, Cristobal Alonso, Herty Tammo, Jon Bradford, Mike Reiner",51-100,"Early Stage Venture, Seed, Venture",For Profit,,Private,828
