Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Techstars,https://www.crunchbase.com/organization/techstars,"Accelerator, Venture Capital","6,189",527,"Boulder, Colorado, United States","Greater Denver Area, Western US",Techstars is an accelerator that provides pre-seed investment and mentoring for various early stage startups.,"4,715",15,"3,257",Active,2006-08-01,day,https://www.techstars.com,https://www.linkedin.com/company/techstars,"Consulting, Finance, Financial Services, FinTech, Incubators","Financial Services, Lending and Investments, Professional Services",5,"Brad Feld, David Brown, David Cohen, Jared Polis, Mike Romano",251-500,"Convertible Note, Early Stage Venture, Non Equity Assistance, Seed, Venture",For Profit,Made Acquisitions,Private,238
500 Global,https://www.crunchbase.com/organization/500-startups,"Accelerator, Angel Group, Micro VC, Venture Capital","3,179",400,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",500 Global is a multi-stage venture capital firm that invests in founders building fast-growing technology companies.,"2,436",20,485,Active,2010-07-30,day,http://500.co,https://www.linkedin.com/company/500global,"Finance, Financial Services, Funding Platform, Internet, Venture Capital","Financial Services, Internet Services, Lending and Investments",2,"Christine Tsai, Kai Roh",251-500,"Early Stage Venture, Late Stage Venture, Seed, Venture",For Profit,,Private,228
SOSV,https://www.crunchbase.com/organization/sosv,"Accelerator, Venture Capital","2,881",80,"Princeton, New Jersey, United States","East Coast, Northeastern US",SOSV is a deep tech venture firm that invests from a startup's inception.,"1,445",8,"1,149",Active,1995-01-01,year,https://sosv.com,https://www.linkedin.com/company/sosv,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",1,Sean O'Sullivan,51-100,"Early Stage Venture, Seed",,,Private,951
New Enterprise Associates,https://www.crunchbase.com/organization/new-enterprise-associates,Venture Capital,"2,235",611,"Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",New Enterprise Associates is a venture capital firm that focuses on investments in technology and healthcare startups.,"1,196",219,793,Active,1977-01-01,day,http://www.nea.com,https://www.linkedin.com/company/new-enterprise-associates,"Consumer, Finance, Financial Services, Health Care, Venture Capital","Financial Services, Health Care, Lending and Investments, Other",3,"Chuck Newhall, Frank A. Bonsal, Richard Kramlich",101-250,"Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Venture",,Made Acquisitions,Private,158
Bossa Invest,https://www.crunchbase.com/organization/bossanova-investimentos,Venture Capital,"2,204",230,"São Paulo, Sao Paulo, Brazil",Latin America,Bossa Invest manages investment portfolios and provides asset management services to clients in various sectors.,"1,671",23,58,Active,2011-01-01,year,http://www.bossainvest.com,https://www.linkedin.com/company/bossanova-investimentos,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Joao Kepler Braga, Pierre Schurmann",11-50,"Early Stage Venture, Seed, Venture",,,Private,"1,239"
Sequoia Capital,https://www.crunchbase.com/organization/sequoia-capital,Venture Capital,"2,131",421,"Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Sequoia Capital is a VC firm that invests in startups in the energy, financial, enterprise, healthcare, internet, and mobile industries.","1,193",129,794,Active,1972-11-01,day,http://www.sequoiacap.com,http://www.linkedin.com/company/sequoia,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Donald Valentine, W. M. Coughran",101-250,"Crowdfunding, Early Stage Venture, Initial Coin Offering, Late Stage Venture, Post-Ipo, Seed, Venture",,,Private,48
Alumni Ventures,https://www.crunchbase.com/organization/alumni-ventures-group,"Angel Group, Hedge Fund, Micro VC, Venture Capital","1,982",178,"Manchester, New Hampshire, United States","East Coast, New England, Northeastern US",Alumni Ventures Group is an venture capital investment firm that manages fund families that invest in a portfolio of companies.,"1,485",22,417,Active,2014-01-01,year,http://www.av.vc,https://www.linkedin.com/company/alumniventures,"Angel Investment, Business Development, Venture Capital","Financial Services, Lending and Investments, Professional Services",3,"Luke Antal, Michael Collins, Michael Madden",251-500,"Convertible Note, Early Stage Venture, Initial Coin Offering, Late Stage Venture, Seed, Venture",,,Private,31
Antler,https://www.crunchbase.com/organization/antler-be9c,Venture Capital,"1,778",12,"Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Antler is a venture capital firm that focuses on early stage investments for startups.,"1,524",,789,Active,2018-01-01,year,https://antler.co,https://www.linkedin.com/company/antlerglobal,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",20,"Adryz Arriffin, Crystal Kendzior, Daniel Dudas- Schwarz, Dilan Mizrakli Landgraff, Edwin Fong, Fridtjof Berge, Hoang Tran, Juan Barragan, Jussi Salovaara, Khie Sydney Udag, Magnus Grimeland, Oswaldo Alvarez, Philip Causgrove, Rajesh Rai, Rudine Mottaghian, Sam Hogan, Sereen Teoh, Stefan Jung, Tristan Marino, Vegard Medbo",251-500,"Early Stage Venture, Seed, Venture",For Profit,,Private,33
Intel Capital,https://www.crunchbase.com/organization/intel-capital,Corporate Venture Capital,"1,606",508,"Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Intel Capital invests in innovative startups targeting cloud and AI infrastructure, cybersecurity, and other disruptive technologies.","1,063",89,560,Active,1991-01-01,year,http://www.intelcapital.com,https://www.linkedin.com/company/intelcapital,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",3,"Dave Johnson, Les Vadasz, Peter Levin",51-100,"Convertible Note, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed, Venture",,,Private,"4,336"
Lightspeed Venture Partners,https://www.crunchbase.com/organization/lightspeed-venture-partners,Venture Capital,"1,492",250,"Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Lightspeed Venture Partners is a venture capital firm that engages in consumer, enterprise, technology, and cleantech markets.",839,37,540,Active,2000-01-01,year,http://lsvp.com,http://www.linkedin.com/company/lightspeed-venture-partners,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",4,"Barry Eggers, Christopher Schaepe, Peter Nieh, Ravi Mhatre",101-250,"Early Stage Venture, Late Stage Venture, Seed",,,Private,82
