Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Apertu Capital,https://www.crunchbase.com/organization/apertu-capital,Venture Capital,9,,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",A new fund focused on investing in founders starting up from the open source software community.,9,,3,Active,2020-09-13,day,https://apertucapital.com,,Venture Capital,"Financial Services, Lending and Investments",2,"Don Sheu, Enrico Marini Fichera",1-10,"Early Stage Venture, Seed",,,Private,"4,103"
9900 Capital,https://www.crunchbase.com/organization/9900,Venture Capital,9,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Multi-stage Investment Fund,6,,4,Active,2023-03-16,day,http://www.9900capital.com,https://www.linkedin.com/company/9900-capital,,,,,1-10,"Early Stage Venture, Seed",,,Private,"4,197"
OSS Ventures,https://www.crunchbase.com/organization/oss-ventures,Venture Capital,9,,"Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",OSS is the startup studio of the manufacturing future,7,,1,Active,2018-09-24,day,https://www.oss.ventures,https://www.linkedin.com/company/oss-ventures/,"Manufacturing, Software, Venture Capital","Financial Services, Lending and Investments, Manufacturing, Software",1,Renan Devillieres,11-50,"Early Stage Venture, Seed",For Profit,,Private,"6,180"
Positron Ventures,https://www.crunchbase.com/organization/positron-ventures,Venture Capital,9,,"Amsterdam, Noord-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)",Positron Ventures invests in science startups that can create step change in environment or health,7,,4,Active,2022-01-01,year,https://positron.ventures/,https://www.linkedin.com/company/positron-ventures/,,,2,"Gijs van der Hulst, Joseph Peeraer",11-50,"Seed, Venture",,,Private,"23,751"
WaterStart Capital,https://www.crunchbase.com/organization/waterstart-capital,Venture Capital,9,3,"Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",WaterStar is a advisory firm providing multi-dimensional business consulting services.,8,,5,Active,2015-01-01,year,http://www.wscapitalus.com/,https://www.linkedin.com/company/waterstart-capital/,,,2,"Carina Cao, Yang Yigang",1-10,Early Stage Venture,,,Private,"24,009"
No Label Ventures,https://www.crunchbase.com/organization/no-label-ventures,Venture Capital,9,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)","An early stage, and very biased, European VC fund.",8,,,Active,2023-01-01,month,https://nolabel.ventures,https://www.linkedin.com/company/nolabelvc,,,2,"Ramzi Rafih, Ramzi Rafih",1-10,Early Stage Venture,,,Private,"28,860"
Koc Holding,https://www.crunchbase.com/organization/koc-holding,Venture Capital,9,2,"Istanbul, Istanbul, Turkey","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)","The Koç family, one of Turkey's wealthiest families, controls the company with its headquarters in Nakkaştepe, Istanbul.",8,,2,Active,1926-03-31,day,http://www.koc.com.tr/,https://www.linkedin.com/company/koc-holding,"Energy, Financial Services, Logistics","Energy, Financial Services, Transportation",1,Vehbi Koç,10001+,,For Profit,Made Acquisitions,Private,"28,954"
Avid3,https://www.crunchbase.com/organization/avid3,Venture Capital,9,,"Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Avid3 focus on the decentralization revolution, relentlessly pursuing opportunities.",8,,,Active,,,https://www.avid3.xyz/,https://www.linkedin.com/company/avid3/about/,,,,,1-10,"Early Stage Venture, Seed",,,Private,"35,060"
Quiet Ventures,https://www.crunchbase.com/organization/quiet-ventures,Venture Capital,9,,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Quiet Ventures is a venture studio.,8,,,Active,2018-01-01,day,https://www.quietventures.com/,https://www.linkedin.com/company/quietventures,Product Design,Design,,,1-10,,,,Private,"39,234"
SQUARE Knowledge Ventures,https://www.crunchbase.com/organization/square-knowledge-ventures,Venture Capital,9,,"Copacabana, Rio de Janeiro, Brazil",Latin America,SQUARE Knowledge Ventures offers venture building and investments in primary and secondary learning and education institutions.,9,,2,Active,2020-01-01,year,https://www.square.tec.br/,https://www.linkedin.com/company/square-knowledge,"Angel Investment, Education, Impact Investing, Primary Education, Secondary Education, Venture Capital","Education, Financial Services, Lending and Investments",,,1-10,"Early Stage Venture, Seed",,,Private,"43,261"
