Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Lead Investments,Number of Portfolio Organizations,Number of Exits (IPO),Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industry Groups,Industries,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status
UST,https://www.crunchbase.com/organization/ust,"Corporate Venture Capital, Private Equity Firm",19,3,"Aliso Viejo, California, United States","Greater Los Angeles Area, West Coast, Western US",UST is a Digital Transformations Solutions Provider.,10,17,1,Active,1999-01-01,year,https://www.ust.com,https://www.linkedin.com/company/USTglobal,"Information Technology, Professional Services","Consulting, Information Services, Information Technology",1,Stephen Ross,10001+,,For Profit,Made Acquisitions,Private
Cusp Capital,https://www.crunchbase.com/organization/cusp-capital,Venture Capital,19,2,"Essen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Cusp Capital makes investments in fast-growing technology companies on the cusp.,14,15,,Active,2021-01-01,year,https://www.cuspcapital.com,https://www.linkedin.com/company/cuspcapital/,,,2,"Christian Winter, Jan Sessenhausen",11-50,Early Stage Venture,,,Private
Merantix Capital,https://www.crunchbase.com/organization/merantix,Venture Capital,19,1,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Building and investing in AI since 2016,13,12,,Active,2016-03-01,month,http://merantix-capital.com,https://www.linkedin.com/company/merantix-capital,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Science and Engineering, Software","Artificial Intelligence (AI), Big Data, Impact Investing, Machine Learning, Predictive Analytics, Software, Venture Capital",2,"Adrian Locher, Rasmus Rothe",51-100,"Early Stage Venture, Seed",For Profit,,Private
ScaleX Ventures,https://www.crunchbase.com/organization/scalex-ventures,Venture Capital,19,3,"Sisli, Istanbul, Turkey","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",ScaleX invests and works with startups to scale and grow them globally together.,6,17,1,Active,2016-11-10,day,https://www.scalexventures.com/,https://tr.linkedin.com/company/scalex,"Financial Services, Lending and Investments",Venture Capital,1,Dilek Dayinlarli,1-10,"Early Stage Venture, Seed",,,Private
S2S Ventures,https://www.crunchbase.com/organization/s2s-ventures,Venture Capital,19,,"Zürich, Zurich, Switzerland","Europe, Middle East, and Africa (EMEA)",S2S Ventures is a student-run VC fund backing bold Swiss student founders before anyone else.,4,19,,Active,2021-01-01,year,https://www.s2s.vc/,https://www.linkedin.com/company/s2s-vc/,,,1,Alexander Ilic,11-50,"Convertible Note, Early Stage Venture",,,Private
ReGen Ventures,https://www.crunchbase.com/organization/regen-ventures,Venture Capital,19,,"Byron Bay, New South Wales, Australia","Asia-Pacific (APAC), Australasia",ReGen backs founders daring to build the companies that will restore our planet.,6,16,,Active,2020-01-01,year,https://regen.vc/,https://www.linkedin.com/company/47656977/,Software,Software,1,Dan Fitzgerald,1-10,"Early Stage Venture, Seed",,,Private
Impetus Capital,https://www.crunchbase.com/organization/impetus-capital-a753,Venture Capital,19,1,"Sofia, Grad Sofiya, Bulgaria","European Union (EU), Europe, Middle East, and Africa (EMEA)",A growth equity and development venture stage investor.,7,15,1,Active,2015-01-01,year,http://impetus.capital,https://www.linkedin.com/company/10485294/,"Biotechnology, Commerce and Shopping, Information Technology, Manufacturing, Other, Science and Engineering, Transportation","Information Technology, Life Science, Logistics, Manufacturing, Retail, Service Industry",2,"Nikolay Martinov, Viktor Manev",1-10,"Convertible Note, Early Stage Venture",,,Private
xdeck,https://www.crunchbase.com/organization/xdeck-gmbh,"Accelerator, Venture Capital",19,,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","xdeck is a venture-platform that accelerates early-stage, data-enabled b2b tech startups",3,13,,Active,2019-01-01,year,https://www.xdeck.de/,https://www.linkedin.com/company/xdeck,"Information Technology, Internet Services, Software","Information Technology, Internet, Software",2,"Nils Eiteneyer, Oliver Steinki",1-10,"Early Stage Venture, Seed",,,Private
Asymmetric,https://www.crunchbase.com/organization/asymmetric,"Hedge Fund, Venture Capital",19,,"Portland, Oregon, United States","West Coast, Western US",A modern-day crypto fund.,2,19,,Active,2022-02-02,day,https://asymmetric.financial,https://www.linkedin.com/company/asymmetric-financial,"Blockchain and Cryptocurrency, Financial Services, Hardware, Internet Services, Payments, Software","Cloud Infrastructure, Cryptocurrency, FinTech",1,Joe McCann,11-50,"Early Stage Venture, Seed",,,Private
Bertelsmann Investments,https://www.crunchbase.com/organization/bertelsmann-investments,Corporate Venture Capital,19,1,"Gütersloh, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",The Bertelsmann Investments division pools Bertelsmann's holdings in startups around the world.,4,17,,Active,2016-01-01,year,https://www.bertelsmann-investments.com/,https://www.linkedin.com/company/bertelsmann-investments/?originalSubdomain=de,"Financial Services, Lending and Investments","Angel Investment, Finance",,,1-10,Early Stage Venture,,,Private
i5invest,https://www.crunchbase.com/organization/i5invest,"Accelerator, Incubator, Investment Bank, Venture Capital",19,7,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","i5invest is a network M&A firm with access to 100K+ top decision-makers in Strategy, M&A, and Business Development.",,16,,Active,2007-06-01,day,http://www.i5invest.com,http://www.linkedin.com/company/i5invest,"Financial Services, Lending and Investments, Professional Services","Business Development, Financial Services, Incubators, Venture Capital",1,Markus Wagner,51-100,"Early Stage Venture, Seed",,,Private
MobilityFund,https://www.crunchbase.com/organization/mobility-fund,Venture Capital,19,1,"Hamburg, Hamburg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",The trusted investor to teams at the forefront of the mobility revolution,5,16,,Active,2018-08-22,day,https://mobility.fund,https://www.linkedin.com/company/mobility-fund/,"Financial Services, Internet Services, Lending and Investments, Other, Transportation","Automotive, Autonomous Vehicles, Electric Vehicle, Internet of Things, Sharing Economy, Transportation, Venture Capital",2,"Ferdinand Rust, Jan-Christoph Rickers",11-50,"Early Stage Venture, Seed",For Profit,,Private
Essential Capital,https://www.crunchbase.com/organization/essential-404e,Venture Capital,19,2,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Essential Capital is a global venture investor and an early backer of industry-transforming businesses.,2,17,1,Active,2015-01-01,year,https://essential.capital/,https://www.linkedin.com/company/essentialcap/?viewAsMember=true,,,1,Edward Shenderovich,1-10,"Convertible Note, Early Stage Venture, Late Stage Venture, Seed",,,Private
No Such Ventures,https://www.crunchbase.com/organization/no-such-ventures,Venture Capital,19,3,"Amsterdam, Noord-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)","Early-stage and growth investors, offering fast, flexible and hassle-free equity investments of €1.5m to €8m",16,16,,Active,2018-08-23,day,https://www.nosuchventures.com,https://www.linkedin.com/company/nosuchventures/,"Financial Services, Lending and Investments","Financial Services, Venture Capital",2,"Bart Veldman, Reinder Lubbers",1-10,"Early Stage Venture, Venture",,,Private
Capital Mills,https://www.crunchbase.com/organization/capital-mills,"Secondary Purchaser, Syndicate, Venture Capital, Venture Debt",19,2,"Gorinchem, Zuid-Holland, The Netherlands","European Union (EU), Europe, Middle East, and Africa (EMEA)","Dutch early stage VC, investing with equity, revenue - based financing and in secondaries, in European B2B SaaS companies.",15,14,,Active,2016-01-01,day,http://www.capitalmills.nl/en/,https://in.linkedin.com/company/capital-mills-bv,Software,Software,2,"Erwin van der Veen, Gijs den Hartog",1-10,"Debt, Early Stage Venture, Secondary Market, Seed, Venture",,,Private
Capacura,https://www.crunchbase.com/organization/capacura,Venture Capital,19,,"Lohmar, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Capacura is reinventing the venture capital market so that more start-ups get access to capital, knowledge, processes and solutions.",7,14,,Active,2018-01-01,year,https://www.capacura.de/,https://www.linkedin.com/company/capacura/about/,,,1,Ingo Dahm,11-50,"Convertible Note, Early Stage Venture, Seed",,,Private
DAAL,https://www.crunchbase.com/organization/daal,Venture Capital,19,3,"Al Khobar, Ash Sharqiyah, Saudi Arabia","Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East",Venture capital aiming to connect most promising IT opportunities around the world with the talent and leadership of world-class investors,3,16,,Active,2018-05-01,month,https://daal.ventures,https://www.linkedin.com/company/daalcapital/,"Financial Services, Lending and Investments",Venture Capital,1,Abdulrahman Al-Qahtani,1-10,Seed,,,Private
Other People's Capital (OPC),https://www.crunchbase.com/organization/other-people-s-capital,"Micro VC, Venture Capital",19,1,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Other People's Capital identifies and partners with founders with groundbreaking ideas and help them build category-defining enterprises.,,19,1,Active,2021-09-01,month,https://www.otherpeoplescapital.vc/,https://www.linkedin.com/company/other-people-s-capital,"Financial Services, Lending and Investments","Angel Investment, Financial Services, Venture Capital",1,Josh Luberisse,11-50,"Early Stage Venture, Seed",,,Private
Equitable Ventures,https://www.crunchbase.com/organization/equitable-ventures-56c5,Venture Capital,19,,"Calebasses, Pamplemousses, Mauritius","Europe, Middle East, and Africa (EMEA)",Equitable Ventures is a venture funding firm that focuses on financial inclusion in Africa.,,19,,Active,2020-01-01,year,https://www.equitable.ventures,https://www.linkedin.com/company/equitable-ventures,,,1,Fabrice Boulle,1-10,,,,Private
