Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Techstars,https://www.crunchbase.com/organization/techstars,"Accelerator, Venture Capital","6,189",527,"Boulder, Colorado, United States","Greater Denver Area, Western US",Techstars is an accelerator that provides pre-seed investment and mentoring for various early stage startups.,"4,715",15,"3,257",Active,2006-08-01,day,https://www.techstars.com,https://www.linkedin.com/company/techstars,"Consulting, Finance, Financial Services, FinTech, Incubators","Financial Services, Lending and Investments, Professional Services",5,"Brad Feld, David Brown, David Cohen, Jared Polis, Mike Romano",251-500,"Convertible Note, Early Stage Venture, Non Equity Assistance, Seed, Venture",For Profit,Made Acquisitions,Private,238
SOSV,https://www.crunchbase.com/organization/sosv,"Accelerator, Venture Capital","2,881",80,"Princeton, New Jersey, United States","East Coast, Northeastern US",SOSV is a deep tech venture firm that invests from a startup's inception.,"1,445",8,"1,149",Active,1995-01-01,year,https://sosv.com,https://www.linkedin.com/company/sosv,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",1,Sean O'Sullivan,51-100,"Early Stage Venture, Seed",,,Private,951
Accel,https://www.crunchbase.com/organization/accel,Venture Capital,"2,184",394,"Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Accel is an seed and growth-stage venture capital firm that helps a global community of entrepreneurs.,"1,064",68,884,Active,1983-01-01,year,http://www.accel.com,https://www.linkedin.com/company/accel-vc,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Arthur Patterson, Jim Swartz",101-250,"Convertible Note, Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",,Made Acquisitions,Private,18
Plug and Play,https://www.crunchbase.com/organization/plug-and-play-ventures,"Accelerator, Co-Working Space, University Program, Venture Capital","2,068",194,"Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Plug and Play is an innovation platform bringing together startups and large corporations.,"1,682",11,239,Active,2006-01-01,year,https://www.plugandplaytechcenter.com,https://www.linkedin.com/company/plug-and-play-tech-center,"Financial Services, FinTech, InsurTech, Retail, Smart Cities, Venture Capital","Commerce and Shopping, Financial Services, Lending and Investments, Real Estate",4,"Ali Safavi, Jackie Hernandez, Jojo Flores, Saeed Amidi",501-1000,"Early Stage Venture, Non Equity Assistance, Private Equity, Seed",,,Private,23
Antler,https://www.crunchbase.com/organization/antler-be9c,Venture Capital,"1,778",12,"Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Antler is a venture capital firm that focuses on early stage investments for startups.,"1,524",,789,Active,2018-01-01,year,https://antler.co,https://www.linkedin.com/company/antlerglobal,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",20,"Adryz Arriffin, Crystal Kendzior, Daniel Dudas- Schwarz, Dilan Mizrakli Landgraff, Edwin Fong, Fridtjof Berge, Hoang Tran, Juan Barragan, Jussi Salovaara, Khie Sydney Udag, Magnus Grimeland, Oswaldo Alvarez, Philip Causgrove, Rajesh Rai, Rudine Mottaghian, Sam Hogan, Sereen Teoh, Stefan Jung, Tristan Marino, Vegard Medbo",251-500,"Early Stage Venture, Seed, Venture",For Profit,,Private,33
Intel Capital,https://www.crunchbase.com/organization/intel-capital,Corporate Venture Capital,"1,606",508,"Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Intel Capital invests in innovative startups targeting cloud and AI infrastructure, cybersecurity, and other disruptive technologies.","1,063",89,560,Active,1991-01-01,year,http://www.intelcapital.com,https://www.linkedin.com/company/intelcapital,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",3,"Dave Johnson, Les Vadasz, Peter Levin",51-100,"Convertible Note, Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed, Venture",,,Private,"4,336"
Khosla Ventures,https://www.crunchbase.com/organization/khosla-ventures,Venture Capital,"1,286",180,"Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Khosla Ventures provides venture assistance to entrepreneurs in AI, sustainability, enterprise, consumer, health and frontier technologies.",665,31,476,Active,2004-01-01,year,http://www.khoslaventures.com,https://www.linkedin.com/company/khosla-ventures,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Samir Kaul, Vinod Khosla",101-250,"Early Stage Venture, Late Stage Venture, Post-Ipo, Seed, Venture",,,Private,53
Newchip Accelerator,https://www.crunchbase.com/organization/newchip,"Accelerator, Incubator, Venture Capital","1,285",13,"Austin, Texas, United States",Southern US,Newchip is a global remote startup accelerator.,"1,281",,26,Active,2016-01-01,year,https://www.newchip.com,https://www.linkedin.com/company/newchip/,"Apps, Retail, Software","Apps, Commerce and Shopping, Software",4,"Andrew Ryan, Andrew Ryan, Nihar Patel, Travis Brodeen",51-100,"Early Stage Venture, Seed",,,Private,"6,554"
FasterCapital,https://www.crunchbase.com/organization/fastercapital,"Accelerator, Micro VC, Venture Capital",936,9,"Dubai, Dubai, United Arab Emirates","Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East",FasterCapital is an online startup incubator and accelerator that helps entrepreneurs build and grow their businesses.,876,2,701,Active,2010-01-01,year,http://www.fastercapital.com,https://www.linkedin.com/company/fastercapital,"Business Development, Digital Marketing, Incubators, SEO, Small and Medium Businesses, Software, Venture Capital, Web Design, Web Development","Design, Financial Services, Internet Services, Lending and Investments, Other, Professional Services, Sales and Marketing, Software",1,Hesham Zreik,251-500,"Convertible Note, Early Stage Venture, Grant, Late Stage Venture, Non Equity Assistance, Private Equity, Seed, Venture",,,Private,"2,915"
Seedcamp,https://www.crunchbase.com/organization/seedcamp,"Accelerator, Micro VC, Venture Capital",624,74,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Seedcamp is a European seed fund that identifies and invests early in founders attacking global markets.,422,2,82,Active,2007-05-01,day,http://www.seedcamp.com,http://www.linkedin.com/company/seedcamp_2,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Reshma Sohoni, Saul Klein",11-50,"Early Stage Venture, Seed",For Profit,,Private,"1,874"
