Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Galdana Ventures,https://www.crunchbase.com/organization/galdana-ventures,Venture Capital,1,,"Barcelona, Catalonia, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)","Galdana Ventures, with +$500m of AuM, is a venture capital fund of funds that invests in some of the best VCs of US, Asia, Israel and Europe",1,,,Active,2015-01-01,year,http://www.galdanaventures.com/,https://www.linkedin.com/company/galdana-ventures,Venture Capital,"Financial Services, Lending and Investments",4,"Didac Lee, Javier Rubio, Marcel Rafart, Roque Velasco",1-10,"Early Stage Venture, Late Stage Venture, Secondary Market, Seed, Venture",,,Private,"10,206"
Continuous Ventures,https://www.crunchbase.com/organization/continuous-ventures,"Accelerator, Venture Capital",1,,"Dubai, Dubai, United Arab Emirates","Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East",Continuous Ventures are at the forefront of driving innovation and disruption through our Private Accelerator & VC divisions.,1,,,Active,2018-04-05,day,https://www.continuous.vc,https://www.linkedin.com/company/continuousventures,"Artificial Intelligence (AI), Finance, Internet, Software, Venture Capital","Artificial Intelligence (AI), Data and Analytics, Financial Services, Internet Services, Lending and Investments, Science and Engineering, Software",1,Colin Meagle,11-50,"Early Stage Venture, Late Stage Venture, Non Equity Assistance, Private Equity, Seed, Venture",,,Private,"11,304"
BHV Partners,https://www.crunchbase.com/organization/bhv-partners,Venture Capital,1,,"Barcelona, Catalonia, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",BHV Partners is the first venture builder specialised in health in Southern Europe,1,,,Active,2019-01-01,year,https://bhvpartners.com/,https://www.linkedin.com/company/bhvpartners/,"Health Care, Health Diagnostics, Medical Device, Nutrition","Food and Beverage, Health Care",4,"Albert G. Zamora, Joan Bigorra, Joaquim Trias, Marta Príncep",11-50,"Early Stage Venture, Late Stage Venture, Seed",For Profit,,Private,"14,729"
Firework Games,https://www.crunchbase.com/organization/firework-games,Venture Capital,1,,"Central, Hong Kong Island, Hong Kong",Asia-Pacific (APAC),"Firework's goal: immersive metaverse predicted by AI based on each users prior behaviors, same dimention while users perception is unique.",1,,,Active,2021-04-05,day,https://www.firework.games/,https://www.linkedin.com/company/firework-games-entertainment-limited,"Gaming, Information Technology, Metaverse, Mobile, Video Games, Virtual Reality","Gaming, Hardware, Information Technology, Media and Entertainment, Mobile, Software",,,11-50,Initial Coin Offering,For Profit,,Private,"16,965"
Klein Group,https://www.crunchbase.com/organization/klein-group,Venture Capital,1,,"Oslo, Minnesota, United States","Great Lakes, Midwestern US","Klein Group consists of a group of companies with various investments within the media, entertainment, and e-commerce industry.",1,,,Active,2009-01-01,year,https://www.kleingroup.no,https://www.linkedin.com/company/kleingroupas,,,,,1-10,Seed,,,Private,"17,834"
Avet Ventures,https://www.crunchbase.com/organization/avet-ventures,"Micro VC, Venture Capital",1,,"Barcelona, Catalonia, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",Barcelona-based VC firm seeking scalable early stage innovative companies led by outstanding teams with global ambitions,1,,,Closed,2015-01-20,day,http://www.avet.ventures,https://www.linkedin.com/company/avet-ventures,"Financial Services, FinTech, Venture Capital","Financial Services, Lending and Investments",4,"David Avilés, Felix Arias, Merce Tell, Santiago Pi-Figueras",1-10,Early Stage Venture,,,Private,"21,204"
Harvard Ventures,https://www.crunchbase.com/organization/harvard-ventures,"Entrepreneurship Program, Venture Capital",1,,"Cambridge, Massachusetts, United States","Greater Boston Area, East Coast, New England",Harvard Ventures is the undergraduate entrepreneurship club.,1,,,Active,2011-01-01,year,http://www.harvardventures.org/,https://www.linkedin.com/company/harvard-ventures,,,,,11-50,"Early Stage Venture, Late Stage Venture",,,Private,"23,600"
SKLVC,https://www.crunchbase.com/organization/skl-vc-3394,"Incubator, Venture Capital",1,,"Dubai, Dubai, United Arab Emirates","Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East",Data-driven venture studio helping innovative startups scale and succeed.,1,,1,Active,2019-01-01,year,https://skl.vc/,https://www.linkedin.com/company/sklvc/,Venture Capital,"Financial Services, Lending and Investments",1,Artem Sokolov,51-100,"Early Stage Venture, Seed",,,Private,"24,478"
Willgrow,https://www.crunchbase.com/organization/willgrow,"Private Equity Firm, Venture Capital",1,,"Vilnius, Vilniaus Apskritis, Lithuania","European Union (EU), Europe, Middle East, and Africa (EMEA)",Willgrow is a venture capital investment firm.,1,,,Active,2016-01-01,year,https://willgrow.com,https://www.linkedin.com/company/willgrow-uab,,,,,11-50,"Early Stage Venture, Seed",,,Private,"30,683"
McKinley Investments,https://www.crunchbase.com/organization/mckinley-investments,Venture Capital,1,,"Pasadena, California, United States","Greater Los Angeles Area, West Coast, Western US",McKinley Investments is a company that offers project financing,1,,,Active,1998-04-01,month,http://www.mckinleyinvestment.com,https://www.linkedin.com/company/mckinley-investment/,,,,,51-100,Private Equity,,,Private,"35,767"
