Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Y Combinator,https://www.crunchbase.com/organization/y-combinator,Accelerator,"7,413",640,"Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Y Combinator is a startup accelerator that invests in a wide range of startups.,"5,731",25,"2,895",Active,2005-03-01,day,http://www.ycombinator.com,https://www.linkedin.com/school/y-combinator,"Artificial Intelligence (AI), Augmented Reality, Finance, Financial Services, Robotics, Venture Capital","Artificial Intelligence (AI), Data and Analytics, Financial Services, Hardware, Lending and Investments, Science and Engineering, Software",5,"Armand Cognetta, Jessica Livingston, Paul Graham, Robert Morris, Trevor Blackwell",51-100,"Convertible Note, Early Stage Venture, Grant, Late Stage Venture, Non Equity Assistance, Private Equity, Seed, Venture",For Profit,,Private,19
Techstars,https://www.crunchbase.com/organization/techstars,"Accelerator, Venture Capital","6,230",545,"Boulder, Colorado, United States","Greater Denver Area, Western US",Techstars is an accelerator that provides pre-seed investment and mentoring for various early stage startups.,"4,756",15,"3,284",Active,2006-08-01,day,https://www.techstars.com,https://www.linkedin.com/company/techstars,"Consulting, Finance, Financial Services, FinTech, Incubators","Financial Services, Lending and Investments, Professional Services",7,"Brad Feld, David Brown, David Cohen, Jakub Kulisa, Jared Polis, Mike Romano, Nikita Gupta",251-500,"Convertible Note, Early Stage Venture, Non Equity Assistance, Seed, Venture",For Profit,Made Acquisitions,Private,139
EASME,https://www.crunchbase.com/organization/easme,Government Office,"3,670",284,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","European Union (EU), Europe, Middle East, and Africa (EMEA)",EASME is a European Union agency that supports small and medium-sized enterprises and manages projects in various sectors.,"3,447",62,"1,097",Active,2004-01-01,year,https://eismea.ec.europa.eu,https://www.linkedin.com/company/executive-agency-for-small-and-medium-sized-enterprises-easme,"Government, Innovation Management, Small and Medium Businesses","Government and Military, Other, Professional Services",1,Carlos Moedas,251-500,,,,Private,"13,575"
500 Global,https://www.crunchbase.com/organization/500-startups,"Accelerator, Angel Group, Investment Bank, Micro VC, Venture Capital","3,182",406,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",500 Global is a multi-stage venture capital firm that invests in founders building fast-growing technology companies.,"2,441",20,488,Active,2010-07-30,day,http://500.co,https://www.linkedin.com/company/500global,"Finance, Financial Services, Funding Platform, Internet, Venture Capital","Financial Services, Internet Services, Lending and Investments",2,"Christine Tsai, Kai Roh",251-500,"Early Stage Venture, Late Stage Venture, Seed, Venture",For Profit,,Private,487
SOSV,https://www.crunchbase.com/organization/sosv,"Accelerator, Venture Capital","2,875",81,"Princeton, New Jersey, United States","East Coast, Northeastern US",SOSV is a deep tech venture firm that invests from a startup's inception.,"1,447",8,"1,150",Active,1995-01-01,year,https://sosv.com,https://www.linkedin.com/company/sosv,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",1,Sean O'Sullivan,51-100,"Early Stage Venture, Seed",,,Private,"1,148"
Sequoia Capital,https://www.crunchbase.com/organization/sequoia-capital,Venture Capital,"2,169",425,"Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Sequoia Capital is a VC firm that invests in startups in the energy, financial, enterprise, healthcare, internet, and mobile industries.","1,212",129,809,Active,1972-11-01,day,http://www.sequoiacap.com,http://www.linkedin.com/company/sequoia,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Donald Valentine, W. M. Coughran",51-100,"Crowdfunding, Early Stage Venture, Initial Coin Offering, Late Stage Venture, Post-Ipo, Seed, Venture",,,Private,53
Antler,https://www.crunchbase.com/organization/antler-be9c,Venture Capital,"1,816",11,"Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Antler is a venture capital firm that focuses on early stage investments for startups.,"1,557",,800,Active,2018-01-01,year,https://antler.co,https://www.linkedin.com/company/antlerglobal,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",20,"Adryz Arriffin, Crystal Kendzior, Daniel Dudas- Schwarz, Dilan Mizrakli Landgraff, Edwin Fong, Fridtjof Berge, Hoang Tran, Juan Barragan, Jussi Salovaara, Khie Sydney Udag, Magnus Grimeland, Oswaldo Alvarez, Philip Causgrove, Rajesh Rai, Rudine Mottaghian, Sam Hogan, Sereen Teoh, Stefan Jung, Tristan Marino, Vegard Medbo",251-500,"Early Stage Venture, Seed, Venture",For Profit,,Private,34
FJ Labs,https://www.crunchbase.com/organization/fj-labs,"Micro VC, Venture Capital","1,591",117,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",FJ Labs is a stage-agnostic investment firm that focuses on marketplaces and consumer facing startups.,"1,025",17,60,Active,2015-01-01,year,http://www.fjlabs.com,https://www.linkedin.com/company/fj-labs,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Fabrice Grinda, Jose Marin",11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,624
Khosla Ventures,https://www.crunchbase.com/organization/khosla-ventures,Venture Capital,"1,310",184,"Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Khosla Ventures provides venture assistance to entrepreneurs in AI, sustainability, enterprise, consumer, health and frontier technologies.",678,32,486,Active,2004-01-01,year,http://www.khoslaventures.com,https://www.linkedin.com/company/khosla-ventures,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",2,"Samir Kaul, Vinod Khosla",101-250,"Early Stage Venture, Late Stage Venture, Post-Ipo, Seed, Venture",,,Private,61
Newchip Accelerator,https://www.crunchbase.com/organization/newchip,"Accelerator, Incubator, Venture Capital","1,281",14,"Austin, Texas, United States",Southern US,Newchip is a global remote startup accelerator.,"1,276",,26,Active,2016-01-01,year,https://www.newchip.com,https://www.linkedin.com/company/newchip/,"Apps, Retail, Software","Apps, Commerce and Shopping, Software",4,"Andrew Ryan, Andrew Ryan, Nihar Patel, Travis Brodeen",51-100,"Early Stage Venture, Seed",,,Private,"6,464"
Index Ventures,https://www.crunchbase.com/organization/index-ventures,Venture Capital,"1,221",262,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Index Ventures is a venture capital firm that helps the entrepreneurs turn bold ideas into global businesses.,655,52,486,Active,1996-01-01,year,http://www.indexventures.com,http://www.linkedin.com/company/index-ventures,"Angel Investment, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",4,"David Rimer, Giuseppe Zocco, Neil Rimer, Terrence Rohan",101-250,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,236
European Innovation Council,https://www.crunchbase.com/organization/european-innovation-council,"Accelerator, Venture Capital","1,164",30,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","European Union (EU), Europe, Middle East, and Africa (EMEA)","The European Innovation Council aims to support top-class innovators, entrepreneurs, small companies and researchers with bright ideas.",663,9,843,Active,1957-03-25,day,https://eic.ec.europa.eu,https://www.linkedin.com/company/eismea,"Government, Office Administration, Social Entrepreneurship","Administrative Services, Community and Lifestyle, Government and Military, Social Impact",,,501-1000,"Early Stage Venture, Grant",For Profit,,Private,"1,733"
Start-Up Chile,https://www.crunchbase.com/organization/start-up-chile,Accelerator,"1,076",46,"Santiago, Region Metropolitana, Chile",Latin America,Start-Up is a public startup accelerator created by the Chilean Government for global entrepreneurs to bootstrap their startups.,"1,014",1,175,Active,2010-04-06,day,http://startupchile.org,https://www.linkedin.com/company/start-up-chile,"Innovation Management, Market Research, Social Entrepreneurship","Community and Lifestyle, Data and Analytics, Design, Professional Services, Social Impact",3,"Charles Van Norman, Diego Philippi, Nicolás Shea",11-50,"Early Stage Venture, Grant, Seed",,,Private,"20,221"
Global Founders Capital,https://www.crunchbase.com/organization/global-founders-capital,"Private Equity Firm, Venture Capital","1,000",105,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",GFC is a venture fund that supports entrepreneurs at any stage in their business development across global markets.,700,11,256,Active,2013-01-01,year,https://www.globalfounderscapital.com,https://www.linkedin.com/company/global-founders-capital,"Finance, Financial Services, Impact Investing, Venture Capital","Financial Services, Lending and Investments",,,11-50,"Early Stage Venture, Private Equity, Seed",,,Private,"4,113"
