Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Portfolio Organizations,Number of Exits (IPO),Number of Lead Investments,Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industries,Industry Groups,Number of Founders,Founders,Number of Employees,Investment Stage,Company Type,Acquisition Status,IPO Status,CB Rank (Investor)
Revent,https://www.crunchbase.com/organization/revent-capital,Venture Capital,30,1,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Revent is an early-stage tech fund backing mission-driven founders addressing the biggest challenges of our time.,22,,8,Active,2020-09-01,month,https://www.revent.vc/,https://www.linkedin.com/company/revent-vc,"EdTech, Education, Financial Services, FinTech, Government, Health Care","Education, Financial Services, Government and Military, Health Care, Software",2,"Lauren Lentz, Otto Birnbaum",1-10,"Early Stage Venture, Seed",,,Private,965
Air Street Capital,https://www.crunchbase.com/organization/air-street-capital,Venture Capital,30,2,"St. Peter Port, NA - Guernsey, Guernsey","Europe, Middle East, and Africa (EMEA)",Air Street Capital invests in AI-first companies.,21,,7,Active,2019-01-01,year,https://www.airstreet.com,https://www.linkedin.com/company/airstreetcapital,,,1,Nathan Benaich,1-10,"Early Stage Venture, Seed",,,Private,"3,894"
Libertus Capital,https://www.crunchbase.com/organization/libertus-capital,Venture Capital,30,,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",Libertus Capital invests in companies that enhance and protect individual freedom and privacy.,23,,9,Active,2017-01-01,day,http://www.libertuscapital.com,https://www.linkedin.com/company/libertus-capital/,Blockchain,"Blockchain and Cryptocurrency, Other",1,Pamir Gelenbe,1-10,"Early Stage Venture, Initial Coin Offering, Late Stage Venture, Seed, Venture",,,Private,"4,533"
Acadian Ventures,https://www.crunchbase.com/organization/acadian-ventures,Venture Capital,30,4,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Acadian Ventures is the first early-stage venture capital firm specializing in the future of work,26,,5,Closed,2019-01-01,year,https://www.acadianventures.com,https://www.linkedin.com/company/acadianventures,,,1,Jason Corsello,11-50,Early Stage Venture,,,Private,"6,431"
Iron Wolf Capital,https://www.crunchbase.com/organization/iron-wolf-capital,Venture Capital,30,1,"Vilnius, Vilniaus Apskritis, Lithuania","European Union (EU), Europe, Middle East, and Africa (EMEA)",Early stage VC fund based in Vilnius and London investing in teams with innovative ideas and global aspiration,19,,17,Active,2018-12-12,day,https://www.ironwolfcapital.com,https://www.linkedin.com/company/ironwolfcapital,,,3,"Kasparas Jurgelionis, Tomas Martunas, Žygimantas Susnys",1-10,"Early Stage Venture, Seed",,,Private,"6,954"
Collider,https://www.crunchbase.com/organization/collider-ventures,"Accelerator, Incubator, Venture Capital",30,1,"Tel Aviv, Tel Aviv, Israel","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)","Collider work alongside startups that are focused on building disruptive technologies, services & products, globally.",25,,4,Active,2018-01-01,year,https://www.collider.vc/,https://www.linkedin.com/company/colliderventures/,"Blockchain, Cryptocurrency","Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",3,"Adam Benayoun, Avishay Ovadia, Ofer Rotem",11-50,"Early Stage Venture, Seed, Venture",,,Private,"8,002"
Heal Capital,https://www.crunchbase.com/organization/heal-capital,Venture Capital,30,1,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Heal Capital is one of Europe's leading venture capital funds dedicated to HealthTech with a total volume of >€200m AUM.,22,,14,Active,2019-12-01,day,http://www.healcapital.com,https://www.linkedin.com/company/30148548,"Financial Services, Health Care, Information Technology","Financial Services, Health Care, Information Technology",3,"Christian Lautner, Christian Weiss, Eckhardt Weber",11-50,"Early Stage Venture, Late Stage Venture, Seed",,,Private,"8,258"
MMV Europe & Asia-Pacific,https://www.crunchbase.com/organization/massmutual-ventures-southeast-asia-mmv-sea,Venture Capital,30,3,"Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","MMV is a multi-stage, global venture capital firm investing in enterprise software, cybersecurity, financial technology, and digital health.",22,,19,Active,2018-01-01,year,https://massmutualventures.com/,https://www.linkedin.com/company/massmutual-ventures/,,,1,Ryan Collins,11-50,"Early Stage Venture, Late Stage Venture, Seed, Venture",,,Private,"9,631"
dRx Capital,https://www.crunchbase.com/organization/drx-capital,"Corporate Venture Capital, Venture Capital",30,3,"Basel, Basel-Stadt, Switzerland","Europe, Middle East, and Africa (EMEA)",Novartis Digital Health Venture Capital,20,3,4,Active,2015-01-01,year,http://www.drxcapital.com/,https://www.linkedin.com/company/drxcapital,"Health Care, Health Diagnostics, Life Science, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",,,1-10,"Early Stage Venture, Late Stage Venture, Post-Ipo, Seed",,,Private,"10,044"
Arkitekt Ventures,https://www.crunchbase.com/organization/arkitekt-ventures,Venture Capital,30,2,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US","Arkitekt Ventures is an early stage venture capital firm, with a mission to improve and advance human health.",25,,1,Active,2017-01-01,year,https://www.arkitektventures.com,https://www.linkedin.com/company/18252356,,,1,Enke Bashllari,1-10,"Early Stage Venture, Seed, Venture",,,Private,"10,347"
