hq_location,latitude,longitude
"Hamburg, Germany, Europe",53.550341,10.000654
"Dublin, Ireland, Europe",53.3493795,-6.2605593
"Sweden, Europe",59.6749712,14.5208584
"Moscow City, Russian Federation, Europe",55.625578,37.6063916
"Estonia, Europe",58.7523778,25.3319078
"Zurich, Switzerland, Europe",47.3744489,8.5410422
"Malta, Europe",35.8885993,14.4476911
"Denmark, Europe",55.670249,10.3333283
"Lombardia, Italy, Europe",45.5703694,9.7732524
"Latvia, Europe",56.8406494,24.7537645
"Tallinn, Estonia, Europe",59.4372155,24.7453688
"Istanbul, Turkey, Europe",41.006381,28.9758715
"England, United Kingdom, Europe",52.5310214,1.2649062
"Ireland, Europe",52.865196,-7.9794599
"The Netherlands, Europe",52.2434979,5.6343227
"Izmir, Turkey, Europe",38.23166,27.02997
"Monaco, Monaco, Europe",43.7323492,7.4276832
"Catalonia, Spain, Europe",41.8523094,1.5745043
"Manchester, United Kingdom, Europe",53.4794892,-2.2451148
"Berlin, Germany, Europe",52.510885,13.3989367
"Finland, Europe",63.2467777,25.9209164
"Lithuania, Europe",55.3500003,23.7499997
"Edinburgh, City of, United Kingdom, Europe",55.9533456,-3.1883749
"Leeds, United Kingdom, Europe",53.7974185,-1.5437941
"Czech Republic, Europe",49.7439047,15.3381061
"Kayseri, Turkey, Europe",38.7219011,35.4873214
"Liverpool, United Kingdom, Europe",53.4071991,-2.99168
"Madrid, Spain, Europe",40.4167047,-3.7035825
"Limburg, Belgium, Europe",51.2015196,5.9046302
"Poole, United Kingdom, Europe",50.7179472,-1.981521
"Jersey, Europe",49.2214561,-2.1358386
"Iceland, Europe",64.9841821,-18.1059013
"Hungary, Europe",47.1817585,19.5060937
"Kalmar Lan, Sweden, Europe",57.0278424,16.575102
"Brussels Hoofdstedelijk Gewest, Belgium, Europe",50.8465573,4.351697
"Bucuresti, Romania, Europe",44.4361414,26.1027202
"Bulgaria, Europe",42.6073975,25.4856617
"Murcia, Spain, Europe",37.9923795,-1.1305431
"Hatay, Turkey, Europe",36.3451332,36.0748022
"Aydin, Turkey, Europe",37.8483767,27.8435878
"Glasgow City, United Kingdom, Europe",55.861155,-4.2501687
"Tartu, Estonia, Europe",58.3801207,26.72245
"Braga, Portugal, Europe",41.5510583,-8.4280045
"Adana, Turkey, Europe",36.9863599,35.3252861
"Porto, Portugal, Europe",41.1621464,-8.6251168
"Croatia, Europe",45.3267695,14.4402782
"Newcastle upon Tyne, United Kingdom, Europe",54.9738474,1.6131572
"Slovenia, Europe",46.1199444,14.8153333
"Surrey, United Kingdom, Europe",51.2715316,0.3414524
"Leicestershire, United Kingdom, Europe",52.6849138,1.1847653
"Toscana, Italy, Europe",43.4586541,11.1389204
"Valais, Switzerland, Europe",46.2303063,7.6605757
"Samara, Russian Federation, Europe",53.1956255,50.1014927
"Ankara, Turkey, Europe",39.9207759,32.8540497
"More og Romsdal, Norway, Europe",62.8452777,7.5181941
"Andalucia, Spain, Europe",37.3399964,-4.5811614
"Chelyabinsk, Russian Federation, Europe",55.1598408,61.4025547
"Kaliningrad, Russian Federation, Europe",54.7046485,20.4565666
"Slovakia (Slovak Republic), Europe",48.7411522,19.4528646
"Turkmenistan, Asia",39.3763807,59.3924609
"Plovdiv, Bulgaria, Europe",42.1418541,24.7499297
"Tirol, Austria, Europe",47.223193,11.5261028
"Paphos, Cyprus, Europe",34.7743988,32.4231586
"Poland, Europe",52.215933,19.134422
"Armenia, Asia",40.7696272,44.6736646
"Liechtenstein, Europe",47.1416307,9.5531527
"Southampton, United Kingdom, Europe",50.9025349,-1.404189
"Bromley, United Kingdom, Europe",51.4028046,0.0148142
"Cardiff, United Kingdom, Europe",51.4816546,-3.1791934
"Bern, Switzerland, Europe",46.9484742,7.4521749
"Gibraltar, Gibraltar, Europe",36.1113418,-5.3482947
"Lodzkie, Poland, Europe",51.4721678,19.3460637
"Dundee City, United Kingdom, Europe",56.473846,-2.966419
"Reading, United Kingdom, Europe",51.4564242,-0.9700664
"Wokingham, United Kingdom, Europe",51.4570846,-0.886537
"Neuchatel, Switzerland, Europe",46.9895828,6.9292641
"Oslo, Norway, Europe",59.9133301,10.7389701
"Monte-Carlo, Monaco, Europe",43.7402961,7.426559
"Sankt Gallen, Switzerland, Europe",47.425618,9.3762397
"Madeira, Portugal, Europe",32.7517501,16.9817487
"Luxembourg, Belgium, Europe",49.8158683,6.1296751
"Orebro Lan, Sweden, Europe",59.2747287,15.2151181
"Norway, Europe",61.1529386,8.7876653
"Bayern, Germany, Europe",48.9467562,11.4038717
"Bratislava, Slovakia (Slovak Republic), Europe",48.1516988,17.1093063
"Niedersachsen, Germany, Europe",52.8398531,9.075962
"Hertford, United Kingdom, Europe",51.7957409,0.078521
"Salzburg, Austria, Europe",47.7981346,13.0464806
"Isle of Man, Europe",54.1936805,-4.5591148
"Cornwall, United Kingdom, Europe",50.4433489,-4.6246566
"Guernsey, Europe",49.4622913,-2.5812023
"Ticino, Switzerland, Europe",46.3351913,8.7525902
"Leicester, United Kingdom, Europe",52.6362,-1.1331969
"Malta, Malta, Europe",35.8885993,14.4476911
"Coventry, United Kingdom, Europe",52.4081812,1.510477
"Cork, Ireland, Europe",51.8985136,8.4726423
"Antwerpen, Belgium, Europe",51.2211097,4.3997081
"Derby, United Kingdom, Europe",52.9142235,-1.4719885
"Monaco, Europe",43.7402961,7.426559
"Plymouth, United Kingdom, Europe",50.3714122,-4.1424451
"Minsk, Belarus, Europe",53.9024716,27.5618225
"Barnet, United Kingdom, Europe",51.65309,-0.2002261
"Westminster, United Kingdom, Europe",51.5004439,-0.1265398
"Astrakhan', Russian Federation, Europe",46.3498308,48.0326203
"Buckinghamshire, United Kingdom, Europe",51.840894,-0.8998074
"Birmingham, United Kingdom, Europe",52.4796992,-1.9026911
"Oulu, Finland, Europe",65.0117869,25.4701983
"Taiwan, Asia",23.9739374,120.9820179
"Fribourg, Switzerland, Europe",46.6789116,7.1027113
