Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Pre Seed Round - Kickscale,https://www.crunchbase.com/funding_round/kickscale-pre-seed--ef0790e7,Kickscale,https://www.crunchbase.com/organization/kickscale,Pre-Seed,"Vienna, Wien, Austria, Europe",2024-09-04,,,,Seed,,,,Yes,"Kickscale offers playbooks that help sales teams to improve businesses, especially in the area of lead and opportunity development.","Consulting, Information Technology, Software",,https://www.kickscale.com/,$1M to $10M,951000,EUR,1033126,Seed,2,Angels United,"Angels United, Christopher Mueller, Gernot Singer, Julius Göllner, Michael Kamleitner, Stefan Lederer",,6,"3,174"
Seed Round - XUND,https://www.crunchbase.com/funding_round/xund-seed--e498ffb6,XUND,https://www.crunchbase.com/organization/xund,Seed,"Vienna, Wien, Austria, Europe",2025-03-05,6000000,EUR,6371950,Seed,,,,Yes,We enable healthcare companies to digitize patient interactions and translate data into actionable insights.,"Artificial Intelligence (AI), Electronic Health Record (EHR), Health Care, Health Diagnostics, Health Insurance, Hospital, Medical, Natural Language Processing, Personal Health, Pharmaceutical",,https://xund.ai,$1M to $10M,14000000,EUR,14349500,Seed,5,Lead Ventures,"J&T Ventures, LANA Ventures, Lead Ventures, MassMutual Ventures, TBA Network",3,5,"3,607"
Seed Round - Mucki Protein,https://www.crunchbase.com/funding_round/mucki-protein-seed--8e2512ae,Mucki Protein,https://www.crunchbase.com/organization/mucki-protein,Seed,"Vienna, Wien, Austria, Europe",2023-06-16,,,,Seed,,,,Yes,Mucki Protein is a beverage manufacturing company that produces and distributes a wide range of protein-based energy drinks.,"Alternative Protein, Food and Beverage, Plant-Based Foods",,https://mucki-protein.com/,,,,,Seed,1,,"Biogena, Harald Lassmann Family Office",1,2,"4,823"
Seed Round - Flinn,https://www.crunchbase.com/funding_round/flinn-comply-seed--4e012898,Flinn,https://www.crunchbase.com/organization/flinn-comply,Seed,"Vienna, Wien, Austria, Europe",2024-09-30,6000000,EUR,6681976,Seed,,,,Yes,Flinn Comply allows medical device manufacturers to automate quality and regulatory processes.,"Medical, Medical Device",,https://www.flinn.ai,,9800000,EUR,10790206,Seed,3,Cherry Ventures,"Alexander Weber, Bastian Eirich, Ben Levy, Cherry Ventures, Christian Luhmann, Christian Strobl, Christoph Kanneberger, Daniel Schulte-Hillen, Dr. Christian Rybak, Dr. David Schneider, Dr. med. Taalke (Haug) Schlatterer, Etienne Szivo, Florian Reiners, Hannes Schrödter, Helmut Scherer, Jochen Hummel, Katrin Pucknat, LUMUS Investment Collective, Markus Pöttker, Martin Schödel, Matthias Hilpert, Matthias Weber, Maximilian Reiter, Philipp Albrecht, Sebastian Schaal, Speedinvest, SquareOne Venture Capital, Sven Jungmann, Tobias Bruhne",1,29,"5,442"
Seed Round - SOMAREALITY,https://www.crunchbase.com/funding_round/soma-reality-seed--3e7de146,SOMAREALITY,https://www.crunchbase.com/organization/soma-reality,Seed,"Vienna, Wien, Austria, Europe",2024-10-15,2600000,EUR,2829682,Seed,,,,Yes,"Spatial Computing, Eye Tracking, Cognitive Digital Biomarkers","Analytics, Augmented Reality, Health Care, Information Technology, Training, Virtual Reality",,https://somareality.com,$1M to $10M,4433600,EUR,4990994,Seed,6,,"Austria Wirtschaftsservice (AWS), Gateway Ventures, Luigi Colombo, Manfred Stockmayer, Marios Nicolettis, Martin Wodak, Michael Blaschke, Paul Koppenwallner, Qubit Capital, Startup Wise Guys, The Austrian Research Promotion Agency (FFG), The Birdhouse",2,12,"6,576"
Seed Round - fynk,https://www.crunchbase.com/funding_round/fynk-seed--d1b705f9,fynk,https://www.crunchbase.com/organization/fynk,Seed,"Vienna, Wien, Austria, Europe",2024-10-02,3100000,EUR,3424415,Seed,,,,Yes,Fynk is a contract management software that simplifies contract workflows for teams.,"Artificial Intelligence (AI), Legal Tech, Software",,http://www.fynk.com,,4350000,EUR,4776152,Seed,3,3VC,"10x Founders, 3VC, Alexander Brix, Domagoj Dolinsek, Ignaz Forstmeier, Johann ""Hansi"" Hansmann, Kai Romberg, Lisa Pallweber, Moritz Thiele, Stefan Speiser",1,10,"7,517"
Seed Round - HELLO INSIDE,https://www.crunchbase.com/funding_round/hello-inside-seed--1555c161,HELLO INSIDE,https://www.crunchbase.com/organization/hello-inside,Seed,"Vienna, Wien, Austria, Europe",2024-09-09,1650000,EUR,1820891,Seed,,,,Yes,Hello Inside is a scientific self-care company that empowers people to have data-driven conversations with their body.,"Biometrics, Health Care, Information Technology, Mobile Apps, Quantified Self, Wellness",,https://www.helloinside.com,,1650000,EUR,1820891,Seed,3,Verge HealthTech Fund,"10x Founders, DocMorris, Eric Demuth, KaPa Ventures, Lea-Sophie Cramer, Martin Murray, Miele Venture, Simon Capital, Verge HealthTech Fund",1,9,"8,196"
Seed Round - Quantum Industries,https://www.crunchbase.com/funding_round/quantum-industries-b04e-seed--21270ce8,Quantum Industries,https://www.crunchbase.com/organization/quantum-industries-b04e,Seed,"Vienna, Wien, Austria, Europe",2025-03-03,9500000,EUR,9961277,Seed,,,,Yes,"Quantum Industries specializes in cutting-edge quantum cryptography, particularly Quantum Key Distribution (QKD) technology.","Cyber Security, Quantum Computing",,https://www.quantum-industries.eu/,,9500000,EUR,9961277,Seed,1,"Findus Venture, Sparring Capital Partners","Findus Venture, KGAL Group, Sparring Capital Partners, Wolfgang Bernhard",3,4,"8,413"
Seed Round - Greenpass,https://www.crunchbase.com/funding_round/greenpass-ab32-seed--fd817a7d,Greenpass,https://www.crunchbase.com/organization/greenpass-ab32,Seed,"Vienna, Wien, Austria, Europe",2024-09-24,,,,Seed,,,,Yes,Greenpass is a SaaS platform for climate resilient urban planning and architecture that enables livable cities.,"Architecture, CleanTech, SaaS",,https://greenpass.io/,$1M to $10M,,,,Seed,2,,"Arax Capital Partners, aws Gründungsfonds, Peak Pride, Pi Labs",1,4,"9,426"
Seed Round - HeldYn,https://www.crunchbase.com/funding_round/heldyn-care-gmbh-seed--3a662ace,HeldYn,https://www.crunchbase.com/organization/heldyn-care-gmbh,Seed,"Vienna, Wien, Austria, Europe",2024-11-29,,,,Seed,,,,Yes,Online nursing service,"Elder Care, Health Care, Nursing and Residential Care, Personal Health, Rehabilitation, Therapeutics",,https://www.heldyn.com/,$1M to $10M,,,,Seed,1,Weilburg Ventures,"AS²K Beteiligungs, Sebastian Kurz, Weilburg Ventures",,3,"9,811"
