Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Nuclivision,https://www.crunchbase.com/funding_round/nuclivision-seed--949ed9ad,Nuclivision,https://www.crunchbase.com/organization/nuclivision,Seed,"Ghent, Oost-Vlaanderen, Belgium, Europe",2025-04-24,5000000,EUR,5686374,Seed,,,,Yes,Nuclivision provides novel radiotracers and treatments for oncology to help patients by improving the safety of nuclear medicine.,"Artificial Intelligence (AI), Medical Device, Oncology",,https://www.nuclivision.com,,5000000,EUR,5686374,Seed,2,"HERAN Partners, LUMO labs","HERAN Partners, imec.istart Future Fund, LUMO labs",3,3,"1,037"
Seed Round - Markmi,https://www.crunchbase.com/funding_round/markmi-seed--b711c109,Markmi,https://www.crunchbase.com/organization/markmi,Seed,"Ghent, Oost-Vlaanderen, Belgium, Europe",2025-04-02,1100000,EUR,1188077,Seed,,,,Yes,Markmi is an AI-powered markdown assistant tailored for fashion retailers.,Fashion,,https://markmi.ai,,1100000,EUR,1188077,Seed,1,,"Jan Teerlinck, Jonas Deprez, Lorenz Bogaert, Matthias Geeroms, PMV, Roeland Delrue, Torfs family",,7,"1,330"
Seed Round - ClimateCamp,https://www.crunchbase.com/funding_round/climatecamp-seed--957054fe,ClimateCamp,https://www.crunchbase.com/organization/climatecamp,Seed,"Antwerp, Antwerpen, Belgium, Europe",2025-03-25,3500000,EUR,3777515,Seed,,,,Yes,ClimateCamp offers precise information on the supply chain's carbon emissions.,"Information Services, Supply Chain Management, Waste Management",,https://www.climatecamp.io/,,4250000,EUR,4560565,Seed,3,Expon Capital,"Expon Capital, Flanders Innovation & Entrepreneurship (VLAIO), KBC, Luxembourg Ministry of Economy, PMV, The Birdhouse",1,6,"2,872"
Seed Round - Credix,https://www.crunchbase.com/funding_round/credix-47fb-seed--cd930cf8,Credix,https://www.crunchbase.com/organization/credix-47fb,Seed,"Antwerp, Antwerpen, Belgium, Europe",2021-12-21,2500000,USD,2500000,Seed,,,,Yes,Credix is a fintech company that offers a B2B credit platform to offer flexible financing options to its business buyers.,"Financial Services, FinTech",,https://credix.finance,,126567006,USD,126567006,Early Stage Venture,4,"Cumberland, ParaFi Capital","Cumberland, Fuse Capital, Mercurial Finance, mgnr.io, ParaFi Capital, Parrot, PetRock Capital, Solana Ventures, Transfero Group",,9,"4,535"
Seed Round - IntelliProve,https://www.crunchbase.com/funding_round/intelliprove-seed--a8d1165d,IntelliProve,https://www.crunchbase.com/organization/intelliprove,Seed,"Ghent, Oost-Vlaanderen, Belgium, Europe",2025-01-22,1250000,EUR,1302085,Seed,,,,Yes,Healthcare providers to measure vital parameters of patients with a combination of novel signal processing and computer vision technology,"Health Care, Health Diagnostics, Psychology",,https://www.intelliprove.com/,$1M to $10M,2250000,EUR,2337835,Seed,3,,"Gilles Mattelin, imec.istart Future Fund, Jeroen De Wit, Joris Van Der Gucht, Jorn Vanysacker, Louis Jonckheere, Matthias Geeroms, Miles Ahead, Wit-Gele Kruis van Vlaanderen",1,9,"6,748"
Seed Round - FixForm,https://www.crunchbase.com/funding_round/fixform-seed--4ee31867,FixForm,https://www.crunchbase.com/organization/fixform,Seed,"Leuven, Vlaams-Brabant, Belgium, Europe",2024-09-18,1500000,EUR,1667104,Seed,,,,Yes,"SaaS platform to keep buildings and spaces in good, safe and clean condition","Property Management, SaaS",,https://www.fixform.com,Less than $1M,1959385,USD,1959385,Seed,3,,"Belfius Regio Aalst, Ben Schrauwen, Boris Bogaert, Delaware, Dieter Willems, Geoffroy De Cooman, imec.istart, Koen Christiaens, Kristof Dockers, Lorenz Bogaert, Pitchdrive, StarApps, stefan forbes, Stefan Willems, Wim Derkinderen",,15,"6,802"
Seed Round - ADLC,https://www.crunchbase.com/funding_round/adlc-40f4-seed--102bd80e,ADLC,https://www.crunchbase.com/organization/adlc-40f4,Seed,"Antwerpen, Antwerpen, Belgium, Europe",2025-01-31,2080000,EUR,2159372,Seed,,,,Yes,ADLC offers drone transportation services while assuring safety and integrating with your company processes.,"Drones, Supply Chain Management, Transportation",,https://adlc.eu/,,2080000,EUR,2159372,Seed,1,"Galactic Beacon Ventures, Limburgse Reconversie Maatschappij, NXT Investment Club, Port of Antwerp","Galactic Beacon Ventures, Limburgse Reconversie Maatschappij, NXT Investment Club, Port of Antwerp",3,4,"7,379"
Seed Round - Otamiser,https://www.crunchbase.com/funding_round/otamiser-seed--9e24bd9a,Otamiser,https://www.crunchbase.com/organization/otamiser,Seed,"Gent, Oost-Vlaanderen, Belgium, Europe",2024-06-25,2800000,EUR,2998623,Seed,,,,Yes,Otamiser uses AI driven OTA ranking algorithm to provide a hotel revenue management platform for it's clients.,"Artificial Intelligence (AI), Information Technology, Software",,https://www.otamiser.com/,$1M to $10M,2800000,EUR,2998623,Seed,1,Pitchdrive,"Anthony De Clerck, Gilles Mattelin, Gregory De Clerck, Jacob Quartier, Jorn Vanysacker, Lorenz Bogaert, Peter Van Praet, Pitchdrive, Stijn Christiaens, Viktor De Maertelaere",3,10,"10,251"
Seed Round - Salvus Health,https://www.crunchbase.com/funding_round/salvus-health-seed--fd885822,Salvus Health,https://www.crunchbase.com/organization/salvus-health,Seed,"Antwerp, Antwerpen, Belgium, Europe",2025-02-28,500000,EUR,519449,Seed,,,,Yes,"Salvus Health is a digital health company based in Antwerp, Belgium, on a mission to empower people to control their health.","Health Care, Information Technology, Medical",,https://www.salvus-health.com,,500000,EUR,519449,Seed,1,,"Angelwise, georges verpraet, Jurgen De Baerdemaeker, Yves Berquin",1,4,"10,890"
Seed Round - Zymofix,https://www.crunchbase.com/funding_round/n-fix-seed--196221e1,Zymofix,https://www.crunchbase.com/organization/n-fix,Seed,"Wondelgem, Oost-Vlaanderen, Belgium, Europe",2024-11-12,2000000,EUR,2123327,Seed,,,,Yes,"Zymofix facilitates sustainable and circular agriculture by developing creative, effective, and commercially feasible microbial products.","Agriculture, AgTech, Biotechnology",,https://zymofix.com/,,2000000,EUR,2123327,Seed,2,High-Tech Gruenderfonds,"High-Tech Gruenderfonds, The Nest Family Office, VP Capital",3,3,"11,552"
