Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Kardi Ai,https://www.crunchbase.com/funding_round/kardi-ai-seed--c376c7f0,Kardi Ai,https://www.crunchbase.com/organization/kardi-ai,Seed,"Olomouc, Olomoucky kraj, Czech Republic, Europe",2025-04-28,28000000,CZK,1282169,Seed,,,,Yes,Worry-free heart care from home enabled by commercially available trackers and cutting edge AI,"Artificial Intelligence (AI), Health Care, Machine Learning, Medical Device",,https://www.kardi.ai,,3306844,USD,3306844,Seed,3,,"BrightCap Ventures, DEPO Ventures, Garage Angels, LUMUS Investment Collective",1,4,415
Seed Round - Product Fruits,https://www.crunchbase.com/funding_round/product-fruits-seed--82ff48cc,Product Fruits,https://www.crunchbase.com/organization/product-fruits,Seed,"Prague, Hlavni mesto Praha, Czech Republic, Europe",2024-04-01,1600000,USD,1600000,Seed,,,,Yes,"Product Fruits enriches web application with interactive guides, hints, tips and tricks, and customer feedback.","Apps, Information Technology, Software, Web Development",,https://productfruits.com,,3874248,USD,3874248,Seed,3,Reflex Capital,Reflex Capital,1,1,"3,307"
Seed Round - Wultra,https://www.crunchbase.com/funding_round/wultra-seed--3a9c53d7,Wultra,https://www.crunchbase.com/organization/wultra,Seed,"Praha, Hlavni mesto Praha, Czech Republic, Europe",2025-01-15,3000000,EUR,3092280,Seed,,,,Yes,"Wultra provides banks and fintech companies with easy-to-deploy, post-quantum authentication that genuinely improves customer experience.","Banking, Cyber Security, Finance, FinTech, Identity Management, Information Technology, Security, Software",,http://www.wultra.com,$1M to $10M,4000000,EUR,4224185,Seed,2,Tensor Ventures,"Elevator Ventures, J&T Ventures, Tensor Ventures",4,3,"7,797"
Pre Seed Round - Edmund,https://www.crunchbase.com/funding_round/edmund-c68b-pre-seed--24242de6,Edmund,https://www.crunchbase.com/organization/edmund-c68b,Pre-Seed,"Ostrava, Moravskoslezsky kraj, Czech Republic, Europe",2025-02-11,500000,EUR,518208,Seed,,,,Yes,"Edmund is an enterprise level system that interconnects all manufacturing technologies, providing a comprehensive view of entire factory.","Manufacturing, Software",,https://www.edmund-ai.com,,500000,EUR,518208,Seed,1,Lighthouse Ventures,"Borovicka Capital, Czech Founders VC, Lighthouse Ventures, Tensor Ventures",1,4,"9,111"
Pre Seed Round - Flowlance,https://www.crunchbase.com/funding_round/flowlance-pre-seed--7f2e435f,Flowlance,https://www.crunchbase.com/organization/flowlance,Pre-Seed,"Prague, Hlavni mesto Praha, Czech Republic, Europe",2024-11-29,12600000,CZK,527598,Seed,,,,Yes,Flowlance is a fintech company that offers a platform for calendar-powered payments for session based solopreneurs.,"Analytics, Billing, Meeting Software, Productivity Tools, SaaS, Software",,https://www.flowlance.com,,12600000,CZK,527598,Seed,2,,"Czech Founders VC, Miroslav Uďan, Patero, Purple Ventures",2,4,"9,335"
Seed Round - Boost.space,https://www.crunchbase.com/funding_round/boost-space-seed--b707c4f6,Boost.space,https://www.crunchbase.com/organization/boost-space,Seed,"Prague, Hlavni mesto Praha, Czech Republic, Europe",2024-06-20,850000,EUR,910037,Seed,,,,Yes,Boost Space is Combining the power of a Cloud Database with an intuitive Integration Platform to make streamline easy and enhance workflows.,"Cloud Data Services, Data Center, Data Center Automation, Data Integration, Database, Software",,https://www.boost.space,$1M to $10M,1637800,EUR,1755420,Seed,2,,"Jakub Mahdal, Lighthouse Ventures, Michael Rostock-Poplar, Oktogon Ventures, Ondrej Smolar, Patero",,6,"9,641"
Seed Round - FaceUp,https://www.crunchbase.com/funding_round/faceup-seed--7994b28c,FaceUp,https://www.crunchbase.com/organization/faceup,Seed,"Prague, Hlavni mesto Praha, Czech Republic, Europe",2024-10-10,2700000,EUR,2952071,Seed,,,,Yes,FaceUp is a anonymous whistleblowing platform where employees or students can uncover the problems and challenges they are facing.,"Information Technology, Security, Software",,http://www.faceup.com,$1M to $10M,2700000,EUR,2952071,Seed,2,Reflex Capital,"European Investment Fund, Lighthouse Ventures, Reflex Capital, Tilia Impact Ventures",2,4,"9,891"
Seed Round - Outfindo,https://www.crunchbase.com/funding_round/outfindo-seed--1794a52b,Outfindo,https://www.crunchbase.com/organization/outfindo,Seed,"Prague, Hlavni mesto Praha, Czech Republic, Europe",2025-01-20,1200000,EUR,1250152,Seed,,,,Yes,Outfindo offers AI-driven shopping guides to make product selection easier.,"Artificial Intelligence (AI), Guides, Machine Learning, Shopping",,https://www.outfindo.com/,$1M to $10M,3900000,EUR,4305489,Seed,4,Eleven Ventures,"Borovicka Capital, Eleven Ventures, Lighthouse Ventures",1,3,"9,913"
Pre Seed Round - Zaitra,https://www.crunchbase.com/funding_round/zaitra-pre-seed--ee442f8d,Zaitra,https://www.crunchbase.com/organization/zaitra,Pre-Seed,"Brno, Jihomoravsky kraj, Czech Republic, Europe",2024-10-08,1700000,EUR,1865833,Seed,,,,Yes,Zaitra helps in reducing costs in data transmission along with spacecraft onboard and artificial intelligence services.,"Artificial Intelligence (AI), Satellite Communication, Space Travel",,https://zaitra.io/,$1M to $10M,1700000,EUR,1865833,Seed,1,Sunfish Partners,"Czech Founders VC, European Space Agency, Honza Široký, Sunfish Partners, Technology Agency of Czech Republic",1,5,"10,488"
Pre Seed Round - Zerops,https://www.crunchbase.com/funding_round/zerops-pre-seed--9caeb060,Zerops,https://www.crunchbase.com/organization/zerops,Pre-Seed,"Praha, Hlavni mesto Praha, Czech Republic, Europe",2024-06-20,466000,EUR,498914,Seed,,,,Yes,Zerops offers a developer-focused cloud platform for app development and maintenance.,"Cloud Data Services, Consulting",,https://zerops.io,,466000,EUR,498914,Seed,1,"Gi21 Capital, Presto Ventures","Gi21 Capital, Presto Ventures",1,2,"11,008"
