Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - All Gravy,https://www.crunchbase.com/funding_round/butter-f7e2-seed--6113d456,All Gravy,https://www.crunchbase.com/organization/butter-f7e2,Seed,"Copenhagen, Hovedstaden, Denmark, Europe",2025-03-28,2600000,EUR,2827630,Seed,,,,Yes,"All Gravy offers an employee engagement platform, focusing on onboarding, wellness, communication, and shift management.","Business Development, Employee Benefits, Enterprise Resource Planning (ERP), Financial Services, FinTech, Productivity Tools",,https://www.allgravy.com,$1M to $10M,7282161,USD,7282161,Seed,4,"Moonfire Ventures, Scale Capital","Alexander Aghassipour, Fredrik Hjelm, Jeppe Rindom, Moonfire Ventures, Scale Capital",2,5,931
Seed Round - Ousia Pharma,https://www.crunchbase.com/funding_round/ousia-pharma-seed--ba8ce938,Ousia Pharma,https://www.crunchbase.com/organization/ousia-pharma,Seed,"Copenhagen, Hovedstaden, Denmark, Europe",2025-05-06,,,,Seed,,,,Yes,Ousia Pharma focuses on the design and development of pharmacotherapies to improve the health and lives of people living with obesity.,"Biotechnology, Medical, Pharmaceutical",,https://ousiapharma.com/,,500000,EUR,548375,Seed,3,Omega Funds,Omega Funds,3,1,"1,444"
Seed Round - Signal,https://www.crunchbase.com/funding_round/signal-8090-seed--14efaa9d,Signal,https://www.crunchbase.com/organization/signal-8090,Seed,"Copenhagen, Hovedstaden, Denmark, Europe",2025-04-02,550000,EUR,594038,Seed,,,,Yes,"Signal provides information related to investment opportunities, to guide VC & PE investors.","Intelligent Systems, Web Development",,https://www.signalanalytics.io/,,550000,EUR,594038,Seed,2,,"Christian Jantzen, Eske Gunge, Mikael Bondum, Philipp Baecker, Sonu Banga",,5,"2,440"
Seed Round - Cacto Health,https://www.crunchbase.com/funding_round/cacto-health-seed--2a7e2a95,Cacto Health,https://www.crunchbase.com/organization/cacto-health,Seed,"Horsens, Midtjylland, Denmark, Europe",2025-04-24,3000000,DKK,456956,Seed,,,,Yes,Cacto Health is the Developer of a medical device system designed for monitoring lymphedema in breast cancer patients.,"Health Care, Health Diagnostics, Medical Device",,,,3000000,DKK,456956,Seed,1,"Export and Investment Fund, Innovation Fund Denmark","Export and Investment Fund, Innovation Fund Denmark",,2,"2,827"
Seed Round - Alice tech,https://www.crunchbase.com/funding_round/alice-tech-seed--009ac608,Alice tech,https://www.crunchbase.com/organization/alice-tech,Seed,"Copenhagen, Hovedstaden, Denmark, Europe",2025-05-07,4200000,EUR,4772180,Seed,,,,Yes,Alice tech is the developer of an artificial intelligence-powered study platform designed to personalize the learning experience.,"Artificial Intelligence (AI), Machine Learning, SaaS",,https://www.alice.tech/,,5272180,USD,5272180,Seed,2,"Cherry Ventures, Y Combinator","Cherry Ventures, Y Combinator",2,2,"4,245"
Pre Seed Round - Ejendom.com,https://www.crunchbase.com/funding_round/ejendom-com-pre-seed--ce3facdc,Ejendom.com,https://www.crunchbase.com/organization/ejendom-com,Pre-Seed,"Copenhagen, Hovedstaden, Denmark, Europe",2025-03-19,,,,Seed,,,,Yes,"Ejendom.com offers a platform on operation,renovation and CO2 calculations to make the right sustainable and economic decision for property.","Construction, Sustainability",,https://ejendom.com/?trk=feed-detail_main-feed-card-text,,,,,Seed,1,KRING,KRING,1,1,"5,324"
Pre Seed Round - Spaak Technologies,https://www.crunchbase.com/funding_round/spaak-technologies-pre-seed--f795b90e,Spaak Technologies,https://www.crunchbase.com/organization/spaak-technologies,Pre-Seed,"Copenhagen, Hovedstaden, Denmark, Europe",2025-03-17,1500000,EUR,1631985,Seed,,,,Yes,Spaak Technologies is specialized platform for public affair professionals that enables them to understand and monitor important regulation.,"Information Technology, Internet",,https://spaak.ai/,,1500000,EUR,1631985,Seed,1,"J12, node.vc","J12, node.vc",1,2,"5,365"
Seed Round - Hybird Energy,https://www.crunchbase.com/funding_round/hybird-energy-seed--464d73cf,Hybird Energy,https://www.crunchbase.com/organization/hybird-energy,Seed,"Copenhagen, Hovedstaden, Denmark, Europe",2025-01-28,2400000,EUR,2503583,Seed,,,,Yes,Developing intelligent electrical panels powered by an AI energy cloud,"Energy, Energy Efficiency, Energy Management, Industrial, Manufacturing, Power Grid, Real Estate",,https://www.hybird.energy/,,2400000,EUR,2503583,Seed,1,"BackingMinds, Transition","2degrees, Anders Bo Pedersen, BackingMinds, Christian Legene, Eikon Management, Ekaterina Gianelli, Jeppe Rindom, Lasse Stokholm, Mickey Switzer Schubert-Suell, Notion Capital, Oliver Rye, Sune Alstrup, Thomas Buus Madsen, Tony Kula, Transition",2,15,"5,499"
Seed Round - Commit Biologics,https://www.crunchbase.com/funding_round/commit-biologics-seed--788eb6e7,Commit Biologics,https://www.crunchbase.com/organization/commit-biologics,Seed,"Aarhus, Midtjylland, Denmark, Europe",2025-01-28,5500000,EUR,5735027,Seed,,,,Yes,Commit Biologics is a biotechnology research company developing a novel immunotherapy platform for the treatment of cancer.,"Biotechnology, Life Science, Medical, Therapeutics",,https://commitbio.com/,,23705659,USD,23705659,Seed,4,Korys,"Bioqube Ventures, Korys, Novo Holdings",3,3,"5,928"
Angel Round - Kiku,https://www.crunchbase.com/funding_round/kiku-3a5b-angel--323a12d6,Kiku,https://www.crunchbase.com/organization/kiku-3a5b,Angel,"Copenhagen, Hovedstaden, Denmark, Europe",2024-12-17,3700000,DKK,520555,Seed,,,,Yes,"Kiku refers to the use of AI to schedule, screen, and assess applicants at scale.",Artificial Intelligence (AI),,https://getkiku.com/,,3700000,DKK,520555,Seed,1,,"Adam Jafer, Anders Bo Pedersen, Bjarke Staun-Olsen, Emma Hernmarck, Felipe Navio, Felix Leuschner, Fredrik Hjelm, Juan Urdiales, Marcus Krylborn, Morten Just Petersen, Morten Petersen, Sequoia Capital, Sergej Epp",,13,"5,965"
Angel Round - Elby.,https://www.crunchbase.com/funding_round/elby-28bb-angel--a3dde996,Elby.,https://www.crunchbase.com/organization/elby-28bb,Angel,"Copenhagen, Hovedstaden, Denmark, Europe",2025-03-27,,,,Seed,,,,Yes,Elby focused on accelerating the green transition in personal transportation with smart charging for urban areas.,,,https://www.elby.dk/,,2300000,DKK,320523,Seed,2,Nikolaj Nyholm,Nikolaj Nyholm,,1,"6,639"
Seed Round - NitroVolt,https://www.crunchbase.com/funding_round/nitrovolt-seed--192a3ab9,NitroVolt,https://www.crunchbase.com/organization/nitrovolt,Seed,"Copenhagen, Hovedstaden, Denmark, Europe",2024-11-13,3500000,EUR,3698065,Seed,,,,Yes,"NitroVolt is a green ammonia startup developing a small-scale ammonia synthesis unit, to give farmers control over fertilizer production.","Agriculture, AgTech, CleanTech, Energy Storage, Fuel, GreenTech, Renewable Energy, Sustainability",,https://www.nitrovolt.com/,,4524207,USD,4524207,Seed,3,"BackingMinds, Export and Investment Fund","BackingMinds, Breakthrough Energy Ventures, Division Q, EQt Foundation, Export and Investment Fund, Satgana",2,6,"7,634"
Seed Round - FocalX,https://www.crunchbase.com/funding_round/focalx-seed--4ee9488c,FocalX,https://www.crunchbase.com/organization/focalx,Seed,"Copenhagen, Hovedstaden, Denmark, Europe",2025-02-17,1800000,EUR,1888822,Seed,,,,Yes,"FocalX offers AI-driven vehicle inspection technology for the automotive industry, enhancing damage assessment accuracy and efficiency.","Artificial Intelligence (AI), B2B, Software",,https://focalx.ai,$1M to $10M,1800000,EUR,1888822,Seed,1,byFounders,"byFounders, Christian Brink Frederiksen, Florian van Schreven, Henrik Haugbølle, Ioannis Sintos, Tony Beltramelli",,6,"8,344"
Seed Round - Cernel,https://www.crunchbase.com/funding_round/cernel-seed--65a39d27,Cernel,https://www.crunchbase.com/organization/cernel,Seed,"Aarhus, Midtjylland, Denmark, Europe",2024-11-20,,,,Seed,,,,Yes,Cernel is an e-commerce task automation platform that creates innovative solutions for all tedious e-commerce chores.,"Content, Publishing, Software",,https://cernel.ai,,,,,Seed,1,Founderment,"Anders Thorhauge Sandholm, Export and Investment Fund, Founderment, Jesper hvejsel, Kresten Krab Thorup, Mikkel Salling, Stefan Rosenlund",1,7,"9,078"
Angel Round - Reversio,https://www.crunchbase.com/funding_round/reversio-angel--b3e9f979,Reversio,https://www.crunchbase.com/organization/reversio,Angel,"Copenhagen, Hovedstaden, Denmark, Europe",2025-03-05,,,,Seed,,,,Yes,Reversio provides full control over the returns process and ensures that the most value is retained with each return.,Software,,https://www.reversio.io/,,,,,Seed,1,,"Aleksander Due-Rasmussen, Christoffer Bouet, Lasse Viggo, Nicki Due-Rasmussen",,4,"9,844"
Seed Round - Pandektes,https://www.crunchbase.com/funding_round/pandektes-seed--3ba009e8,Pandektes,https://www.crunchbase.com/organization/pandektes,Seed,"Copenhagen, Hovedstaden, Denmark, Europe",2025-02-04,22000000,DKK,3046584,Seed,,,,Yes,"Pandektes strives to streamline this procedure by utilizing artificial intelligence, advanced search functions & up-to-date legal sources.","Artificial Intelligence (AI), Search Engine",,https://pandektes.com/,,28000000,DKK,3907132,Seed,2,"Interface Capital, People Ventures","Interface Capital, People Ventures",1,2,"9,942"
Pre Seed Round - Fuse Vectors,https://www.crunchbase.com/funding_round/fuse-vectors-pre-seed--0bdfd896,Fuse Vectors,https://www.crunchbase.com/organization/fuse-vectors,Pre-Seed,"Copenhagen, Hovedstaden, Denmark, Europe",2025-02-25,37000000,DKK,5196690,Seed,,,,Yes,Fuse Vectors is disrupting the manufacturing process in order to provide universal access to gene therapy.,Biotechnology,,https://www.fusevectors.com/,,7153756,USD,7153756,Seed,3,HCVC,"BioInnovation Institute, Export and Investment Fund, HCVC",1,3,"9,990"
Pre Seed Round - Visibuilt,https://www.crunchbase.com/funding_round/visibuilt-pre-seed--3c7e673d,Visibuilt,https://www.crunchbase.com/organization/visibuilt,Pre-Seed,"Allerød, Hovedstaden, Denmark, Europe",2025-02-01,1100000,EUR,1139929,Seed,,,,Yes,"Visibuilt is to pioneer sustainable road-building solutions by replacing standard asphalt with cutting-edge, environmentally materials.","Building Material, Wholesale",,https://visibuilt.com,,3086741,USD,3086741,Seed,3,,"David Kauffmann, EMD Fonden, Per Falholt, Steen Riisgaard, Thomas G. Schmidt",1,5,"10,077"
Pre Seed Round - LuftVejen/SkyDock,https://www.crunchbase.com/funding_round/luftvejen-skydock-pre-seed--f7fa9948,LuftVejen/SkyDock,https://www.crunchbase.com/organization/luftvejen-skydock,Pre-Seed,"Kolding, Syddanmark, Denmark, Europe",2025-03-12,,,,Seed,,,,Yes,SkyDock is an developer of AI-powered drone charging stations with a unique hanging design for flexible mounting and convenient charging.,Manufacturing,,https://luftvejen.dk/,,,,,Seed,1,Seeds of Bravery,Seeds of Bravery,,1,"10,217"
Seed Round - Light,https://www.crunchbase.com/funding_round/light-e65e-seed--b701677a,Light,https://www.crunchbase.com/organization/light-e65e,Seed,"Copenhagen, Hovedstaden, Denmark, Europe",2024-06-12,13000000,USD,13000000,Seed,,,,Yes,Light is a financial platform that offers fully automated general ledger and other accounting solution services for multinational companies.,"Accounting, Database, Financial Services",,https://light.inc,,13000000,USD,13000000,Seed,1,Atomico,"Atomico, Cherry Ventures, Entrée Capital, Mario Götze, Seedcamp",1,5,"10,470"
Seed Round - Pluto.markets,https://www.crunchbase.com/funding_round/pluto-markets-seed--88a6cc90,Pluto.markets,https://www.crunchbase.com/organization/pluto-markets,Seed,"Copenhagen, Hovedstaden, Denmark, Europe",2024-02-07,2600000,USD,2600000,Seed,,,,Yes,Next-Gen Investing for 100m Underserved Europeans,"Apps, Financial Services, FinTech, Trading Platform, Wealth Management",,https://pluto.markets/,$1M to $10M,3500000,USD,3500000,Seed,2,Magnetic Capital,"Alexander Aghassipour, Bjarke Staun-Olsen, Jeppe Rindom, Khalid Zitouni, Magnetic Capital, Nordic Makers, Victor Riparbelli, Y Combinator",1,8,"10,844"
Pre Seed Round - Contribe.io,https://www.crunchbase.com/funding_round/contribe-io-pre-seed--5d5823d6,Contribe.io,https://www.crunchbase.com/organization/contribe-io,Pre-Seed,"Copenhagen, Hovedstaden, Denmark, Europe",2024-08-13,7500000,DKK,1105200,Seed,,,,Yes,We turn sustainable collaborations into a competitive advantage,"SaaS, Software, Sustainability",,https://contribe.io/,,7500000,DKK,1105200,Seed,2,"Export and Investment Fund, Human Act, Rockstart","Export and Investment Fund, Human Act, Jonatan Hjortdal, Maria Steinhauer Krogh, Morten Baehrenz, Rockstart",,6,"10,882"
Pre Seed Round - Bucket,https://www.crunchbase.com/funding_round/bucket-b91b-pre-seed--b2d935d3,Bucket,https://www.crunchbase.com/organization/bucket-b91b,Pre-Seed,"Copenhagen, Hovedstaden, Denmark, Europe",2022-04-12,2000000,USD,2000000,Seed,,,,Yes,Feature flagging that’s purpose-built for B2B,"SaaS, Software",,https://bucket.co/,,5700000,USD,5700000,Seed,2,,"Anders Bo Pedersen, Andreas Klinger, Creandum, Deani Hansen, Gregor Belcec, Jakob Marovt, Johannes Schickling, Justin Gallagher, Kenneth Auchenberg, Manuel Weiss, Moritz Plassnig, Morten Just Petersen, Nick Bruun, Niels Tindbæk, Phillip Chambers, Simon Willnauer",,16,"10,927"
Pre Seed Round - Endless Food,https://www.crunchbase.com/funding_round/endless-food-co-pre-seed--cea08975,Endless Food,https://www.crunchbase.com/organization/endless-food-co,Pre-Seed,"Copenhagen, Hovedstaden, Denmark, Europe",2024-12-06,1000000,EUR,1057562,Seed,,,,Yes,Endless Food is a food innovation firm focusing on the junction of pleasure and sustainability.,"Food and Beverage, Food Processing, Retail",,https://endlesscph.com,,1000000,EUR,1057562,Seed,1,Nordic Foodtech VC,"Export and Investment Fund, Nordic Foodtech VC, Rockstart",1,3,"11,309"
Seed Round - Kvantify,https://www.crunchbase.com/funding_round/kvantify-seed--2b70d93c,Kvantify,https://www.crunchbase.com/organization/kvantify,Seed,"Copenhagen, Hovedstaden, Denmark, Europe",2024-07-03,10000000,EUR,10791153,Seed,,,,Yes,Kvantify provides Quantum computing and HPC software solutions that address hard computational challenges.,"Artificial Intelligence (AI), Cloud Computing, FinTech, Information Technology, Life Science, Machine Learning, Quantum Computing, Software",,https://www.kvantify.dk/,,19317072,USD,19317072,Seed,4,"2degrees, Dreamcraft Ventures, Lundbeckfonden Ventures","2degrees, 2xN, Dreamcraft Ventures, Export and Investment Fund, Lundbeckfonden Ventures, QAI Ventures, Redstone.VC",3,7,"11,747"
