Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Pre Seed Round - Esgrid,https://www.crunchbase.com/funding_round/esgrid-pre-seed--0fa9163f,Esgrid,https://www.crunchbase.com/organization/esgrid,Pre-Seed,"Tallinn, Harjumaa, Estonia, Europe",2025-04-16,900000,EUR,1026032,Seed,,,,Yes,Esgrid provides value-chain sustainability management solutions to medium-sized businesses and financial institutions.,"Financial Services, Software, Sustainability",,https://esgrid.com,,1400000,EUR,1569211,Seed,2,2C Ventures,"2C Ventures, Estonian venture capital, Greenco Ventures, Lemonade Stand, Startup Wise Guys",,5,431
Pre Seed Round - Fleetbrains,https://www.crunchbase.com/funding_round/fleetbrains-pre-seed--2388d9c5,Fleetbrains,https://www.crunchbase.com/organization/fleetbrains,Pre-Seed,"Tallinn, Harjumaa, Estonia, Europe",2025-03-18,800000,EUR,872838,Seed,,,,Yes,"We transform fleet sales and stock management with cutting-edge AI, enabling optimized stock, maximized margins, and accelerate turnovers.","Artificial Intelligence (AI), Automotive, Big Data, Machine Learning",,https://www.fleetbrains.com/,,800000,EUR,872838,Seed,1,Icebreaker.vc,Icebreaker.vc,,1,"2,849"
Seed Round - Frankenburg Technologies,https://www.crunchbase.com/funding_round/frankenburg-technologies-seed--9fb34ec2,Frankenburg Technologies,https://www.crunchbase.com/organization/frankenburg-technologies,Seed,"Tallinn, Harjumaa, Estonia, Europe",2025-03-12,4000000,EUR,4364616,Seed,146000000,EUR,159308470,Yes,"Frankenburg Technologies aims to develop missile systems that are ten times more affordable, a hundred times faster to produce.",Manufacturing,,https://frankenburg.tech/,,5500000,EUR,5995191,Seed,2,"Blossom Capital, Shellona","Blossom Capital, Shellona",,2,"5,663"
Seed Round - Miros,https://www.crunchbase.com/funding_round/miros-ai-seed--83f678ec,Miros,https://www.crunchbase.com/organization/miros-ai,Seed,"Tallinn, Harjumaa, Estonia, Europe",2024-11-05,6000000,EUR,6560410,Seed,,,,Yes,"Miros utilizes AI technology to analyze shopper behaviors, identifying key interactions like scrolls and clicks to enhance user experience.","Artificial Intelligence (AI), E-Commerce, Fashion, Product Search, Retail Technology, Search Engine",,https://miros.ai,,9400000,EUR,10347575,Seed,4,"EBRD Venture Capital, Tera Ventures","BADideas.fund, Day One Capital, EBRD Venture Capital, Marc Lamik, Specialist VC, Tera Ventures, Toomas Hendrik Ilves, Vesna Capital, ZAKA VC",1,9,"6,649"
Pre Seed Round - Askel.ai,https://www.crunchbase.com/funding_round/askel-ai-pre-seed--41ab9471,Askel.ai,https://www.crunchbase.com/organization/askel-ai,Pre-Seed,"Harku, Harjumaa, Estonia, Europe",2024-12-08,380000,EUR,401497,Seed,,,,Yes,Askel.ai elevates SaaS with embedded AI automation.,"Artificial Intelligence (AI), Software",,https://askel.ai/,,380000,EUR,401497,Seed,1,Superangel,"Andres Kitter, Janer Gorohhov, Manuel Huez, Mark Gilbert, Ott Kaukver, Patrick Malatack, Superangel",2,7,"6,992"
Seed Round - Cino,https://www.crunchbase.com/funding_round/cino-d4dc-seed--14eda7cf,Cino,https://www.crunchbase.com/organization/cino-d4dc,Seed,"Tallin, Harjumaa, Estonia, Europe",2025-03-04,3500000,EUR,3667091,Seed,,,,Yes,"Cino is a mobile app that enables group payments with seamless, real-time bill splitting.","FinTech, Mobile Payments, Software",,https://www.getcino.com,,6724391,USD,6724391,Seed,4,Balderton Capital,"Balderton Capital, Barney Hussey, Connect Ventures, Sameer Singh, Tera Ventures",2,5,"7,317"
Pre Seed Round - GaltTec,https://www.crunchbase.com/funding_round/galttec-pre-seed--be006133,GaltTec,https://www.crunchbase.com/organization/galttec,Pre-Seed,"Tartu, Tartumaa, Estonia, Europe",2025-02-28,1000000,EUR,1038898,Seed,,,,Yes,GaltTec focuses on developing and marketing microtubular solid oxide fuel cells.,Fuel Cell,,https://galttec.com/,,1000000,EUR,1038898,Seed,2,2C Ventures,"2C Ventures, Bitsick OÜ, DefCAP OÜ, Kuldar Väärsi, ModulEnergy OÜ",1,5,"10,354"
Seed Round - Farsight Vision,https://www.crunchbase.com/funding_round/farsightvision-seed--dfe749fd,Farsight Vision,https://www.crunchbase.com/organization/farsightvision,Seed,"Tallinn, Harjumaa, Estonia, Europe",2024-09-17,600000,EUR,667327,Seed,,,,Yes,Geospatial analytics 30x faster,Information Technology,,https://www.farsightvision.com/,,600000,EUR,667327,Seed,1,Darkstar Camp,Darkstar Camp,1,1,"12,129"
Pre Seed Round - M-FLY,https://www.crunchbase.com/funding_round/m-fly-pre-seed--a56f1976,M-FLY,https://www.crunchbase.com/organization/m-fly,Pre-Seed,"Tallinn, Harjumaa, Estonia, Europe",2025-03-13,1300000,USD,1300000,Seed,,,,Yes,"M-FLY develops gimbals for unmanned systems, supporting aerospace and defense with effective aerial surveillance solutions.","Drones, Embedded Systems, Geospatial, Laser, Mechanical Engineering, Military, Optical Communication, Software Engineering",,https://m-fly.org,,1300000,USD,1300000,Seed,1,,"Freedom Fund VC, MITS Capital, Resist.UA",,3,"13,250"
Seed Round - Pointship,https://www.crunchbase.com/funding_round/pointship-seed--f8691d47,Pointship,https://www.crunchbase.com/organization/pointship,Seed,"Tallin, Harjumaa, Estonia, Europe",2025-02-24,1900000,USD,1900000,Seed,,,,Yes,Pointship is an online travel platform that allows people to share unused travel rewards with other members of the community.,"Internet, Mobile Apps, Travel",,https://www.pointship.net/,$1M to $10M,2167500,USD,2167500,Seed,2,Startup Wise Guys,Startup Wise Guys,,1,"13,479"
