Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Sooma,https://www.crunchbase.com/funding_round/sooma-seed--86a09798,Sooma,https://www.crunchbase.com/organization/sooma,Seed,"Helsinki, Southern Finland, Finland, Europe",2024-03-12,5000000,EUR,5463287,Seed,,,,Yes,"Sooma Oy is developing a non-invasive brain stimulation device, a treatment option for depression and chronic pain. Mental health.","Health Care, Medical Device, Mental Health",,http://soomamedical.com/,$1M to $10M,7537000,EUR,8442882,Seed,7,Voima Ventures,Voima Ventures,1,1,"31,718"
Seed Round - Inscripta,https://www.crunchbase.com/funding_round/inscripta-10ae-seed--47fa334c,Inscripta,https://www.crunchbase.com/organization/inscripta-10ae,Seed,"Helsinki, Southern Finland, Finland, Europe",2021-05-28,700000,EUR,853475,Seed,,,,Yes,Inscripta provides word processing and speech recognition services.,"Internet, Machine Learning, Speech Recognition",,https://inscripta.io/,$1M to $10M,850000,EUR,1025232,Seed,2,"Ali Omar, Henry Nilert","Ali Omar, Business Finland, Henry Nilert, Icebreaker.vc, Leena Niemistö",1,5,"66,642"
Seed Round - JoyHaptics,https://www.crunchbase.com/funding_round/joyhaptics-seed--7326c209,JoyHaptics,https://www.crunchbase.com/organization/joyhaptics,Seed,"Helsinki, Southern Finland, Finland, Europe",2023-05-17,,,,Seed,,,,Yes,Send your loved one touch anywhere in the world,"Health Care, Internet of Things, Personal Health, Software, Wellness",,https://www.joyhaptics.com/,,450000,USD,450000,Seed,4,Redstone.VC,Redstone.VC,,1,"70,907"
Seed Round - Foodiq,https://www.crunchbase.com/funding_round/foodiq-seed--75ba07cb,Foodiq,https://www.crunchbase.com/organization/foodiq,Seed,"Helsinki, Southern Finland, Finland, Europe",2022-06-22,13000000,EUR,13734290,Seed,,,,Yes,Foodiq is a one-of-a-kind food manufacturer that can both develop and manufacture plant-based products.,"Food and Beverage, Manufacturing",,https://www.foodiq.fi/,$1M to $10M,13000000,EUR,13734290,Seed,1,Nicoya,Nicoya,1,1,"71,117"
Seed Round - Norsepower Oy,https://www.crunchbase.com/funding_round/norsepower-oy-seed--69a37d54,Norsepower Oy,https://www.crunchbase.com/organization/norsepower-oy,Seed,"Helsinki, Southern Finland, Finland, Europe",2016-01-31,3000000,EUR,3249137,Seed,,,,Yes,Norsepower Oy is a clean technology and engineering company pioneering the generation of renewable wind energy.,"Clean Energy, CleanTech, Energy, Energy Efficiency",,http://www.norsepower.com/,$1M to $10M,50782200,USD,50782200,Late Stage Venture,6,VNT Management,"Valve Ventures, VNT Management",,2,"77,537"
Pre Seed Round - Nucu,https://www.crunchbase.com/funding_round/nucu-pre-seed--11374ff0,Nucu,https://www.crunchbase.com/organization/nucu,Pre-Seed,"Oulu, Oulu, Finland, Europe",2022-11-07,950000,EUR,951657,Seed,,,,Yes,Nucu aims to help caregivers provide babies with positive stimulation and developmental sleep during the crucial of life and development.,Wellness,,https://nucubaby.com/,,950000,EUR,951657,Seed,1,Voima Ventures,Voima Ventures,1,1,"80,103"
Seed Round - StageZero Technologies,https://www.crunchbase.com/funding_round/stagezero-technologies-seed--1de4ff76,StageZero Technologies,https://www.crunchbase.com/organization/stagezero-technologies,Seed,"Helsinki, Southern Finland, Finland, Europe",2022-01-10,1800000,USD,1800000,Seed,,,,Yes,StageZero Technologies is an AI company and innovator of the ground-breaking MicroTasks technology used for ethical data creation.,"Information Services, Information Technology",,https://stagezero.ai/,,1800000,USD,1800000,Seed,1,Konvoy,"Alexis Bonte, Andrew Sheppard, Hyperamp, Into Ventures, Konvoy, Ludus, Nordic Game Ventures, Wilhelm Taht",1,8,"80,712"
Pre Seed Round - Fixably,https://www.crunchbase.com/funding_round/fixably-pre-seed--d9dc93c2,Fixably,https://www.crunchbase.com/organization/fixably,Pre-Seed,"Helsinki, Southern Finland, Finland, Europe",2020-09-18,800000,EUR,947228,Seed,,,,Yes,Fixably is a Finland-based SaaS company that helps technicians and repair shops operate better.,"Application Performance Management, Innovation Management, SaaS, Software",,https://fixably.com/,$1M to $10M,10947228,USD,10947228,Seed,3,Icebreaker.vc,Icebreaker.vc,1,1,"85,072"
Seed Round - MeetingPackage,https://www.crunchbase.com/funding_round/meetingpackage-com-seed--7bbc292d,MeetingPackage,https://www.crunchbase.com/organization/meetingpackage-com,Seed,"Espoo, Southern Finland, Finland, Europe",2019-04-17,1500000,EUR,1694504,Seed,,,,Yes,"MeetingPackage is a Venue & Sales Management and a Booking Engine solution for Hotels & Event Venues. SaaS, PropTech, HotelTech, Marketplace","Business Travel, Event Management, Events, Hospitality, Hotel, Meeting Software, Property Management, PropTech, SaaS, Travel",,https://www.meetingpackage.com,$1M to $10M,8597162,USD,8597162,Early Stage Venture,5,Falkensteiner Ventures,Falkensteiner Ventures,,1,"87,925"
Seed Round - Woodio,https://www.crunchbase.com/funding_round/woodio-oy-seed--a9ccadb8,Woodio,https://www.crunchbase.com/organization/woodio-oy,Seed,"Helsinki, Southern Finland, Finland, Europe",2017-10-19,,,,Seed,,,,Yes,Woodio is a digital designing agency.,"Product Design, Real Estate",,https://woodio.fi,Less than $1M,22792000,EUR,24909546,,6,Valve Ventures,Valve Ventures,,1,"88,014"
