Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Venture Round - Zizoo,https://www.crunchbase.com/funding_round/zizooboats-gmbh-series-unknown--24c966f8,Zizoo,https://www.crunchbase.com/organization/zizooboats-gmbh,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",2019-10-01,10631900,USD,10631900,,,,,Yes,Zizoo is a boat holiday platform.,"Location Based Services, Rental, Sailing, Travel",,http://www.zizoo.com,$10M to $50M,28766666,USD,28766666,M&A,7,,"coparion, Revo Capital",,2,"323,581"
Seed Round - Zizoo,https://www.crunchbase.com/funding_round/zizooboats-gmbh-seed--ff31dbaa,Zizoo,https://www.crunchbase.com/organization/zizooboats-gmbh,Seed,"Berlin, Berlin, Germany, Europe",2016-07-05,1700000,EUR,1881363,Seed,,,,Yes,Zizoo is a boat holiday platform.,"Location Based Services, Rental, Sailing, Travel",,http://www.zizoo.com,$10M to $50M,28766666,USD,28766666,M&A,7,,"aws Gründungsfonds, Axel Springer Digital Ventures, Axel Springer Plug and Play Accelerator, MairDumont, MairDumont Ventures, Russmedia Equity Partners, Samuel Shank",,7,"330,473"
Angel Round - Zizoo,https://www.crunchbase.com/funding_round/zizooboats-gmbh-angel--76d4529b,Zizoo,https://www.crunchbase.com/organization/zizooboats-gmbh,Angel,"Berlin, Berlin, Germany, Europe",2015-03-01,,,,Seed,,,,Yes,Zizoo is a boat holiday platform.,"Location Based Services, Rental, Sailing, Travel",,http://www.zizoo.com,$10M to $50M,28766666,USD,28766666,M&A,7,,"Dagmar Bottenbruch, Heinz-Werner Nienstedt, Samuel Shank",,3,"333,981"
Series A - Zizoo,https://www.crunchbase.com/funding_round/zizooboats-gmbh-series-a--538d8c29,Zizoo,https://www.crunchbase.com/organization/zizooboats-gmbh,Series A,"Berlin, Berlin, Germany, Europe",2018-11-22,7400000,USD,7400000,Early Stage Venture,,,,Yes,Zizoo is a boat holiday platform.,"Location Based Services, Rental, Sailing, Travel",,http://www.zizoo.com,$10M to $50M,28766666,USD,28766666,M&A,7,Revo Capital,"aws Gründungsfonds, Axel Springer Digital Ventures, CHECK24 Ventures, coparion, PUSH VC, Revo Capital, Russmedia Equity Partners",1,7,"352,113"
Debt Financing - Zizoo,https://www.crunchbase.com/funding_round/zizooboats-gmbh-debt-financing--33cafe5c,Zizoo,https://www.crunchbase.com/organization/zizooboats-gmbh,Debt Financing,"Berlin, Berlin, Germany, Europe",2021-10-01,8000000,USD,8000000,,,,,No,Zizoo is a boat holiday platform.,"Location Based Services, Rental, Sailing, Travel",,http://www.zizoo.com,$10M to $50M,28766666,USD,28766666,M&A,7,,LIQUiDITY Group,,1,"489,277"
Venture Round - Zizoo,https://www.crunchbase.com/funding_round/zizooboats-gmbh-series-unknown--d4e81ee6,Zizoo,https://www.crunchbase.com/organization/zizooboats-gmbh,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",2017-05-05,,,,,,,,Yes,Zizoo is a boat holiday platform.,"Location Based Services, Rental, Sailing, Travel",,http://www.zizoo.com,$10M to $50M,28766666,USD,28766666,M&A,7,,"aws Gründungsfonds, Axel Springer, Axel Springer Plug and Play Accelerator, MairDumont",,4,"657,397"
Seed Round - Zizoo,https://www.crunchbase.com/funding_round/zizooboats-gmbh-seed--fee93e49,Zizoo,https://www.crunchbase.com/organization/zizooboats-gmbh,Seed,"Berlin, Berlin, Germany, Europe",2014-09-01,650000,EUR,853403,Seed,,,,Yes,Zizoo is a boat holiday platform.,"Location Based Services, Rental, Sailing, Travel",,http://www.zizoo.com,$10M to $50M,28766666,USD,28766666,M&A,7,,"Axel Springer Plug and Play Accelerator, Christoph Prinz",1,2,"662,582"
Venture Round - Zeotap,https://www.crunchbase.com/funding_round/zeotap-series-unknown--2962af50,Zeotap,https://www.crunchbase.com/organization/zeotap,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",2024-11-20,25000000,USD,25000000,,,,,Yes,Zeotap’s mission is to help brands monetise customer data in a privacy-first Europe.,"Analytics, Digital Marketing, Marketing, SaaS",,http://www.zeotap.com,$1M to $10M,117215781,USD,117215781,,12,,"Salica, SignalFire",,2,"17,300"
Debt Financing - Zeotap,https://www.crunchbase.com/funding_round/zeotap-debt-financing--3dfb5eba,Zeotap,https://www.crunchbase.com/organization/zeotap,Debt Financing,"Berlin, Berlin, Germany, Europe",2024-11-20,,,,,,,,No,Zeotap’s mission is to help brands monetise customer data in a privacy-first Europe.,"Analytics, Digital Marketing, Marketing, SaaS",,http://www.zeotap.com,$1M to $10M,117215781,USD,117215781,,12,,,,,"194,880"
Series A - Zeotap,https://www.crunchbase.com/funding_round/zeotap-series-a--d38166c0,Zeotap,https://www.crunchbase.com/organization/zeotap,Series A,"Berlin, Berlin, Germany, Europe",2016-10-16,,,,Early Stage Venture,,,,Yes,Zeotap’s mission is to help brands monetise customer data in a privacy-first Europe.,"Analytics, Digital Marketing, Marketing, SaaS",,http://www.zeotap.com,$1M to $10M,117215781,USD,117215781,,12,,Brian Lent,,1,"221,294"
Seed Round - Zeotap,https://www.crunchbase.com/funding_round/zeotap-seed--cf55f29b,Zeotap,https://www.crunchbase.com/organization/zeotap,Seed,"Berlin, Berlin, Germany, Europe",2015-06-26,,,,Seed,,,,Yes,Zeotap’s mission is to help brands monetise customer data in a privacy-first Europe.,"Analytics, Digital Marketing, Marketing, SaaS",,http://www.zeotap.com,$1M to $10M,117215781,USD,117215781,,12,,Brian Lent,,1,"221,300"
Series A - Zeotap,https://www.crunchbase.com/funding_round/zeotap-series-a--af277171,Zeotap,https://www.crunchbase.com/organization/zeotap,Series A,"Berlin, Berlin, Germany, Europe",2015-08-04,6400000,USD,6400000,Early Stage Venture,,,,Yes,Zeotap’s mission is to help brands monetise customer data in a privacy-first Europe.,"Analytics, Digital Marketing, Marketing, SaaS",,http://www.zeotap.com,$1M to $10M,117215781,USD,117215781,,12,"Capnamic, IRIS","Capnamic, Christer Andersson, Devin Guan, IONIQ, IRIS, Michael Halbherr, Peter Scheufen, Steffen Roehn, Zach Coelius",3,9,"224,441"
