Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Beagle Systems,https://www.crunchbase.com/funding_round/beagle-systems-seed--76cd75d1,Beagle Systems,https://www.crunchbase.com/organization/beagle-systems,Seed,"Hamburg, Hamburg, Germany, Europe",2025-04-01,5000000,EUR,5414074,Seed,,,,Yes,On-Demand Aerial Data,"Aerospace, Agriculture, Drones, Geospatial, Infrastructure, Oil and Gas, Power Grid, Renewable Energy",,https://beaglesystems.com,$1M to $10M,6928000,EUR,7460145,Seed,2,"AENU, PT1","AENU, PT1",,2,"2,754"
Seed Round - NOVUS GmbH,https://www.crunchbase.com/funding_round/novus-gmbh-seed--6a6a20ad,NOVUS GmbH,https://www.crunchbase.com/organization/novus-gmbh,Seed,"Braunschweig, Niedersachsen, Germany, Europe",2024-03-20,,,,Seed,,,,Yes,THE ELECTRIC URBAN LIGHTBIKES,"Automotive, Consumer Goods, Electric Vehicle, Green Consumer Goods, GreenTech, Industrial Engineering, Manufacturing, Product Design, Sustainability",,https://novusbike.com,,,,,Seed,2,468 Capital,"468 Capital, 97 Capital, Bernd Steinhöfer, Bernhard Fragner, Dirk Abendroth, Dirk Schwartz, Martin Rada, Michael Cassau, Nicole Purdy, Niels Reimann, Scott Zalaznik, Sebastian Schweiger, Stephan Kniewasser, Sven Schuwirth",1,14,"6,836"
Pre Seed Round - Kynda,https://www.crunchbase.com/funding_round/keen-4-greens-pre-seed--fa4099d7,Kynda,https://www.crunchbase.com/organization/keen-4-greens,Pre-Seed,"Jelmstorf, Niedersachsen, Germany, Europe",2022-02-24,1800000,EUR,2014299,Seed,,,,Yes,"Kynda enables its customers to produce mycelium in-house using low-cost plug & play bioreactors, starter cultures and operational support.","Food and Beverage, Food Processing, Organic Food",,https://kyndatech.com/,Less than $1M,4800000,EUR,5149370,Seed,2,,"Adrian Frenzel, Andreas Kupke, Anne Lemcke, Arman Anatürk, better ventures, Dennis Aogo, FoodLabs, Julius Wiesenhuetter, Kağan Sümer, Ludwig Cramer-Klett, Moritz Heininger, Moritz Kloss, Shio Capital, Stefan Lemcke, Steffen Behn, Stephen Weich, Sustainable Food Ventures, Twin Peaks Capital, Ugur Samut",,19,"7,007"
Seed Round - become.1,https://www.crunchbase.com/funding_round/become-1-seed--2ec0f417,become.1,https://www.crunchbase.com/organization/become-1,Seed,"Heidelberg, Baden-Wurttemberg, Germany, Europe",2024-09-18,3300000,EUR,3667628,Seed,,,,Yes,become.1 is an employee benefits platform that eliminates the complexity of tax regulations for employees.,"Employee Benefits, Human Resources, Insurance",,https://www.become1.de,,3300000,EUR,3667628,Seed,1,"D11Z.Ventures, Haufe Group Ventures, MBG Baden Wuerttemberg","D11Z.Ventures, Haufe Group Ventures, High-Tech Gruenderfonds, Maru Winnacker, Matthias Allmendinger, MBG Baden Wuerttemberg, Michal Jarocki, Thomas Otter",3,8,"8,013"
Seed Round - Lumnion,https://www.crunchbase.com/funding_round/lumnion-seed--95d1495b,Lumnion,https://www.crunchbase.com/organization/lumnion,Seed,"München, Bayern, Germany, Europe",2024-03-08,1200000,USD,1200000,Seed,,,,Yes,Lumnion is an insurtech company that offers an AI-driven platform for insurance pricing and risk detection.,"Artificial Intelligence (AI), Information Technology, InsurTech, Machine Learning",,https://www.lumnion.com,$1M to $10M,10107612,USD,10107612,Seed,5,"Maxis, OBSS Ventures, Vakif Katilim","Albaraka Turk, Artificial Intelligence Factory, Maxis, OBSS Ventures, Vakif Katilim",,5,"8,102"
Seed Round - QraGo,https://www.crunchbase.com/funding_round/qrago-seed--85581564,QraGo,https://www.crunchbase.com/organization/qrago,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",2024-10-15,2700000,EUR,2938516,Seed,,,,Yes,QraGo QraGo is a mediation and planning software for logistics tasks in the healthcare sector.,"Health Care, Software, Transportation",,https://www.qrago.de,,2700000,EUR,2938516,Seed,1,"MobilityFund, āltitude","Capacura, MobilityFund, Segenia Capital, āltitude",,4,"9,760"
Seed Round - Kombuchery,https://www.crunchbase.com/funding_round/kombuchery-seed--d9cd346d,Kombuchery,https://www.crunchbase.com/organization/kombuchery,Seed,"Berlin, Berlin, Germany, Europe",2021-11-18,,,,Seed,,,,Yes,Happy Belly. Happy You.,"E-Commerce, Food and Beverage, Food Delivery, Organic Food, Subscription Service",,https://www.kombuchery.de,$1M to $10M,,,,,4,True Growth Capital,"Caesar Business Angels, Christian Willem, DTC Ventures, Felix Wolf, Jakob Fricke, Joyance Partners, Julius Göllner, Julius Ruessmann, Kay Uplegger, Mathis Schuller, Matthias Steinforth, Moritz Birke, Oliver Stahl, Robert Kronekker, Simon Biela, True Growth Capital",,16,"11,435"
Seed Round - Quantune,https://www.crunchbase.com/funding_round/quantune-seed--3ff158aa,Quantune,https://www.crunchbase.com/organization/quantune,Seed,"Berlin, Berlin, Germany, Europe",2024-11-12,8500000,EUR,9024140,Seed,,,,Yes,Quantune is a deep tech startup in optics and photonics technology.,"Electronics, Health Care, Medical Device",,https://quantune.com,,17491297,EUR,18633656,Seed,4,"Point72 Ventures, Vsquared Ventures","Point72 Ventures, Vsquared Ventures",2,2,"13,763"
Pre Seed Round - Pluvion,https://www.crunchbase.com/funding_round/pluvion-pre-seed--b71cd14e,Pluvion,https://www.crunchbase.com/organization/pluvion,Pre-Seed,"Freiburg, Baden-Wurttemberg, Germany, Europe",2024-10-01,1000000,EUR,1106446,Seed,,,,Yes,Pluvion is an innovative Water Tech company that provides sophisticated and forward-thinking software solutions for water management.,"Artificial Intelligence (AI), Consulting, Information Technology, Software",,https://pluvion.de,,1000000,EUR,1106446,Seed,1,D11Z.Ventures,"D11Z.Ventures, kopa ventures, Start-up BW Innovation Fonds",1,3,"14,916"
Seed Round - Lignopure GmbH,https://www.crunchbase.com/funding_round/lignopure-gmbh-seed--3a3fd4d8,Lignopure GmbH,https://www.crunchbase.com/organization/lignopure-gmbh,Seed,"Hamburg, Hamburg, Germany, Europe",2024-07-17,2400000,EUR,2625720,Seed,,,,Yes,Lignopure provides plant-based ingredients based on lignin for high value markets,Biotechnology,,https://www.lignopure.com/,$1M to $10M,4600000,EUR,5299904,Seed,2,NBank Capital,"NBank Capital, Niedersachsen Beteiligungs, Raakwark Kaptaal",1,3,"15,221"
