Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Series A - Zizoo,https://www.crunchbase.com/funding_round/zizooboats-gmbh-series-a--538d8c29,Zizoo,https://www.crunchbase.com/organization/zizooboats-gmbh,Series A,"Berlin, Berlin, Germany, Europe",2018-11-22,7400000,USD,7400000,Early Stage Venture,,,,Yes,Zizoo is a boat holiday platform.,"Location Based Services, Rental, Sailing, Travel",,http://www.zizoo.com,$10M to $50M,28766666,USD,28766666,M&A,7,Revo Capital,"aws Gründungsfonds, Axel Springer Digital Ventures, CHECK24 Ventures, coparion, PUSH VC, Revo Capital, Russmedia Equity Partners",1,7,"280,935"
Venture Round - Zizoo,https://www.crunchbase.com/funding_round/zizooboats-gmbh-series-unknown--d4e81ee6,Zizoo,https://www.crunchbase.com/organization/zizooboats-gmbh,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",2017-05-05,,,,,,,,Yes,Zizoo is a boat holiday platform.,"Location Based Services, Rental, Sailing, Travel",,http://www.zizoo.com,$10M to $50M,28766666,USD,28766666,M&A,7,,"aws Gründungsfonds, Axel Springer, Axel Springer Plug and Play Accelerator, MairDumont",,4,"546,380"
Venture Round - Zinsbaustein,https://www.crunchbase.com/funding_round/zinsbaustein-series-unknown--06351e12,Zinsbaustein,https://www.crunchbase.com/organization/zinsbaustein,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",2018-09-09,,,,,,,,Yes,Platform for small investors to participate in the German real-estate market.,Real Estate,,https://www.zinsbaustein.de,Less than $1M,,,,,3,Sontowski & Partner Group,Sontowski & Partner Group,1,1,"273,099"
Venture Round - Zimory,https://www.crunchbase.com/funding_round/zimory-series-unknown--4692f228,Zimory,https://www.crunchbase.com/organization/zimory,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",2010-10-04,4000000,EUR,5474832,,,,,Yes,"Zimory provides carrier-grade cloud infrastructure management software for service providers, enterprises and cloud brokers.","Cloud Infrastructure, Enterprise Software, IaaS, Information Technology, Software",,http://www.zimory.com,$1M to $10M,25474832,USD,25474832,,3,"Creathor Ventures, High-Tech Gruenderfonds","Creathor Ventures, High-Tech Gruenderfonds, IBB Ventures, KfW, VC Fonds Technologie Berlin",2,5,"228,871"
Venture Round - Zimory,https://www.crunchbase.com/funding_round/zimory-series-unknown--3fbdc8bc,Zimory,https://www.crunchbase.com/organization/zimory,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",2013-07-08,20000000,USD,20000000,,,,,Yes,"Zimory provides carrier-grade cloud infrastructure management software for service providers, enterprises and cloud brokers.","Cloud Infrastructure, Enterprise Software, IaaS, Information Technology, Software",,http://www.zimory.com,$1M to $10M,25474832,USD,25474832,,3,Deutsche Borse,"Creathor Ventures, Deutsche Borse, Deutsche Telekom Strategic Investments, IBB Ventures",3,4,"238,988"
Series A - Zeotap,https://www.crunchbase.com/funding_round/zeotap-series-a--af277171,Zeotap,https://www.crunchbase.com/organization/zeotap,Series A,"Berlin, Berlin, Germany, Europe",2015-08-04,6400000,USD,6400000,Early Stage Venture,,,,Yes,Zeotap’s mission is to help brands monetise customer data in a privacy-first Europe.,"Analytics, Digital Marketing, Marketing, SaaS",,http://www.zeotap.com,$1M to $10M,117215781,USD,117215781,,10,"Capnamic, IRIS","Capnamic, Christer Andersson, Devin Guan, IONIQ, IRIS, Michael Halbherr, Peter Scheufen, Steffen Roehn, Zach Coelius",3,9,"214,548"
Series B - Zeotap,https://www.crunchbase.com/funding_round/zeotap-series-b--d8ba4d19,Zeotap,https://www.crunchbase.com/organization/zeotap,Series B,"Berlin, Berlin, Germany, Europe",2017-01-17,13000000,USD,13000000,Early Stage Venture,,,,Yes,Zeotap’s mission is to help brands monetise customer data in a privacy-first Europe.,"Analytics, Digital Marketing, Marketing, SaaS",,http://www.zeotap.com,$1M to $10M,117215781,USD,117215781,,10,"HERE Technologies Chicago, New Science Ventures","Bossa Invest, Capnamic, Christer Andersson, HERE Technologies Chicago, IRIS, New Science Ventures, Zach Coelius",3,7,"219,238"
Series A - ZenMate,https://www.crunchbase.com/funding_round/zenmate-series-a--d7497d2e,ZenMate,https://www.crunchbase.com/organization/zenmate,Series A,"Berlin, Berlin, Germany, Europe",2014-10-01,3200000,USD,3200000,Early Stage Venture,,,,Yes,ZenMate is a software solution that encrypts its users' internet connection to protect their privacy while browsing.,"Browser Extensions, Privacy, Security, Software",,https://zenmate.com/,$1M to $10M,4116194,USD,4116194,M&A,5,HV Capital,"Deutsche Telekom Strategic Investments, HV Capital, Project A Ventures, Shortcut Ventures",3,4,"259,608"
Series B - ZenMate,https://www.crunchbase.com/funding_round/zenmate-series-b--4419dc1a,ZenMate,https://www.crunchbase.com/organization/zenmate,Series B,"Berlin, Berlin, Germany, Europe",2016-01-27,,,,Early Stage Venture,,,,Yes,ZenMate is a software solution that encrypts its users' internet connection to protect their privacy while browsing.,"Browser Extensions, Privacy, Security, Software",,https://zenmate.com/,$1M to $10M,4116194,USD,4116194,M&A,5,,"Bessemer Venture Partners, HV Capital, Project A Ventures",1,3,"548,503"
Series A - Zenjob,https://www.crunchbase.com/funding_round/zenjob-series-a--d05027e3,Zenjob,https://www.crunchbase.com/organization/zenjob,Series A,"Berlin, Berlin, Germany, Europe",2017-03-31,3000000,EUR,3199201,Early Stage Venture,,,,Yes,Zenjob is a staffing marketplace that matches workers with temporary side jobs.,"Employment, Human Resources, Recruiting, Staffing Agency",,https://www.zenjob.com,$1M to $10M,95600000,EUR,107117270,Late Stage Venture,7,"Acton Capital, redalpine","500 Global, Acton Capital, Atlantic Labs, redalpine",2,4,"232,335"
