Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Venture Round - Zizoo,https://www.crunchbase.com/funding_round/zizooboats-gmbh-series-unknown--24c966f8,Zizoo,https://www.crunchbase.com/organization/zizooboats-gmbh,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",2019-10-01,10631900,USD,10631900,,,,,Yes,Zizoo is a boat holiday platform.,"Location Based Services, Rental, Sailing, Travel",,http://www.zizoo.com,$10M to $50M,28766666,USD,28766666,M&A,7,,"coparion, Revo Capital",,2,"277,515"
Series C - Zeotap,https://www.crunchbase.com/funding_round/zeotap-series-c--068bad1f,Zeotap,https://www.crunchbase.com/organization/zeotap,Series C,"Berlin, Berlin, Germany, Europe",2020-07-15,42000000,USD,42000000,Late Stage Venture,,,,Yes,Zeotap’s mission is to help brands monetise customer data in a privacy-first Europe.,"Analytics, Digital Marketing, Marketing, SaaS",,http://www.zeotap.com,$1M to $10M,117215781,USD,117215781,,10,,"Andrew Bursky, AperiamVentures, Bernd Miehler, Capnamic, Chris Scoggins, Christer Andersson, coparion, Eric Roza, HERE Technologies Chicago, IONIQ, IRIS, Jim Thoeni, Kathaka, NeueCapital Partners, New Science Ventures, Singtel Innov8, Taylor Barada, TTCER Partners",4,18,"245,067"
Series C - Zeotap,https://www.crunchbase.com/funding_round/zeotap-series-c--48dfd755,Zeotap,https://www.crunchbase.com/organization/zeotap,Series C,"Berlin, Berlin, Germany, Europe",2020-11-16,18500000,USD,18500000,Late Stage Venture,,,,Yes,Zeotap’s mission is to help brands monetise customer data in a privacy-first Europe.,"Analytics, Digital Marketing, Marketing, SaaS",,http://www.zeotap.com,$1M to $10M,117215781,USD,117215781,,10,SignalFire,"Kortschak Investments L.P., SignalFire",2,2,"337,214"
Series C - Zeotap,https://www.crunchbase.com/funding_round/zeotap-series-c--03f0db6d,Zeotap,https://www.crunchbase.com/organization/zeotap,Series C,"Berlin, Berlin, Germany, Europe",2021-09-08,9310000,EUR,11003440,Late Stage Venture,,,,Yes,Zeotap’s mission is to help brands monetise customer data in a privacy-first Europe.,"Analytics, Digital Marketing, Marketing, SaaS",,http://www.zeotap.com,$1M to $10M,117215781,USD,117215781,,10,Liberty Global Ventures,"Liberty Global Ventures, Richard Pennycook",1,2,"343,472"
Series A - zenloop,https://www.crunchbase.com/funding_round/zenloop-series-a--201ac490,zenloop,https://www.crunchbase.com/organization/zenloop,Series A,"Berlin, Berlin, Germany, Europe",2020-06-15,6100000,EUR,6917096,Early Stage Venture,,,,Yes,Zenloop is a Integrated Experience Management Platform (IXM).,"Data Center Automation, SaaS, Software",,https://www.zenloop.com/en,$10M to $50M,10900000,EUR,12359088,M&A,2,Signals Venture Capital,"Nauta Capital, Piton Capital, Signals Venture Capital",2,3,"178,284"
Series D - Zenjob,https://www.crunchbase.com/funding_round/zenjob-series-d--c48e5a09,Zenjob,https://www.crunchbase.com/organization/zenjob,Series D,"Berlin, Berlin, Germany, Europe",2022-02-22,45000000,EUR,50980525,Late Stage Venture,,,,Yes,Zenjob is a staffing marketplace that matches workers with temporary side jobs.,"Employment, Human Resources, Recruiting, Staffing Agency",,https://www.zenjob.com,$1M to $10M,95600000,EUR,107117270,Late Stage Venture,7,Aragon Global Management,"Acton Capital, Aragon Global Management, Atlantic Labs, AVP, Forestay Capital",3,5,"83,194"
Series C - Zenjob,https://www.crunchbase.com/funding_round/zenjob-series-c--1a8042de,Zenjob,https://www.crunchbase.com/organization/zenjob,Series C,"Berlin, Berlin, Germany, Europe",2020-05-12,27600000,EUR,29934145,Late Stage Venture,,,,Yes,Zenjob is a staffing marketplace that matches workers with temporary side jobs.,"Employment, Human Resources, Recruiting, Staffing Agency",,https://www.zenjob.com,$1M to $10M,95600000,EUR,107117270,Late Stage Venture,7,Forestay Capital,"Acton Capital, Atlantic Labs, AVP, Forestay Capital, redalpine",4,5,"267,179"
Series B - Zeitgold,https://www.crunchbase.com/funding_round/zeitgold-series-b--58019b11,Zeitgold,https://www.crunchbase.com/organization/zeitgold,Series B,"Berlin, Berlin, Germany, Europe",2020-05-05,27000000,EUR,29264962,Early Stage Venture,,,,Yes,Zeitgold is a Berlin-based AI company providing a complete solution for financial administration of small businesses.,"Artificial Intelligence (AI), Financial Services, FinTech, Small and Medium Businesses, Software",,https://www.zeitgold.com/,$1M to $10M,51200000,EUR,57011648,M&A,5,Vintage Investment Partners,"AXA Innovation Campus, b2venture, Battery Ventures, Deutsche Bank, HV Capital, Saban Ventures, Vintage Investment Partners",3,7,"159,573"
Series A - Zeitgold,https://www.crunchbase.com/funding_round/zeitgold-series-a--819c618f,Zeitgold,https://www.crunchbase.com/organization/zeitgold,Series A,"Berlin, Berlin, Germany, Europe",2019-01-21,10000000,EUR,11368494,Early Stage Venture,,,,Yes,Zeitgold is a Berlin-based AI company providing a complete solution for financial administration of small businesses.,"Artificial Intelligence (AI), Financial Services, FinTech, Small and Medium Businesses, Software",,https://www.zeitgold.com/,$1M to $10M,51200000,EUR,57011648,M&A,5,,"AXA Group, b2venture, Battery Ventures, Deutsche Bank, HV Capital, Saban Ventures",1,6,"488,877"
Venture Round - Zasta,https://www.crunchbase.com/funding_round/zasta-series-unknown--e4b2f0e8,Zasta,https://www.crunchbase.com/organization/zasta,Venture - Series Unknown,"Rostock, Mecklenburg-Vorpommern, Germany, Europe",2019-04-18,,,,,,,,Yes,Zasta is the leading platform for assisted tax preparation in Germany.,"Accounting, Financial Services, FinTech, Legal Tech, Software",,https://zasta.de/,$1M to $10M,60000000,EUR,64749366,,3,Anyon Holding,"Anyon Holding, Dr. Uwe Schimmelschmidt, Mittelständische Beteiligungsgesellschaft Mecklenburg-Vorpommern",,3,"347,999"
