Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Coffeco,https://www.crunchbase.com/funding_round/coffeco-seed--716f65de,Coffeco,https://www.crunchbase.com/organization/coffeco,Seed,"Patras, Akhaia, Greece, Europe",2025-04-30,715000,EUR,812715,Seed,5885000,EUR,6689271,Yes,Coffeco is a waste management company that isolates and valorizes phenolic compounds from coffee waster.,"Coffee, Food and Beverage, Waste Management",,https://coffe-eco.gr/,,715000,EUR,812715,Seed,1,VDK Capital,"Alex Hadjipateras Hadjipateras, Drake G Behrakis, Vasilis Bacolitsas, VDK Capital",1,4,"2,284"
Seed Round - BIOSMART Milk Solutions,https://www.crunchbase.com/funding_round/biosmart-milk-solutions-seed--9c689c9e,BIOSMART Milk Solutions,https://www.crunchbase.com/organization/biosmart-milk-solutions,Seed,"Thessaloníki, Thessaloniki, Greece, Europe",2025-03-31,,,,Seed,3500000,EUR,3779792,Yes,"BIOSMART Milk Solutions is a biotechnology company that offers technologies, feeding products, and consulting services for milk boost.","Animal Feed, Biotechnology, Livestock, Manufacturing, Nutrition","Women Founded, Women Led",https://biosmartms.com/,$1M to $10M,,,,Seed,1,,,,,"7,903"
Seed Round - PlugSecure,https://www.crunchbase.com/funding_round/plugsecure-seed--06b9b521,PlugSecure,https://www.crunchbase.com/organization/plugsecure,Seed,"Athens, Attiki, Greece, Europe",2025-04-02,720000,EUR,777650,Seed,,,,Yes,Cybersecurity & reliability intelligent solutions for electric vehicle supply equipment.,"Charging Infrastructure, Cyber Security, Electric Vehicle, Network Security",,https://www.plugsecure.com/,,720000,EUR,777650,Seed,1,Apeiron Venture Capital,"Alexander Caravitis, Apeiron Venture Capital, Genesis Ventures",4,3,"13,369"
Seed Round - Progressive Robotics,https://www.crunchbase.com/funding_round/progressive-robotics-seed--ba9674d2,Progressive Robotics,https://www.crunchbase.com/organization/progressive-robotics,Seed,"Thessaloníki, Thessaloniki, Greece, Europe",2025-01-15,1600000,EUR,1646985,Seed,,,,Yes,"Progressive Robotics delivers AI-driven, no-code software for robotic automation, optimizing operations and tackling labor-intensive tasks.","Information Technology, Manufacturing, Software",,https://progressiverobotics.ai,,1600000,EUR,1646985,Seed,2,Marathon Venture Capital,"Genesis Ventures, Marathon Venture Capital",1,2,"14,234"
Angel Round - PrimeHost AI,https://www.crunchbase.com/funding_round/primehost-ai-angel--0426d998,PrimeHost AI,https://www.crunchbase.com/organization/primehost-ai,Angel,"Athens, Attiki, Greece, Europe",2024-03-10,,,,Seed,,,,Yes,AI-powered platform for Hosts,"Generative AI, Hospitality, Travel Accommodations, Vacation Rental",,https://primehost.ai,,,,,Seed,1,,"Alexander Caravitis, Petros Ziogas",,2,"20,255"
Seed Round - Workearly,https://www.crunchbase.com/funding_round/workearly-seed--317d0f06,Workearly,https://www.crunchbase.com/organization/workearly,Seed,"Athens, Attiki, Greece, Europe",2024-06-29,1100000,EUR,1179219,Seed,,,,Yes,Workearly is an AI-powered EdTech platform for reskilling and upskilling.,"EdTech, Education, Skill Assessment",,https://www.workearly.gr/,,1100000,EUR,1179219,Seed,1,Metavallon VC,Metavallon VC,,1,"21,356"
Pre Seed Round - Coinbux,https://www.crunchbase.com/funding_round/coinbux-pre-seed--a6c9fe46,Coinbux,https://www.crunchbase.com/organization/coinbux,Pre-Seed,"Athens, Attiki, Greece, Europe",2024-12-20,322500,EUR,336416,Seed,,,,Yes,"Coinbux is a leading provider of Earned Wage Access solutions, enabling employees to access a portion of their earned wages before payday.","FinTech, SaaS",,https://www.coinbux.co/,,322500,EUR,336416,Seed,1,Genesis Ventures,Genesis Ventures,,1,"30,758"
Pre Seed Round - EdenCore Technologies,https://www.crunchbase.com/funding_round/edencore-technologies-private-company-pre-seed--107b67df,EdenCore Technologies,https://www.crunchbase.com/organization/edencore-technologies-private-company,Pre-Seed,"Athens, Attiki, Greece, Europe",2024-10-11,400000,EUR,437724,Seed,,,,Yes,Precision agriculture services,"Agriculture, AgTech, Artificial Intelligence (AI), Machine Learning, Robotics, Software",,https://www.edencore.ai,,400000,EUR,437724,Seed,1,Uni.Fund,Uni.Fund,1,1,"32,495"
Pre Seed Round - Uplodio,https://www.crunchbase.com/funding_round/uplodio-pre-seed--e14ca9b4,Uplodio,https://www.crunchbase.com/organization/uplodio,Pre-Seed,"Athens, Attiki, Greece, Europe",2024-11-15,150000,EUR,158182,Seed,,,,Yes,Uplodio helps Bands & Marketing Agencies find and manage User-generated content (UGC) creators for their campaigns.,"Artificial Intelligence (AI), Digital Marketing, Software",,https://uplodio.com,,150000,EUR,158182,Seed,1,Genesis Ventures,Genesis Ventures,,1,"37,500"
Seed Round - Athletopia,https://www.crunchbase.com/funding_round/athletopia-seed--d15bbc78,Athletopia,https://www.crunchbase.com/organization/athletopia,Seed,"Thessaloníki, Thessaloniki, Greece, Europe",2024-06-25,180000,EUR,192769,Seed,,,,Yes,Athletopia turns a one-day-running-event into a 100-days data-driven journey.,"Apps, Reservations, Sports",,https://www.athletopia.com,,300000,EUR,314939,Seed,2,,,,,"38,395"
