Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Pre Seed Round - Riptides,https://www.crunchbase.com/funding_round/riptides-pre-seed--4abc993f,Riptides,https://www.crunchbase.com/organization/riptides,Pre-Seed,"Budapest, Budapest, Hungary, Europe",2025-04-23,3300000,USD,3300000,Seed,,,,Yes,Riptides is the non-human identity fabric for your workloads and AI agents.,"Computer, Network Security",,https://riptides.io/,,3300000,USD,3300000,Seed,1,"KAYA, PortfoLion Capital Partners","KAYA, PortfoLion Capital Partners",2,2,353
Seed Round - Axoflow,https://www.crunchbase.com/funding_round/axoflow-seed--36a5d9d3,Axoflow,https://www.crunchbase.com/organization/axoflow,Seed,"Budapest, Budapest, Hungary, Europe",2025-01-21,6700000,EUR,6972659,Seed,,,,Yes,Axoflow is a cybersecurity company specializing in an automatic security data curation pipeline to detect and respond to threats.,"Cyber Security, Information Technology, Software",,https://axoflow.com,$1M to $10M,10172659,USD,10172659,Seed,3,EBRD Venture Capital,"Credo Ventures, e2vc, EBRD Venture Capital",1,3,"9,044"
Pre Seed Round - ARport Hungary,https://www.crunchbase.com/funding_round/arport-hungary-pre-seed--fc45ecb8,ARport Hungary,https://www.crunchbase.com/organization/arport-hungary,Pre-Seed,"Budapest, Budapest, Hungary, Europe",2024-01-01,9000,EUR,9933,Seed,,,,Yes,Augmented Reality (AR) based Indoor Navigation for Everyone.,"Augmented Reality, Facilities Support Services, Facility Management, Indoor Positioning, Logistics, Manufacturing, Mapping Services, Navigation, Public Transportation, Shopping Mall",,https://arportnavigation.com/,,9000,EUR,9933,Seed,1,EIT Urban Mobility,EIT Urban Mobility,,1,"24,238"
Pre Seed Round - Quino,https://www.crunchbase.com/funding_round/quino-pre-seed--023c23c2,Quino,https://www.crunchbase.com/organization/quino,Pre-Seed,"Székesfehérvár, Fejer, Hungary, Europe",2024-01-18,840000,USD,840000,Seed,,,,Yes,Learn Easy. Learn Fast. Quino is empowering students and researchers to study faster.,"Artificial Intelligence (AI), EdTech, Education, Machine Learning, Natural Language Processing, Software",,https://quino.ai/,,840000,USD,840000,Seed,1,Solus Capital,"Solus Capital, STRT Holding Nyrt",,2,"29,617"
Pre Seed Round - PetWiseCare,https://www.crunchbase.com/funding_round/petwisecare-pre-seed--b8cb6335,PetWiseCare,https://www.crunchbase.com/organization/petwisecare,Pre-Seed,"Budapest, Budapest, Hungary, Europe",2023-04-27,88000,EUR,97078,Seed,,,,Yes,"Marketplace, Education","Education, Marketplace, Pet",,https://www.petwisecare.com/en,,88000,EUR,97078,Seed,1,,"Peter Balogh, STRT Holding Nyrt",,2,"31,473"
Angel Round - OptiCruiter Technologies,https://www.crunchbase.com/funding_round/opticruiter-technologies-angel--51658202,OptiCruiter Technologies,https://www.crunchbase.com/organization/opticruiter-technologies,Angel,"Budapest, Budapest, Hungary, Europe",2024-01-08,50000,EUR,54749,Seed,,,,Yes,Opticruiter is the first career integration technology company.,"Education, Event Promotion, Information Technology, Software",,https://opticruiter.com,,50000,EUR,54749,Seed,1,,,,,"41,931"
Pre Seed Round - Mentaloop AI,https://www.crunchbase.com/funding_round/mentaloop-ai-pre-seed--ed05f916,Mentaloop AI,https://www.crunchbase.com/organization/mentaloop-ai,Pre-Seed,"Budapest, Budapest, Hungary, Europe",2025-01-31,,,,Seed,,,,Yes,Mentaloop AI is a health tech company that offers medically validated and AI-driven digital mental health solutions for panic disorder.,"Artificial Intelligence (AI), Health Care, Mental Health",,https://mentaloopai.com/,,,,,Seed,1,,STRT Holding Nyrt,,1,"48,535"
Pre Seed Round - Ubives,https://www.crunchbase.com/funding_round/ubives-pre-seed--9b357bb6,Ubives,https://www.crunchbase.com/organization/ubives,Pre-Seed,"Budapest, Budapest, Hungary, Europe",2024-07-25,5000,EUR,5426,Seed,850000,EUR,922366,Yes,"Digital Identity, SaaS, Mobile App, Cloud Account Management","Biometrics, Cloud Management, Cloud Security, Cyber Security, Identity Management, Private Cloud, SaaS",,https://www.ubives.com,,5000,EUR,5426,Seed,1,EIT Digital,EIT Digital,,1,"50,921"
Pre Seed Round - Mitzu Inc,https://www.crunchbase.com/funding_round/mitzu-inc-pre-seed--d38d512c,Mitzu Inc,https://www.crunchbase.com/organization/mitzu-inc,Pre-Seed,"Budapest, Budapest, Hungary, Europe",2023-09-08,535000,USD,535000,Seed,,,,Yes,"Simple, warehouse native product analytics",Software,,https://www.mitzu.io,Less than $1M,535000,USD,535000,Seed,1,"Interactive Venture Partners, Oktogon Ventures","Interactive Venture Partners, Oktogon Ventures",2,2,"53,355"
Pre Seed Round - IntelliSense,https://www.crunchbase.com/funding_round/intellisense-7c15-pre-seed--2bf1ee4b,IntelliSense,https://www.crunchbase.com/organization/intellisense-7c15,Pre-Seed,"Törökbálint, Pest, Hungary, Europe",2025-04-02,500000,EUR,540035,Seed,,,,Yes,"IntelliSense specializes in wireless, privacy-preserving monitoring and analytics solutions.","Artificial Intelligence (AI), Software",,http://www.intellisense.hu,,500000,EUR,540035,Seed,1,,,,,"55,000"
