Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Assiduous,https://www.crunchbase.com/funding_round/assiduous-seed--a287ef48,Assiduous,https://www.crunchbase.com/organization/assiduous,Seed,"Dublin, Dublin, Ireland, Europe",2025-04-15,1000000,EUR,1132440,Seed,,,,Yes,"Assiduous offers a digital platform for transaction planning, focusing on making companies financeable.","Artificial Intelligence (AI), Business Development, Finance, Information Technology, Productivity Tools, Software",,https://assiduous.tech,Less than $1M,1500000,EUR,1679465,Seed,2,Enterprise Ireland,Enterprise Ireland,1,1,142
Seed Round - LYQD,https://www.crunchbase.com/funding_round/lyqd-seed--df397bd3,LYQD,https://www.crunchbase.com/organization/lyqd,Seed,"Cork, Cork, Ireland, Europe",2025-04-13,1200000,EUR,1360962,Seed,,,,Yes,"LYQD is on a mission to make it safer and easier to invest in alternative assets, like cask whiskey.","Food and Beverage, Wholesale",,https://www.lyqd.io/,,1200000,EUR,1360962,Seed,1,Enterprise Ireland,"Enterprise Ireland, Tim Murphy",,2,"1,262"
Seed Round - TaxZap,https://www.crunchbase.com/funding_round/taxzap-seed--df90f278,TaxZap,https://www.crunchbase.com/organization/taxzap,Seed,"Dublin, Dublin, Ireland, Europe",2025-04-04,2600000,EUR,2849515,Seed,,,,Yes,"Taxzap offers a web app for quick tax filing using AI, with an average refund of €1,037.","Artificial Intelligence (AI), Financial Services, Tax Preparation",,https://www.taxzap.com,,2600000,EUR,2849515,Seed,1,Affinity Ventures,"Affinity Ventures, Aidan Corbett, Aidan Kehoe, Henry de Zoete, Jack O Connell, John Halpin, Nick Mullen",,7,"1,770"
Seed Round - Ride Today,https://www.crunchbase.com/funding_round/ride-today-seed--92061cfc,Ride Today,https://www.crunchbase.com/organization/ride-today,Seed,"Donegal, Donegal, Ireland, Europe",2025-03-24,3000000,EUR,3235440,Seed,,,,Yes,"Ride Today is an organization committed on making micromobility solutions available to everyone, fostering a sustainable future.",Information Technology,,https://www.ridetoday.io,,3000000,EUR,3235440,Seed,1,Davy EIIS Fund,"Davy EIIS Fund, Pon Holdings",,2,"4,734"
Seed Round - EVE,https://www.crunchbase.com/funding_round/eve-db7a-seed--d3d4f073,EVE,https://www.crunchbase.com/organization/eve-db7a,Seed,"Dublin, Dublin, Ireland, Europe",2025-04-29,100000,USD,100000,Seed,,,,Yes,EVE is an e-mobility intelligence company enabling corporate fleet electrification and carbon neutrality.,"Analytics, CleanTech, Fleet Management, SaaS",,https://eve-mobility.io,,100000,USD,100000,Seed,4,U.S. Venture Sustainability Accelerator,U.S. Venture Sustainability Accelerator,,1,"6,473"
Seed Round - Bounce Insights,https://www.crunchbase.com/funding_round/bounce-insights-seed--28b48c3a,Bounce Insights,https://www.crunchbase.com/organization/bounce-insights,Seed,"Dublin, Dublin, Ireland, Europe",2024-12-04,4500000,USD,4500000,Seed,,,,Yes,Bounce Insights is a digital consumer research platform.,Consumer Research,,https://bounceinsights.com,$1M to $10M,6469669,USD,6469669,Seed,4,Act Venture Capital,"Act Venture Capital, Digital Irish Venture Fund, Enterprise Ireland, Ian Kiernan, Irrus Investments",1,5,"8,399"
Seed Round - Change by Degrees,https://www.crunchbase.com/funding_round/change-by-degrees-seed--785599ab,Change by Degrees,https://www.crunchbase.com/organization/change-by-degrees,Seed,"Kinsale, Cork, Ireland, Europe",2025-03-03,700000,EUR,733989,Seed,,,,Yes,Change by Degrees supports individuals and organizations in developing sustainable competencies and gaining self-assurance.,"E-Learning, Education, Training",,https://changebydegrees.com,,700000,EUR,733989,Seed,1,Value Create Ventures,"Enterprise Ireland, HBAN, Value Create Ventures",2,3,"9,239"
Seed Round - LaNua Medical,https://www.crunchbase.com/funding_round/lanua-medical-seed--908bcdb9,LaNua Medical,https://www.crunchbase.com/organization/lanua-medical,Seed,"Dublin, Dublin, Ireland, Europe",2024-12-12,6000000,EUR,6284131,Seed,,,,Yes,LaNua Medical is a medical device company that develops disruptive image-guided technologies.,"Health Care, Medical, Medical Device",,https://www.lanuamedical.com/,,6000000,EUR,6284131,Seed,1,"Atlantic Bridge, Elkstone Capital Partners","Atlantic Bridge, Elkstone Capital Partners, Enterprise Ireland, Furthr VC",2,4,"9,340"
Seed Round - Novus Diagnostics,https://www.crunchbase.com/funding_round/septec-seed--ee427a3b,Novus Diagnostics,https://www.crunchbase.com/organization/septec,Seed,"Dublin, Dublin, Ireland, Europe",2025-01-15,4600000,EUR,4736638,Seed,,,,Yes,Novus Diagnostics are developing a revolutionary sample-to-answer sepsis diagnostic device.,"Health Care, Health Diagnostics, Medical Device",,https://www.novus-dx.com,,15334706,USD,15334706,Seed,5,"Business Venture Partners, Irrus Investments, Trinity Biotech","Business Venture Partners, Irrus Investments, Trinity Biotech",1,3,"9,574"
Pre Seed Round - Jentic Technology,https://www.crunchbase.com/funding_round/jentic-technology-pre-seed--39c64cde,Jentic Technology,https://www.crunchbase.com/organization/jentic-technology,Pre-Seed,"Dublin, Dublin, Ireland, Europe",2025-01-01,4000000,EUR,4140375,Seed,,,,Yes,Jentic Technology builds integration layer for AI.,"Artificial Intelligence (AI), Information Technology",,https://jentic.com/,,4000000,EUR,4140375,Seed,1,Elkstone Capital Partners,"Elkstone Capital Partners, PitchedIt, Sure Valley Ventures, TechOperators",1,4,"9,580"
