Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Pre Seed Round - VUGENE,https://www.crunchbase.com/funding_round/vugene-pre-seed--e673bdcd,VUGENE,https://www.crunchbase.com/organization/vugene,Pre-Seed,"Vilnius, Vilniaus Apskritis, Lithuania, Europe",2025-05-05,1000000,EUR,1133541,Seed,,,,Yes,VUGENE specializes in bioinformatics and multi-omics data analysis for biomedical research and innovative therapeutics.,Biotechnology,,https://vugene.com,,1000000,EUR,1133541,Seed,1,Superhero Capital,"Coinvest Capital, NGL, Superhero Capital",2,3,959
Pre Seed Round - Commody,https://www.crunchbase.com/funding_round/commody-pre-seed--760cb056,Commody,https://www.crunchbase.com/organization/commody,Pre-Seed,"Vilnius, Vilniaus Apskritis, Lithuania, Europe",2025-03-28,500000,EUR,543775,Seed,,,,Yes,"Commody is an online platform that lets car enthusiasts co-own shares in collectible cars, making it easier to invest in dream vehicles.",Internet,,https://commody.com/en/,,500000,EUR,543775,Seed,1,,"Coinvest Capital, FIRSTPICK",,2,"3,145"
Seed Round - Amberlo,https://www.crunchbase.com/funding_round/amberlo-seed--91562673,Amberlo,https://www.crunchbase.com/organization/amberlo,Seed,"Kaunas, Kauno Apskritis, Lithuania, Europe",2021-01-11,1000000,EUR,1216001,Seed,,,,Yes,"Amberlo is a software company that helps in managing contacts, cases and legal-specific billing for law firms.","Legal, Legal Tech, SaaS, Software",,https://www.amberlo.io,$1M to $10M,1750000,EUR,2114607,M&A,3,Iron Wolf Capital,"70Ventures, Corvus Ventures, Iron Wolf Capital, Next Road Ventures",3,4,"4,246"
Seed Round - nexos.ai,https://www.crunchbase.com/funding_round/nexos-ai-seed--7ba1dd03,nexos.ai,https://www.crunchbase.com/organization/nexos-ai,Seed,"Vilnius, Vilniaus Apskritis, Lithuania, Europe",2025-01-17,8000000,USD,8000000,Seed,,,,Yes,"nexos.ai offers an agentic AI orchestration platform that helps simplify operations, boost productivity, and accelerate business growth.","Artificial Intelligence (AI), Information Technology, SaaS, Software",,https://nexos.ai/,,8000000,USD,8000000,Seed,1,Index Ventures,"Avishai Abrahami, Creandum, DIG Ventures, FJ Labs, Ilkka Paananen, Index Ventures, Olivier Pomel, Sebastian Siemiatkowski",1,8,"6,619"
Seed Round - eany.io,https://www.crunchbase.com/funding_round/eany-io-seed--b81f6d17,eany.io,https://www.crunchbase.com/organization/eany-io,Seed,"Vilnius, Vilniaus Apskritis, Lithuania, Europe",2024-08-13,2000000,EUR,2199199,Seed,,,,Yes,One-stop shop for all B2B needs – from electronics to household and DIY products,"B2B, Marketplace, SaaS",,https://eany.io/,,2000000,EUR,2199199,Seed,2,,"Market One Capital, Practica Capital",1,2,"6,620"
Seed Round - Saltz,https://www.crunchbase.com/funding_round/saltz-1208-seed--cbf70b56,Saltz,https://www.crunchbase.com/organization/saltz-1208,Seed,"Vilnius, Vilniaus Apskritis, Lithuania, Europe",2024-04-17,3000000,USD,3000000,Seed,,,,Yes,"Saltz is an app that allows users to source premium seafood and meat directly from farms, fishing boats, and regional suppliers","Consumer Applications, Meat and Poultry, Seafood",,https://www.saltz.app/,,3000000,USD,3000000,Seed,1,Lifeline Ventures,"Change Ventures, Illusian Group, Lifeline Ventures, Mantas Mikuckas, Miki Kuusi, Rytis Vitkauskas",,6,"8,759"
Seed Round - CyberUpgrade,https://www.crunchbase.com/funding_round/cyberupgrade-seed--6b1c731e,CyberUpgrade,https://www.crunchbase.com/organization/cyberupgrade,Seed,"Vilnius, Vilniaus Apskritis, Lithuania, Europe",2024-11-13,2500000,EUR,2641475,Seed,,,,Yes,"CyberUpgrade is a cyber security platform that help clients protect their data, assets, and reputation.","Cyber Security, Information Technology, SaaS, Social Media",,https://cyberupgrade.net,,3150000,EUR,3341646,Seed,2,,"FIRSTPICK, Marios S. Kalochoritis, NGL, Sergei Anikin, Specialist VC, Superhero Capital",,6,"9,173"
Seed Round - AMLYZE,https://www.crunchbase.com/funding_round/amlyze-seed--fabf4cd9,AMLYZE,https://www.crunchbase.com/organization/amlyze,Seed,"Vilnius, Vilniaus Apskritis, Lithuania, Europe",2024-10-02,2350000,EUR,2595928,Seed,,,,Yes,"AMLYZE provides a suite of solutions for banks, fintechs and crypto companies to combat financial crime.","Compliance, Financial Services, Fraud Detection, Risk Management, Software",,https://amlyze.com/,$1M to $10M,3350000,EUR,3673438,Seed,2,Practica Capital,"Advanzia Bank, Coinvest Capital, Donatas Dailide, FIRSTPICK, Gintas Balciunas, Lithuanian Business Angel Network, Maurice Beckand Verwee, NGL, Piotr Romanowski, Practica Capital",5,10,"9,789"
Seed Round - Airvolve,https://www.crunchbase.com/funding_round/airvolve-seed--78a8cdb7,Airvolve,https://www.crunchbase.com/organization/airvolve,Seed,"Vilnius, Vilniaus Apskritis, Lithuania, Europe",2024-09-03,825000,EUR,911507,Seed,,,,Yes,Airvolve is an aerospace startup that manufactures aviation and aerospace components.,"Aerospace, Manufacturing",,https://www.airvolve.aero,,825000,EUR,911507,Seed,1,Coinvest Capital,"BSV Ventures, Coinvest Capital, Rita Sakus",2,3,"10,438"
Pre Seed Round - isLucid,https://www.crunchbase.com/funding_round/islucid-pre-seed--4aac0857,isLucid,https://www.crunchbase.com/organization/islucid,Pre-Seed,"Vilnius, Vilniaus Apskritis, Lithuania, Europe",2024-11-19,265000,EUR,281085,Seed,,,,Yes,"isLucid is a voice and AI controlled digital meeting assistant for employees to take notes, assigns tasks and create meeting summaries.","Software, Speech Recognition, Video Conferencing, Virtual Assistant",,https://islucid.com/?utm_campaign=2022&utm_medium=social&utm_source=reviewsites&utm_content=crunchbase,Less than $1M,315000,EUR,342173,Seed,3,,"Agmis, Business Angels Fund, Coinvest Capital, Katalista Ventures",2,4,"10,659"
