Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Lightsonic,https://www.crunchbase.com/funding_round/lightsonic-seed--aed29782,Lightsonic,https://www.crunchbase.com/organization/lightsonic,Seed,"Kristiansund, More og Romsdal, Norway, Europe",2025-05-06,3300000,EUR,3734722,Seed,,,,Yes,Lightsonic develops intelligent monitoring solutions.,"Artificial Intelligence (AI), Machine Learning, Software",,https://www.lightsonic.ai/,,3300000,EUR,3734722,Seed,1,Maki.vc,"Christian Rokseth, Erik Ålgård, Maki.vc, Raise Ventures, Sondo Capital",3,5,376
Seed Round - NoMy,https://www.crunchbase.com/funding_round/nomy-859d-seed--9d1fecc0,NoMy,https://www.crunchbase.com/organization/nomy-859d,Seed,"Oslo, Oslo, Norway, Europe",2025-05-07,1250000,EUR,1420292,Seed,,,,Yes,NoMy researches and develops material and food solutions using mycelium.,"Alternative Protein, Biotechnology, Product Research",,https://www.nomy.no/,Less than $1M,1250000,EUR,1420292,Seed,3,Nippon Beet Sugar Manufacturing,Nippon Beet Sugar Manufacturing,,1,"2,996"
Pre Seed Round - Catchwise,https://www.crunchbase.com/funding_round/catchwise-pre-seed--11f49471,Catchwise,https://www.crunchbase.com/organization/catchwise,Pre-Seed,"Oslo, Oslo, Norway, Europe",2025-03-20,14500000,NOK,1371212,Seed,,,,Yes,Catchwise is a digital skipper’s assistant that helps you get the right information to pick the best fishery areas.,"Information Technology, Internet",,https://catchwise.no/,,14500000,NOK,1371212,Seed,1,Dreamcraft Ventures,"Dreamcraft Ventures, Ocean Impact, Sondo Capital",2,3,"3,376"
Seed Round - Visoid,https://www.crunchbase.com/funding_round/visoid-seed--673c5f85,Visoid,https://www.crunchbase.com/organization/visoid,Seed,"Oslo, Oslo, Norway, Europe",2025-03-18,700000,EUR,763734,Seed,,,,Yes,Visoid is a visualization software that uses artificial intelligence to create architectural model images.,"Architecture, Artificial Intelligence (AI), Software",,https://www.visoid.com/#about,,850000,EUR,928829,Seed,2,"Antler, OBOS Forsikring, Startuplab","Antler, OBOS Forsikring, Startuplab",1,3,"3,883"
Seed Round - Factiverse,https://www.crunchbase.com/funding_round/factiverse-seed--53421d4f,Factiverse,https://www.crunchbase.com/organization/factiverse,Seed,"Stavanger, Rogaland, Norway, Europe",2024-06-20,1000000,EUR,1070632,Seed,,,,Yes,We enable companies to establish credibility in a world of uncertainty and mistrust.,"Artificial Intelligence (AI), Content, Generative AI, Machine Learning, Natural Language Processing, Predictive Analytics, Text Analytics",Women Founded,https://www.factiverse.ai,Less than $1M,1570632,USD,1570632,Seed,2,,"Herfo, Johann Koss, Murshid M. Ali, Validé, Yasmin Namini",,5,"5,000"
Pre Seed Round - Atlas,https://www.crunchbase.com/funding_round/atlas-d6b5-pre-seed--a83ae260,Atlas,https://www.crunchbase.com/organization/atlas-d6b5,Pre-Seed,"Oslo, Oslo, Norway, Europe",2024-11-14,2000000,USD,2000000,Seed,,,,Yes,"Atlas is an all-in-one platform for creating, collaborating on, and sharing custom maps and performing geospatial analysis.","Computer Vision, Data Visualization, Geospatial, Software",,https://atlas.co/,,2000000,USD,2000000,Seed,1,Pale blue dot,"Andreas Klinger, Ben Lang, Haga Ventures, Pale blue dot, Sondo Capital, Tiny VC",1,6,"8,424"
Seed Round - Deckmatch,https://www.crunchbase.com/funding_round/deckmatch-seed--84bb7fb2,Deckmatch,https://www.crunchbase.com/organization/deckmatch,Seed,"Oslo, Oslo, Norway, Europe",2024-11-11,3000000,USD,3000000,Seed,,,,Yes,Deckmatch is an AI-driven platform that enhances investment deal flow by automating routine tasks for venture capital professionals.,"Analytics, Artificial Intelligence (AI), Information Technology",,https://www.deckmatch.com,$1M to $10M,6090453,USD,6090453,Seed,3,"Alliance VC, Luminar Ventures","Alliance VC, First Degree Capital, Luminar Ventures, Skyfall Ventures",3,4,"8,893"
Seed Round - Kvist Solutions,https://www.crunchbase.com/funding_round/kvist-solutions-seed--6c5d94a5,Kvist Solutions,https://www.crunchbase.com/organization/kvist-solutions,Seed,"Oslo, Oslo, Norway, Europe",2025-02-25,1300000,EUR,1361977,Seed,,,,Yes,"Kvist Solutions AS offers software for easier BREEAM certification, aiming to empower sustainable impact.","Enterprise Resource Planning (ERP), Information Technology, Software",,https://kvistsolutions.com,Less than $1M,1300000,EUR,1361977,Seed,1,,"Alliance Ventures, Arkwright X, DNB Ventures, Ferd, Kiilto Ventures, Squid AS",1,6,"9,077"
Seed Round - Telescope,https://www.crunchbase.com/funding_round/telescope-367a-seed--06ce93cb,Telescope,https://www.crunchbase.com/organization/telescope-367a,Seed,"Oslo, Oslo, Norway, Europe",2025-03-05,27500000,DKK,3915190,Seed,,,,Yes,Telescope is a useful instrument for real estate sustainability risk management.,Web Development,,https://www.telescope.eco/,,27500000,DKK,3915190,Seed,1,"Dreamcraft Ventures, Scale Capital","Curiosity VC, Dreamcraft Ventures, OBOS Oppstart, Scale Capital",,4,"9,192"
Seed Round - Inherit Carbon Solutions,https://www.crunchbase.com/funding_round/inherit-carbon-solutions-seed--788fe075,Inherit Carbon Solutions,https://www.crunchbase.com/organization/inherit-carbon-solutions,Seed,"Oslo, Oslo, Norway, Europe",2024-01-22,,,,Seed,,,,Yes,Inherit Carbon Solutions creates durable nature-friendly carbon removal solutions.,"Environmental Consulting, Environmental Engineering, Natural Resources",,https://inheritcs.com/,,,,,Seed,1,Sumitomo Corporation,"Arkwright X, Equinor Ventures, Farvatn Venture, Momentum, Stratel, Sumitomo Corporation",,6,"9,275"
