Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - DBR77 Robotics Sp. z o.o.,https://www.crunchbase.com/funding_round/dbr77-robotics-sp-z-o-o-seed--68a0c4dd,DBR77 Robotics Sp. z o.o.,https://www.crunchbase.com/organization/dbr77-robotics-sp-z-o-o,Seed,"Torun, Kujawsko-Pomorskie, Poland, Europe",2025-04-17,3500000,EUR,3980344,Seed,,,,Yes,A B2B Tech Marketplace for Robotization,"3D Technology, Marketplace, Robotics",,https://dbr77.com/,,4977169,USD,4977169,Seed,2,ff Venture Capital,"EEC Ventures, ff Venture Capital, KIROI, Level2 Ventures, NCBR Investment Fund ASI S.A., RKKVC, SQD Alliance Sp. z o.o.",2,7,608
Seed Round - BidFinance,https://www.crunchbase.com/funding_round/bidfinance-seed--4d9368f4,BidFinance,https://www.crunchbase.com/organization/bidfinance,Seed,"Kraków, Malopolskie, Poland, Europe",2025-04-15,7000000,PLN,1852868,Seed,,,,Yes,"Bidfinance is a part of several industry associations, including Fintech Poland",Financial Services,,https://www.bidfinance.eu/en,,7000000,PLN,1852868,Seed,1,,"4growth VC, Digital ocean ventures, FundingBox Deep Tech Fund",,3,619
Seed Round - Sportano.pl,https://www.crunchbase.com/funding_round/sportano-pl-seed--04fc6555,Sportano.pl,https://www.crunchbase.com/organization/sportano-pl,Seed,"Zielona Góra, Lubuskie, Poland, Europe",2025-03-20,25000000,PLN,6488806,Seed,,,,Yes,Sportano.pl is the world of multibrand sports at the greatest level of your favorite brands are accessible.,Sports,,https://sportano.pl/hot-sale,,25000000,PLN,6488806,Seed,2,bValue Fund,bValue Fund,1,1,"5,147"
Pre Seed Round - 1.security,https://www.crunchbase.com/funding_round/1-security-pre-seed--cf882c34,1.security,https://www.crunchbase.com/organization/1-security,Pre-Seed,"Lodz, Lodzkie, Poland, Europe",2024-02-27,500000,USD,500000,Seed,,,,Yes,1.security is an operator of a cybersecurity platform designed to manage the Microsoft environment.,"Cyber Security, Information Services, Information Technology, Internet, SaaS, Software",,https://app.1.security,,500000,USD,500000,Seed,1,,Sunfish Partners,1,1,"5,252"
Pre Seed Round - Replenit,https://www.crunchbase.com/funding_round/replenit-pre-seed--8240c180,Replenit,https://www.crunchbase.com/organization/replenit,Pre-Seed,"Warsaw, Mazowieckie, Poland, Europe",2025-02-25,,,,Seed,,,,Yes,"AI-Backed Dynamic Replenishment Platform to increase CLTV, Loyality and Retention",Software,,https://replen.it/,,,,,Seed,1,Logo Ventures,"Arif Akdağ, Ata Uzunhasan, Bulent Celebi, Caucasus Ventures, Görkem Güven, Kaan Boyner, Logo Ventures, Tunç Berkman, Varol Civil, Özgür Erdem",,10,"5,558"
Seed Round - Oxla,https://www.crunchbase.com/funding_round/oxla-seed--a8cb655f,Oxla,https://www.crunchbase.com/organization/oxla,Seed,"Warsaw, Mazowieckie, Poland, Europe",2024-10-22,11000000,USD,11000000,Seed,,,,Yes,Oxla is a SaaS company that offers a distributed database designed to handle large amounts of data with ease.,"Analytics, Big Data, Database",,https://www.oxla.com/,,11000000,USD,11000000,Seed,2,,"4growth VC, Lead Ventures, TQ Ventures, Warsaw Equity Group",3,4,"10,526"
Pre Seed Round - Demoboost,https://www.crunchbase.com/funding_round/demoboost-pre-seed--931c318f,Demoboost,https://www.crunchbase.com/organization/demoboost,Pre-Seed,"Warsaw, Mazowieckie, Poland, Europe",2022-10-06,1700000,EUR,1664180,Seed,,,,Yes,"Demo experience that sells. Easily create, share and track your product demos.",Software,,https://www.demoboost.com,,1700000,EUR,1664180,Seed,1,b2venture,"b2venture, Julius Göllner, Maciej Zawadzinski, Movens Capital, Piotr Karwatka, Rafał Brzoska, Remy Lazarovici, Szymon Walach, Tomasz Karwatka",2,9,"11,139"
Seed Round - Dark Passenger,https://www.crunchbase.com/funding_round/dark-passenger-seed--1cd83711,Dark Passenger,https://www.crunchbase.com/organization/dark-passenger,Seed,"Plock, Mazowieckie, Poland, Europe",2024-12-16,3000000,USD,3000000,Seed,,,,Yes,Dark Passenger is a firm that develops video games.,"Gaming, Video Games",,https://www.darkpassenger.eu/en,,3000000,USD,3000000,Seed,1,The Games Fund,"Blite Fund, The Games Fund",1,2,"11,595"
Seed Round - Juo,https://www.crunchbase.com/funding_round/juo-seed--468cb48f,Juo,https://www.crunchbase.com/organization/juo,Seed,"Wroclaw, Dolnoslaskie, Poland, Europe",2024-08-31,,,,Seed,,,,Yes,Juo builds the future of subscription technology.,"Information Services, Machine Learning, Software",,https://juo.app/,,,,,Seed,1,SMOK Ventures,"Maciej Zawadzinski, Marek Gut, Mark Ransford, SMOK Ventures",1,4,"11,686"
Pre Seed Round - Wonder Legends Studio,https://www.crunchbase.com/funding_round/wonder-legends-studio-pre-seed--d5250f2c,Wonder Legends Studio,https://www.crunchbase.com/organization/wonder-legends-studio,Pre-Seed,"Warsaw, Mazowieckie, Poland, Europe",2025-01-08,1000000,USD,1000000,Seed,,,,Yes,Wonder Legends Studio is developing a game prototype and pre-developing an animated series.,Gaming,,https://wonderlegends.com,,1000000,USD,1000000,Seed,1,SMOK Ventures,SMOK Ventures,1,1,"13,353"
