Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - OSCAR,https://www.crunchbase.com/funding_round/oscar-4e53-seed--4633bd2d,OSCAR,https://www.crunchbase.com/organization/oscar-4e53,Seed,"Lisbon, Lisboa, Portugal, Europe",2025-05-02,6000000,EUR,6788144,Seed,,,,Yes,OSCAR is a home services app that offers a platform for booking various on-demand home services for customers.,"Apps, Consumer Applications, Home Services",,https://oscar-app.com,$1M to $10M,12000000,EUR,13298921,Seed,4,"Indico Capital Partners, Lince Capital","Boost Capital Partners, Failup Ventures, Indico Capital Partners, Lince Capital",2,4,894
Seed Round - OSCAR,https://www.crunchbase.com/funding_round/oscar-4e53-seed--9e05205e,OSCAR,https://www.crunchbase.com/organization/oscar-4e53,Seed,"Lisbon, Lisboa, Portugal, Europe",2024-05-28,6000000,EUR,6510777,Seed,,,,Yes,OSCAR is a home services app that offers a platform for booking various on-demand home services for customers.,"Apps, Consumer Applications, Home Services",,https://oscar-app.com,$1M to $10M,12000000,EUR,13298921,Seed,4,"Indico Capital Partners, Lince Capital","Boost Capital Partners, Failup Ventures, Indico Capital Partners, Lince Capital, Olisipo Way, Quiet Capital",2,6,"3,524"
Seed Round - Hoopers,https://www.crunchbase.com/funding_round/hoopers-seed--4f09de6b,Hoopers,https://www.crunchbase.com/organization/hoopers,Seed,"Lisboa, Lisboa, Portugal, Europe",2024-11-08,13000000,BRL,2265637,Seed,,,,Yes,"Hoopers is a digital platform that connects basketball players, fans, and enthusiasts through fields, content, experiences, and NFT.","Communities, Software, Sports",,https://hoopers.club,,2787278,USD,2787278,Seed,3,GED Ventures Portugal,"Eli (Ilya) Velder, GED Ventures Portugal, Neemias Queta, Niko Klansek, Nuno Sanches, Portugal Ventures, Ricardo Carvalho, Sport Horizon Holding S.p.a., Tiago Mendes Gonçalves, Ticha Penicheiro",2,10,"9,872"
Pre Seed Round - Corium Biotech,https://www.crunchbase.com/funding_round/corium-biotech-pre-seed--4b9c4007,Corium Biotech,https://www.crunchbase.com/organization/corium-biotech,Pre-Seed,"Porto, Lisboa, Portugal, Europe",2024-10-13,500000,EUR,547129,Seed,,,,Yes,Corium Biotech ™ is a brand by Maia & Muller – Biotech which manufactures exotic leather using cellular agriculture technologies.,"AgTech, Biotechnology, Manufacturing",,https://www.coriumbiotech.com,Less than $1M,600000,EUR,668144,Seed,2,"Biotope, Portugal Ventures","Biotope, Portugal Ventures",2,2,"9,898"
Seed Round - DuelNow,https://www.crunchbase.com/funding_round/duelnow-seed--b4b6a9c6,DuelNow,https://www.crunchbase.com/organization/duelnow,Seed,"Lisbon, Lisboa, Portugal, Europe",2024-08-01,11000000,USD,11000000,Seed,,,,Yes,DuelNow offers bookie-free sports betting.,"Gambling, Sports",,https://duelnow.com/,,11000000,USD,11000000,Seed,1,GEM Digital,"Billy Marku, Charlie Lee, Crypto Rand, Dean Thomas, Ethan Yau, GEM Digital, Hardbank, Jonathan Lee, Joseph Cheong, Marc van der Chijs, MoonCat ‎‏‏‎ ‎ ‎‏‏‎ ‎, Richard Ma",,12,"10,608"
Seed Round - LoopOS,https://www.crunchbase.com/funding_round/loopos-seed--140628b5,LoopOS,https://www.crunchbase.com/organization/loopos,Seed,"Coimbra, Coimbra, Portugal, Europe",2025-02-17,3000000,EUR,3148036,Seed,,,,Yes,LoopOS is a comprehensive Circular Economy ERP system designed to optimize and streamline multiple processes.,"Enterprise Resource Planning (ERP), Software",,https://www.loop-os.pt,,3000000,EUR,3148036,Seed,1,3xP Global,"3xP Global, Beta Capital, FundBox",,3,"11,467"
Seed Round - ETHIACK,https://www.crunchbase.com/funding_round/ethiack-seed--e3629ff2,ETHIACK,https://www.crunchbase.com/organization/ethiack,Seed,"Coimbra, Coimbra, Portugal, Europe",2024-12-10,4000000,EUR,4212522,Seed,,,,Yes,"ETHIACK provides a symbiotic platform for offensive security, helping organizations prevent cybercrime and rewarding ethical hackers.","Cyber Security, Information Technology, Penetration Testing, Software",,https://ethiack.com,$1M to $10M,4078000,EUR,4295892,Seed,6,Explorer Investments,"Amena Ventures, Aralab, COREangels, Explorer Investments, Paulo Marques, Start Ventures, Startup Wise Guys",,7,"13,190"
Seed Round - Bling Energy,https://www.crunchbase.com/funding_round/bling-energy-seed--f4ab8610,Bling Energy,https://www.crunchbase.com/organization/bling-energy,Seed,"Lisboa, Lisboa, Portugal, Europe",2024-09-12,2000000,EUR,2215811,Seed,,,,Yes,"Bling Energy is a startup that focuses on providing more efficient and sustainable energy solutions, mostly through solar panels.","Energy, Energy Efficiency",,https://blingenergy.pt,,2000000,EUR,2215811,Seed,1,Joaquim Sérvulo Rodrigues,"Joaquim Sérvulo Rodrigues, Lince Capital, Vasco de Mello",1,3,"13,395"
Pre Seed Round - SentiVue,https://www.crunchbase.com/funding_round/sda-solutions-71dd-pre-seed--b8b3c1cf,SentiVue,https://www.crunchbase.com/organization/sda-solutions-71dd,Pre-Seed,"Lisbon, Lisboa, Portugal, Europe",2024-12-06,40000,EUR,42302,Seed,,,,Yes,"AI SaaS, Contact Center Analytics, Customer Sentiment Metrics","Artificial Intelligence (AI), Customer Service, Machine Learning, SaaS",,https://sentivue.com,,167302,USD,167302,Seed,4,AceON Accelerator,AceON Accelerator,1,1,"16,030"
Seed Round - Growappy,https://www.crunchbase.com/funding_round/growappy-seed--751c75d9,Growappy,https://www.crunchbase.com/organization/growappy,Seed,"Cascais, Lisboa, Portugal, Europe",2024-12-20,850000,EUR,886677,Seed,5000000,EUR,5215749,Yes,Growappy is an all-in-one platform for early education that is leading a vision to unlock personalized education with the power of AI,"EdTech, Education",,https://www.growappy.com,,850000,EUR,886677,Seed,1,Caixa Capital,"Business Angel, Caixa Capital",,2,"17,439"
Seed Round - Vawlt,https://www.crunchbase.com/funding_round/vawlt-technologies-seed--87db10c0,Vawlt,https://www.crunchbase.com/organization/vawlt-technologies,Seed,"Lisbon, Lisboa, Portugal, Europe",2024-03-12,2150000,EUR,2349213,Seed,,,,Yes,Vawlt is a dynamic storage platform that simplifies the operation of multiple clouds while improving data security standards.,Cloud Storage,,https://vawlt.io,$1M to $10M,2975000,EUR,3323443,Seed,3,Lince Capital,"Alain Fiocco, Armilar Venture Partners, Basinghall Partners, Beta Capital, Carlos Brazão, Lince Capital, Shilling",2,7,"17,796"
Pre Seed Round - Connected,https://www.crunchbase.com/funding_round/connected-11b0-pre-seed--9ece1b9b,Connected,https://www.crunchbase.com/organization/connected-11b0,Pre-Seed,"Coimbra, Coimbra, Portugal, Europe",2024-02-20,2000000,EUR,2161980,Seed,,,,Yes,"Connected is a startup that offers affordable connecting humans, unleashing a new wave of IoT-based business models.",Aerospace,,https://www.connected.space,,2000000,EUR,2161980,Seed,1,"FundBox, Iberis Capital, Shilling","Amena Ventures, FundBox, Iberis Capital, Keith Willey, Octopus Ventures, Shilling",3,6,"18,458"
Seed Round - Cargofive,https://www.crunchbase.com/funding_round/cargofive-seed--a62618bf,Cargofive,https://www.crunchbase.com/organization/cargofive,Seed,"Lisboa, Lisboa, Portugal, Europe",2024-03-26,2500000,EUR,2708125,Seed,,,,Yes,"Cargofive empowers freight forwarders by providing solutions to digitize their rate procurement, rate management, and quotation processes.","Information Technology, Logistics, Supply Chain Management",,https://cargofive.com,$1M to $10M,4923671,USD,4923671,Seed,5,"EIT Urban Mobility, Indico Capital Partners","EIT Urban Mobility, Indico Capital Partners",2,2,"19,512"
Pre Seed Round - Tripnly,https://www.crunchbase.com/funding_round/tripnly-pre-seed--060d9b8f,Tripnly,https://www.crunchbase.com/organization/tripnly,Pre-Seed,"Lisbon, Lisboa, Portugal, Europe",2024-11-22,240000,EUR,250039,Seed,,,,Yes,"""All-in-One Travel Platform"" for travelers to utilize any kind of digital solution they need","Artificial Intelligence (AI), Blockchain, Machine Learning, Software, Travel",,https://tripnly.com,,240000,EUR,250039,Seed,1,,,,,"20,928"
