Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Diversity Spotlight,Lead Investors,Investor Names,CB Rank (Funding Round),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Funding Stage,Organization Description,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Number of Investors,Number of Partner Investors,Equity Only Funding,Sentiment
Seed Round - Space Cargo Unlimited,https://www.crunchbase.com/funding_round/space-cargo-unlimited-seed--5bfb57f6,Space Cargo Unlimited,https://www.crunchbase.com/organization/space-cargo-unlimited,Seed,2025-07-01,,,,,"Eurazeo, Expansion Ventures","Eurazeo, Expansion Ventures","4,329",,,,Seed,Space Cargo Unlimited is a french biotech company.,"Industrial, Space Travel","Luxembourg, Luxembourg, Luxembourg, Europe",https://space-cu.com/,,,,,Seed,2,2,,Yes,
Seed Round - Wasp,https://www.crunchbase.com/funding_round/wasp-493d-seed--0bb18f5e,Wasp,https://www.crunchbase.com/organization/wasp-493d,Seed,2025-04-21,3700000,USD,3700000,,HV Capital,"Abstraction Capital, Ant Wilson, big_bets, Fifth Quarter Ventures, HV Capital, Lunar Ventures, Metis Ventures, Soren Bramer Schmidt","7,601",,,,Seed,Wasp is a programming language for building full-stack web applications.,"Information Technology, SaaS, Software, Web Development","Zagreb, Grad Zagreb, Croatia, Europe",https://wasp.sh/,$1M to $10M,5325000,USD,5325000,Seed,3,8,1,Yes,
Seed Round - Deus Robotics,https://www.crunchbase.com/funding_round/deus-robotics-seed--f1d160c8,Deus Robotics,https://www.crunchbase.com/organization/deus-robotics,Seed,2024-12-27,3000000,USD,3000000,,u.ventures,"1991 Ventures, SD Capital, SID Venture Partners, Sigma Software Labs, u.ventures","16,316",17000000,USD,17000000,Seed,"We design, develop and produce robots for logistics.","Artificial Intelligence (AI), Industrial Automation, Logistics, Robotics, Warehousing","Kyiv, Kyyiv, Ukraine, Europe",https://deusrobotics.com,,4600000,USD,4600000,Seed,3,5,4,Yes,
Seed Round - IBISA,https://www.crunchbase.com/funding_round/ibisa-seed--295d4529,IBISA,https://www.crunchbase.com/organization/ibisa,Seed,2024-06-25,3000000,USD,3000000,,"Acumen Resilient Agriculture Fund, Equator","Acumen Resilient Agriculture Fund, ADB Ventures, Ankur Capital, Equator","22,418",,,,Seed,"IBISA is an insuretech company that constructs, disseminates, and manages climate insurance solutions for the agricultural sector.","AgTech, Insurance, InsurTech","Luxembourg, Luxembourg, Luxembourg, Europe",http://ibisa.network,$10M to $50M,4861038,USD,4861038,Seed,6,4,4,Yes,
Pre Seed Round - ELando,https://www.crunchbase.com/funding_round/elando-pre-seed--30aa0160,ELando,https://www.crunchbase.com/organization/elando,Pre-Seed,2024-02-21,500000,EUR,541017,,New Vision 3,New Vision 3,"27,600",,,,Seed,"eLando is an IT services company that offers cyber security, cloud solution, consulting, mobile solution, and software engineering services.","Cloud Management, Consulting, Cyber Security, Software","Sofia, Grad Sofiya, Bulgaria, Europe",https://www.elando.bg/en/,$1M to $10M,500000,EUR,541017,Seed,1,1,,Yes,
Pre Seed Round - AdScout,https://www.crunchbase.com/funding_round/adscout-pre-seed--d0825bca,AdScout,https://www.crunchbase.com/organization/adscout,Pre-Seed,2024-02-21,300000,EUR,324610,,New Vision 3,New Vision 3,"31,863",,,,Seed,AdScout is a technology company that creates a network of trusted recommendations by connecting satisfied customers with companies.,"Marketing, Service Industry","Sofia, Grad Sofiya, Bulgaria, Europe",https://adscout.io,,300000,EUR,324610,Seed,1,1,,Yes,
Seed Round - Team Schedule,https://www.crunchbase.com/funding_round/team-schedule-seed--1f70fda7,Team Schedule,https://www.crunchbase.com/organization/team-schedule,Seed,2024-03-01,1000000,EUR,1084540,,,Vitosha Venture Partners,"36,556",,,,Seed,Team Schedule is a software firm that offers cloud extensions for SAP SuccessFactors that facilitate business shift scheduling.,"Artificial Intelligence (AI), Bookkeeping and Payroll, Cloud Data Services","Sofia, Grad Sofiya, Bulgaria, Europe",https://teamschedule.digital/,,1000000,EUR,1084540,Seed,1,1,1,Yes,
Pre Seed Round - VoiceMed,https://www.crunchbase.com/funding_round/voicemed-pre-seed--a7d4e68c,VoiceMed,https://www.crunchbase.com/organization/voicemed,Pre-Seed,2024-07-25,225000,EUR,244156,,,"EIT Digital, Padda Health","36,521",,,,Seed,AI and vocal biomarkers for providiny health check directly on the smartphone. Lung and cardiorespiratory health.,"Artificial Intelligence (AI), Health Care","Luxembourg, Luxembourg, Luxembourg, Europe",https://www.voicemed.io,,475000,EUR,529443,Seed,2,2,,Yes,
Pre Seed Round - Black Swan,https://www.crunchbase.com/funding_round/black-swan-bdce-pre-seed--b5eec015,Black Swan,https://www.crunchbase.com/organization/black-swan-bdce,Pre-Seed,2024-04-08,760000,GBP,961971,,ScaleWolf,"BSV Ventures, Lemonade Stand, Linas Sargautis, ScaleWolf, Vladas Lašas","39,354",,,,Seed,Black Swan offers autonomous space robotics software solution,Space Travel,"Luxembourg, Luxembourg, Luxembourg, Europe",https://www.blackswan.ltd/,$1M to $10M,1023018,USD,1023018,Seed,2,5,1,Yes,
Pre Seed Round - CloudAvocado,https://www.crunchbase.com/funding_round/cloudavocado-pre-seed--78258312,CloudAvocado,https://www.crunchbase.com/organization/cloudavocado,Pre-Seed,2024-01-12,50000,USD,50000,,ZAS Ventures,ZAS Ventures,"43,862",,,,Seed,CloudAvocado is a software development firm that focuses on customizing the AWS cloud according to customers' needs.,"Cloud Management, Information Technology, Software","Lviv, L'vivs'ka Oblast', Ukraine, Europe",https://cloudavocado.com,,50000,USD,50000,Seed,1,1,,Yes,
Seed Round - nPloy,https://www.crunchbase.com/funding_round/nploy-seed--da0dc84b,nPloy,https://www.crunchbase.com/organization/nploy,Seed,2023-11-23,2000000,EUR,2180906,,Morningside Hill Capital Management,"BlueOcean Ventures, Morningside Hill Capital Management","44,802",,,,Seed,"nPloy is a mobile app that provides job seekers with job search and offers human resources, staffing & recruiting services to organizations.","Human Resources, Mobile Apps, Recruiting, Software, Staffing Agency","Sofia, Grad Sofiya, Bulgaria, Europe",https://nploy.net/,,4000000,EUR,4198734,Seed,2,2,1,Yes,
