Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Firefish,https://www.crunchbase.com/funding_round/firefish-c0b9-seed--8a216d30,Firefish,https://www.crunchbase.com/organization/firefish-c0b9,Seed,"Banská Bystrica, Banska Bystrica, Slovakia (Slovak Republic), Europe",2025-04-08,1800000,USD,1800000,Seed,,,,Yes,"Firefish operates as an open lending marketplace connecting Bitcoiners, institutions and investors.","Finance, Financial Services",,https://firefish.io/,,1800000,USD,1800000,Seed,1,Braiins,"Braiins, MitonC",,2,863
Pre Seed Round - Lamarr.AI,https://www.crunchbase.com/funding_round/lamarr-ai-pre-seed--61644e12,Lamarr.AI,https://www.crunchbase.com/organization/lamarr-ai,Pre-Seed,"Galanta, Trnava, Slovakia (Slovak Republic), Europe",2024-10-16,1100000,USD,1100000,Seed,,,,Yes,Lamarr.AI is developing automated solutions for building envelope diagnostics and refurbishment.,"Artificial Intelligence (AI), Software, Web Development",,https://lamarr.ai,$500M to $1B,1100000,USD,1100000,Seed,1,Hazelview Ventures,"Hazelview Ventures, MidMark Capital, Newlab, SBXi",1,4,"11,584"
Seed Round - Gasp,https://www.crunchbase.com/funding_round/mangata-finance-seed--8b3f46d6,Gasp,https://www.crunchbase.com/organization/mangata-finance,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2024-02-21,5000000,USD,5000000,Seed,,,,Yes,"Ethereum cross-rollup swaps, lightning-fast, gas-free and MEV protected","Blockchain, Cryptocurrency, FinTech, Internet",,https://www.gasp.xyz,,10600000,USD,10600000,Seed,4,,"Cluster Capital, CMS Holdings, Coinvestor Ventures, Faculty Group, Founderheads,, Jets Capital, Legends Group, LVT Capital, Moonhill Capital, MV Global, Polychain, Token Metrics",1,12,"12,725"
Seed Round - CloseRocket,https://www.crunchbase.com/funding_round/closerocket-seed--7753505d,CloseRocket,https://www.crunchbase.com/organization/closerocket,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2024-10-01,100000,EUR,110645,Seed,,,,Yes,CloseRocket is a B2B sales platform for sales professionals that helps businesses develop.,"Information Technology, Internet",,https://www.closerocket.com/,,1100000,EUR,1194883,Seed,3,STARTGUIDE VC,STARTGUIDE VC,,1,"28,542"
Seed Round - elv.ai,https://www.crunchbase.com/funding_round/elv-ai-seed--2a0a246d,elv.ai,https://www.crunchbase.com/organization/elv-ai,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2024-01-15,500000,EUR,547248,Seed,,,,Yes,elv.ai operates as an internet safety start-up.,"Information Technology, Internet",,https://elv.ai/,,500000,EUR,547248,Seed,1,CB ESPRi,CB ESPRi,1,1,"29,684"
Seed Round - Boataround,https://www.crunchbase.com/funding_round/boataround-seed--e6a2248f,Boataround,https://www.crunchbase.com/organization/boataround,Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2024-05-27,,,,Seed,,,,Yes,"Boataround is a motorboat, yacht, and catamaran rental service company.","Marine Transportation, Rental, Reservations",,https://www.boataround.com,Less than $1M,15000000,CZK,631856,Seed,4,,Reflex Capital,,1,"29,841"
Pre Seed Round - Calcurates,https://www.crunchbase.com/funding_round/calcurates-by-amasty-pre-seed--ada70329,Calcurates,https://www.crunchbase.com/organization/calcurates-by-amasty,Pre-Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2024-10-15,600000,USD,600000,Seed,1000000,USD,1000000,Yes,A powerful shipping calculator and rules manager SaaS for e-commerce,"Delivery, E-Commerce, SaaS, Shipping, Software",,https://calcurates.com/,,600000,USD,600000,Seed,1,,,,,"35,818"
Seed Round - Nordics.io,https://www.crunchbase.com/funding_round/nordics-io-seed--7c3ff99e,Nordics.io,https://www.crunchbase.com/organization/nordics-io,Seed,"Kosice, Kosice, Slovakia (Slovak Republic), Europe",2024-12-13,1000000,EUR,1050563,Seed,,,,Yes,Nordics is an AI-powered vendor management platform designed to optimize B2B software procurement.,"Artificial Intelligence (AI), Enterprise Software, Software Engineering",,https://nordics.io/,Less than $1M,1050000,EUR,1110176,Seed,2,,,,,"40,686"
Pre Seed Round - Qubu,https://www.crunchbase.com/funding_round/qubu-pre-seed--65643034,Qubu,https://www.crunchbase.com/organization/qubu,Pre-Seed,"Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",2024-04-01,,,,Seed,,,,Yes,Generate residential buildings with powerful AEC software,"Architecture, Generative AI, Software",,https://qubu.io/,,,,,Seed,1,,Nirman Ventures,,1,"42,685"
Seed Round - piXme,https://www.crunchbase.com/funding_round/pixme-1551-seed--82d30e03,piXme,https://www.crunchbase.com/organization/pixme-1551,Seed,"Krupina, Banska Bystrica, Slovakia (Slovak Republic), Europe",2024-12-09,1674000,USD,1674000,Seed,,,,Yes,"piXme saves you time and money, making your work simpler and more efficient!","Artificial Intelligence (AI), Business Development, Cloud Data Services, Developer Tools, SaaS, Web Apps",,https://pixme.asia/,,1674000,USD,1674000,Seed,1,,,,,"45,456"
