Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Montchis,https://www.crunchbase.com/funding_round/montchis-seed--14822adb,Montchis,https://www.crunchbase.com/organization/montchis,Seed,"Madrid, Madrid, Spain, Europe",2025-04-23,555000,EUR,628454,Seed,,,,Yes,Montchis operates as an artisan pastry company that specializes in both fresh and frozen cheesecakes.,"Food and Beverage, Snack Food",,https://www.montchis.com/,,555000,EUR,628454,Seed,1,Faraday Venture Partners,"Faraday Venture Partners, Grupo Roctin, Guillermo Flores, SeedRocket",1,4,"1,152"
Seed Round - Harmonix,https://www.crunchbase.com/funding_round/harmonix-seed--10a5f35f,Harmonix,https://www.crunchbase.com/organization/harmonix,Seed,"Barcelona, Catalonia, Spain, Europe",2025-04-03,3200000,EUR,3535185,Seed,,,,Yes,"Harmonix is a software development company that uses AI for CRM to communicate with customers to send email, calls, and SMS.","Artificial Intelligence (AI), CRM, Software",,https://www.harmonix.ai/,,3200000,EUR,3535185,Seed,1,4Founders Capital,"4Founders Capital, ICF Capital, K Fund",,3,"2,096"
Seed Round - Inversiva,https://www.crunchbase.com/funding_round/inversiva-seed--a55ab5f6,Inversiva,https://www.crunchbase.com/organization/inversiva,Seed,"Castellón De La Plana, Comunidad Valenciana, Spain, Europe",2025-04-08,1200000,EUR,1315501,Seed,,,,Yes,"Inversiva is a real estate investment firm that offers property management, rental, and renovation services.","Property Management, Real Estate, Real Estate Investment, Rental",,https://inversiva.com,,1950000,EUR,2130586,Seed,3,,"Bewater Funds, Faraday Venture Partners",1,2,"2,469"
Seed Round - Modular DS,https://www.crunchbase.com/funding_round/modular-ds-seed--d5128df3,Modular DS,https://www.crunchbase.com/organization/modular-ds,Seed,"León, Castilla y Leon, Spain, Europe",2024-02-27,330000,EUR,357736,Seed,,,,Yes,Modular DS makes it easier to manage all WordPress websites from one spot.,"Information Technology, Software, Web Design",,https://modulards.com,,330000,EUR,357736,Seed,2,,"Adrian Ferrero, Draper B1, Juan Carlos Celaya, Juan Pablo Tejela, Mathieu Carenzo, SCRM Barcelona, Victor Juarez",,7,"4,724"
Seed Round - Tutrocito,https://www.crunchbase.com/funding_round/tutrocito-seed--42f0635b,Tutrocito,https://www.crunchbase.com/organization/tutrocito,Seed,"Salteras, Andalucia, Spain, Europe",2025-04-15,500000,EUR,566220,Seed,,,,Yes,Tutrocito is an online store that sells decorative supplies and custom-made furniture.,"Furniture, Home and Garden, Home Decor",,https://www.tutrocito.com,,1000000,EUR,1114970,Seed,2,Eoniq.fund,Eoniq.fund,,1,"5,451"
Seed Round - Smart Vitamins,https://www.crunchbase.com/funding_round/smart-vitamins-seed--2a584598,Smart Vitamins,https://www.crunchbase.com/organization/smart-vitamins,Seed,"Santiago De Compostela, Galicia, Spain, Europe",2025-03-11,2100000,EUR,2294804,Seed,,,,Yes,"Smart Vitamins is a biotechnology company that develops innovative formulations in the pharmaceutical, cosmetic, and nutraceutical sectors.",Biotechnology,,https://smartvitamins.org/,,2100000,EUR,2294804,Seed,1,,"Antonio Parente, José Luis del Río Galán, Mauricio Peralta, Roberto Conde Penas, Roberto Pomares, Santiago Domínguez, Vicente Durán",,7,"6,223"
Pre Seed Round - Bronze,https://www.crunchbase.com/funding_round/bronze-538d-pre-seed--a764d75d,Bronze,https://www.crunchbase.com/organization/bronze-538d,Pre-Seed,"Barcelona, Catalonia, Spain, Europe",2024-06-01,600000,EUR,651390,Seed,3500000,EUR,3799776,Yes,"We improve Restaurant kitchens' operations with AI, beyond excellence","Artificial Intelligence (AI), Computer Vision, Hotel, Restaurants",,http://bronze.vision,,600000,EUR,651390,Seed,1,Dozen Investments,"Dozen Investments, Encomenda Capital Partners, SeedRocket",15,3,"6,797"
Seed Round - Brickken,https://www.crunchbase.com/funding_round/brickken-seed--956a9109,Brickken,https://www.crunchbase.com/organization/brickken,Seed,"Barcelona, Catalonia, Spain, Europe",2025-01-15,2500000,USD,2500000,Seed,20000000,USD,20000000,Yes,"Token Suite. Create, sell, and manage digital assets. Tokenization of Real World Assets (RWAs).","Blockchain, Crowdfunding, Financial Services, FinTech",,https://www.brickken.com,,5228128,USD,5228128,Seed,4,,"Blue Bay Ventures, Ergodic Capital, Hodl, MOCHAX, Psalion VC, SNZ Holding",1,6,"7,326"
Seed Round - Union Avatars,https://www.crunchbase.com/funding_round/union-avatars-linking-realities-seed--a0af88f7,Union Avatars,https://www.crunchbase.com/organization/union-avatars-linking-realities,Seed,"Barcelona, Catalonia, Spain, Europe",2024-10-18,,,,Seed,,,,Yes,Union Avatars is a company dedicated to creating avatars for the metaverse.,"Animation, Blockchain, Cryptocurrency, Metaverse, Software",,https://unionavatars.com/,,1461936,USD,1461936,Seed,5,CDTI Innovación's INNVIERTE program,"CDTI Innovación's INNVIERTE program, FCR, Inveready",,3,"8,089"
Pre Seed Round - Clotsy Brand,https://www.crunchbase.com/funding_round/clotsy-brand-pre-seed--f832937f,Clotsy Brand,https://www.crunchbase.com/organization/clotsy-brand,Pre-Seed,"Valencia, Comunidad Valenciana, Spain, Europe",2025-01-20,330000,EUR,343906,Seed,,,,Yes,Clotsy Brand is a sustainable and vegan fashion startup.,"E-Commerce, Fashion",,https://www.clotsybrand.com/,,330000,EUR,343906,Seed,1,Eoniq.fund,"Alberto Bordegé, Eoniq.fund, Ismael Labrador, Jose Carlos Cortizo, Lorena Macías",,5,"10,040"
Seed Round - Bleta,https://www.crunchbase.com/funding_round/bleta-seed--11d45b9e,Bleta,https://www.crunchbase.com/organization/bleta,Seed,"Barcelona, Catalonia, Spain, Europe",2025-02-26,500000,EUR,524401,Seed,,,,Yes,Bleta designs a tablet for elder people that connected with loved ones and improves the quality of life.,"Consumer Electronics, Digital Entertainment, Elderly, Training",,https://bleta.io/,,500000,EUR,524401,Seed,1,,"Altura Capital, First Drop, Ona Capital Privat SCR SA",,3,"11,231"
Seed Round - Abastores,https://www.crunchbase.com/funding_round/abastores-seed--c041c573,Abastores,https://www.crunchbase.com/organization/abastores,Seed,"Turleque, Castilla-La Mancha, Spain, Europe",2024-12-16,750000,EUR,788775,Seed,,,,Yes,Abastores The agribusiness auction platform.,"Agriculture, Information Technology, Internet",,https://abastores.com/aviso-legal,,750000,EUR,788775,Seed,1,Encomenda VC,"Encomenda VC, Rockstart, SODICAMAN",1,3,"12,074"
Seed Round - Jelly Pills,https://www.crunchbase.com/funding_round/jelly-pills-seed--31681cfc,Jelly Pills,https://www.crunchbase.com/organization/jelly-pills,Seed,"Cambrils, Catalonia, Spain, Europe",2024-07-17,1000000,EUR,1094050,Seed,3500000,EUR,3829175,Yes,Jelly Pills is a nutricosmetic company that offers nutritional supplements into attractive jelly beans for a healthy and natural lifestyle.,"Dietary Supplements, Nutrition, Wellness",,https://jellypills.com,,1000000,EUR,1094050,Seed,1,"Rhombus Global Consulting, Seven Roots","Rhombus Global Consulting, Seven Roots",1,2,"12,635"
Seed Round - IENAI SPACE,https://www.crunchbase.com/funding_round/ienai-space-seed--ba5e4ada,IENAI SPACE,https://www.crunchbase.com/organization/ienai-space,Seed,"Madrid, Madrid, Spain, Europe",2024-06-06,3900000,EUR,4247769,Seed,,,,Yes,IENAI SPACE develops next generation in-space mobility for smallsats: efficient ionic-liquid electric propulsion and mission analysis,"Aerospace, Machinery Manufacturing, Space Travel",,https://ienai.space/,$1M to $10M,4647769,USD,4647769,Seed,2,"Buenavista Equity Partners, Centre for the Development of Industrial Technology (CDTI)","Buenavista Equity Partners, Centre for the Development of Industrial Technology (CDTI), DPM Finanzas, Inveready, WA4STEAM",1,5,"13,442"
Seed Round - Superlativa,https://www.crunchbase.com/funding_round/superlativa-seed--c9788923,Superlativa,https://www.crunchbase.com/organization/superlativa,Seed,"Barcelona, Catalonia, Spain, Europe",2024-11-21,1500000,EUR,1570365,Seed,,,,Yes,Superlativa is a wellness company that delivers supplements that target major aspects of health.,"Dietary Supplements, Health Care, Medical",,https://superlativabotanicals.com,$1M to $10M,1500000,EUR,1570365,Seed,1,IRIS Ventures,IRIS Ventures,2,1,"13,978"
Seed Round - ADNTRO Genetics,https://www.crunchbase.com/funding_round/adntro-genetics-seed--9c72ca42,ADNTRO Genetics,https://www.crunchbase.com/organization/adntro-genetics,Seed,"Palma De Mallorca, Islas Baleares, Spain, Europe",2024-10-07,1000000,EUR,1097430,Seed,,,,Yes,"ADNTRO Genetics offers human genetics research, personalized nutrition plan, personal health, consulting and services","Biopharma, Genetics, Health Care, Medical",,https://adntro.com,Less than $1M,1000000,EUR,1097430,Seed,2,Bio&Tech Smart Capital,Bio&Tech Smart Capital,1,1,"14,173"
Seed Round - Wolo,https://www.crunchbase.com/funding_round/wolo-2818-seed--9738b6d3,Wolo,https://www.crunchbase.com/organization/wolo-2818,Seed,"Barcelona, Catalonia, Spain, Europe",2024-02-08,1500000,EUR,1616648,Seed,,,,Yes,"La plataforma de alquiler mejor valorada del país Alquila tu piso rápido, seguro y 100% online.","Online Portals, Rental, Rental Property",,https://wolorent.com,$1M to $10M,1500000,EUR,1616648,Seed,2,"Farside Ventures, GVC Gaesco Group, Inderhabs investment, Relats","Burri 2002, Dozen Investments, Farside Ventures, GVC Gaesco Group, Inderhabs investment, Javier Darriba, Metral, Relats, Reto 140 Invest",,9,"14,598"
Pre Seed Round - Smallops,https://www.crunchbase.com/funding_round/smallops-pre-seed--357ccb13,Smallops,https://www.crunchbase.com/organization/smallops,Pre-Seed,"Badajoz, Extremadura, Spain, Europe",2024-09-24,120000,EUR,134293,Seed,,,,Yes,Smallops develops creative methods to combat climate change using nanotechnology.,"Environmental Consulting, Nanotechnology",,https://smallops.eu,,120000,EUR,134293,Seed,1,Repsol Foundation,Repsol Foundation,,1,"14,639"
Seed Round - Uelz,https://www.crunchbase.com/funding_round/fixme-seed--ed786736,Uelz,https://www.crunchbase.com/organization/fixme,Seed,"Madrid, Madrid, Spain, Europe",2025-01-28,,,,Seed,,,,Yes,Uelz automate & route payment collection by integrating the solution with multiple payment gateways.,"E-Commerce, E-Commerce Platforms, FinTech, Online Portals, Payments, Service Industry, Software",,https://www.uelzpay.com,,2235000,EUR,2490230,Seed,6,Decelera,Decelera,1,1,"14,663"
Seed Round - Be Levels,https://www.crunchbase.com/funding_round/be-levels-seed--7bddcf2e,Be Levels,https://www.crunchbase.com/organization/be-levels,Seed,"Madrid, Madrid, Spain, Europe",2024-09-30,6000000,EUR,6681976,Seed,,,,Yes,Be Levels offers health products that improve your health on a scientific basis.,"Biotechnology, Consumer Goods, Health Care",,https://belevels.com/en,$1M to $10M,6000000,EUR,6681976,Seed,1,Axon Partners Group,Axon Partners Group,1,1,"16,925"
Pre Seed Round - DARWIN Biomed,https://www.crunchbase.com/funding_round/darwin-biomed-pre-seed--ee36fba6,DARWIN Biomed,https://www.crunchbase.com/organization/darwin-biomed,Pre-Seed,"Tudela, Navarra, Spain, Europe",2023-12-12,400000,EUR,431940,Seed,,,,Yes,Biomedical Engineering,Health Care,,https://www.darwin-biomed.com/,,400000,EUR,431940,Seed,1,EASO Ventures,"EASO Ventures, Erreka Group",1,2,"18,774"
Seed Round - Bighub,https://www.crunchbase.com/funding_round/bighub-seed--12bcbe3e,Bighub,https://www.crunchbase.com/organization/bighub,Seed,"Huelva, Andalucia, Spain, Europe",2025-01-31,10000000,EUR,10381596,Seed,,,,Yes,Bighub is a marketplace integration technology and sales accelerator that synchronizes with over 30 marketplaces in a single ecosystem.,"E-Commerce, Internet, Publishing, SaaS, Sales",,https://www.bighub.store,,10000000,EUR,10381596,Seed,2,BlueCrow Capital,BlueCrow Capital,,1,"19,855"
Seed Round - ScrapAd,https://www.crunchbase.com/funding_round/scrapad-seed--3e265ea6,ScrapAd,https://www.crunchbase.com/organization/scrapad,Seed,"Éibar, Pais Vasco, Spain, Europe",2023-11-13,5000000,EUR,5350655,Seed,,,,Yes,"ScrapAd is a global marketplace for buying and selling recyclable materials like metals, tubes, plastics, paper, and cables.","E-Commerce, Marketplace, Online Portals, Recycling",,http://www.scrapad.com,,6000000,EUR,6531804,Seed,2,"Berge y Cia, Indipartners","Berge y Cia, Indipartners",,2,"20,169"
Seed Round - Boldest,https://www.crunchbase.com/funding_round/boldest-seed--51f5aff8,Boldest,https://www.crunchbase.com/organization/boldest,Seed,"Lugo, Galicia, Spain, Europe",2023-11-17,360000,EUR,393017,Seed,,,,Yes,Boldest is an innovative startup that is changing the way tourists engage with online tourism information.,"SaaS, Tourism, Travel",,https://www.boldest.io,,360000,EUR,393017,Seed,1,Lugo Transforma,Lugo Transforma,1,1,"20,795"
Seed Round - Connecta Therapeutics,https://www.crunchbase.com/funding_round/connecta-therapeutics-seed--91227890,Connecta Therapeutics,https://www.crunchbase.com/organization/connecta-therapeutics,Seed,"Barcelona, Catalonia, Spain, Europe",2024-02-12,2700000,EUR,2908402,Seed,,,,Yes,Connecta Therapeutics is a biotechnology company that develops new treatments for unresolved medical needs of the central nervous system.,"Biotechnology, Health Care, Medical, Neuroscience",,https://connectatherapeutics.com/,$1M to $10M,4400000,EUR,4886236,Seed,2,Ministry of Science and Innovation of Spain,"Centre for the Development of Industrial Technology (CDTI), ENISA, Inveready, Ministry of Science and Innovation of Spain, NEOTEC, NextGenerationEU, Prous Institute for Biomedical Research, Retos Colaboración",,8,"22,021"
Seed Round - DEXTools,https://www.crunchbase.com/funding_round/dextools-seed--5eaac007,DEXTools,https://www.crunchbase.com/organization/dextools,Seed,"Pola De Siero, Asturias, Spain, Europe",2024-02-08,,,,Seed,,,,Yes,DEXTools is necessary to access subscription tiers and benefit from unlocking all of the features of the DEXT ecosystem.,"Apps, Blockchain, Cryptocurrency, Trading Platform",,https://www.dextools.io/,,,,,Seed,2,OKX Ventures,OKX Ventures,1,1,"22,831"
Seed Round - Luca,https://www.crunchbase.com/funding_round/luca-62a4-seed--b42856d8,Luca,https://www.crunchbase.com/organization/luca-62a4,Seed,"Madrid, Madrid, Spain, Europe",2024-11-11,2000000,USD,2000000,Seed,,,,Yes,Saas K12 Learning Platform,"Artificial Intelligence (AI), E-Learning, EdTech, Education, Primary Education, SaaS, Secondary Education",,https://www.lucaedu.com/,$1M to $10M,5000000,USD,5000000,Seed,2,,"Heartcore Capital, Shilling",,2,"23,428"
Seed Round - Last.app,https://www.crunchbase.com/funding_round/last-seed--2850862c,Last.app,https://www.crunchbase.com/organization/last,Seed,"Barcelona, Catalonia, Spain, Europe",2023-11-15,5000000,EUR,5427267,Seed,,,,Yes,Restaurant management software,"Restaurants, Software",,https://www.last.app,$1M to $10M,7450000,EUR,8226930,Seed,3,Nauta Capital,"Acurio Ventures, Bynd Venture Capital, Nauta Capital",1,3,"23,826"
Seed Round - Vidext,https://www.crunchbase.com/funding_round/vidext-seed--9910ee2a,Vidext,https://www.crunchbase.com/organization/vidext,Seed,"Bilbao, Pais Vasco, Spain, Europe",2024-04-10,2000000,EUR,2148228,Seed,,,,Yes,"Stop recording and create professional videos in less than 5 minutes. Any language, no effort.","Software, Video, Video on Demand",,https://www.vidext.io,Less than $1M,2260000,EUR,2422914,Seed,2,4Founders Capital,"4Founders Capital, Draper B1, Sabadell Venture Capital",1,3,"25,164"
Pre Seed Round - Cooling Photonics,https://www.crunchbase.com/funding_round/cooling-photonics-pre-seed--8aecdd9f,Cooling Photonics,https://www.crunchbase.com/organization/cooling-photonics,Pre-Seed,"Barcelona, Catalonia, Spain, Europe",2024-09-24,120000,EUR,134293,Seed,,,,Yes,Cooling Photonics delivers passive cooling solutions that reduce energy usage and have zero carbon emissions.,"Energy Management, Nanotechnology",,https://www.coolingphotonics.com,,120000,EUR,134293,Seed,1,Repsol Foundation,Repsol Foundation,,1,"25,943"
Pre Seed Round - Tokidos,https://www.crunchbase.com/funding_round/tokidos-pre-seed--e6634ba2,Tokidos,https://www.crunchbase.com/organization/tokidos,Pre-Seed,"Montreal, Catalonia, Spain, Europe",2024-02-27,1350000,CAD,997657,Seed,,,,Yes,Tokidos is a screenless game console consisting of a series of five intelligent and interconnected cubes.,"Computer, Electronics, Manufacturing",,https://tokidos.com,Less than $1M,1017657,USD,1017657,Seed,2,,"Boreal Ventures, Davin Sufer, Francois Guy, Investissement Quebec, Steve Ghaleb, Triptyq Capital",1,6,"26,939"
Seed Round - Gravity Wave,https://www.crunchbase.com/funding_round/gravity-wave-seed--7cd6974c,Gravity Wave,https://www.crunchbase.com/organization/gravity-wave,Seed,"Alicante, Comunidad Valenciana, Spain, Europe",2024-02-07,500000,EUR,538773,Seed,,,,Yes,"Gravity Wave mission is to involve companies, entities and individuals in the cleaning of our seas and oceans.","Environmental Consulting, Environmental Engineering, Waste Management",,https://www.thegravitywave.com/,,600000,EUR,659551,Seed,4,"Marc Gasol, Pau Gasol","Marc Gasol, Pau Gasol",,2,"27,904"
Seed Round - CHECKTOBUILD,https://www.crunchbase.com/funding_round/checktobuild-seed--efdcd177,CHECKTOBUILD,https://www.crunchbase.com/organization/checktobuild,Seed,"Madrid, Madrid, Spain, Europe",2023-12-14,1190000,EUR,1308208,Seed,,,,Yes,"We are an autonomous inspection service that faces overbudget and overtime in construction projects, with a differential quality value.","Architecture, Artificial Intelligence (AI), Civil Engineering, Construction, Drones, Information Technology, Smart Building, Software",,https://www.checktobuild.com,$1M to $10M,1190000,EUR,1308208,Seed,1,Kulldorff,"Beresford Ventures, BRAIN VC, Capacity VC, Fides Capital, Kulldorff",1,5,"27,921"
