Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - 12iD,https://www.crunchbase.com/funding_round/prove-1482-seed--4d580efa,12iD,https://www.crunchbase.com/organization/prove-1482,Seed,"Stockholm, Stockholms Lan, Sweden, Europe",2022-01-31,,,,Seed,,,,Yes,12iD provides a solution to issue digital identities and to identify users remotely.,"Identity Management, Information Technology, Internet, Software",,https://12id.com,,569139,USD,569139,Seed,2,MobilityXlab,MobilityXlab,,1,"104,497"
Pre Seed Round - 12iD,https://www.crunchbase.com/funding_round/prove-1482-pre-seed--5d78e794,12iD,https://www.crunchbase.com/organization/prove-1482,Pre-Seed,"Stockholm, Stockholms Lan, Sweden, Europe",2019-01-01,569139,USD,569139,Seed,,,,Yes,12iD provides a solution to issue digital identities and to identify users remotely.,"Identity Management, Information Technology, Internet, Software",,https://12id.com,,569139,USD,569139,Seed,2,,Antler,,1,"647,139"
Seed Round - AAX Biotech,https://www.crunchbase.com/funding_round/aax-biotech-seed--95b98dc9,AAX Biotech,https://www.crunchbase.com/organization/aax-biotech,Seed,"Stockholm, Stockholms Lan, Sweden, Europe",2024-10-02,7000000,SEK,681928,Seed,,,,Yes,Technologies for the next generation of antibody therapies.,"Biopharma, Biotechnology, Pharmaceutical",,https://aaxbiotech.com,,7000000,SEK,681928,Seed,1,,"HJKK Didrikson, Karolinska Institutet Holding, Life Science Invest, Northislet, Phase2Phase Biopharma",,5,"17,619"
Seed Round - Acamp,https://www.crunchbase.com/funding_round/acamp-a429-seed--02dd90ec,Acamp,https://www.crunchbase.com/organization/acamp-a429,Seed,"Stockholm, Stockholms Lan, Sweden, Europe",2022-02-08,2500000,EUR,2855126,Seed,,,,Yes,Acamp Operator of a camping marketplace.,"Leisure, Tourism, Travel",,http://www.acamp.com,$1M to $10M,2850000,EUR,3247790,M&A,3,Spintop Ventures,"Centripetal, LRF Ventures, Spintop Ventures",2,3,"228,739"
Seed Round - Acamp,https://www.crunchbase.com/funding_round/acamp-a429-seed--b31b4b54,Acamp,https://www.crunchbase.com/organization/acamp-a429,Seed,"Stockholm, Stockholms Lan, Sweden, Europe",2021-01-01,,,,Seed,,,,Yes,Acamp Operator of a camping marketplace.,"Leisure, Tourism, Travel",,http://www.acamp.com,$1M to $10M,2850000,EUR,3247790,M&A,3,Centripetal,Centripetal,,1,"362,726"
Pre Seed Round - Acamp,https://www.crunchbase.com/funding_round/acamp-a429-pre-seed--9b038c13,Acamp,https://www.crunchbase.com/organization/acamp-a429,Pre-Seed,"Stockholm, Stockholms Lan, Sweden, Europe",2020-01-01,350000,EUR,392664,Seed,,,,Yes,Acamp Operator of a camping marketplace.,"Leisure, Tourism, Travel",,http://www.acamp.com,$1M to $10M,2850000,EUR,3247790,M&A,3,,LEVELS - The Venture Studio,,1,"713,332"
Pre Seed Round - Accurator,https://www.crunchbase.com/funding_round/accurator-pre-seed--25b2bbfe,Accurator,https://www.crunchbase.com/organization/accurator,Pre-Seed,"Solna, Stockholms Lan, Sweden, Europe",2021-06-09,800000,EUR,974289,Seed,,,,Yes,Accurator is a software developer from Sweden providing a smart purchasing solution for people working in the construction industry.,"Construction, Software",,https://www.accurator.se/,,800000,EUR,974289,Seed,1,Icebreaker.vc,Icebreaker.vc,,1,"126,599"
Seed Round - Acorai,https://www.crunchbase.com/funding_round/acorai-seed--fa48e257,Acorai,https://www.crunchbase.com/organization/acorai,Seed,"Helsingborg, Skane Lan, Sweden, Europe",2024-01-19,4500000,USD,4500000,Seed,,,,Yes,Acorai is a medical device manufacturer of non-invasive intracardiac pressure monitoring to improve heart failure management.,"Health Care, Manufacturing, Medical Device",,http://acorai.com,$1M to $10M,15838291,USD,15838291,,9,Solardis Health Ventures,"Alex Vamvakas, Carma Fund, CerraCap Ventures, Chris Gasteratos, KHP Ventures, Solardis Health Ventures",1,6,"174,793"
Seed Round - Acorai,https://www.crunchbase.com/funding_round/acorai-seed--d2515e4d,Acorai,https://www.crunchbase.com/organization/acorai,Seed,"Helsingborg, Skane Lan, Sweden, Europe",2022-04-01,14458050,SEK,1542469,Seed,15000000,EUR,16572754,Yes,Acorai is a medical device manufacturer of non-invasive intracardiac pressure monitoring to improve heart failure management.,"Health Care, Manufacturing, Medical Device",,http://acorai.com,$1M to $10M,15838291,USD,15838291,,9,,"Aerion Partners, HealthTech Arkansas, KHP Ventures",,3,"259,499"
Seed Round - Acorai,https://www.crunchbase.com/funding_round/acorai-seed--a808ca82,Acorai,https://www.crunchbase.com/organization/acorai,Seed,"Helsingborg, Skane Lan, Sweden, Europe",2023-03-01,10952400,SEK,1049567,Seed,175000000,SEK,16770225,Yes,Acorai is a medical device manufacturer of non-invasive intracardiac pressure monitoring to improve heart failure management.,"Health Care, Manufacturing, Medical Device",,http://acorai.com,$1M to $10M,15838291,USD,15838291,,9,,"Capital Q® Ventures Inc., Golden Angels Investors, Springboard Health Angels",,3,"694,524"
