Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Pre Seed Round - CGC Genomics,https://www.crunchbase.com/funding_round/cgc-genomics-pre-seed--17c90b8c,CGC Genomics,https://www.crunchbase.com/organization/cgc-genomics,Pre-Seed,"Basel, Basel-Stadt, Switzerland, Europe",2025-04-14,1700000,EUR,1932097,Seed,,,,Yes,XAI Platform for Cancer Genomics Interpretation SaaS,"Bioinformatics, Generative AI, Genetics, Oncology, Precision Medicine",,https://www.qnomx.ai/,,2222685,USD,2222685,Seed,2,Heal Capital,"Becker Ventures, better ventures, Christoph Behn, Heal Capital, Helmut Deschauer, Nicolas Weber, Springboard Health Angels, Super Angels",3,8,568
Seed Round - Catchfree,https://www.crunchbase.com/funding_round/catchfree-3e27-seed--731fb360,Catchfree,https://www.crunchbase.com/organization/catchfree-3e27,Seed,"Zürich, Zurich, Switzerland, Europe",2025-04-16,1200000,CHF,1467014,Seed,,,,Yes,"Catchfree is to create and produce delicious, plant-based seafood.","Food and Beverage, Seafood",,https://www.catchfree.ch,,1200000,CHF,1467014,Seed,1,"FortyOne Group, Startfeld","FortyOne Group, Startfeld",,2,601
Angel Round - Arcium,https://www.crunchbase.com/funding_round/arcium-angel--66ef7f2e,Arcium,https://www.crunchbase.com/organization/arcium,Angel,"Baar, Zug, Switzerland, Europe",2025-03-27,2000000,USD,2000000,Seed,,,,Yes,Arcium is the first parallelized confidential computing network.,"Blockchain, Machine Learning, Web3",,https://arcium.com,,11000000,USD,11000000,Seed,3,Welab Holdings,"Bartosz Lipiński, Chris Heaney, Curb ‎ ‎‏‏‎ ‎‎, Fedor Holz, Gammichan ‎ ‎‏‏‎ ‎‎, Joe McCann, Jordi Alexander, Karel Kubat, Mats Olsen, Meow ‏‏‎ ‎‏‏‎ ‎, Michael Heinrich, Namik Muduroglu, Robinson Burkey, Runner XBT, Siong ‎ ‎‏‏‎ ‎‎, Stepan Simkin, Welab Holdings, zac.eth ‎‏‏‎",,18,701
Seed Round - Piece,https://www.crunchbase.com/funding_round/piece-3194-seed--4100812d,Piece,https://www.crunchbase.com/organization/piece-3194,Seed,"Lugano, Ticino, Switzerland, Europe",2025-04-21,2730000,EUR,3143311,Seed,,,,Yes,"Piece is a platform for investing in rented properties, offering monthly rental income and long-term appreciation for everyone.","FinTech, Real Estate, Real Estate Investment",,https://getpiece.app/,,3380000,EUR,3852879,Seed,2,UTEC - The University of Tokyo Edge Capital Partners,"East Ventures, Gaiax, KSK Angel Fund, Novaterra, UTEC - The University of Tokyo Edge Capital Partners",3,5,"1,433"
Pre Seed Round - Manukai,https://www.crunchbase.com/funding_round/manukai-pre-seed--93aca8e8,Manukai,https://www.crunchbase.com/organization/manukai,Pre-Seed,"Zürich, Zurich, Switzerland, Europe",2025-03-31,3000000,USD,3000000,Seed,,,,Yes,"Manukai, an ETH Zurich spin-off, creates novel AI models to unlock the value of production data in metal machining.","CAD, Machine Learning, Manufacturing, Software",,https://www.manukai.ch,,3000000,USD,3000000,Seed,1,QBIT Capital,"Bloomhaus Ventures, Innosuisse, QBIT Capital",2,3,"2,118"
Pre Seed Round - DPhi Space,https://www.crunchbase.com/funding_round/dphi-space-pre-seed--b3b72792,DPhi Space,https://www.crunchbase.com/organization/dphi-space,Pre-Seed,"Lausanne, Vaud, Switzerland, Europe",2025-02-21,2100000,CHF,2338194,Seed,,,,Yes,DPhi Space is a startup that specializes in shared satellites for hosted payloads to simplify access to space.,"Aerospace, Manufacturing, Space Travel",,https://www.dphispace.com,,2250000,CHF,2504178,Seed,2,QBIT Capital,"Apprecia Capital, Atlantis Ventures, Founderful Campus, Hassine B., Kickfund, QBIT Capital, Roi Ventures, Venture Kick, Zürcher Kantonal Bank",1,9,"3,123"
Seed Round - Rekord AG,https://www.crunchbase.com/funding_round/rekord-ag-seed--501fcabf,Rekord AG,https://www.crunchbase.com/organization/rekord-ag,Seed,"Zug, Zug, Switzerland, Europe",2025-01-15,4500000,USD,4500000,Seed,,,,Yes,Putting data onto the blockchain,"AgTech, Blockchain, Data Integration, Data Management, Finance, Insurance, Manufacturing, Robotics",,http://www.rekord.io,,4500000,USD,4500000,Seed,1,,,,,"4,618"
Pre Seed Round - Margarita Finance,https://www.crunchbase.com/funding_round/margarita-finance-pre-seed--015ae9bd,Margarita Finance,https://www.crunchbase.com/organization/margarita-finance,Pre-Seed,"Zürich, Zurich, Switzerland, Europe",2024-11-27,1000000,USD,1000000,Seed,,,,Yes,Margarita Finance is revolutionizing DeFi by introducing customisable Yield Boosters to the Solana Blockchain.,Financial Services,,https://www.margarita.finance,,1000000,USD,1000000,Seed,2,"Outrun Ventures, Tomahawk.VC","G-20 Group, N&V Capital, Outrun Ventures, Tomahawk.VC",1,4,"5,232"
Pre Seed Round - Jaipur Robotics,https://www.crunchbase.com/funding_round/jaipur-robotics-pre-seed--e1c5e0a0,Jaipur Robotics,https://www.crunchbase.com/organization/jaipur-robotics,Pre-Seed,"Manno, Ticino, Switzerland, Europe",2025-03-12,800000,USD,800000,Seed,,,,Yes,Jaipur Robotics focuses on developing waste recycling ecosystem doliutions usng AI Algorithms.,"Artificial Intelligence (AI), Robotics, Waste Management",,https://www.jaipurobotics.com/,,931089,USD,931089,Seed,3,TiVentures,TiVentures,1,1,"5,516"
Seed Round - Nevermined,https://www.crunchbase.com/funding_round/nevermined-seed--53de712f,Nevermined,https://www.crunchbase.com/organization/nevermined,Seed,"Zug, Zug, Switzerland, Europe",2025-01-09,4000000,USD,4000000,Seed,,,,Yes,Nevermined is building the decentralized AI payments protocol.,"Asset Management, Cyber Security, Financial Services, Generative AI, Web3",,https://www.nevermined.io,$1M to $10M,7009106,USD,7009106,Seed,2,Generative Ventures,"Arca, Ben Fielding, David Minarsch, Factor Capital, Generative Ventures, Halo Capital, Lyrik Ventures, Mark Schmidt, NEAR, Oak sprout, Polymorphic Capital, Richard Blythman",,12,"5,737"
