Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Announced Date,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Partner Investors,Number of Investors,CB Rank (Funding Round)
Seed Round - Flypost.co,https://www.crunchbase.com/funding_round/flypost-co-seed--3d4943b5,Flypost.co,https://www.crunchbase.com/organization/flypost-co,Seed,"London, England, United Kingdom, Europe",2009-03-01,175000,GBP,249173,Seed,,,,Yes,Flypost.co is a startup developing mobile devices for consumers.,"Big Data, Mobile",,http://flypost.co,Less than $1M,175000,GBP,249173,Seed,2,,,,,"358,179"
Seed Round - Carbon Masters,https://www.crunchbase.com/funding_round/carbon-masters-seed--b903f92c,Carbon Masters,https://www.crunchbase.com/organization/carbon-masters,Seed,"Whitley Bay, North Tyneside, United Kingdom, Europe",2024-10-14,,,,Seed,,,,Yes,"Carbon Masters helps organisations to measure, manage, reduce and report their carbon emissions.",Internet,,http://carbonmasters.co.uk/,,,,,Seed,5,"SBI Foundation, Villgro","NABKISAN Finance, SBI Foundation, Villgro",2,3,"12,464"
Seed Round - Leading Edge Only,https://www.crunchbase.com/funding_round/leading-edge-only-seed--452262cd,Leading Edge Only,https://www.crunchbase.com/organization/leading-edge-only,Seed,"Cranfield, Bedfordshire, United Kingdom, Europe",2024-11-11,,,,Seed,,,,Yes,"LEO connects innovation seekers and innovation providers in a unique, proactive global platform.","Information Technology, Internet, Marketplace",,https://www.leadingedgeonly.com/,$1M to $10M,,,,Seed,2,,South East Angels,,1,"19,906"
Seed Round - Falcon Imaging,https://www.crunchbase.com/funding_round/falcon-imaging-seed--037b0d9a,Falcon Imaging,https://www.crunchbase.com/organization/falcon-imaging,Seed,"Cambridge, Cambridgeshire, United Kingdom, Europe",2024-03-20,100000,USD,100000,Seed,,,,Yes,Falcon Imaging is a printing agency that provides Professional printing services.,"Advertising, Graphic Design, Printing, Professional Services",,https://www.falconimaging.co.uk/,,100000,USD,100000,Seed,1,,,,,"36,813"
Seed Round - Ceres Holographics Ltd.,https://www.crunchbase.com/funding_round/ceres-holographics-seed--ce971866,Ceres Holographics Ltd.,https://www.crunchbase.com/organization/ceres-holographics,Seed,"Livingston, West Lothian, United Kingdom, Europe",2023-11-01,1400000,GBP,1705370,Seed,,,,Yes,Ceres Holographics is enabling next-generation transparent displays with innovative hologram manufacturing technology.,"Automotive, Information Technology, Manufacturing",,https://www.ceresholographics.com/,$1M to $10M,9926270,USD,9926270,Seed,6,Par Equity,Par Equity,1,1,"38,667"
Seed Round - Cepro,https://www.crunchbase.com/funding_round/clean-energy-prospector-seed--bdd7de7d,Cepro,https://www.crunchbase.com/organization/clean-energy-prospector,Seed,"Bristol, Bristol, City of, United Kingdom, Europe",2023-07-24,600000,GBP,768727,Seed,,,,Yes,Net Zero Energy Communities,"Energy, Internet of Things, Renewable Energy",,https://www.cepro.energy,,600000,GBP,768727,Seed,1,"Harry Seekings, James Hall-Smith","Harry Seekings, James Hall-Smith",,2,"57,442"
Seed Round - Sonichem,https://www.crunchbase.com/funding_round/bio-sep-seed--91e95abc,Sonichem,https://www.crunchbase.com/organization/bio-sep,Seed,"Melton Mowbray, Leicestershire, United Kingdom, Europe",2022-06-22,1400000,GBP,1715337,Seed,,,,Yes,"Ultrasonic technology driving the future of sustainable chemicals by separating non-food woody biomass into sugars, cellulose and lignin","Chemical, CleanTech, Forestry, Sustainability",,https://sonichem.com/,,3082000,GBP,3889667,Seed,5,"ACF Investors, Enterprise 100","ACF Investors, Enterprise 100",2,2,"65,779"
Seed Round - Hussle,https://www.crunchbase.com/funding_round/payasugym-seed--09f5c505,Hussle,https://www.crunchbase.com/organization/payasugym,Seed,"London, England, United Kingdom, Europe",2013-01-01,2000000,GBP,3248610,Seed,,,,Yes,"Hussle is a network of gyms, pools, spas, and health fitness apps.","Fitness, Wellness",,https://www.hussle.com,$1M to $10M,23376450,GBP,33111499,Early Stage Venture,10,"AlbionVC, Concentric","AlbionVC, Andy Phillipps, Concentric, MMC Ventures",2,4,"69,908"
Seed Round - TNA,https://www.crunchbase.com/funding_round/tna-8177-seed--dabfe7ee,TNA,https://www.crunchbase.com/organization/tna-8177,Seed,"London, England, United Kingdom, Europe",2024-04-30,,,,Seed,,,,Yes,TNA Protocol is the naming protocol for Bitcoin.,"Bitcoin, Cryptocurrency",,https://tna-btc.com,,,,,Seed,1,MH Ventures,"Cogitent Ventures, CSP DAO, MH Ventures",,3,"92,205"
Pre Seed Round - Lateral Technology,https://www.crunchbase.com/funding_round/lateral-technology-pre-seed--e029660d,Lateral Technology,https://www.crunchbase.com/organization/lateral-technology,Pre-Seed,"Cheltenham, Gloucestershire, United Kingdom, Europe",2022-05-27,300000,USD,300000,Seed,,,,Yes,"Lateral Technology offers business automation software to streamline processes for government, credit control & debt enforcement.","Computer, Information Technology, Professional Services, Software",,https://getlateral.com/,Less than $1M,300000,USD,300000,Seed,1,,Right Side Capital Management,,1,"101,542"
Seed Round - Ovation Studios,https://www.crunchbase.com/funding_round/io-games-studio-seed--0408fc6a,Ovation Studios,https://www.crunchbase.com/organization/io-games-studio,Seed,"London, England, United Kingdom, Europe",2022-04-01,5000000,USD,5000000,Seed,25000000,USD,25000000,Yes,Game Studio pioneering the future of sport simulation games incorporating digital ownership and global IP,"Education, Performing Arts, Training",,https://ovation-studios.com,$1M to $10M,5000000,USD,5000000,Seed,1,Ioconic,Ioconic,,1,"103,736"
