2025 Rank,2024 Rank,Institution Name,City,Location,Location Full,Size,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Sustainability,QS Overall Score,2025 Rank Numeric,OpenCage Request,Latitude,Longitude
2,6,Imperial College London,London,UK,United Kingdom,L,98.5,99.5,98.2,93.9,100,99.6,97.4,93.4,99.7,98.5,2,"London, United Kingdom",51.5074456,-0.1277653
3,3,University of Oxford,Oxford,UK,United Kingdom,L,100,100,100,84.8,98.1,97.7,100,100,85,96.9,3,"Oxford, United Kingdom",51.7520131,-1.2578499
5,2,University of Cambridge,Cambridge,UK,United Kingdom,L,100,100,100,84.6,100,94.8,99.3,100,84.8,96.7,5,"Cambridge, United Kingdom",52.2055314,0.1186637
7,7,ETH Zurich - Swiss Federal Institute of Technology,Zurich,CH,Switzerland,L,98.8,87.2,65.9,97.9,100,98.6,95.7,90.5,98.8,93.9,7,"Zurich, Switzerland",47.3744489,8.5410422
9,9,UCL,London,UK,United Kingdom,XL,99.5,98.3,95.9,72.2,99,100,99.9,70.3,74.8,91.6,9,"London, United Kingdom",51.5074456,-0.1277653
24,24,Université PSL,Paris,FR,France,L,74.4,97.6,98.1,87.6,62.3,65,99.8,97.1,73.4,84.7,24,"Paris, France",48.8534951,2.3483915
26,36,EPFL,Lausanne,CH,Switzerland,M,84.2,67.2,91.2,93.6,100,100,81.7,27.2,86.7,83.5,26,"Lausanne, Switzerland",46.5218269,6.6327025
27,22,The University of Edinburgh,Edinburgh,UK,United Kingdom,XL,98.3,97.2,65.5,47.7,98.7,99.8,99.5,55.9,99,83.3,27,"Edinburgh, United Kingdom",55.9533456,-3.1883749
28,37,Technical University of Munich,Munich,DE,Germany,XL,83,98.6,76.8,75.9,80.4,98.6,95.6,34.5,93.1,83.2,28,"Munich, Germany",48.1371079,11.5753822
34,32,The University of Manchester,Manchester,UK,United Kingdom,XL,95.6,98.1,51.3,45.1,93.1,99.2,99.2,87.6,99.8,82,34,"Manchester, United Kingdom",53.4794892,-2.2451148
40,40,King's College London,London,UK,United Kingdom,XL,90.3,85.7,64.3,53.6,99.1,99.5,98.6,59.8,96.2,80.2,40,"London, United Kingdom",51.5074456,-0.1277653
46,38,Institut Polytechnique de Paris,Paris,FR,France,M,44.7,99.6,95.9,86.1,99.1,98,89.6,97.7,54.8,77.5,46,"Paris, France",48.8534951,2.3483915
49,47,Delft University of Technology,Delft,NL,Netherlands,L,74.4,83,39.4,79.7,100,91.4,93.7,54.8,99.1,77,49,"Delft, Netherlands",52.0114017,4.35839
50,45,The London School of Economics and Political Science (LSE),London,UK,United Kingdom,L,67.2,97,35.1,69.4,100,100,81.2,99.6,91.3,76,50,"London, United Kingdom",51.5074456,-0.1277653
54,55,University of Bristol,,UK,United Kingdom,L,75.8,82.5,36.7,75.9,87.5,89.8,94.6,51.2,98.9,75.4,54,"Bristol, United Kingdom",51.4545,2.5879
55,53,University of Amsterdam,Amsterdam,NL,Netherlands,XL,83.8,52.1,21.4,92.2,96,87.5,96.3,79.8,38.2,73.7,55,"Amsterdam, Netherlands",52.3730796,4.8924534
59,54,Ludwig-Maximilians-Universität München,Munich,DE,Germany,XL,92.2,86.6,38.5,50,75.1,37.6,95.5,66.9,62.2,71.6,59,"Munich, Germany",48.1371079,11.5753822
63,61,KU Leuven,Leuven,BE,Belgium,XL,84.6,49.6,7.1,91,93.8,47.7,99.5,75.3,51.2,70.3,63,"Leuven, Belgium",50.879202,4.7011675
63,59,Sorbonne University,Paris,FR,France,XL,87.2,52,43,72.3,33.8,46.7,99.8,79.7,87.6,70.3,63,"Paris, France",48.8534951,2.3483915
69,67,The University of Warwick,Warwick,UK,United Kingdom,L,72.2,86.4,35.5,37.7,98.1,99.1,94.2,65.7,89.7,68.2,69,"Warwick, United Kingdom",52.2814519,-1.5815742
73,71,Université Paris-Saclay,Paris,FR,France,XL,60.7,99.1,99.8,35,35.7,58.6,98.6,70.8,72.6,67,73,"Paris, France",48.8534951,2.3483915
74,73,KTH Royal Institute of Technology ,Stockholm,SE,Sweden,L,45.2,55.6,62.3,86.1,92,65.9,91.1,62.4,94.8,65.7,74,"Stockholm, Sweden",59.3251172,18.0710935
75,85,Lund University,Lund,SE,Sweden,L,68.3,52.5,55.5,44.6,97.4,73.4,96.7,86.5,99.6,65.6,75,"Lund, Sweden",55.7029296,13.1929449
78,76,University of Glasgow,Glasgow,UK,United Kingdom,XL,77.4,67.7,38,32.5,95.7,99.4,97.6,33.5,98.5,65,78,"Glasgow, United Kingdom",55.861155,-4.2501687
