Variable,VIF
geo_syndication,4.159802623612989
syndication,3.8681501172194857
first_seed_round_year,3.868132542636957
regional_seed_investor_binary,3.7621533493619568
founded_year,3.7465820966748633
regional_seed_investor_venture_capital_binary,3.5419509184573146
number_seed_rounds,3.2862960880540935
duration_seed_stage,2.743772901969196
number_seed_investors,2.1444032596479636
hub_binary,1.9065375893927845
energy,1.7121890080045181
all_homecountry_investors_in_seed_binary,1.7029037095762487
top_university,1.6883770377653218
utilities,1.5845584249998663
follow_on_investor,1.5095879398347827
low_seed_funding,1.3554275863827054
pre_seed,1.3475537585458142
accelerator_seed_investor_binary,1.3024198256467028
b2b,1.2844665662915724
materials,1.2825420112213146
health_care,1.2014996791170471
lead_investor_in_seed,1.1968635188254377
information_technology,1.1866237733424982
communication_services,1.183850373510292
high_seed_funding,1.1706580094120849
consumer_discretionary,1.1692957403374056
success_follow_2,1.1636880057677867
financials,1.1506828929707829
incubator_seed_investor_binary,1.1399631177618645
industrials,1.1361937319613884
micro_vc_seed_investor_binary,1.1318630105589014
number_of_founders,1.1039910374048036
gdp,1.0803194495283686
consumer_staples,1.07456901256572
female_founder,1.0655175162183592
grant_before_seed,1.0590922603133563
corporate_venture_capital_seed_investor_binary,1.0504996914794125
family_investment_office_seed_investor_binary,1.0451111499604373
angel_round_binary,1.0391014494948125
real_estate,1.0353060986834683
entrepreneurship_program_seed_investor_binary,1.0309454995534566
university_program_seed_investor_binary,1.030508758399764
other,1.0288484473383932
